SURVEY: ATLAS
SNID: 2016K
IACU: 2016K
FILTERS: co
TYPE: 1
RA: 65.451292
DECL: -15.755586
PIXSIZE: 1.86
PEAKMJD: 57401.20999999996
REDSHIFT_HELIO: 0.0307  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 82
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57353.422008 o NA 3.08745e+03 1.6353e+03 76.2 1 0
OBS: 57353.431683 o NA 3.61077e+03 1.8778e+03 90.4 1 0
OBS: 57353.441356 o NA 3.56123e+03 1.7911e+03 82.0 1 0
OBS: 57356.463202 o NA 6.49232e+02 3.7583e+02 28.7 1 0
OBS: 57358.431421 o NA 7.34514e+02 3.6740e+02 24.0 1 0
OBS: 57368.412652 o NA 1.72982e+03 4.2605e+02 18.6 1 0
OBS: 57369.437331 o NA 5.93745e+02 3.4186e+02 22.1 1 0
OBS: 57370.373047 c NA 6.08135e+02 3.1111e+02 14.9 1 0
OBS: 57370.390826 c NA 5.65458e+02 2.8440e+02 14.7 1 0
OBS: 57370.409015 c NA 5.44001e+02 2.8025e+02 14.5 1 0
OBS: 57388.206132 o NA 1.17815e+03 6.5815e+02 30.9 1 0
OBS: 57388.234054 o NA 7.76962e+02 4.3999e+02 24.9 1 0
OBS: 57390.201947 c NA 3.13329e+03 9.7951e+02 41.7 1 0
OBS: 57390.220019 c NA 1.59809e+03 4.2535e+02 16.8 1 0
OBS: 57391.20058 c NA 1.94805e+03 1.0642e+03 50.1 1 0
OBS: 57391.204933 c NA 2.87607e+03 7.3417e+02 31.0 1 0
OBS: 57391.217991 c NA 3.41979e+03 4.4676e+02 17.8 1 0
OBS: 57391.231118 c NA 3.07893e+03 4.7038e+02 16.8 1 0
OBS: 57398.349078 c NA 1.41775e+04 4.6238e+02 14.9 1 0
OBS: 57398.36573 c NA 1.34276e+04 4.0198e+02 14.6 1 0
OBS: 57398.382459 c NA 1.44544e+04 4.1980e+02 14.9 1 0
OBS: 57398.399192 c NA 1.33291e+04 4.5844e+02 15.3 1 0
OBS: 57399.34616 c NA 1.57471e+04 4.5734e+02 15.1 1 0
OBS: 57399.362957 c NA 1.50800e+04 3.7038e+02 15.2 1 0
OBS: 57399.379748 c NA 1.50245e+04 3.9599e+02 15.6 1 0
OBS: 57399.396581 c NA 1.68112e+04 4.4308e+02 15.8 1 0
OBS: 57406.290423 o NA 1.57181e+04 1.1836e+03 38.2 1 0
OBS: 57406.301962 o NA 1.51635e+04 1.0641e+03 39.1 1 0
OBS: 57406.322335 o NA 1.69356e+04 1.0866e+03 38.2 1 0
OBS: 57406.349326 o NA 1.68888e+04 9.6676e+02 39.3 1 0
OBS: 57407.289071 o NA 1.62780e+04 1.0865e+03 41.5 1 0
OBS: 57407.300082 o NA 1.58635e+04 1.0588e+03 41.5 1 0
OBS: 57407.320598 o NA 1.42167e+04 9.4891e+02 41.7 1 0
OBS: 57407.346777 o NA 1.40864e+04 9.4021e+02 42.9 1 0
OBS: 57410.281739 o NA 9.67386e+03 1.7671e+03 46.6 1 0
