SURVEY: ATLAS
SNID: 2016Z
IACU: 2016Z
FILTERS: co
TYPE: 1
RA: 67.128467
DECL: -17.656492
PIXSIZE: 1.86
PEAKMJD: 57404.20999999996
REDSHIFT_HELIO: 0.031078  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57357.424353 o NA 1.08343e+03 4.3539e+02 25.1 1 0
OBS: 57359.422662 o NA 5.56160e+03 5.1731e+02 18.4 1 0
OBS: 57368.394218 o NA 4.21502e+03 4.3756e+02 19.8 1 0
OBS: 57369.39806 o NA 4.51648e+03 5.3541e+02 23.4 1 0
OBS: 57370.390826 c NA 1.19784e+03 3.6608e+02 14.7 1 0
OBS: 57373.403922 c NA 1.28825e+03 3.5843e+02 13.6 1 0
OBS: 57380.369075 o NA 6.00897e+03 1.2927e+03 54.5 1 0
OBS: 57399.362957 c NA 1.64135e+03 3.8126e+02 15.2 1 0
OBS: 57399.396581 c NA 3.09030e+03 3.9876e+02 15.8 1 0
OBS: 57406.290423 o NA 1.39316e+04 1.0134e+03 38.2 1 0
OBS: 57406.301962 o NA 9.45366e+03 9.3444e+02 39.1 1 0
OBS: 57406.322335 o NA 1.26125e+04 9.4974e+02 38.2 1 0
OBS: 57406.349326 o NA 8.19596e+03 9.4493e+02 39.3 1 0
OBS: 57407.289071 o NA 1.19124e+04 1.0382e+03 41.5 1 0
OBS: 57407.300082 o NA 9.66496e+03 1.0590e+03 41.5 1 0
OBS: 57407.320598 o NA 1.67494e+04 9.8784e+02 41.7 1 0
OBS: 57407.346777 o NA 9.81748e+03 1.0192e+03 42.9 1 0
OBS: 57410.281739 o NA 1.49692e+04 1.1400e+03 46.6 1 0
OBS: 57410.300101 o NA 1.11789e+04 1.2157e+03 46.8 1 0
OBS: 57410.321212 o NA 1.85183e+04 1.2201e+03 47.6 1 0
OBS: 57410.322433 o NA 1.40217e+04 1.0678e+03 47.4 1 0
OBS: 57411.279174 o NA 1.52195e+04 1.4664e+03 49.9 1 0
OBS: 57411.292058 o NA 1.03086e+04 1.3714e+03 49.9 1 0
OBS: 57411.298996 o NA 1.61287e+04 1.3920e+03 50.1 1 0
OBS: 57411.323599 o NA 1.41124e+04 1.2299e+03 49.0 1 0
OBS: 57412.279698 o NA 1.36270e+04 1.0493e+03 38.7 1 0
OBS: 57412.292044 o NA 1.44278e+04 1.0741e+03 38.9 1 0
OBS: 57412.298815 o NA 1.32923e+04 1.0122e+03 39.1 1 0
OBS: 57412.323094 o NA 1.26357e+04 9.2995e+02 39.8 1 0
OBS: 57416.269056 o NA 7.36546e+03 6.9739e+02 24.2 1 0
OBS: 57416.283115 o NA 6.96947e+03 6.7731e+02 23.7 1 0
OBS: 57416.29721 o NA 5.90473e+03 5.6401e+02 24.2 1 0
OBS: 57416.311736 o NA 1.13658e+04 6.4073e+02 24.5 1 0
OBS: 57417.267809 o NA 8.87973e+03 6.0794e+02 22.9 1 0
OBS: 57417.283092 o NA 9.09494e+03 6.2267e+02 23.2 1 0
OBS: 57417.298425 o NA 8.52707e+03 6.4936e+02 23.4 1 0
OBS: 57417.314016 o NA 9.09494e+03 5.7572e+02 24.9 1 0
OBS: 57423.25817 c NA 5.64937e+02 3.0191e+02 17.8 1 0
OBS: 57423.289009 c NA 1.69668e+03 4.0843e+02 17.5 1 0
OBS: 57423.304449 c NA 3.25987e+03 4.6475e+02 17.5 1 0
OBS: 57430.29187 c NA 5.92652e+02 3.1211e+02 17.6 1 0
OBS: 57439.258959 o NA 6.97590e+03 9.6693e+02 45.1 1 0
OBS: 57439.274954 o NA 1.62780e+03 8.1046e+02 45.5 1 0
OBS: 57446.257352 o NA 2.12814e+03 5.6930e+02 25.1 1 0
OBS: 57446.275107 o NA 1.76685e+03 6.1340e+02 25.0 1 0
OBS: 57447.250656 o NA 5.80230e+03 6.3576e+02 22.3 1 0
END_PHOTOMETRY:
