SURVEY: ATLAS
SNID: 2016jdj
IACU: 2016jdj
FILTERS: co
TYPE: 1
RA: 201.508292
DECL: 2.283556
PIXSIZE: 1.86
PEAKMJD: 57750.97565970011
REDSHIFT_HELIO: 0.137  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57764.646888 o NA 1.85866e+03 6.4527e+02 34.8 1 0
OBS: 57764.663571 o NA 7.53703e+02 4.5365e+02 32.4 1 0
OBS: 57768.680066 o NA 3.50913e+03 1.6894e+03 89.9 1 0
OBS: 57784.658264 c NA 5.54626e+02 2.8122e+02 14.5 1 0
OBS: 57792.651164 o NA 6.49232e+02 3.6347e+02 22.3 1 0
OBS: 57820.637931 o NA 1.00000e+04 1.2017e+03 22.2 1 0
OBS: 57828.61158 o NA 5.67022e+03 1.6226e+03 50.1 1 0
OBS: 57833.597427 o NA 1.54170e+03 8.1056e+02 23.4 1 0
OBS: 57834.559485 o NA 9.08657e+02 4.3572e+02 21.2 1 0
OBS: 57844.510987 c NA 6.91194e+02 2.9014e+02 15.7 1 0
OBS: 57846.531231 o NA 6.88018e+03 7.3125e+02 21.8 1 0
OBS: 57852.399853 o NA 2.18172e+03 1.1375e+03 86.7 1 0
OBS: 57852.419352 o NA 1.69356e+03 1.0074e+03 86.7 1 0
OBS: 57852.431171 o NA 2.31420e+03 1.1097e+03 86.3 1 0
OBS: 57852.449216 o NA 2.45019e+03 1.2457e+03 86.7 1 0
OBS: 57857.498866 o NA 2.14585e+04 1.0910e+04 184.5 1 0
OBS: 57857.512147 o NA 7.06643e+03 3.0337e+03 77.3 1 0
OBS: 57858.537756 o NA 3.30522e+03 1.2446e+03 39.3 1 0
OBS: 57861.563815 o NA 1.10255e+03 6.3868e+02 43.5 1 0
OBS: 57861.575822 o NA 1.33537e+03 6.6115e+02 46.1 1 0
OBS: 57862.555507 o NA 1.37151e+03 7.4172e+02 40.4 1 0
OBS: 57862.577827 o NA 1.26009e+03 7.4864e+02 45.3 1 0
OBS: 57865.549198 o NA 1.30737e+03 6.5454e+02 38.5 1 0
OBS: 57866.53441 o NA 7.36546e+03 1.1482e+03 47.9 1 0
OBS: 57886.39133 o NA 9.84464e+02 4.7302e+02 35.5 1 0
OBS: 57886.41969 o NA 1.16950e+03 4.9838e+02 36.1 1 0
OBS: 57892.478379 o NA 4.68598e+02 2.7108e+02 25.9 1 0
OBS: 57893.38281 o NA 9.94489e+02 3.6701e+02 21.3 1 0
OBS: 57893.433247 o NA 4.81726e+02 2.5474e+02 22.6 1 0
OBS: 57901.390271 o NA 7.07946e+02 3.1566e+02 21.3 1 0
OBS: 57914.379175 o NA 1.30737e+03 5.7421e+02 43.3 1 0
OBS: 57918.275791 o NA 5.60790e+02 2.5572e+02 19.0 1 0
OBS: 57923.340633 o NA 6.91831e+02 4.0183e+02 34.2 1 0
OBS: 57923.359832 o NA 3.20627e+03 1.4844e+03 56.0 1 0
OBS: 57927.345236 o NA 5.01187e+02 2.1595e+02 18.8 1 0
OBS: 57927.354607 o NA 5.00726e+02 2.2070e+02 19.2 1 0
OBS: 57931.328533 o NA 9.91745e+02 2.5384e+02 20.3 1 0
OBS: 57939.307013 o NA 8.24898e+02 4.8480e+02 37.3 1 0
OBS: 57942.297106 o NA 1.28351e+03 5.8076e+02 37.2 1 0
OBS: 57942.324843 o NA 7.46105e+02 4.4908e+02 39.1 1 0
OBS: 57949.290941 o NA 3.86189e+02 2.0754e+02 23.0 1 0
OBS: 57949.299596 o NA 4.92040e+02 2.0284e+02 23.0 1 0
OBS: 57951.271391 o NA 3.20332e+02 1.8996e+02 22.1 1 0
OBS: 57953.281308 o NA 5.42001e+02 2.4112e+02 26.8 1 0
OBS: 57959.254303 o NA 6.77330e+02 3.6023e+02 27.5 1 0
OBS: 57959.267416 o NA 8.53493e+02 3.9302e+02 26.2 1 0
END_PHOTOMETRY:
