SURVEY: ATLAS
SNID: 2016sl
IACU: 2016sl
FILTERS: co
TYPE: 1
RA: 156.030072976
DECL: 13.6159232853
PIXSIZE: 1.86
PEAKMJD: 57405.660451400094
REDSHIFT_HELIO: 0.023  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 75
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57400.576619 c NA 1.46825e+03 2.8139e+02 14.7 1 0
OBS: 57401.577468 c NA 9.15377e+02 2.6255e+02 15.2 1 0
OBS: 57408.504959 o NA 7.97260e+03 7.6816e+02 36.1 1 0
OBS: 57408.531338 o NA 5.61306e+03 7.1978e+02 35.0 1 0
OBS: 57408.563729 o NA 6.69885e+03 8.7513e+02 34.7 1 0
OBS: 57408.584208 o NA 7.69130e+03 7.9844e+02 34.4 1 0
OBS: 57421.593186 c NA 3.52209e+04 5.1523e+02 18.0 1 0
OBS: 57421.616908 c NA 6.99520e+04 6.4132e+02 19.0 1 0
OBS: 57421.639386 c NA 3.37287e+04 5.5457e+02 19.7 1 0
OBS: 57421.655827 c NA 3.58096e+04 6.2120e+02 20.9 1 0
OBS: 57422.592193 c NA 5.86138e+04 5.9084e+02 16.9 1 0
OBS: 57422.615831 c NA 3.45462e+04 5.6801e+02 17.9 1 0
OBS: 57422.638288 c NA 3.58096e+04 6.2120e+02 19.1 1 0
OBS: 57422.654716 c NA 3.32966e+04 5.4746e+02 20.0 1 0
OBS: 57428.581203 c NA 2.82358e+04 5.1536e+02 15.2 1 0
OBS: 57428.60509 c NA 2.69401e+04 5.1606e+02 15.6 1 0
OBS: 57428.629001 c NA 2.78227e+04 5.0782e+02 16.6 1 0
OBS: 57428.648605 c NA 2.85496e+04 5.4689e+02 17.6 1 0
OBS: 57436.287124 c NA 1.54028e+04 1.6117e+03 47.0 1 0
OBS: 57436.30125 c NA 1.82138e+04 1.3405e+03 44.3 1 0
OBS: 57436.315343 c NA 1.56892e+04 1.2081e+03 41.9 1 0
OBS: 57436.329435 c NA 1.52897e+04 1.0074e+03 40.0 1 0
OBS: 57444.548259 o NA 1.34772e+04 9.8038e+02 40.6 1 0
OBS: 57445.485268 o NA 1.36899e+04 6.5222e+02 31.2 1 0
OBS: 57445.507602 o NA 1.42298e+04 6.9042e+02 31.8 1 0
OBS: 57445.529904 o NA 1.52055e+04 7.5108e+02 32.8 1 0
OBS: 57445.552163 o NA 1.50938e+04 7.5877e+02 34.2 1 0
OBS: 57452.482281 c NA 5.75970e+03 3.9433e+02 14.9 1 0
OBS: 57452.504321 c NA 6.69268e+03 4.1210e+02 15.3 1 0
OBS: 57452.526731 c NA 5.56160e+03 3.7121e+02 16.0 1 0
OBS: 57460.453861 c NA 3.32966e+04 5.1728e+02 16.0 1 0
OBS: 57460.476001 c NA 4.89779e+03 3.6046e+02 16.4 1 0
OBS: 57460.498314 c NA 4.49159e+03 4.2154e+02 17.1 1 0
OBS: 57460.520486 c NA 3.97375e+03 4.3540e+02 17.8 1 0
OBS: 57464.433174 o NA 3.18860e+03 6.4411e+02 29.1 1 0
OBS: 57464.455431 o NA 4.97050e+03 6.9290e+02 29.4 1 0
OBS: 57464.47777 o NA 3.14775e+03 6.9078e+02 30.2 1 0
OBS: 57464.500225 o NA 5.63378e+03 6.7700e+02 29.8 1 0
OBS: 57472.455066 o NA 2.96483e+03 1.0006e+03 46.6 1 0
OBS: 57472.476221 o NA 3.76357e+03 9.6330e+02 47.9 1 0
OBS: 57472.497074 o NA 7.56484e+03 1.2785e+03 49.9 1 0
OBS: 57476.406811 o NA 1.33660e+03 4.5676e+02 24.5 1 0
OBS: 57476.429135 o NA 4.20339e+03 5.9262e+02 25.4 1 0
OBS: 57476.451416 o NA 1.62480e+03 5.0999e+02 26.5 1 0
OBS: 57476.473943 o NA 2.94578e+03 6.3797e+02 28.2 1 0
OBS: 57480.411222 c NA 1.50245e+03 3.6482e+02 15.4 1 0
OBS: 57480.43424 c NA 3.48658e+03 3.7916e+02 15.5 1 0
OBS: 57480.457342 c NA 3.53509e+03 3.9313e+02 16.1 1 0
