SURVEY: ATLAS
SNID: 2016zd
IACU: 2016zd
FILTERS: co
TYPE: 1
RA: 181.357608
DECL: -21.400333
PIXSIZE: 1.86
PEAKMJD: 57420.2799999998
REDSHIFT_HELIO: 0.032  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 67
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57380.640724 o NA 1.00647e+03 5.8883e+02 39.4 1 0
OBS: 57397.510144 c NA 1.71554e+03 5.8730e+02 16.4 1 0
OBS: 57405.587051 o NA 5.21435e+02 3.1018e+02 21.3 1 0
OBS: 57405.619209 o NA 1.46285e+03 4.0506e+02 20.0 1 0
OBS: 57416.521678 o NA 3.74973e+03 8.0666e+02 39.1 1 0
OBS: 57416.535197 o NA 2.37028e+03 7.3648e+02 38.7 1 0
OBS: 57416.549374 o NA 3.00608e+03 7.2783e+02 39.1 1 0
OBS: 57416.563468 o NA 6.11505e+03 7.4968e+02 39.3 1 0
OBS: 57417.517075 o NA 5.71216e+03 7.3708e+02 33.3 1 0
OBS: 57417.532779 o NA 7.16473e+03 7.5559e+02 33.1 1 0
OBS: 57417.548311 o NA 6.42688e+03 6.0853e+02 34.0 1 0
OBS: 57417.563111 o NA 5.98687e+03 6.7069e+02 33.9 1 0
OBS: 57429.52515 c NA 2.79769e+04 4.8533e+02 14.5 1 0
OBS: 57429.540727 c NA 2.81320e+04 4.3705e+02 14.1 1 0
OBS: 57438.519456 o NA 1.85353e+04 8.5052e+02 38.2 1 0
OBS: 57438.535621 o NA 1.62780e+04 8.6096e+02 39.6 1 0
OBS: 57438.552651 o NA 1.56892e+04 8.1612e+02 40.0 1 0
OBS: 57438.569712 o NA 1.65196e+04 8.4489e+02 40.4 1 0
OBS: 57439.50604 o NA 1.74261e+04 9.9751e+02 47.9 1 0
OBS: 57439.524787 o NA 1.53320e+04 1.0365e+03 47.6 1 0
OBS: 57439.544651 o NA 1.52475e+04 8.7281e+02 47.6 1 0
OBS: 57439.563553 o NA 1.68112e+04 9.6232e+02 48.3 1 0
OBS: 57447.486505 o NA 1.07152e+04 6.5051e+02 28.8 1 0
OBS: 57447.505932 o NA 9.54993e+03 7.0284e+02 30.2 1 0
OBS: 57447.526508 o NA 8.57433e+03 6.8936e+02 30.6 1 0
OBS: 57447.547072 o NA 1.07845e+04 7.0126e+02 31.5 1 0
OBS: 57453.472365 c NA 9.82653e+03 4.4227e+02 15.2 1 0
OBS: 57453.490905 c NA 1.02329e+04 4.3352e+02 15.6 1 0
OBS: 57453.510277 c NA 8.19596e+03 4.3349e+02 16.0 1 0
OBS: 57453.530284 c NA 9.06985e+03 4.0023e+02 16.1 1 0
OBS: 57457.465019 c NA 8.15831e+03 4.5991e+02 14.4 1 0
OBS: 57457.483659 c NA 8.56643e+03 4.5309e+02 15.3 1 0
OBS: 57457.502761 c NA 8.74178e+03 4.5473e+02 15.7 1 0
OBS: 57457.523034 c NA 7.89223e+03 3.8984e+02 15.8 1 0
OBS: 57461.448688 c NA 7.02102e+03 6.2956e+02 21.1 1 0
OBS: 57461.467613 c NA 5.28689e+03 1.2281e+03 22.9 1 0
OBS: 57461.488565 c NA 5.40008e+03 9.2913e+02 27.8 1 0
OBS: 57465.43816 o NA 1.03086e+04 7.4988e+02 33.0 1 0
OBS: 57465.455208 o NA 8.04637e+03 7.2150e+02 33.0 1 0
OBS: 57465.472199 o NA 8.33297e+03 6.6995e+02 32.4 1 0
OBS: 57465.489844 o NA 7.20444e+03 6.4600e+02 33.4 1 0
OBS: 57477.409432 o NA 4.14572e+03 5.7792e+02 22.3 1 0
OBS: 57477.426419 o NA 5.67545e+03 5.7979e+02 25.0 1 0
OBS: 57477.443958 o NA 3.62744e+03 5.8795e+02 26.8 1 0
OBS: 57477.460922 o NA 3.74973e+03 5.7578e+02 28.4 1 0
OBS: 57481.383915 c NA 4.13048e+03 4.4919e+02 16.6 1 0
OBS: 57481.396288 c NA 3.41979e+03 4.3579e+02 16.6 1 0
OBS: 57481.418204 c NA 3.90481e+03 4.0213e+02 16.2 1 0
OBS: 57481.420131 c NA 3.88329e+03 4.0953e+02 16.3 1 0
OBS: 57494.401156 o NA 1.95704e+03 6.8530e+02 38.2 1 0
OBS: 57494.415659 o NA 2.30356e+03 7.0842e+02 37.8 1 0
OBS: 57494.429222 o NA 3.12464e+03 8.0618e+02 37.5 1 0
OBS: 57494.442808 o NA 1.92664e+03 7.1437e+02 38.7 1 0
OBS: 57497.418712 o NA 2.55859e+03 1.5220e+03 62.5 1 0
OBS: 57514.302474 c NA 1.90195e+03 3.9950e+02 16.2 1 0
