SURVEY: ATLAS
SNID: 2017aaa
IACU: 2017aaa
FILTERS: co
TYPE: 1
RA: 207.45475
DECL: -3.080081
PIXSIZE: 1.86
PEAKMJD: 57783.59099540021
REDSHIFT_HELIO: 0.047  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 116
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57788.665724 o NA 4.72933e+03 5.2207e+02 22.6 1 0
OBS: 57788.674911 o NA 6.26902e+03 1.0499e+03 50.6 1 0
OBS: 57792.652984 o NA 7.52315e+03 4.8919e+02 23.1 1 0
OBS: 57792.670311 o NA 7.75532e+03 8.2426e+02 42.9 1 0
OBS: 57804.640159 c NA 1.16950e+04 5.2636e+02 20.1 1 0
OBS: 57804.644347 c NA 1.01765e+04 4.8484e+02 20.2 1 0
OBS: 57804.665688 c NA 1.08143e+04 8.4193e+02 33.3 1 0
OBS: 57808.617226 c NA 9.12851e+03 4.2689e+02 16.2 1 0
OBS: 57808.63506 c NA 8.74984e+03 4.3220e+02 16.4 1 0
OBS: 57808.649953 c NA 9.28966e+03 5.3176e+02 20.1 1 0
OBS: 57808.662366 c NA 7.71969e+03 6.4023e+02 26.4 1 0
OBS: 57816.539057 c NA 4.94311e+03 3.8484e+02 13.4 1 0
OBS: 57816.561845 c NA 5.60273e+03 3.7396e+02 13.6 1 0
OBS: 57816.573778 c NA 5.59758e+03 3.3983e+02 13.7 1 0
OBS: 57816.592912 c NA 5.85599e+03 3.4029e+02 13.8 1 0
OBS: 57816.608053 c NA 5.64417e+03 3.1818e+02 14.0 1 0
OBS: 57816.649186 o NA 4.27366e+03 6.0253e+02 20.8 1 0
OBS: 57818.640945 o NA 4.25402e+03 5.1464e+02 19.0 1 0
OBS: 57818.655388 o NA 3.37909e+03 9.0851e+02 36.1 1 0
OBS: 57820.615793 o NA 3.77398e+03 7.0072e+02 21.5 1 0
OBS: 57820.629861 o NA 3.81593e+03 8.8638e+02 24.0 1 0
OBS: 57820.643402 o NA 3.15355e+03 5.6176e+02 19.0 1 0
OBS: 57820.65741 o NA 4.95678e+03 9.1661e+02 33.6 1 0
OBS: 57828.571073 o NA 4.34911e+03 1.2388e+03 75.5 1 0
OBS: 57828.585599 o NA 6.09256e+03 1.2664e+03 75.5 1 0
OBS: 57828.604662 o NA 3.56123e+03 1.1690e+03 75.9 1 0
OBS: 57828.611091 o NA 5.63378e+03 1.8944e+03 57.8 1 0
OBS: 57828.615825 o NA 5.59242e+03 1.1788e+03 76.9 1 0
OBS: 57828.624591 o NA 3.17980e+03 1.8296e+03 59.4 1 0
OBS: 57828.632908 o NA 2.66440e+03 1.0185e+03 78.0 1 0
OBS: 57828.63759 o NA 5.13807e+03 1.8752e+03 61.1 1 0
OBS: 57828.651669 o NA 6.25749e+03 3.6847e+03 91.6 1 0
OBS: 57830.601208 o NA 3.77746e+03 6.8147e+02 30.8 1 0
OBS: 57830.614652 o NA 8.29469e+03 8.3364e+02 31.6 1 0
OBS: 57830.628671 o NA 4.07380e+03 7.3185e+02 32.2 1 0
OBS: 57830.642361 o NA 3.25387e+03 7.8101e+02 35.0 1 0
OBS: 57832.562298 o NA 3.67451e+03 5.3256e+02 35.0 1 0
OBS: 57832.578782 o NA 3.89404e+03 5.5824e+02 35.0 1 0
OBS: 57832.59283 o NA 2.54449e+03 6.4078e+02 24.1 1 0
OBS: 57832.594044 o NA 3.63413e+03 5.4098e+02 35.6 1 0
OBS: 57832.607254 o NA 2.13993e+03 5.9539e+02 24.2 1 0
