SURVEY: ATLAS
SNID: 2017aac
IACU: 2017aac
FILTERS: co
TYPE: 1
RA: 122.628882849
DECL: 5.26032079365
PIXSIZE: 1.86
PEAKMJD: 57782.445995400194
REDSHIFT_HELIO: 0.03  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 134
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57768.509132 o NA 1.88452e+04 8.7526e+03 169.8 1 0
OBS: 57768.51188 o NA 2.21820e+04 9.0358e+03 196.8 1 0
OBS: 57780.487464 c NA 4.99344e+02 2.6492e+02 14.6 1 0
OBS: 57780.52132 c NA 7.53703e+02 2.7020e+02 14.6 1 0
OBS: 57784.468654 c NA 8.01678e+03 4.0301e+02 13.4 1 0
OBS: 57784.48512 c NA 6.85488e+03 3.9239e+02 13.2 1 0
OBS: 57784.502449 c NA 6.27480e+03 4.1882e+02 13.4 1 0
OBS: 57784.512802 c NA 5.70164e+03 3.7566e+02 13.4 1 0
OBS: 57784.535825 c NA 6.69268e+03 4.2943e+02 13.9 1 0
OBS: 57788.447051 o NA 1.62780e+04 5.8879e+02 23.7 1 0
OBS: 57788.464507 o NA 1.50245e+04 5.3011e+02 21.5 1 0
OBS: 57788.474141 o NA 1.47231e+04 5.0639e+02 21.4 1 0
OBS: 57788.494615 o NA 1.47503e+04 5.2043e+02 20.7 1 0
OBS: 57788.51581 o NA 1.49555e+04 6.2039e+02 20.6 1 0
OBS: 57800.407611 o NA 1.29539e+04 9.6441e+02 29.0 1 0
OBS: 57800.423411 o NA 1.25777e+04 9.4712e+02 29.5 1 0
OBS: 57800.432582 o NA 2.18575e+04 6.5434e+02 27.4 1 0
OBS: 57800.450158 o NA 2.09122e+04 7.0065e+02 27.9 1 0
OBS: 57800.452547 o NA 1.20893e+04 9.4119e+02 29.8 1 0
OBS: 57800.46752 o NA 2.12814e+04 6.3710e+02 28.2 1 0
OBS: 57800.484877 o NA 2.20191e+04 6.9849e+02 28.8 1 0
OBS: 57800.502256 o NA 2.18776e+04 7.1351e+02 30.3 1 0
OBS: 57804.384968 o NA 7.68422e+03 9.9154e+02 26.1 1 0
OBS: 57804.399927 o NA 7.55092e+03 9.0738e+02 23.9 1 0
OBS: 57804.429593 o NA 3.86901e+03 2.3287e+03 41.7 1 0
OBS: 57804.434812 c NA 2.35072e+04 9.7514e+02 23.9 1 0
OBS: 57804.450169 c NA 2.46604e+04 5.8352e+02 17.4 1 0
OBS: 57804.464985 c NA 2.62543e+04 4.7919e+02 15.6 1 0
OBS: 57804.479711 c NA 2.52116e+04 5.9657e+02 17.9 1 0
OBS: 57806.37961 o NA 1.30137e+03 7.4980e+02 23.3 1 0
OBS: 57806.394074 o NA 1.27761e+04 7.5351e+02 20.3 1 0
OBS: 57806.408479 o NA 1.23937e+04 7.8453e+02 20.3 1 0
OBS: 57806.423357 o NA 1.27174e+04 7.8307e+02 21.0 1 0
OBS: 57808.37688 o NA 6.16027e+03 8.2447e+02 21.2 1 0
OBS: 57808.391801 o NA 5.24324e+03 1.0476e+03 26.5 1 0
OBS: 57808.406738 o NA 2.10863e+03 6.7248e+02 20.5 1 0
OBS: 57808.421482 o NA 4.00313e+03 7.8206e+02 20.7 1 0
OBS: 57808.438352 c NA 1.92841e+04 4.7364e+02 15.1 1 0
OBS: 57808.45433 c NA 1.86724e+04 4.4183e+02 15.7 1 0
OBS: 57808.486465 c NA 1.96426e+04 5.3532e+02 19.0 1 0
OBS: 57816.327245 c NA 1.28115e+04 4.5203e+02 18.1 1 0
OBS: 57816.357915 o NA 3.95549e+03 6.2889e+02 20.6 1 0
OBS: 57816.358661 c NA 1.03276e+04 4.4663e+02 17.6 1 0
OBS: 57816.373171 o NA 1.90546e+03 5.7133e+02 20.2 1 0
OBS: 57816.373222 c NA 9.98160e+03 4.1406e+02 17.3 1 0
OBS: 57816.376654 o NA 5.99239e+03 6.4182e+02 20.0 1 0
OBS: 57816.387502 o NA 2.78227e+03 6.1057e+02 19.8 1 0
OBS: 57816.391587 o NA 7.28450e+03 6.5318e+02 19.5 1 0
OBS: 57818.334883 o NA 3.17980e+03 8.5064e+02 29.2 1 0
OBS: 57818.380717 o NA 1.11276e+03 6.1433e+02 26.8 1 0
OBS: 57826.424141 o NA 4.15336e+03 1.1334e+03 40.9 1 0
OBS: 57826.435198 o NA 1.16842e+04 1.4795e+03 42.7 1 0
OBS: 57826.438541 o NA 4.55827e+03 1.2470e+03 42.1 1 0
OBS: 57826.439891 o NA 9.19602e+03 1.0752e+03 60.8 1 0
OBS: 57826.45119 o NA 9.63829e+03 1.2514e+03 65.2 1 0
OBS: 57826.455141 o NA 8.29469e+03 1.3764e+03 64.3 1 0
OBS: 57826.464898 o NA 4.88427e+03 1.8532e+03 47.0 1 0
OBS: 57826.465237 o NA 1.07251e+04 2.2762e+03 70.8 1 0
OBS: 57826.468966 o NA 8.94540e+03 1.4844e+03 70.8 1 0
OBS: 57826.482535 o NA 6.37970e+03 1.2746e+03 72.8 1 0
OBS: 57827.459437 o NA 8.52707e+03 9.7615e+02 56.2 1 0
OBS: 57827.466706 o NA 7.22437e+03 1.1430e+03 60.0 1 0
OBS: 57827.470107 o NA 6.98232e+03 1.0065e+03 59.2 1 0
OBS: 57827.477887 o NA 7.84874e+03 1.5624e+03 63.7 1 0
OBS: 57827.480559 o NA 3.94457e+03 1.1236e+03 62.2 1 0
OBS: 57827.491916 o NA 2.84708e+03 1.0948e+03 66.1 1 0
OBS: 57828.317603 o NA 4.58353e+03 5.9512e+02 21.9 1 0
OBS: 57828.321604 o NA 6.52830e+03 8.2666e+02 27.4 1 0
OBS: 57828.332281 o NA 4.11150e+03 6.9485e+02 22.9 1 0
OBS: 57828.336315 o NA 4.08884e+03 7.0040e+02 24.0 1 0
OBS: 57828.346804 o NA 1.57616e+03 5.9079e+02 26.7 1 0
OBS: 57828.35075 o NA 5.87760e+03 7.5371e+02 27.9 1 0
OBS: 57828.382544 o NA 7.93597e+03 8.3038e+02 47.0 1 0
