SURVEY: ATLAS
SNID: 2017aap
IACU: 2017aap
FILTERS: co
TYPE: 1
RA: 174.076292
DECL: 38.119222
PIXSIZE: 1.86
PEAKMJD: 57785.815497700125
REDSHIFT_HELIO: 0.11  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 109
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57746.604989 c NA 4.35311e+02 2.3264e+02 13.7 1 0
OBS: 57750.576475 c NA 4.73369e+02 2.8071e+02 16.4 1 0
OBS: 57762.524399 o NA 1.15771e+03 4.6779e+02 31.2 1 0
OBS: 57762.54746 o NA 1.18905e+03 4.9976e+02 29.6 1 0
OBS: 57762.559596 o NA 1.46285e+03 4.8831e+02 28.1 1 0
OBS: 57765.500822 o NA 1.97333e+03 9.4910e+02 53.7 1 0
OBS: 57765.526044 o NA 3.23892e+03 1.0772e+03 52.2 1 0
OBS: 57766.537377 o NA 2.47059e+03 8.4129e+02 46.6 1 0
OBS: 57766.554639 o NA 2.88935e+03 8.2111e+02 45.7 1 0
OBS: 57766.581605 o NA 1.78320e+03 6.8874e+02 46.6 1 0
OBS: 57774.510812 o NA 1.40475e+03 3.9178e+02 19.0 1 0
OBS: 57774.528511 o NA 2.74410e+03 4.5955e+02 19.2 1 0
OBS: 57774.536784 o NA 1.78484e+03 3.9936e+02 19.5 1 0
OBS: 57774.552496 o NA 2.16970e+03 4.4625e+02 19.5 1 0
OBS: 57774.565319 o NA 2.87078e+03 4.4529e+02 20.0 1 0
OBS: 57778.519863 c NA 2.61096e+03 3.2641e+02 13.6 1 0
OBS: 57778.523516 c NA 1.77337e+03 3.2260e+02 13.5 1 0
OBS: 57778.535303 c NA 2.16770e+03 3.2608e+02 13.5 1 0
OBS: 57778.553966 c NA 1.96426e+03 3.3046e+02 13.2 1 0
OBS: 57778.566756 c NA 1.66418e+03 3.1273e+02 13.2 1 0
OBS: 57782.49367 c NA 1.94089e+03 2.8130e+02 13.6 1 0
OBS: 57782.519521 c NA 1.70451e+03 2.9976e+02 13.1 1 0
OBS: 57782.531432 c NA 2.34207e+03 3.3020e+02 13.0 1 0
OBS: 57782.544508 c NA 1.76198e+03 2.8423e+02 13.0 1 0
OBS: 57782.559368 c NA 1.87932e+03 2.9588e+02 12.7 1 0
OBS: 57786.503809 c NA 1.53179e+03 3.1056e+02 13.2 1 0
OBS: 57786.520469 c NA 2.15377e+03 3.1215e+02 13.6 1 0
OBS: 57786.529913 c NA 1.83823e+03 3.6456e+02 15.0 1 0
OBS: 57786.538247 c NA 1.65501e+03 3.4884e+02 14.7 1 0
OBS: 57786.55623 c NA 1.59074e+03 3.0249e+02 13.2 1 0
OBS: 57794.451982 o NA 2.86814e+03 9.8536e+02 56.2 1 0
OBS: 57794.491548 o NA 7.97995e+03 2.4439e+03 45.7 1 0
OBS: 57794.526041 o NA 5.27716e+03 2.1982e+03 45.5 1 0
OBS: 57798.500665 o NA 4.75992e+03 1.2830e+03 34.2 1 0
OBS: 57798.503754 o NA 1.38931e+03 5.8690e+02 36.0 1 0
OBS: 57798.51779 o NA 1.01953e+03 5.2339e+02 35.8 1 0
OBS: 57798.529532 o NA 1.71396e+03 9.4270e+02 31.6 1 0
OBS: 57799.613176 o NA 1.47096e+03 8.5889e+02 28.7 1 0
OBS: 57801.548632 o NA 2.61818e+03 7.1623e+02 25.9 1 0
OBS: 57802.347904 o NA 1.84162e+03 6.2038e+02 21.2 1 0
OBS: 57802.348397 o NA 2.50726e+03 6.4518e+02 20.7 1 0
OBS: 57802.349422 o NA 1.05584e+03 5.5049e+02 21.0 1 0
OBS: 57802.365627 o NA 6.25749e+02 2.8408e+02 17.8 1 0
OBS: 57802.366122 o NA 1.32312e+03 3.6018e+02 17.9 1 0
OBS: 57802.367632 o NA 1.78649e+03 6.5304e+02 20.4 1 0
OBS: 57802.388263 o NA 1.96246e+03 5.2895e+02 19.6 1 0
OBS: 57802.389175 o NA 5.53605e+02 2.8618e+02 17.1 1 0
