SURVEY: ATLAS
SNID: 2017ad
IACU: 2017ad
FILTERS: co
TYPE: 1
RA: 173.704583
DECL: -38.14375
PIXSIZE: 1.86
PEAKMJD: 57750.375
REDSHIFT_HELIO: 0.032042  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 44
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57787.6575 c NA 4.40961e+03 8.6147e+02 21.6 1 0
OBS: 57787.672064 c NA 5.64937e+03 1.1370e+03 41.3 1 0
OBS: 57799.633367 o NA 7.33162e+03 1.0568e+03 43.7 1 0
OBS: 57799.648914 o NA 5.58213e+03 9.3912e+02 43.1 1 0
OBS: 57799.665165 o NA 5.66500e+03 1.2228e+03 53.5 1 0
OBS: 57807.645918 c NA 1.51775e+03 3.5897e+02 17.5 1 0
OBS: 57807.660959 c NA 2.07587e+03 5.9267e+02 27.0 1 0
OBS: 57819.6134 o NA 3.17980e+03 5.7844e+02 23.6 1 0
OBS: 57819.628362 o NA 1.93375e+03 4.7628e+02 24.2 1 0
OBS: 57819.643927 o NA 1.29300e+03 5.1246e+02 24.1 1 0
OBS: 57819.659058 o NA 3.94457e+03 1.1700e+03 58.3 1 0
OBS: 57831.585385 o NA 1.46960e+03 6.3554e+02 49.7 1 0
OBS: 57831.599405 o NA 2.36592e+03 7.2155e+02 50.4 1 0
OBS: 57831.628068 o NA 3.46737e+03 7.5593e+02 53.2 1 0
OBS: 57835.583311 c NA 2.45923e+03 5.1477e+02 28.6 1 0
OBS: 57835.61496 c NA 1.56171e+03 4.7027e+02 30.8 1 0
OBS: 57839.563895 c NA 1.98793e+03 4.3053e+02 23.6 1 0
OBS: 57839.579409 c NA 6.36209e+02 3.2375e+02 24.1 1 0
OBS: 57839.595402 c NA 1.95344e+03 4.3848e+02 24.7 1 0
OBS: 57839.61086 c NA 1.05390e+03 4.0287e+02 24.7 1 0
OBS: 57839.626786 c NA 1.30017e+03 4.7982e+02 25.7 1 0
OBS: 57847.574966 c NA 8.60597e+02 4.3362e+02 27.0 1 0
OBS: 57851.532024 o NA 1.96789e+03 7.5785e+02 67.9 1 0
OBS: 57859.546538 o NA 2.51189e+03 9.6164e+02 64.9 1 0
OBS: 57863.52696 c NA 1.11789e+03 4.6986e+02 34.8 1 0
OBS: 57863.539517 c NA 1.36019e+03 4.9562e+02 36.6 1 0
OBS: 57863.566265 c NA 1.98427e+03 6.3157e+02 40.7 1 0
OBS: 57871.486766 c NA 3.97741e+02 2.2870e+02 26.8 1 0
OBS: 57871.534106 c NA 9.18756e+02 2.5256e+02 28.1 1 0
OBS: 57879.483249 o NA 1.01018e+03 4.6165e+02 49.2 1 0
OBS: 57879.499496 o NA 9.10332e+02 4.1693e+02 50.1 1 0
OBS: 57895.444573 c NA 5.43000e+02 2.6090e+02 18.2 1 0
OBS: 57895.460822 c NA 1.68888e+03 3.4736e+02 19.1 1 0
OBS: 57903.440177 c NA 4.18023e+02 2.2483e+02 19.4 1 0
OBS: 57923.357776 o NA 1.65806e+04 5.9636e+03 130.6 1 0
OBS: 57923.37522 o NA 1.94089e+05 6.3712e+04 383.7 1 0
OBS: 57930.348067 o NA 9.44496e+02 4.2210e+02 26.1 1 0
OBS: 57930.365265 o NA 1.37025e+03 6.4046e+02 28.2 1 0
OBS: 57938.346575 o NA 2.18374e+03 1.0088e+03 53.2 1 0
OBS: 57940.362245 o NA 2.27196e+03 8.3977e+02 64.3 1 0
OBS: 57948.311973 o NA 7.10559e+02 2.9369e+02 27.8 1 0
OBS: 57948.319927 o NA 6.72977e+02 3.0213e+02 28.2 1 0
OBS: 57954.317582 o NA 7.62781e+02 3.3777e+02 24.5 1 0
OBS: 57960.282941 o NA 5.80764e+02 2.1601e+02 24.0 1 0
END_PHOTOMETRY:
