SURVEY: ATLAS
SNID: 2017adj
IACU: 2017adj
FILTERS: co
TYPE: 1
RA: 218.60903
DECL: -38.46986
PIXSIZE: 1.86
PEAKMJD: 57757.35999999987
REDSHIFT_HELIO: 0.033  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 218
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57783.651277 c NA 5.42001e+03 3.8036e+02 14.5 1 0
OBS: 57783.667294 c NA 3.20627e+03 5.1225e+02 21.0 1 0
OBS: 57783.677504 c NA 1.17166e+05 6.9391e+04 64.9 1 0
OBS: 57787.631682 c NA 1.26590e+04 4.1286e+02 14.4 1 0
OBS: 57787.639663 c NA 1.26474e+04 4.2374e+02 14.5 1 0
OBS: 57787.654039 c NA 1.25430e+04 4.3140e+02 14.7 1 0
OBS: 57787.668612 c NA 1.20559e+04 5.7437e+02 23.4 1 0
OBS: 57799.604049 o NA 1.74582e+04 1.4774e+03 49.0 1 0
OBS: 57799.619756 o NA 1.72982e+04 1.4638e+03 49.2 1 0
OBS: 57799.634897 o NA 1.73141e+04 1.3185e+03 49.4 1 0
OBS: 57799.650974 o NA 1.48730e+04 1.4824e+03 50.4 1 0
OBS: 57799.666256 o NA 1.36270e+04 1.8996e+03 59.7 1 0
OBS: 57803.625581 c NA 1.69981e+04 6.9011e+02 22.9 1 0
OBS: 57803.637264 c NA 1.77828e+04 6.4322e+02 23.0 1 0
OBS: 57803.648488 c NA 1.65501e+04 9.3299e+02 28.1 1 0
OBS: 57803.650531 c NA 1.62780e+04 9.8822e+02 26.7 1 0
OBS: 57803.657148 c NA 1.49142e+04 1.5236e+03 33.7 1 0
OBS: 57803.658676 c NA 1.54882e+04 1.2452e+03 34.2 1 0
OBS: 57803.663801 c NA 1.54739e+04 1.0062e+03 32.2 1 0
OBS: 57803.6643 c NA 1.72663e+04 9.7337e+02 33.9 1 0
OBS: 57807.613501 c NA 1.37658e+04 4.2440e+02 15.2 1 0
OBS: 57807.628728 c NA 1.42430e+04 4.0091e+02 15.6 1 0
OBS: 57807.643837 c NA 1.35270e+04 4.2910e+02 16.1 1 0
OBS: 57816.651245 o NA 7.16473e+03 7.4377e+02 23.6 1 0
OBS: 57816.665676 o NA 1.00277e+04 5.5153e+03 83.9 1 0
OBS: 57818.638959 o NA 8.45668e+03 6.4400e+02 18.8 1 0
OBS: 57818.643008 o NA 1.05584e+04 8.4888e+02 19.5 1 0
OBS: 57818.653415 o NA 7.04693e+03 9.5437e+02 30.6 1 0
OBS: 57818.657419 o NA 3.85834e+03 1.5227e+03 52.7 1 0
OBS: 57819.576274 o NA 8.48008e+03 5.3680e+02 19.8 1 0
OBS: 57819.591583 o NA 7.83430e+03 5.2964e+02 19.9 1 0
OBS: 57819.607082 o NA 8.06121e+03 5.1723e+02 20.9 1 0
OBS: 57819.622257 o NA 8.19596e+03 6.0320e+02 21.6 1 0
OBS: 57819.637235 o NA 6.79204e+03 5.6330e+02 21.9 1 0
OBS: 57820.621262 o NA 7.31139e+03 6.9227e+02 19.0 1 0
OBS: 57820.623355 o NA 7.53009e+03 1.0318e+03 21.2 1 0
OBS: 57820.635468 o NA 5.38518e+04 2.0494e+04 34.5 1 0
OBS: 57820.637426 o NA 4.45451e+03 1.1976e+03 26.9 1 0
OBS: 57820.650299 o NA 6.55239e+03 1.0214e+03 22.4 1 0
OBS: 57823.538302 o NA 9.53235e+03 1.0288e+03 49.0 1 0
OBS: 57823.555649 o NA 9.10332e+03 2.0304e+03 87.1 1 0
OBS: 57823.599092 o NA 7.84874e+03 1.1437e+03 52.0 1 0
OBS: 57828.614546 o NA 8.32530e+03 1.8330e+03 64.9 1 0
OBS: 57828.628034 o NA 6.51628e+03 2.1511e+03 67.0 1 0
OBS: 57828.641602 o NA 7.90679e+03 2.2209e+03 66.7 1 0
OBS: 57830.604723 o NA 4.80397e+03 9.5273e+02 33.9 1 0
OBS: 57830.618681 o NA 6.99520e+03 9.9729e+02 35.3 1 0
OBS: 57830.645862 o NA 4.06256e+03 1.1465e+03 45.3 1 0
OBS: 57831.555119 o NA 5.65979e+03 6.7094e+02 39.8 1 0
OBS: 57831.569706 o NA 4.08884e+03 6.5642e+02 40.9 1 0
OBS: 57831.583848 o NA 4.07756e+03 6.6720e+02 41.3 1 0
OBS: 57831.597857 o NA 5.47520e+03 6.8007e+02 42.3 1 0
OBS: 57831.612407 o NA 6.76083e+03 6.0623e+02 43.5 1 0
OBS: 57832.594871 o NA 6.02005e+03 8.8198e+02 26.4 1 0
OBS: 57832.623966 o NA 4.11908e+03 9.5680e+02 28.2 1 0
OBS: 57833.587473 o NA 4.58775e+03 6.5406e+02 24.9 1 0
OBS: 57833.601989 o NA 3.35429e+03 6.6275e+02 25.6 1 0
OBS: 57833.616652 o NA 3.49301e+03 7.1841e+02 26.2 1 0
OBS: 57833.630709 o NA 5.33089e+03 8.5994e+02 26.9 1 0
OBS: 57834.586294 o NA 5.44503e+03 7.1133e+02 21.7 1 0
