SURVEY: ATLAS
SNID: 2017ag
IACU: 2017ag
FILTERS: co
TYPE: 1
RA: 205.846917
DECL: -19.943681
PIXSIZE: 1.86
PEAKMJD: 57831.47599539999
REDSHIFT_HELIO: 0.03  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 91
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57756.596255 c NA 3.72563e+03 3.5586e+02 14.4 1 0
OBS: 57756.610034 c NA 3.80890e+03 3.8596e+02 14.5 1 0
OBS: 57756.626598 c NA 3.44509e+03 3.8876e+02 14.5 1 0
OBS: 57764.547727 o NA 2.58226e+03 9.4243e+02 48.5 1 0
OBS: 57764.58075 o NA 9.23847e+03 3.0212e+03 118.6 1 0
OBS: 57768.563184 o NA 3.53183e+03 1.1659e+03 58.3 1 0
OBS: 57768.579294 o NA 3.22701e+03 9.9857e+02 48.8 1 0
OBS: 57768.630679 o NA 3.15937e+03 1.0155e+03 52.0 1 0
OBS: 57776.544989 c NA 2.40104e+03 3.3851e+02 13.1 1 0
OBS: 57776.562365 c NA 1.69824e+03 3.2925e+02 13.7 1 0
OBS: 57776.577682 c NA 1.38803e+03 3.7692e+02 14.8 1 0
OBS: 57776.596941 c NA 1.58635e+03 3.7631e+02 15.1 1 0
OBS: 57780.535807 c NA 6.88018e+02 2.9028e+02 13.4 1 0
OBS: 57780.552488 c NA 1.56171e+03 3.0046e+02 13.4 1 0
OBS: 57780.57072 c NA 1.78320e+03 3.2707e+02 13.4 1 0
OBS: 57780.592309 c NA 1.70923e+03 3.0318e+02 14.1 1 0
OBS: 57784.521475 c NA 1.10053e+03 2.9737e+02 12.5 1 0
OBS: 57784.538885 c NA 1.01018e+03 2.9962e+02 12.8 1 0
OBS: 57784.557434 c NA 8.09841e+02 2.7822e+02 13.1 1 0
OBS: 57784.574859 c NA 1.27997e+03 2.9278e+02 13.5 1 0
OBS: 57788.501349 o NA 6.38557e+02 3.4098e+02 20.0 1 0
OBS: 57788.510068 o NA 1.75388e+03 4.0119e+02 19.2 1 0
OBS: 57788.522573 o NA 1.10357e+03 3.8842e+02 19.2 1 0
OBS: 57788.527133 o NA 1.58782e+03 4.0749e+02 19.1 1 0
OBS: 57788.528133 o NA 1.34524e+03 4.0335e+02 19.2 1 0
OBS: 57788.570492 o NA 7.16473e+02 3.7950e+02 19.2 1 0
OBS: 57788.571844 o NA 5.34564e+02 3.0737e+02 19.6 1 0
OBS: 57800.500643 o NA 2.08545e+03 9.6653e+02 32.2 1 0
OBS: 57800.501656 o NA 4.19566e+04 6.1376e+02 29.2 1 0
OBS: 57800.515291 o NA 1.06955e+03 4.8610e+02 29.8 1 0
OBS: 57800.535615 o NA 1.76848e+03 5.3025e+02 31.6 1 0
OBS: 57800.551513 o NA 2.54214e+03 5.7788e+02 33.0 1 0
OBS: 57804.46082 o NA 1.58928e+03 6.5774e+02 21.1 1 0
OBS: 57804.489468 o NA 2.46150e+03 7.9272e+02 21.7 1 0
OBS: 57804.50899 o NA 1.73780e+03 7.1356e+02 22.0 1 0
OBS: 57806.4551 o NA 1.51356e+03 6.7100e+02 21.7 1 0
OBS: 57806.469252 o NA 1.34772e+03 6.3782e+02 22.8 1 0
OBS: 57806.483008 o NA 1.45077e+03 6.4614e+02 23.2 1 0
OBS: 57808.466999 c NA 6.52229e+03 3.2788e+02 15.2 1 0
OBS: 57808.499211 c NA 3.64754e+02 2.1954e+02 15.8 1 0
OBS: 57808.516033 c NA 4.79071e+02 2.6508e+02 15.9 1 0
OBS: 57808.54608 c NA 1.03276e+03 3.7571e+02 17.3 1 0
OBS: 57816.386457 c NA 5.65458e+02 2.8774e+02 16.3 1 0
