SURVEY: ATLAS
SNID: 2017ar
IACU: 2017ar
FILTERS: co
TYPE: 1
RA: 31.460958
DECL: 18.37515
PIXSIZE: 1.86
PEAKMJD: 57757.28799769981
REDSHIFT_HELIO: 0.022  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 151
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57756.650716 c NA 2.14981e+03 3.8458e+02 15.4 1 0
OBS: 57756.663043 c NA 3.71193e+03 3.7613e+02 17.1 1 0
OBS: 57764.609387 o NA 3.16519e+03 1.1159e+03 45.5 1 0
OBS: 57764.61491 o NA 4.22280e+03 1.4251e+03 56.0 1 0
OBS: 57764.631554 o NA 1.87586e+03 6.5687e+02 34.7 1 0
OBS: 57764.642882 o NA 3.91922e+03 7.6857e+02 35.5 1 0
OBS: 57764.648564 o NA 4.72933e+03 8.3888e+02 36.6 1 0
OBS: 57764.659682 o NA 2.54683e+03 7.0691e+02 34.8 1 0
OBS: 57764.665302 o NA 3.99945e+03 1.5425e+03 33.6 1 0
OBS: 57764.676428 o NA 3.43558e+03 8.6755e+02 48.3 1 0
OBS: 57768.603176 o NA 3.93007e+03 1.0987e+03 45.9 1 0
OBS: 57768.624223 o NA 4.72498e+03 1.0875e+03 45.1 1 0
OBS: 57768.640728 o NA 3.76704e+03 1.1609e+03 44.1 1 0
OBS: 57768.656778 o NA 3.50268e+03 9.2754e+02 43.5 1 0
OBS: 57776.630499 c NA 2.94578e+03 3.8719e+02 15.3 1 0
OBS: 57776.647249 c NA 3.02273e+03 3.5833e+02 15.6 1 0
OBS: 57776.65896 c NA 2.76694e+03 3.5482e+02 16.1 1 0
OBS: 57780.620259 c NA 2.06443e+03 3.7399e+02 13.7 1 0
OBS: 57780.640914 c NA 2.36157e+03 3.4413e+02 13.9 1 0
OBS: 57780.65684 c NA 3.01439e+03 3.7442e+02 14.5 1 0
OBS: 57780.671992 c NA 2.41435e+03 7.3012e+02 31.0 1 0
OBS: 57784.600006 c NA 1.26241e+03 3.1530e+02 13.7 1 0
OBS: 57784.642523 c NA 2.13599e+03 3.7402e+02 14.6 1 0
OBS: 57784.650044 c NA 1.44677e+03 3.5332e+02 14.9 1 0
OBS: 57784.670436 c NA 2.71894e+03 6.9219e+02 27.2 1 0
OBS: 57788.584984 o NA 2.01187e+03 4.6875e+02 18.3 1 0
OBS: 57788.591215 o NA 1.90195e+03 4.6580e+02 17.9 1 0
OBS: 57788.602663 o NA 2.21820e+03 5.0739e+02 18.0 1 0
OBS: 57788.609645 o NA 2.44794e+03 4.6001e+02 18.3 1 0
OBS: 57788.618794 o NA 2.06824e+03 4.4194e+02 18.5 1 0
OBS: 57788.620682 o NA 1.58928e+03 4.8163e+02 18.8 1 0
OBS: 57788.631762 o NA 1.58782e+03 4.2904e+02 19.0 1 0
OBS: 57788.638016 o NA 1.19344e+03 4.3136e+02 18.6 1 0
OBS: 57788.654086 o NA 2.06443e+03 5.1419e+02 19.7 1 0
OBS: 57788.655554 o NA 1.30497e+03 4.3240e+02 19.4 1 0
OBS: 57792.599155 o NA 1.11995e+03 5.6174e+02 33.7 1 0
OBS: 57792.615916 o NA 1.42955e+03 5.3254e+02 30.6 1 0
OBS: 57792.633639 o NA 1.44677e+03 4.6321e+02 23.3 1 0
OBS: 57792.651818 o NA 3.07893e+03 4.9667e+02 24.1 1 0
OBS: 57800.573661 o NA 3.05351e+03 7.7317e+02 32.5 1 0
OBS: 57800.587188 o NA 2.73905e+03 7.4562e+02 33.4 1 0
OBS: 57800.595267 o NA 1.48594e+03 6.4879e+02 31.9 1 0
OBS: 57800.60299 o NA 1.54312e+03 6.1330e+02 32.7 1 0
OBS: 57800.606987 o NA 3.53183e+03 7.2381e+02 32.5 1 0
OBS: 57800.623166 o NA 2.31633e+03 6.7951e+02 33.7 1 0
OBS: 57800.629651 o NA 1.49417e+03 6.5161e+02 33.7 1 0
OBS: 57800.648239 o NA 1.34524e+03 6.6227e+02 35.6 1 0
OBS: 57804.588992 o NA 2.21615e+03 7.7071e+02 25.4 1 0
OBS: 57804.597393 c NA 1.09850e+03 3.9316e+02 18.9 1 0
OBS: 57804.602869 o NA 3.68468e+03 1.3684e+03 32.2 1 0
OBS: 57804.611716 c NA 6.03671e+02 3.2825e+02 19.6 1 0
OBS: 57804.634168 c NA 7.46105e+02 4.1191e+02 20.3 1 0
OBS: 57806.5786 o NA 1.60694e+03 6.6765e+02 24.0 1 0
OBS: 57806.606367 o NA 1.52616e+03 8.1756e+02 25.8 1 0
OBS: 57808.550583 c NA 4.24620e+02 2.4875e+02 16.0 1 0
OBS: 57808.56241 c NA 4.45451e+02 2.5787e+02 16.0 1 0
OBS: 57808.592849 c NA 1.07647e+03 5.9563e+02 22.7 1 0
OBS: 57810.578996 o NA 1.58635e+05 5.0093e+04 110.2 1 0
OBS: 57816.490105 c NA 4.97508e+02 2.7671e+02 13.8 1 0
OBS: 57816.520849 c NA 7.71969e+02 2.7902e+02 13.9 1 0
OBS: 57816.527649 c NA 5.64417e+02 2.6821e+02 14.0 1 0
OBS: 57816.547841 o NA 8.44890e+02 4.6224e+02 18.4 1 0
OBS: 57816.567041 o NA 2.36810e+03 7.0851e+02 17.9 1 0
OBS: 57816.595896 o NA 1.20893e+03 6.6643e+02 18.5 1 0
OBS: 57818.596185 o NA 2.64728e+03 1.2347e+03 18.3 1 0
OBS: 57828.507354 o NA 1.76848e+03 8.7394e+02 38.9 1 0
OBS: 57828.510428 o NA 2.04174e+03 7.2954e+02 49.2 1 0
OBS: 57828.521565 o NA 8.82267e+03 4.9215e+03 69.5 1 0
OBS: 57828.526543 o NA 2.88403e+03 1.3816e+03 36.1 1 0
OBS: 57828.540342 o NA 1.59074e+04 2.1670e+03 36.0 1 0
OBS: 57828.572179 o NA 2.35505e+03 9.2944e+02 55.5 1 0
OBS: 57830.503499 o NA 7.93597e+02 4.6611e+02 26.9 1 0
OBS: 57832.491353 o NA 1.12202e+03 4.7755e+02 23.2 1 0
OBS: 57832.491921 o NA 1.53179e+03 4.7789e+02 33.6 1 0
OBS: 57832.496885 o NA 2.07778e+03 5.2468e+02 32.7 1 0
OBS: 57832.50636 o NA 8.92072e+02 4.7712e+02 23.9 1 0
OBS: 57832.560186 o NA 9.13692e+02 4.8475e+02 38.2 1 0
