SURVEY: ATLAS
SNID: 2017bcb
IACU: 2017bcb
FILTERS: co
TYPE: 1
RA: 65.707125
DECL: -82.069358
PIXSIZE: 1.86
PEAKMJD: 57805.02231479995
REDSHIFT_HELIO: 0.02  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 107
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57757.558341 c NA 7.76247e+02 3.0549e+02 13.9 1 0
OBS: 57761.541792 o NA 1.00647e+03 4.2141e+02 22.1 1 0
OBS: 57765.469382 o NA 4.52898e+03 2.0878e+03 59.7 1 0
OBS: 57765.529341 o NA 2.35288e+03 1.0575e+03 53.5 1 0
OBS: 57769.573995 o NA 1.00832e+03 5.5334e+02 36.8 1 0
OBS: 57777.555579 c NA 8.79023e+02 3.0464e+02 12.9 1 0
OBS: 57777.558132 c NA 6.66807e+02 3.0138e+02 13.0 1 0
OBS: 57777.574594 c NA 7.89223e+03 2.8942e+03 13.1 1 0
OBS: 57781.524458 c NA 4.56667e+02 2.5585e+02 12.8 1 0
OBS: 57781.578371 c NA 5.30152e+02 2.6125e+02 12.9 1 0
OBS: 57789.477367 o NA 1.62480e+03 4.9031e+02 23.6 1 0
OBS: 57789.497898 o NA 1.16305e+03 4.4460e+02 20.6 1 0
OBS: 57789.504133 o NA 8.61390e+02 3.4711e+02 19.2 1 0
OBS: 57793.443571 o NA 2.87078e+03 1.1912e+03 48.3 1 0
OBS: 57793.445911 o NA 2.38122e+03 1.1566e+03 48.3 1 0
OBS: 57793.478361 o NA 1.77992e+03 1.0255e+03 47.2 1 0
OBS: 57797.469996 o NA 2.99226e+03 1.1642e+03 46.3 1 0
OBS: 57797.481791 o NA 3.63747e+03 7.5079e+02 45.5 1 0
OBS: 57797.502482 o NA 1.97151e+03 7.1953e+02 46.8 1 0
OBS: 57797.519291 o NA 5.20475e+03 1.5940e+03 42.1 1 0
OBS: 57797.528905 o NA 1.14183e+03 6.2039e+02 46.6 1 0
OBS: 57799.528477 o NA 2.17370e+03 9.9772e+02 27.2 1 0
OBS: 57799.530616 o NA 1.37658e+03 8.2093e+02 26.8 1 0
OBS: 57799.558836 o NA 3.29610e+03 1.4528e+03 27.9 1 0
OBS: 57801.479539 o NA 9.89008e+02 4.0341e+02 23.0 1 0
OBS: 57801.49097 o NA 1.46825e+03 4.3263e+02 23.2 1 0
OBS: 57801.492464 o NA 9.05316e+02 3.7663e+02 23.1 1 0
