SURVEY: ATLAS
SNID: 2017bgp
IACU: 2017bgp
FILTERS: co
TYPE: 1
RA: 184.961923089
DECL: -6.8555604185
PIXSIZE: 1.86
PEAKMJD: 57758.5
REDSHIFT_HELIO: 0.027  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 121
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57765.464596 o NA 2.07778e+03 9.2857e+02 59.2 1 0
OBS: 57765.476788 o NA 1.75065e+03 1.0168e+03 58.1 1 0
OBS: 57794.430484 o NA 3.11602e+03 1.4882e+03 59.2 1 0
OBS: 57794.44175 o NA 2.58702e+03 1.1693e+03 58.9 1 0
OBS: 57794.470173 o NA 2.34639e+03 1.2620e+03 58.6 1 0
OBS: 57794.478344 o NA 1.85012e+03 1.0652e+03 55.2 1 0
OBS: 57794.501043 o NA 4.49159e+03 2.6952e+03 50.6 1 0
OBS: 57798.472294 o NA 3.36977e+03 8.0410e+02 33.3 1 0
OBS: 57798.483195 o NA 1.24051e+03 6.1706e+02 33.3 1 0
OBS: 57798.495431 o NA 5.87760e+03 6.8721e+02 33.1 1 0
OBS: 57799.516543 o NA 3.33273e+03 1.0816e+03 25.9 1 0
OBS: 57801.541081 o NA 2.65950e+03 9.3922e+02 25.8 1 0
OBS: 57802.476274 o NA 4.92040e+03 5.1079e+02 22.1 1 0
OBS: 57802.487854 o NA 5.46512e+03 4.5787e+02 22.9 1 0
OBS: 57802.490341 o NA 3.83001e+03 4.8190e+02 22.8 1 0
OBS: 57802.512678 o NA 1.41775e+03 4.6627e+02 23.8 1 0
OBS: 57803.507539 o NA 6.24022e+03 8.6000e+02 22.0 1 0
OBS: 57803.51863 o NA 6.07016e+04 1.2176e+03 22.2 1 0
OBS: 57805.4834 o NA 6.66807e+03 1.0705e+03 22.4 1 0
OBS: 57805.507358 o NA 3.45462e+03 1.1827e+03 22.8 1 0
OBS: 57805.519181 o NA 5.32108e+03 9.6396e+02 22.8 1 0
OBS: 57806.441862 c NA 8.83894e+03 5.0596e+02 13.6 1 0
OBS: 57806.45251 c NA 8.79023e+03 3.8789e+02 13.7 1 0
OBS: 57806.45858 c NA 7.13839e+03 6.1610e+02 13.6 1 0
OBS: 57806.470283 c NA 6.24597e+03 5.4958e+02 13.6 1 0
OBS: 57806.47362 c NA 9.02818e+03 5.6370e+02 13.7 1 0
OBS: 57806.474619 c NA 6.40324e+03 3.8874e+02 14.0 1 0
OBS: 57806.484899 c NA 6.07575e+03 3.8984e+02 13.9 1 0
OBS: 57806.495088 c NA 6.63132e+03 4.5400e+02 13.7 1 0
OBS: 57806.497584 c NA 6.51628e+03 4.0686e+02 14.0 1 0
OBS: 57806.506747 c NA 1.02235e+04 5.3181e+02 13.9 1 0
OBS: 57807.467057 o NA 9.13692e+03 9.3341e+02 18.9 1 0
OBS: 57807.476329 o NA 2.94849e+03 7.2211e+02 19.0 1 0
OBS: 57807.488819 o NA 6.75461e+03 7.4010e+02 19.2 1 0
OBS: 57807.501284 o NA 3.78094e+03 7.4426e+02 18.7 1 0
OBS: 57807.513706 o NA 3.83001e+03 7.3687e+02 18.8 1 0
OBS: 57817.375389 c NA 8.11335e+03 4.5738e+02 20.1 1 0
OBS: 57817.384881 c NA 9.06985e+03 4.8762e+02 19.9 1 0
OBS: 57817.400089 c NA 9.70063e+03 4.7916e+02 19.4 1 0
OBS: 57817.422589 c NA 9.89920e+03 4.6294e+02 18.4 1 0
OBS: 57817.433947 c NA 1.01298e+04 4.2915e+02 17.5 1 0
OBS: 57817.436425 o NA 1.00369e+04 6.6992e+02 19.6 1 0
OBS: 57817.448843 o NA 1.18032e+04 6.0367e+02 18.6 1 0
OBS: 57817.461699 o NA 7.82708e+03 6.0936e+02 17.6 1 0
OBS: 57817.473756 o NA 1.05779e+04 6.3302e+02 17.6 1 0
OBS: 57818.446963 o NA 8.29469e+03 6.3167e+02 23.0 1 0
OBS: 57818.458332 o NA 5.73324e+03 6.6100e+02 22.7 1 0
OBS: 57818.460244 o NA 1.94446e+04 8.8179e+03 22.3 1 0
OBS: 57818.477118 o NA 3.16519e+03 5.0814e+02 21.4 1 0
OBS: 57818.482003 o NA 7.78395e+03 6.3899e+02 20.9 1 0
OBS: 57818.492893 o NA 6.57658e+03 5.2317e+02 19.1 1 0
OBS: 57819.423756 o NA 5.03501e+03 8.5093e+02 27.9 1 0
OBS: 57819.438774 o NA 6.26902e+03 8.0390e+02 28.4 1 0
OBS: 57819.450392 o NA 2.63269e+03 7.0250e+02 28.1 1 0
OBS: 57819.462861 o NA 5.04429e+03 7.4695e+02 28.2 1 0
OBS: 57827.430257 o NA 5.71742e+03 9.3112e+02 31.5 1 0
OBS: 57829.416221 o NA 5.39511e+03 7.6917e+02 25.9 1 0
OBS: 57829.441429 o NA 3.54160e+03 7.0499e+02 26.1 1 0
OBS: 57829.454201 o NA 3.78094e+03 7.0201e+02 26.1 1 0
OBS: 57830.411123 o NA 2.14585e+03 4.9693e+02 32.1 1 0
OBS: 57830.419548 o NA 1.95704e+03 4.9688e+02 33.1 1 0
OBS: 57830.425417 o NA 2.90536e+03 4.6643e+02 33.6 1 0
OBS: 57830.43513 o NA 2.69153e+03 6.0992e+02 34.5 1 0
OBS: 57831.408925 o NA 2.69898e+03 5.3128e+02 18.6 1 0
OBS: 57831.421333 o NA 2.05494e+03 6.0283e+02 19.8 1 0
OBS: 57831.434223 o NA 4.34110e+03 5.3921e+02 20.9 1 0
OBS: 57831.447221 o NA 2.71644e+03 5.4474e+02 21.6 1 0
OBS: 57834.420326 c NA 2.21820e+03 4.5297e+02 20.1 1 0
OBS: 57834.435427 c NA 6.57052e+02 3.7625e+02 20.0 1 0
OBS: 57834.446314 c NA 1.56747e+03 3.9905e+02 19.9 1 0
OBS: 57835.409683 o NA 2.36157e+03 5.8329e+02 18.2 1 0
OBS: 57835.422279 o NA 1.84332e+03 5.2019e+02 18.4 1 0
OBS: 57835.434848 o NA 1.57761e+03 4.8818e+02 18.4 1 0
OBS: 57838.408706 c NA 1.05584e+03 3.5568e+02 18.8 1 0
OBS: 57838.439662 c NA 7.94328e+02 3.8280e+02 18.8 1 0
OBS: 57840.37927 o NA 1.39187e+03 4.9651e+02 19.3 1 0
OBS: 57850.374862 o NA 3.64083e+03 8.9673e+02 59.4 1 0
OBS: 57850.383696 o NA 2.78227e+03 9.3386e+02 60.0 1 0
OBS: 57850.389987 o NA 4.55407e+03 9.2997e+02 60.3 1 0
OBS: 57850.399036 o NA 2.16371e+03 7.9599e+02 60.5 1 0
OBS: 57852.373648 o NA 8.73373e+04 3.7000e+03 44.7 1 0
OBS: 57854.360014 o NA 3.85123e+03 1.1147e+03 70.5 1 0
OBS: 57858.365638 o NA 9.62942e+02 5.6300e+02 42.5 1 0
OBS: 57858.368616 o NA 1.69824e+03 5.7208e+02 39.6 1 0
OBS: 57858.390348 o NA 1.60546e+03 6.2732e+02 45.3 1 0
OBS: 57859.366857 o NA 9.12011e+02 5.2795e+02 34.7 1 0
OBS: 57862.393493 c NA 3.07610e+03 3.9939e+02 20.9 1 0
OBS: 57862.406739 c NA 3.51560e+03 4.3384e+02 21.1 1 0
OBS: 57862.410394 c NA 2.14783e+03 4.1003e+02 21.4 1 0
OBS: 57862.426308 c NA 2.30569e+03 4.6237e+02 22.5 1 0
OBS: 57862.429886 c NA 3.20627e+03 4.4950e+02 22.8 1 0
OBS: 57863.482814 o NA 9.81748e+02 5.2128e+02 34.2 1 0
OBS: 57867.473244 o NA 3.29306e+04 1.0585e+04 129.4 1 0
OBS: 57868.497107 o NA 7.09905e+04 1.8074e+03 44.9 1 0
OBS: 57870.400615 c NA 6.07575e+02 1.7824e+02 23.0 1 0
OBS: 57870.417907 c NA 4.61318e+02 1.6511e+02 23.9 1 0
OBS: 57870.421712 c NA 7.11214e+02 2.2771e+02 24.0 1 0
OBS: 57870.43895 c NA 1.52616e+03 2.1517e+02 25.8 1 0
OBS: 57880.254392 o NA 2.09122e+03 5.1796e+02 36.6 1 0
OBS: 57880.270728 o NA 1.97515e+03 4.8236e+02 36.3 1 0
OBS: 57880.287396 o NA 2.77460e+03 4.5614e+02 35.8 1 0
OBS: 57880.302002 o NA 2.62301e+03 5.2600e+02 36.0 1 0
OBS: 57882.356578 o NA 1.04424e+03 4.2137e+02 42.9 1 0
OBS: 57887.250132 o NA 1.48868e+03 3.3628e+02 22.7 1 0
OBS: 57887.255022 o NA 9.17910e+02 3.1535e+02 22.2 1 0
OBS: 57887.271883 o NA 1.16520e+03 2.8941e+02 22.2 1 0
OBS: 57887.288514 o NA 4.42996e+02 2.4236e+02 22.8 1 0
OBS: 57898.348584 c NA 1.38931e+03 2.6212e+02 17.1 1 0
OBS: 57902.301179 c NA 1.21004e+03 3.2859e+02 23.6 1 0
OBS: 57910.263769 o NA 1.18359e+03 5.6926e+02 39.4 1 0
OBS: 57918.285397 o NA 9.29822e+03 2.6608e+03 23.6 1 0
OBS: 57922.265077 o NA 1.29778e+04 1.4113e+03 68.2 1 0
OBS: 57925.256354 o NA 5.60273e+02 2.8307e+02 27.2 1 0
OBS: 57925.266679 o NA 4.27760e+03 3.1847e+02 21.2 1 0
OBS: 57925.271795 o NA 1.82810e+03 2.6927e+02 20.3 1 0
OBS: 57927.268055 o NA 1.85183e+03 2.7421e+02 25.1 1 0
OBS: 57929.253951 o NA 1.26241e+03 4.5107e+02 34.7 1 0
OBS: 57929.272852 o NA 1.97879e+03 3.3896e+02 23.2 1 0
OBS: 57933.253383 o NA 1.76848e+03 5.5732e+02 44.5 1 0
OBS: 57933.267139 o NA 3.37598e+03 3.9746e+02 26.3 1 0
OBS: 57933.272797 o NA 3.56451e+03 4.2256e+02 26.1 1 0
END_PHOTOMETRY:
