SURVEY: ATLAS
SNID: 2017byb
IACU: 2017byb
FILTERS: co
TYPE: 1
RA: 161.53063
DECL: 44.72493
PIXSIZE: 1.86
PEAKMJD: 57805.52000000002
REDSHIFT_HELIO: 0.047  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 177
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57776.561813 c NA 7.26440e+02 3.0842e+02 14.9 1 0
OBS: 57780.48531 c NA 6.54636e+02 3.0048e+02 14.3 1 0
OBS: 57780.518502 c NA 4.32116e+02 2.5314e+02 14.3 1 0
OBS: 57784.47094 c NA 7.74105e+02 2.7476e+02 13.2 1 0
OBS: 57800.409708 o NA 2.86550e+03 1.0757e+03 28.8 1 0
OBS: 57800.463741 o NA 1.00647e+03 4.9124e+02 29.0 1 0
OBS: 57800.515825 o NA 1.18032e+03 5.6429e+02 32.2 1 0
OBS: 57804.382962 o NA 6.02005e+03 2.2217e+03 40.6 1 0
OBS: 57804.397901 o NA 2.82618e+03 1.3807e+03 27.7 1 0
OBS: 57804.42752 o NA 8.92072e+03 2.3441e+03 44.5 1 0
OBS: 57804.432738 o NA 2.50726e+03 1.2849e+03 35.5 1 0
OBS: 57804.444185 c NA 1.73301e+03 5.2408e+02 23.7 1 0
OBS: 57804.446904 o NA 1.12099e+03 6.7471e+02 23.9 1 0
OBS: 57804.474329 c NA 1.10255e+03 5.6105e+02 16.4 1 0
OBS: 57810.365676 o NA 2.64972e+04 8.3838e+03 69.8 1 0
OBS: 57810.41028 o NA 3.16811e+04 8.6879e+03 80.2 1 0
OBS: 57816.329787 c NA 3.80540e+03 4.4493e+02 18.2 1 0
OBS: 57816.362236 c NA 3.80189e+03 4.0720e+02 17.7 1 0
OBS: 57816.364468 o NA 3.76704e+03 8.0494e+02 20.0 1 0
OBS: 57816.376072 c NA 3.93731e+03 4.1523e+02 17.3 1 0
OBS: 57816.394741 o NA 2.31846e+03 6.4660e+02 19.1 1 0
OBS: 57816.396831 c NA 3.45780e+03 3.9302e+02 16.1 1 0
OBS: 57818.383847 o NA 6.60085e+03 1.3961e+03 25.5 1 0
OBS: 57818.398805 o NA 1.20559e+04 1.5072e+03 25.7 1 0
OBS: 57820.346562 o NA 1.65806e+06 7.8710e+05 1361.4 1 0
OBS: 57820.361815 o NA 8.88792e+04 3.7546e+04 376.7 1 0
OBS: 57826.42209 o NA 1.01672e+04 1.2382e+03 43.5 1 0
OBS: 57826.43633 o NA 1.11892e+04 1.1800e+03 44.9 1 0
OBS: 57826.437795 o NA 1.29778e+04 1.3686e+03 64.9 1 0
OBS: 57826.449987 o NA 1.20226e+04 1.3665e+03 47.6 1 0
OBS: 57826.452869 o NA 1.11584e+04 1.2226e+03 69.2 1 0
OBS: 57826.463369 o NA 9.88098e+03 1.3224e+03 50.6 1 0
OBS: 57826.466852 o NA 1.13344e+04 1.1579e+03 74.8 1 0
OBS: 57826.480978 o NA 9.73644e+03 1.8949e+03 80.5 1 0
OBS: 57827.457384 o NA 1.13763e+04 1.1810e+03 60.5 1 0
OBS: 57827.46785 o NA 1.04424e+04 1.2294e+03 63.7 1 0
OBS: 57828.329204 o NA 8.37144e+03 8.5521e+02 22.8 1 0
OBS: 57828.343841 o NA 8.14329e+03 9.5211e+02 25.7 1 0
OBS: 57828.358249 o NA 8.68560e+03 1.0508e+03 27.5 1 0
OBS: 57828.361511 o NA 1.43747e+04 2.6041e+03 61.9 1 0
OBS: 57828.372793 o NA 7.30466e+03 1.2345e+03 28.2 1 0
OBS: 57828.379695 o NA 8.78213e+03 9.2616e+02 46.8 1 0
OBS: 57828.380915 o NA 1.37531e+04 1.5182e+03 45.1 1 0
OBS: 57828.39719 o NA 1.13553e+04 1.8493e+03 51.3 1 0
OBS: 57828.398368 o NA 1.12512e+04 1.4338e+03 48.1 1 0
OBS: 57828.41475 o NA 1.05682e+04 1.0270e+03 47.4 1 0
OBS: 57828.432334 o NA 1.18796e+04 3.6533e+03 124.2 1 0
OBS: 57828.450903 o NA 1.92841e+04 6.9928e+03 105.7 1 0
OBS: 57830.299267 o NA 1.12928e+04 6.6602e+02 18.9 1 0
OBS: 57830.31436 o NA 1.09245e+04 6.3482e+02 18.5 1 0
OBS: 57830.328981 o NA 9.12011e+03 6.0089e+02 18.4 1 0
OBS: 57830.344016 o NA 1.10561e+04 6.0404e+02 18.8 1 0
OBS: 57832.287208 o NA 1.20116e+04 6.3530e+02 21.9 1 0
OBS: 57832.303024 o NA 1.28706e+04 6.9196e+02 21.4 1 0
OBS: 57832.318559 o NA 1.10561e+04 6.2327e+02 21.1 1 0
OBS: 57832.334044 o NA 1.05003e+04 5.9194e+02 21.2 1 0
OBS: 57832.351262 o NA 1.14288e+04 5.3447e+02 29.6 1 0
OBS: 57832.367492 o NA 1.10764e+04 5.0826e+02 30.1 1 0
OBS: 57832.38534 o NA 1.13553e+04 5.2106e+02 30.9 1 0
OBS: 57832.403315 o NA 1.21339e+04 5.5678e+02 31.8 1 0
OBS: 57832.421339 o NA 1.37278e+04 5.8158e+02 33.1 1 0
OBS: 57833.283636 o NA 1.05779e+04 6.5133e+02 20.6 1 0
OBS: 57833.299021 o NA 1.03848e+04 6.0347e+02 20.6 1 0
OBS: 57833.314531 o NA 1.07547e+04 5.8757e+02 20.6 1 0
OBS: 57833.32996 o NA 1.02896e+04 6.0686e+02 20.5 1 0
OBS: 57834.315221 o NA 9.54113e+03 7.1846e+02 21.9 1 0
OBS: 57834.330225 o NA 1.05682e+04 7.5973e+02 22.1 1 0
OBS: 57836.358634 c NA 7.81988e+03 5.8219e+02 22.6 1 0
OBS: 57836.370233 c NA 8.12082e+03 5.0705e+02 22.1 1 0
OBS: 57836.374437 c NA 8.56643e+03 5.3487e+02 22.9 1 0
OBS: 57836.386084 c NA 6.89922e+03 4.7826e+02 22.8 1 0
OBS: 57836.390314 c NA 7.95793e+03 5.3799e+02 23.8 1 0
OBS: 57836.401451 c NA 7.56484e+03 6.1460e+02 23.8 1 0
OBS: 57836.405753 c NA 7.90679e+03 5.4810e+02 24.9 1 0
OBS: 57836.417512 c NA 7.67715e+03 5.1901e+02 24.3 1 0
OBS: 57836.421758 c NA 7.74819e+03 4.9715e+02 25.7 1 0
OBS: 57836.433568 c NA 8.30998e+03 5.8317e+02 25.6 1 0
OBS: 57837.303507 o NA 1.05877e+04 7.4302e+02 24.8 1 0
OBS: 57837.318675 o NA 9.23847e+03 7.1925e+02 24.2 1 0
OBS: 57838.267226 o NA 1.15452e+04 8.0032e+02 19.9 1 0
OBS: 57838.283422 o NA 1.05390e+04 7.2154e+02 19.5 1 0
OBS: 57838.298539 o NA 1.05196e+04 7.1118e+02 19.3 1 0
OBS: 57838.313668 o NA 8.59014e+03 7.6305e+02 19.3 1 0
OBS: 57840.346992 c NA 5.76501e+03 5.1693e+02 21.7 1 0
OBS: 57840.358483 c NA 6.77330e+03 5.1581e+02 23.8 1 0
OBS: 57840.363647 c NA 6.30957e+03 5.0193e+02 23.3 1 0
OBS: 57840.37523 c NA 6.58264e+03 5.0129e+02 22.5 1 0
OBS: 57840.38048 c NA 6.53431e+03 6.4045e+02 25.2 1 0
OBS: 57840.392026 c NA 5.78096e+03 5.7621e+02 22.7 1 0
OBS: 57840.397225 c NA 5.66500e+03 4.7939e+02 23.9 1 0
OBS: 57840.408787 c NA 6.08135e+03 5.2487e+02 23.6 1 0
OBS: 57840.413497 c NA 5.50554e+03 6.0775e+02 25.2 1 0
OBS: 57842.256514 o NA 8.51138e+03 6.9150e+02 20.0 1 0
OBS: 57842.272818 o NA 8.22621e+03 6.1244e+02 20.7 1 0
OBS: 57842.289213 o NA 7.41310e+03 6.3981e+02 20.7 1 0
OBS: 57842.305095 o NA 8.40234e+03 6.7553e+02 19.7 1 0
OBS: 57844.320487 c NA 4.82170e+03 4.8859e+02 17.7 1 0
