SURVEY: ATLAS
SNID: 2017cal
IACU: 2017cal
FILTERS: co
TYPE: 1
RA: 332.860875
DECL: -18.364639
PIXSIZE: 1.86
PEAKMJD: 57846.02699070005
REDSHIFT_HELIO: 0.045  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 214
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57833.629473 c NA 2.06063e+04 5.9847e+02 27.4 1 0
OBS: 57833.646785 c NA 2.18374e+04 7.1219e+02 35.0 1 0
OBS: 57841.60755 c NA 1.59221e+04 5.4762e+02 20.3 1 0
OBS: 57841.625838 c NA 1.46420e+04 4.7753e+02 20.1 1 0
OBS: 57841.643309 c NA 1.32312e+04 6.3037e+02 33.9 1 0
OBS: 57853.511342 o NA 2.09122e+04 6.2702e+03 182.8 1 0
OBS: 57853.530475 o NA 3.23892e+04 1.1167e+04 193.2 1 0
OBS: 57853.539765 o NA 2.37684e+04 5.0443e+03 123.6 1 0
OBS: 57853.541222 o NA 1.30737e+04 1.8018e+03 97.3 1 0
OBS: 57853.550798 o NA 1.14604e+04 2.1793e+03 114.3 1 0
OBS: 57853.553981 o NA 7.71259e+03 1.5296e+03 94.2 1 0
OBS: 57853.565293 o NA 5.85599e+04 2.0118e+04 361.4 1 0
OBS: 57853.568218 o NA 3.63747e+04 1.8094e+04 358.1 1 0
OBS: 57877.526005 o NA 3.81241e+03 2.9681e+02 20.2 1 0
OBS: 57877.540616 o NA 8.09841e+03 4.0711e+02 20.5 1 0
OBS: 57877.566199 o NA 5.65979e+03 4.1171e+02 21.3 1 0
OBS: 57877.58359 o NA 4.67305e+03 3.9151e+02 21.6 1 0
OBS: 57877.603902 o NA 4.47920e+03 4.8343e+02 21.2 1 0
OBS: 57879.601112 o NA 3.57437e+03 3.1751e+02 20.8 1 0
OBS: 57879.618681 o NA 3.93369e+03 4.3424e+02 27.5 1 0
OBS: 57880.593304 o NA 4.46684e+03 4.5632e+02 21.6 1 0
OBS: 57880.610319 o NA 4.19566e+03 4.3209e+02 22.6 1 0
OBS: 57880.62812 o NA 3.41665e+03 1.2409e+03 84.7 1 0
OBS: 57882.487589 o NA 4.52064e+03 6.7649e+02 39.4 1 0
OBS: 57882.499912 o NA 4.52064e+03 7.9158e+02 40.4 1 0
OBS: 57882.51222 o NA 4.20339e+03 7.1038e+02 40.4 1 0
OBS: 57883.60068 o NA 4.23838e+03 6.1428e+02 47.9 1 0
OBS: 57883.604552 o NA 2.63512e+03 6.7988e+02 44.3 1 0
OBS: 57883.617456 o NA 3.59087e+03 7.6729e+02 51.3 1 0
OBS: 57883.621384 o NA 3.87258e+03 9.8854e+02 54.7 1 0
OBS: 57884.571189 o NA 4.46272e+03 7.6444e+02 44.9 1 0
OBS: 57884.587678 o NA 6.72357e+03 7.3118e+02 45.7 1 0
OBS: 57884.604089 o NA 4.89779e+03 7.0985e+02 47.0 1 0
OBS: 57884.620528 o NA 4.76431e+03 9.2370e+02 53.7 1 0
OBS: 57885.50592 o NA 3.04229e+03 6.4345e+02 45.1 1 0
OBS: 57885.519796 o NA 1.70137e+03 5.4153e+02 42.5 1 0
OBS: 57885.526959 o NA 4.43813e+03 5.8335e+02 43.5 1 0
OBS: 57885.535699 o NA 1.72822e+03 5.8007e+02 42.5 1 0
OBS: 57885.547962 o NA 2.47970e+03 6.2104e+02 42.3 1 0
OBS: 57885.550481 o NA 4.42181e+03 6.1291e+02 43.5 1 0
OBS: 57885.558459 o NA 5.61824e+03 5.5999e+02 43.5 1 0
OBS: 57885.571925 o NA 2.72396e+03 5.8008e+02 43.5 1 0
OBS: 57887.563439 o NA 4.33311e+03 6.8557e+02 36.6 1 0
OBS: 57887.580262 o NA 3.02552e+03 6.5087e+02 37.3 1 0
OBS: 57887.59723 o NA 4.35311e+03 7.4567e+02 38.4 1 0
OBS: 57887.614759 o NA 3.28700e+03 6.6157e+02 41.9 1 0
OBS: 57889.480877 o NA 3.30217e+03 5.5301e+02 29.4 1 0
OBS: 57889.501382 o NA 3.17103e+03 6.0063e+02 29.8 1 0
OBS: 57889.511375 o NA 3.63747e+03 4.0749e+02 28.3 1 0
OBS: 57889.52022 o NA 7.26440e+02 4.2914e+02 28.6 1 0
OBS: 57889.522048 o NA 3.45144e+03 3.2392e+02 28.4 1 0
OBS: 57889.534644 o NA 9.62942e+02 3.4064e+02 28.2 1 0
OBS: 57889.560075 o NA 2.35072e+03 3.5545e+02 28.2 1 0
OBS: 57891.554986 o NA 1.70294e+03 5.0950e+02 25.2 1 0
OBS: 57891.574803 o NA 2.86814e+03 4.2696e+02 26.7 1 0
OBS: 57891.579224 o NA 2.12227e+03 5.2123e+02 26.2 1 0
OBS: 57891.590699 o NA 2.66440e+03 4.0705e+02 27.8 1 0
OBS: 57891.594981 o NA 2.09701e+03 5.2664e+02 27.2 1 0
OBS: 57891.606852 o NA 2.75677e+03 4.2546e+02 28.4 1 0
OBS: 57891.611241 o NA 2.17370e+03 6.4191e+02 29.4 1 0
OBS: 57892.557945 o NA 1.99159e+03 3.5628e+02 19.8 1 0
OBS: 57892.580948 o NA 1.31704e+03 3.7342e+02 20.9 1 0
OBS: 57892.598366 o NA 3.15065e+03 3.8625e+02 21.9 1 0
OBS: 57892.615818 o NA 9.07821e+02 4.6523e+02 30.3 1 0
OBS: 57893.493236 c NA 2.69153e+03 2.9491e+02 14.3 1 0
OBS: 57893.522773 c NA 2.93495e+03 2.8034e+02 16.2 1 0
OBS: 57893.533099 c NA 3.75664e+03 3.0521e+02 16.4 1 0
OBS: 57893.544966 c NA 2.49574e+03 2.8774e+02 16.7 1 0
OBS: 57893.570365 c NA 2.00447e+03 3.0466e+02 17.4 1 0
OBS: 57895.579566 o NA 2.41213e+03 4.3151e+02 22.0 1 0
OBS: 57895.608602 o NA 1.66418e+03 3.4471e+02 23.2 1 0
OBS: 57896.533479 o NA 2.43220e+03 3.8482e+02 21.6 1 0
OBS: 57896.549882 o NA 1.06561e+03 3.8453e+02 19.0 1 0
OBS: 57896.556727 o NA 9.91745e+02 3.0182e+02 20.0 1 0
OBS: 57896.557229 o NA 1.38676e+03 3.9410e+02 19.5 1 0
OBS: 57896.572568 o NA 3.38844e+03 3.4896e+02 20.4 1 0
OBS: 57896.589508 o NA 2.20191e+03 4.1871e+02 23.8 1 0
OBS: 57899.518255 o NA 1.50938e+03 4.0987e+02 18.2 1 0
OBS: 57899.539434 o NA 2.77715e+03 3.7832e+02 19.3 1 0
