SURVEY: ATLAS
SNID: 2017cbv
IACU: 2017cbv
FILTERS: co
TYPE: 1
RA: 168.203083
DECL: 31.920889
PIXSIZE: 1.86
PEAKMJD: 57849.425995400175
REDSHIFT_HELIO: 0.037  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 46
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57863.535325 c NA 8.18088e+05 1.5056e+03 38.4 1 0
OBS: 57863.548949 c NA 8.31764e+05 1.5308e+03 40.6 1 0
OBS: 57922.357232 o NA 1.26824e+05 3.7967e+03 73.5 1 0
OBS: 57922.36606 o NA 1.27879e+05 1.2891e+03 39.8 1 0
OBS: 57922.37439 o NA 1.27409e+05 1.0518e+03 35.5 1 0
OBS: 57923.338987 o NA 1.27879e+05 8.2052e+03 58.9 1 0
OBS: 57923.347905 o NA 1.38038e+05 4.2557e+03 52.0 1 0
OBS: 57923.350875 o NA 1.28233e+05 1.1498e+04 92.9 1 0
OBS: 57923.356311 o NA 1.66418e+05 1.5618e+04 143.2 1 0
OBS: 57923.359807 o NA 1.09749e+05 2.8166e+04 150.7 1 0
OBS: 57923.365264 o NA 2.52348e+05 1.1532e+05 208.0 1 0
OBS: 57923.377182 o NA 1.23140e+05 5.4084e+04 198.6 1 0
OBS: 57926.344915 o NA 1.12202e+05 6.1834e+02 22.6 1 0
OBS: 57926.353753 o NA 1.13763e+05 6.2694e+02 23.0 1 0
OBS: 57926.362099 o NA 1.12099e+05 6.1777e+02 23.6 1 0
OBS: 57926.370923 o NA 1.11173e+05 6.1267e+02 24.7 1 0
OBS: 57930.343628 o NA 1.00092e+05 7.3480e+02 27.9 1 0
OBS: 57930.352003 o NA 1.01859e+05 7.4777e+02 27.3 1 0
OBS: 57930.360356 o NA 1.00000e+05 8.2550e+02 28.3 1 0
OBS: 57930.369191 o NA 9.67386e+04 9.7515e+02 28.4 1 0
OBS: 57934.321302 o NA 8.87973e+04 8.1410e+02 31.3 1 0
OBS: 57934.329722 o NA 9.00326e+04 9.8960e+02 39.1 1 0
OBS: 57934.332686 o NA 8.93717e+04 1.0637e+03 42.1 1 0
OBS: 57934.337579 o NA 8.97842e+04 1.4762e+03 47.2 1 0
OBS: 57934.341026 o NA 8.92894e+04 1.3062e+03 40.6 1 0
OBS: 57934.346429 o NA 9.62055e+04 1.1450e+03 41.9 1 0
OBS: 57934.349367 o NA 8.75790e+04 1.3606e+03 46.1 1 0
OBS: 57934.358219 o NA 8.69361e+04 1.1138e+03 38.2 1 0
OBS: 57938.324359 o NA 8.21864e+04 2.0924e+03 51.3 1 0
OBS: 57938.33226 o NA 7.96526e+04 2.1708e+03 52.2 1 0
OBS: 57938.340166 o NA 8.21864e+04 2.3869e+03 53.5 1 0
OBS: 57938.348555 o NA 8.33297e+04 2.5690e+03 54.7 1 0
OBS: 57948.306959 o NA 6.05341e+04 6.6536e+02 28.8 1 0
OBS: 57948.315467 o NA 6.18871e+04 6.2384e+02 29.2 1 0
OBS: 57948.323411 o NA 6.20012e+04 6.2499e+02 29.1 1 0
OBS: 57950.302482 o NA 5.79696e+04 7.4269e+02 26.5 1 0
OBS: 57950.310744 o NA 5.80764e+04 7.4406e+02 26.5 1 0
OBS: 57950.31852 o NA 5.87760e+04 8.0644e+02 32.7 1 0
OBS: 57950.326774 o NA 5.70164e+04 7.3048e+02 26.7 1 0
OBS: 57954.297176 o NA 5.19039e+04 6.6498e+02 24.2 1 0
OBS: 57954.305416 o NA 5.20475e+04 5.7208e+02 24.7 1 0
OBS: 57960.286443 o NA 4.55407e+04 7.9001e+02 26.8 1 0
OBS: 57960.294934 o NA 4.35311e+04 8.3388e+02 27.9 1 0
OBS: 57966.273929 o NA 3.89404e+04 8.8639e+02 44.7 1 0
OBS: 57966.28171 o NA 3.63747e+04 1.1863e+03 45.9 1 0
OBS: 57968.267809 o NA 3.88687e+04 1.1289e+03 55.2 1 0
END_PHOTOMETRY:
