SURVEY: ATLAS
SNID: 2017cig
IACU: 2017cig
FILTERS: co
TYPE: 1
RA: 301.187083
DECL: -9.935731
PIXSIZE: 1.86
PEAKMJD: 57858.016990699805
REDSHIFT_HELIO: 0.045  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 182
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57784.647178 c NA 7.34514e+02 3.6229e+02 16.0 1 0
OBS: 57788.56454 o NA 5.59242e+02 2.9597e+02 18.2 1 0
OBS: 57788.590037 o NA 6.10380e+02 3.3164e+02 18.4 1 0
OBS: 57788.615902 o NA 7.95060e+02 3.8542e+02 18.9 1 0
OBS: 57804.536787 c NA 5.72269e+02 3.4444e+02 18.5 1 0
OBS: 57804.557541 o NA 2.70396e+03 8.3672e+02 23.9 1 0
OBS: 57804.5686 c NA 3.26889e+03 5.9711e+02 21.7 1 0
OBS: 57805.469857 c NA 6.18871e+02 2.8926e+02 14.9 1 0
OBS: 57806.536976 o NA 1.23367e+03 6.2442e+02 23.6 1 0
OBS: 57806.565267 o NA 1.03562e+03 5.8563e+02 23.9 1 0
OBS: 57816.451282 c NA 2.35288e+03 3.5394e+02 14.0 1 0
OBS: 57816.453234 c NA 2.61336e+03 3.5185e+02 14.0 1 0
OBS: 57816.471083 c NA 1.67803e+03 3.1659e+02 14.1 1 0
OBS: 57816.493461 c NA 2.22433e+03 3.5709e+02 14.1 1 0
OBS: 57816.503502 c NA 2.37465e+03 3.4230e+02 14.1 1 0
OBS: 57816.507979 o NA 1.66418e+03 4.5859e+02 18.5 1 0
OBS: 57816.522189 o NA 2.03423e+03 5.1088e+02 18.5 1 0
OBS: 57816.53681 o NA 1.64135e+03 5.1622e+02 18.9 1 0
OBS: 57816.551374 o NA 1.80468e+03 4.3947e+02 19.0 1 0
OBS: 57818.49729 o NA 4.77749e+03 5.6635e+02 18.0 1 0
OBS: 57818.512576 o NA 4.18408e+03 5.7995e+02 17.2 1 0
OBS: 57818.527143 o NA 4.26973e+03 6.0197e+02 17.5 1 0
OBS: 57818.541711 o NA 3.05633e+03 5.6058e+02 17.3 1 0
OBS: 57820.505055 o NA 1.64135e+04 6.7574e+03 138.7 1 0
OBS: 57828.468075 o NA 8.30998e+03 1.5367e+03 50.8 1 0
OBS: 57828.476529 o NA 7.68422e+03 1.2633e+03 51.5 1 0
OBS: 57828.481626 o NA 7.58578e+03 1.2762e+03 48.1 1 0
OBS: 57828.494262 o NA 8.58223e+03 8.9800e+02 46.6 1 0
OBS: 57828.495264 o NA 8.07607e+03 9.7048e+02 36.5 1 0
OBS: 57828.508902 o NA 7.33838e+03 8.6993e+02 36.6 1 0
OBS: 57828.511009 o NA 8.18088e+03 9.6980e+02 47.4 1 0
OBS: 57828.526964 o NA 7.87046e+03 1.1159e+03 49.4 1 0
OBS: 57830.458702 o NA 9.44496e+03 7.1926e+02 23.7 1 0
OBS: 57830.470741 o NA 7.76247e+03 7.6727e+02 24.4 1 0
OBS: 57830.484101 o NA 9.00326e+03 7.0093e+02 25.2 1 0
OBS: 57830.498104 o NA 9.84464e+03 6.9087e+02 26.3 1 0
OBS: 57832.449369 o NA 9.90832e+03 6.6134e+02 20.7 1 0
OBS: 57832.462821 o NA 9.77237e+03 5.6788e+02 31.8 1 0
OBS: 57832.464427 o NA 7.05342e+03 6.3246e+02 21.8 1 0
OBS: 57832.479437 o NA 7.35868e+03 6.2891e+02 22.6 1 0
OBS: 57832.480738 o NA 9.02818e+03 5.6370e+02 33.1 1 0
OBS: 57832.493942 o NA 7.15155e+03 6.7117e+02 23.3 1 0
OBS: 57832.515017 o NA 8.89611e+03 7.0014e+02 35.0 1 0
OBS: 57832.532408 o NA 1.03181e+04 6.8869e+02 36.1 1 0
OBS: 57833.461992 o NA 7.69130e+03 7.3466e+02 21.3 1 0
OBS: 57833.491949 o NA 8.56643e+03 7.5375e+02 22.6 1 0
OBS: 57834.443951 o NA 7.67715e+03 7.0125e+02 20.1 1 0
OBS: 57834.458948 o NA 8.42558e+03 6.6311e+02 20.0 1 0
OBS: 57834.473982 o NA 8.83894e+03 6.8814e+02 20.0 1 0
OBS: 57834.488419 o NA 8.91251e+03 7.0899e+02 20.0 1 0
OBS: 57836.45872 c NA 9.44496e+03 5.5704e+02 22.5 1 0
OBS: 57836.490754 c NA 9.92659e+03 5.0769e+02 22.9 1 0
OBS: 57836.507176 c NA 1.03753e+04 5.1249e+02 23.7 1 0
OBS: 57836.52435 c NA 1.00184e+04 5.5607e+02 25.2 1 0
OBS: 57837.432427 o NA 7.69130e+03 8.8048e+02 22.0 1 0
OBS: 57837.447574 o NA 6.82967e+03 8.7031e+02 21.8 1 0
OBS: 57837.462742 o NA 8.36373e+03 7.7096e+02 21.9 1 0
OBS: 57837.477822 o NA 6.14894e+03 8.2295e+02 21.8 1 0
OBS: 57838.42726 o NA 1.28706e+04 7.9250e+02 18.9 1 0
OBS: 57838.447592 o NA 7.02102e+03 6.4132e+02 18.3 1 0
OBS: 57838.457017 o NA 7.56484e+03 6.9732e+02 18.4 1 0
OBS: 57838.472133 o NA 1.38548e+04 7.0860e+02 18.4 1 0
OBS: 57839.410422 o NA 4.83949e+03 6.2835e+02 19.9 1 0
OBS: 57839.424312 o NA 4.56247e+03 5.8506e+02 19.9 1 0
OBS: 57840.464622 c NA 7.50931e+03 5.0767e+02 22.0 1 0
OBS: 57840.481799 c NA 7.44046e+03 5.2215e+02 22.3 1 0
OBS: 57840.498884 c NA 6.89287e+03 5.2491e+02 23.0 1 0
OBS: 57840.516645 c NA 6.20583e+03 5.4605e+02 24.8 1 0
OBS: 57842.420394 o NA 5.92107e+03 5.9017e+02 19.8 1 0
OBS: 57842.431981 o NA 5.91562e+03 5.5024e+02 20.0 1 0
OBS: 57842.447241 o NA 4.63020e+03 5.9375e+02 20.9 1 0
OBS: 57842.461981 o NA 4.93401e+03 5.9291e+02 21.3 1 0
OBS: 57844.421092 c NA 5.48025e+03 4.2200e+02 14.9 1 0
OBS: 57844.433538 c NA 6.11505e+03 5.2263e+02 15.1 1 0
OBS: 57844.449685 c NA 6.71120e+03 4.7672e+02 15.5 1 0
OBS: 57844.468957 c NA 5.70690e+03 5.4035e+02 15.8 1 0
OBS: 57844.486662 c NA 6.15460e+03 5.0003e+02 16.1 1 0
OBS: 57845.404945 o NA 5.05359e+03 5.7439e+02 19.6 1 0
OBS: 57845.420755 o NA 6.05899e+03 5.1784e+02 19.1 1 0
OBS: 57845.437091 o NA 5.15229e+03 5.4760e+02 19.3 1 0
OBS: 57845.453503 o NA 5.13334e+03 5.4136e+02 20.1 1 0
OBS: 57846.402217 o NA 5.53605e+03 7.5856e+02 25.5 1 0
OBS: 57846.418489 o NA 5.28202e+03 7.0693e+02 23.8 1 0
OBS: 57846.434259 o NA 4.42181e+03 6.1641e+02 23.2 1 0
OBS: 57846.450019 o NA 4.86631e+03 5.6897e+02 22.0 1 0
OBS: 57847.38955 o NA 5.98687e+03 9.0060e+02 25.2 1 0
OBS: 57847.403526 o NA 4.11529e+03 8.7040e+02 25.5 1 0
OBS: 57847.416932 o NA 5.09565e+03 8.4946e+02 25.2 1 0
OBS: 57847.430884 o NA 5.52586e+03 8.2259e+02 25.5 1 0
OBS: 57848.4087 o NA 7.08598e+03 7.2975e+02 44.5 1 0
OBS: 57849.371663 o NA 6.41505e+03 1.1135e+03 38.7 1 0
OBS: 57849.386852 o NA 7.19780e+03 1.0771e+03 38.9 1 0
OBS: 57849.401583 o NA 7.36546e+03 1.1310e+03 39.3 1 0
OBS: 57857.362589 o NA 1.16091e+04 3.0585e+03 85.9 1 0
OBS: 57857.373449 o NA 1.07746e+04 5.8993e+03 146.6 1 0
OBS: 57858.36349 o NA 3.87258e+03 7.1902e+02 27.9 1 0
OBS: 57858.381008 o NA 3.93007e+03 7.0306e+02 29.1 1 0
OBS: 57858.396269 o NA 5.39511e+03 7.4353e+02 30.2 1 0
OBS: 57858.409947 o NA 4.42181e+03 7.9103e+02 31.2 1 0
OBS: 57861.458295 o NA 2.71394e+03 6.2464e+02 37.7 1 0
OBS: 57861.469668 o NA 3.11028e+03 7.7037e+02 39.6 1 0
OBS: 57861.481992 o NA 2.04927e+03 7.0775e+02 42.3 1 0
OBS: 57861.493784 o NA 4.47507e+03 8.7426e+02 45.3 1 0
OBS: 57865.436675 o NA 3.15937e+03 6.0314e+02 33.3 1 0
OBS: 57865.449521 o NA 2.65705e+03 6.6729e+02 35.5 1 0
OBS: 57865.462456 o NA 3.17103e+03 1.0271e+03 47.9 1 0
OBS: 57865.475698 o NA 4.83504e+03 7.3489e+02 38.7 1 0
OBS: 57866.4367 o NA 2.95393e+03 6.7778e+02 34.2 1 0
OBS: 57866.448976 o NA 8.81455e+03 1.8322e+03 58.6 1 0
OBS: 57866.474552 o NA 8.04637e+03 2.2814e+03 75.5 1 0
OBS: 57867.458852 o NA 1.39187e+04 2.2989e+03 68.9 1 0
OBS: 57867.484725 o NA 1.82810e+04 3.3118e+03 87.9 1 0
OBS: 57867.497631 o NA 1.00000e+11 0.0000e+00 95.5 1 0
OBS: 57868.423428 c NA 1.72187e+03 2.8439e+02 26.3 1 0
OBS: 57868.436555 c NA 1.24853e+03 2.4669e+02 27.5 1 0
OBS: 57868.462912 c NA 4.83949e+03 2.7444e+03 121.9 1 0
OBS: 57868.46661 o NA 2.38122e+03 7.7724e+02 44.9 1 0
OBS: 57868.481154 o NA 4.07380e+03 1.1307e+03 54.5 1 0
OBS: 57869.428015 o NA 2.31633e+03 5.4785e+02 31.8 1 0
OBS: 57869.440316 o NA 5.88302e+03 6.0100e+02 32.7 1 0
OBS: 57869.446881 c NA 1.54597e+03 2.7539e+02 24.8 1 0
OBS: 57869.453032 o NA 1.83654e+03 5.8685e+02 34.2 1 0
OBS: 57869.461795 c NA 2.02116e+03 2.8655e+02 26.3 1 0
OBS: 57869.465843 o NA 2.28244e+03 6.2133e+02 37.0 1 0
OBS: 57869.476686 c NA 1.96426e+03 3.1989e+02 28.6 1 0
OBS: 57869.48781 c NA 3.44191e+03 7.7506e+02 28.8 1 0
OBS: 57869.490972 c NA 2.21004e+03 3.9536e+02 30.6 1 0
OBS: 57876.393364 o NA 2.45471e+04 1.2981e+04 189.7 1 0
OBS: 57881.295211 o NA 2.82098e+03 6.7710e+02 47.2 1 0
OBS: 57881.30829 o NA 3.49945e+03 6.9143e+02 45.7 1 0
OBS: 57881.321408 o NA 1.03657e+03 4.9706e+02 44.9 1 0
OBS: 57881.334119 o NA 2.65216e+03 7.0052e+02 46.3 1 0
OBS: 57882.343798 o NA 7.97995e+02 4.1535e+02 44.7 1 0
OBS: 57884.332557 o NA 1.87413e+03 4.7196e+02 42.3 1 0
OBS: 57884.356366 o NA 1.10764e+03 4.7959e+02 44.9 1 0
OBS: 57886.266462 o NA 9.22996e+02 3.6786e+02 22.2 1 0
OBS: 57886.280772 o NA 1.94626e+03 3.9887e+02 26.4 1 0
OBS: 57886.295724 o NA 1.51356e+03 4.6160e+02 29.8 1 0
OBS: 57886.310363 o NA 2.73653e+03 5.0809e+02 31.2 1 0
OBS: 57887.240717 o NA 1.31462e+03 3.2925e+02 28.3 1 0
OBS: 57887.259233 o NA 1.48457e+03 3.0859e+02 22.2 1 0
OBS: 57889.34084 o NA 1.54882e+03 3.6414e+02 24.8 1 0
OBS: 57889.348252 o NA 1.49279e+03 3.5097e+02 25.0 1 0
OBS: 57892.336055 o NA 6.21727e+02 2.0370e+02 22.3 1 0
OBS: 57892.350281 o NA 8.52707e+02 2.4904e+02 23.0 1 0
OBS: 57892.364483 o NA 4.74679e+02 2.1502e+02 23.9 1 0
OBS: 57892.378648 o NA 9.03649e+02 2.6568e+02 24.8 1 0
OBS: 57892.392815 o NA 4.82170e+03 1.3351e+03 27.2 1 0
OBS: 57893.238467 o NA 1.23481e+03 5.3979e+02 42.3 1 0
OBS: 57893.246536 o NA 1.81134e+03 3.1579e+02 24.3 1 0
OBS: 57893.258992 o NA 9.39291e+02 2.9660e+02 21.6 1 0
OBS: 57893.276016 o NA 9.63829e+02 2.8775e+02 22.1 1 0
OBS: 57893.31873 c NA 1.15027e+03 3.4489e+02 17.1 1 0
OBS: 57893.331341 c NA 6.53431e+02 2.9002e+02 16.9 1 0
OBS: 57893.34023 c NA 1.03944e+03 2.9745e+02 17.1 1 0
OBS: 57893.361779 c NA 7.30466e+02 2.9274e+02 17.0 1 0
OBS: 57893.375362 c NA 7.21107e+02 2.9571e+02 17.5 1 0
