SURVEY: ATLAS
SNID: 2017cir
IACU: 2017cir
FILTERS: co
TYPE: 1
RA: 79.021
DECL: -16.125331
PIXSIZE: 1.86
PEAKMJD: 57858.68000000017
REDSHIFT_HELIO: 0.072  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 94
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57779.438476 c NA 6.17163e+02 2.9327e+02 14.0 1 0
OBS: 57799.40483 o NA 7.24436e+02 4.3603e+02 28.3 1 0
OBS: 57804.408664 o NA 3.60081e+03 1.5364e+03 23.6 1 0
OBS: 57818.359677 o NA 9.21298e+02 5.5452e+02 27.3 1 0
OBS: 57819.390236 o NA 1.86380e+03 1.0883e+03 34.7 1 0
OBS: 57823.362132 o NA 2.76439e+03 1.2255e+03 57.3 1 0
OBS: 57823.377101 o NA 3.87972e+03 1.7827e+03 59.2 1 0
OBS: 57823.40767 o NA 4.95678e+03 1.6210e+03 61.9 1 0
OBS: 57826.433553 o NA 4.49573e+03 1.3596e+03 69.5 1 0
OBS: 57826.447453 o NA 2.32060e+03 1.2180e+03 73.8 1 0
OBS: 57827.368504 o NA 3.12752e+03 6.8859e+02 50.1 1 0
OBS: 57827.383455 o NA 3.72220e+03 7.9536e+02 51.3 1 0
OBS: 57827.398063 o NA 2.96210e+03 7.9440e+02 53.2 1 0
OBS: 57828.315621 o NA 2.59179e+03 5.9469e+02 22.6 1 0
OBS: 57828.33018 o NA 1.33045e+03 5.7327e+02 23.9 1 0
OBS: 57828.344821 o NA 1.43747e+03 6.0877e+02 27.8 1 0
OBS: 57830.29526 o NA 1.71080e+03 5.5947e+02 19.6 1 0
OBS: 57830.325008 o NA 3.32660e+03 5.5200e+02 19.1 1 0
OBS: 57830.339912 o NA 2.36592e+03 6.7392e+02 19.5 1 0
OBS: 57831.344213 o NA 3.14775e+03 5.0534e+02 30.6 1 0
OBS: 57831.358702 o NA 2.45697e+03 5.1071e+02 30.1 1 0
OBS: 57831.373758 o NA 2.92685e+03 5.7180e+02 30.9 1 0
OBS: 57831.38875 o NA 3.30522e+03 5.4591e+02 30.9 1 0
OBS: 57831.404508 o NA 2.82879e+03 5.2522e+02 31.2 1 0
OBS: 57832.283234 o NA 1.31462e+03 5.0998e+02 22.5 1 0
OBS: 57832.298724 o NA 3.24190e+03 5.1293e+02 22.2 1 0
OBS: 57832.314596 o NA 3.01439e+03 5.0713e+02 21.8 1 0
OBS: 57832.329964 o NA 1.21899e+03 4.6111e+02 21.9 1 0
OBS: 57833.279669 o NA 2.80802e+03 5.4024e+02 22.1 1 0
