SURVEY: ATLAS
SNID: 2017cjc
IACU: 2017cjc
FILTERS: co
TYPE: 1
RA: 193.816180873
DECL: -17.4820368699
PIXSIZE: 1.86
PEAKMJD: 57858.40799769992
REDSHIFT_HELIO: 0.056  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 45
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57922.537481 o NA 1.00832e+03 3.7035e+02 29.9 1 0
OBS: 57922.552831 o NA 1.20893e+03 3.6947e+02 29.9 1 0
OBS: 57922.560407 o NA 1.52616e+03 4.0104e+02 30.2 1 0
OBS: 57930.516949 o NA 1.05487e+03 3.5921e+02 25.9 1 0
OBS: 57930.52749 o NA 1.58928e+03 5.2465e+02 23.7 1 0
OBS: 57930.540404 o NA 1.27761e+03 4.6777e+02 24.3 1 0
OBS: 57930.551727 o NA 1.53886e+03 5.3054e+02 23.8 1 0
OBS: 57934.511107 o NA 1.00184e+03 3.4841e+02 26.3 1 0
OBS: 57934.520402 o NA 8.58223e+02 3.5565e+02 25.0 1 0
OBS: 57934.528267 o NA 9.15377e+02 3.1226e+02 24.5 1 0
OBS: 57934.538118 o NA 7.12525e+02 3.2240e+02 24.0 1 0
OBS: 57938.509672 o NA 8.88792e+02 4.1411e+02 32.5 1 0
OBS: 57938.522037 o NA 1.17923e+03 3.6490e+02 28.3 1 0
OBS: 57938.523023 o NA 1.81803e+03 4.9612e+02 27.8 1 0
OBS: 57938.531868 o NA 1.77011e+03 3.8208e+02 23.6 1 0
OBS: 57948.501052 o NA 8.84708e+02 4.8366e+02 42.9 1 0
OBS: 57950.474894 o NA 1.43880e+03 6.7812e+02 38.2 1 0
OBS: 57950.485567 o NA 9.49730e+02 3.8583e+02 27.8 1 0
OBS: 57950.496681 o NA 6.74217e+02 3.3971e+02 27.9 1 0
OBS: 57954.472092 o NA 9.40156e+02 3.7157e+02 26.1 1 0
OBS: 57954.492499 o NA 8.47227e+02 3.6992e+02 26.5 1 0
OBS: 57958.46044 o NA 9.14534e+02 3.4489e+02 25.0 1 0
OBS: 57960.464145 o NA 5.07692e+02 3.0144e+02 23.0 1 0
OBS: 57975.445383 o NA 3.74628e+03 8.8342e+02 45.3 1 0
OBS: 57975.453193 o NA 1.60398e+03 5.5202e+02 45.7 1 0
OBS: 57977.457173 o NA 1.77992e+03 5.9851e+02 38.0 1 0
OBS: 57981.410662 c NA 3.53183e+02 1.7205e+02 17.1 1 0
OBS: 57981.435593 c NA 4.38127e+02 1.9175e+02 17.2 1 0
OBS: 57985.409197 c NA 6.25173e+02 2.2375e+02 17.7 1 0
OBS: 57985.42679 c NA 3.22404e+03 1.2616e+03 33.3 1 0
OBS: 57989.402775 c NA 5.14280e+02 2.0325e+02 18.4 1 0
OBS: 57989.428031 c NA 3.75319e+02 1.9368e+02 19.5 1 0
OBS: 57997.362079 o NA 1.42167e+03 7.6523e+02 43.3 1 0
OBS: 58011.336376 o NA 2.11252e+03 6.7372e+02 29.8 1 0
OBS: 58011.352028 o NA 8.14329e+02 4.8623e+02 27.4 1 0
OBS: 58011.366767 o NA 6.09818e+02 3.3515e+02 25.0 1 0
OBS: 58017.345544 c NA 7.49549e+02 2.9790e+02 19.2 1 0
OBS: 58017.347827 c NA 8.74984e+02 3.4775e+02 17.9 1 0
OBS: 58017.356157 c NA 6.42688e+02 3.0540e+02 18.2 1 0
OBS: 58021.346709 c NA 3.01717e+02 1.7993e+02 19.1 1 0
OBS: 58023.290306 o NA 1.45211e+03 5.1109e+02 35.0 1 0
OBS: 58029.32261 o NA 2.57988e+03 9.6701e+02 58.6 1 0
OBS: 58029.327657 o NA 2.52581e+03 9.2919e+02 62.8 1 0
OBS: 58033.209399 o NA 2.99226e+03 9.5053e+02 48.3 1 0
OBS: 58039.294349 o NA 7.23103e+02 3.6236e+02 29.0 1 0
END_PHOTOMETRY:
