SURVEY: ATLAS
SNID: 2017ckc
IACU: 2017ckc
FILTERS: co
TYPE: 1
RA: 246.879043768
DECL: 49.6957340811
PIXSIZE: 1.86
PEAKMJD: 57880.47199069988
REDSHIFT_HELIO: 0.043  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 229
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57789.59916 o NA 5.42500e+02 3.0958e+02 16.7 1 0
OBS: 57789.613491 o NA 5.09565e+02 2.9478e+02 16.2 1 0
OBS: 57789.624548 o NA 8.00940e+02 3.1877e+02 15.8 1 0
OBS: 57793.566208 o NA 9.52357e+02 4.6528e+02 37.2 1 0
OBS: 57797.63655 o NA 2.21615e+03 1.0680e+03 37.8 1 0
OBS: 57797.640756 o NA 1.25083e+03 5.3370e+02 38.9 1 0
OBS: 57801.616682 o NA 1.18359e+03 4.6381e+02 27.4 1 0
OBS: 57801.652675 o NA 7.62781e+02 4.0699e+02 26.2 1 0
OBS: 57819.612404 o NA 6.97590e+02 3.8913e+02 18.1 1 0
OBS: 57819.622472 o NA 8.34834e+02 4.0747e+02 18.4 1 0
OBS: 57827.651216 o NA 2.60856e+03 1.4337e+03 60.5 1 0
OBS: 57829.567531 o NA 1.18686e+03 5.0828e+02 42.5 1 0
OBS: 57829.57961 o NA 1.23709e+03 5.0054e+02 42.7 1 0
OBS: 57829.605596 o NA 1.55597e+03 6.1494e+02 29.6 1 0
OBS: 57829.618906 o NA 1.14921e+03 6.2922e+02 30.8 1 0
OBS: 57829.634414 o NA 1.35145e+03 6.1014e+02 31.9 1 0
OBS: 57831.599201 o NA 1.14710e+03 4.7598e+02 23.8 1 0
OBS: 57831.619025 o NA 9.88098e+02 4.5990e+02 24.3 1 0
OBS: 57831.633829 o NA 7.72681e+02 4.4938e+02 25.0 1 0
OBS: 57833.528313 c NA 2.15774e+03 3.7454e+02 24.8 1 0
OBS: 57833.552691 c NA 9.20450e+02 3.7494e+02 25.2 1 0
OBS: 57833.568941 c NA 1.98609e+03 4.0703e+02 25.7 1 0
OBS: 57833.576443 c NA 2.23254e+03 3.8413e+02 25.9 1 0
OBS: 57833.590819 c NA 1.95164e+03 4.3669e+02 26.1 1 0
OBS: 57835.580956 o NA 3.82296e+03 5.6610e+02 19.8 1 0
OBS: 57835.597688 o NA 3.12464e+03 5.8718e+02 20.7 1 0
OBS: 57835.602402 o NA 2.43669e+03 5.0116e+02 20.9 1 0
OBS: 57835.624634 o NA 1.46016e+03 5.8517e+02 22.2 1 0
OBS: 57837.524034 c NA 4.78630e+03 3.9291e+02 19.1 1 0
