SURVEY: ATLAS
SNID: 2017ckq
IACU: 2017ckq
FILTERS: co
TYPE: 1
RA: 165.803792
DECL: 11.077811
PIXSIZE: 1.86
PEAKMJD: 57863.252997700125
REDSHIFT_HELIO: 0.021358  +- 0.000
HOSTGAL_OBJID: -9
HOSTGAL_PHOTOZ: -9
HOSTGAL_SPECZ: -9
HOSTGAL_SNSEP: -9
HOSTGAL_LOGMASS: -9
HOSTGAL_MAG: -9
HOSTGAL_SB_FLUXCAL: -9
# ================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 128
NVAR: 8
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR SKYSIG GAIN PHOTFLAG
OBS: 57787.505779 c NA 8.79023e+02 2.9072e+02 13.6 1 0
OBS: 57787.519575 c NA 5.93198e+02 2.8474e+02 13.6 1 0
OBS: 57803.546302 c NA 9.01156e+02 4.4617e+02 22.8 1 0
OBS: 57804.528401 o NA 2.45245e+03 8.0656e+02 25.0 1 0
OBS: 57804.542696 o NA 1.66725e+03 7.7927e+02 26.7 1 0
OBS: 57807.504699 c NA 5.06291e+02 2.9717e+02 14.6 1 0
OBS: 57808.519098 o NA 1.20448e+03 6.8973e+02 23.6 1 0
OBS: 57823.438734 o NA 4.49159e+03 1.2317e+03 64.9 1 0
OBS: 57834.473454 o NA 2.51884e+03 7.7623e+02 23.3 1 0
OBS: 57835.440607 c NA 6.59478e+03 5.1343e+02 21.2 1 0
OBS: 57835.455707 c NA 5.93745e+03 5.5227e+02 21.9 1 0
OBS: 57835.471577 c NA 7.13839e+03 5.1317e+02 22.9 1 0
OBS: 57835.487401 c NA 6.18871e+03 5.0803e+02 24.1 1 0
OBS: 57835.502997 c NA 6.81083e+03 6.3351e+02 25.9 1 0
OBS: 57837.417314 o NA 1.70294e+04 1.2968e+03 25.2 1 0
OBS: 57837.431909 o NA 1.16413e+04 1.2468e+03 25.9 1 0
OBS: 57837.44705 o NA 1.11481e+04 1.3125e+03 25.8 1 0
OBS: 57837.462217 o NA 3.49301e+04 1.5414e+03 26.1 1 0
OBS: 57838.412139 o NA 2.79254e+04 9.1075e+02 21.3 1 0
OBS: 57838.426733 o NA 2.68658e+04 9.4790e+02 21.3 1 0
OBS: 57838.443414 o NA 2.77204e+04 9.2875e+02 21.3 1 0
OBS: 57838.456502 o NA 2.62785e+04 9.0382e+02 21.0 1 0
OBS: 57839.42535 c NA 4.59621e+04 6.7236e+02 25.6 1 0
OBS: 57839.456696 c NA 4.63874e+04 6.7858e+02 24.4 1 0
OBS: 57839.472082 c NA 4.78189e+04 6.5610e+02 25.0 1 0
OBS: 57839.487984 c NA 4.66874e+04 6.8297e+02 25.5 1 0
OBS: 57842.401959 o NA 8.96190e+04 1.0666e+03 20.8 1 0
OBS: 57842.417784 o NA 9.19602e+04 1.0945e+03 21.5 1 0
OBS: 57842.431461 o NA 8.85523e+04 1.0540e+03 23.3 1 0
OBS: 57842.446712 o NA 8.90430e+04 1.2217e+03 24.4 1 0
OBS: 57843.43254 c NA 1.16091e+05 8.5225e+02 23.2 1 0
OBS: 57843.463326 c NA 1.20116e+05 8.8179e+02 25.5 1 0
OBS: 57845.389183 o NA 1.22574e+05 1.2356e+03 23.1 1 0
OBS: 57845.405466 o NA 1.25661e+05 1.2667e+03 22.6 1 0
OBS: 57845.421275 o NA 1.28588e+05 1.1789e+03 21.2 1 0
OBS: 57845.437624 o NA 1.24509e+05 1.3685e+03 22.6 1 0
OBS: 57846.386469 o NA 1.39830e+05 1.4095e+03 28.2 1 0
OBS: 57846.402739 o NA 1.39059e+05 1.4017e+03 28.1 1 0
OBS: 57846.419012 o NA 1.37278e+05 1.3838e+03 28.2 1 0
OBS: 57846.43478 o NA 1.37404e+05 1.2597e+03 27.4 1 0
OBS: 57847.405558 c NA 1.69981e+05 1.0924e+03 40.9 1 0
OBS: 57847.421245 c NA 1.71554e+05 1.2594e+03 41.3 1 0
OBS: 57847.436942 c NA 1.71080e+05 1.4123e+03 41.7 1 0
OBS: 57847.452045 c NA 1.66571e+05 1.2228e+03 41.7 1 0
OBS: 57847.467796 c NA 1.67032e+05 1.2262e+03 40.6 1 0
OBS: 57849.356477 o NA 1.49417e+05 1.3699e+03 35.5 1 0
OBS: 57849.371123 o NA 1.50245e+05 1.3775e+03 35.8 1 0
OBS: 57849.386353 o NA 1.49692e+05 1.5089e+03 36.3 1 0
OBS: 57849.401103 o NA 1.53179e+05 1.5441e+03 37.0 1 0
OBS: 57850.350287 o NA 1.57761e+05 1.5903e+03 44.1 1 0
OBS: 57850.365499 o NA 1.56027e+05 1.4305e+03 44.9 1 0
