Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,57400.57661900001,19.583,0.231,53,12,c,0,1.86,156.03007,13.61592,6533.54,6577.54,3.67,3.44,85.3,-0.405,19.67,21.67,02a57400o0572c
6,57401.577468,20.096,0.3670000000000001,33,12,c,0,2.03,156.03007,13.61592,6639.13,6684.54,3.61,3.34,87.2,-0.413,19.66,21.59,02a57401o0594c
8,57408.50495900001,17.746,0.11,290,32,o,0,1.38,156.03007,13.61592,4107.41,2861.51,3.75,3.44,-25.3,-0.442,18.69,19.71,02a57408o0507o
9,57408.531338,18.127,0.149,204,30,o,0,2.13,156.03007,13.61592,6367.87,7259.26,3.43,3.2,89.7,-0.46,18.71,19.78,02a57408o0544o
10,57408.563729,17.935,0.152,243,37,o,0,1.4,156.03007,13.61592,7227.95,8434.87,3.41,3.24,87.7,-0.473,18.71,19.8,02a57408o0592o
11,57408.58420800001,17.785,0.119,279,33,o,0,1.56,156.03007,13.61592,7507.4,6691.58,3.45,3.09,89.0,-0.471,18.73,19.82,02a57408o0623o
12,57421.593186,16.133,0.016,1279,20,c,0,2.52,156.03007,13.61592,6686.27,7889.78,3.68,3.48,89.1,-0.423,19.43,21.22,02a57421o0659c
13,57421.616908,15.388,0.01,2540,26,c,0,28.29,156.03007,13.61592,6401.77,7309.01,3.77,3.52,87.5,-0.404,19.35,21.11,02a57421o0698c
14,57421.639386,16.18,0.018000000000000002,1225,23,c,0,1.82,156.03007,13.61592,7549.02,6740.02,3.81,3.52,87.9,-0.408,19.29,21.03,02a57421o0735c
15,57421.655827,16.115,0.019,1300,24,c,0,1.62,156.03007,13.61592,7477.48,6701.82,3.81,3.55,88.3,-0.409,19.21,20.9,02a57421o0762c
16,57422.592193,15.58,0.011,2128,23,c,0,31.24,156.03007,13.61592,6477.85,7946.96,3.82,3.54,86.7,-0.411,19.47,21.36,02a57422o0657c
17,57422.615831,16.154,0.018000000000000002,1254,23,c,0,1.51,156.03007,13.61592,6177.16,7365.27,4.1,3.86,89.7,-0.392,19.3,21.24,02a57422o0696c
18,57422.638288,16.115,0.019,1301,25,c,0,1.08,156.03007,13.61592,7344.88,6795.37,3.9,3.62,82.4,-0.41,19.28,21.09,02a57422o0733c
19,57422.654716,16.194000000000006,0.018000000000000002,1209,21,c,0,1.9,156.03007,13.61592,7478.97,6701.5,3.79,3.47,86.0,-0.424,19.24,20.99,02a57422o0760c
20,57428.581203,16.373,0.02,1025,20,c,0,1.49,156.03007,13.61592,6689.92,7936.22,3.7,3.37,-89.5,-0.435,19.63,21.59,02a57428o0625c
21,57428.60509,16.424,0.021,978,21,c,0,1.67,156.03007,13.61592,6426.07,7362.03,3.72,3.39,-85.8,-0.431,19.58,21.53,02a57428o0664c
22,57428.629001,16.389,0.02,1010,20,c,0,1.93,156.03007,13.61592,7628.93,6799.16,3.72,3.36,89.2,-0.443,19.5,21.4,02a57428o0703c
23,57428.648605,16.361,0.021,1036,22,c,0,1.55,156.03007,13.61592,7607.28,6648.58,3.67,3.34,86.5,-0.443,19.43,21.27,02a57428o0735c
24,57436.287124,17.031,0.12,559,67,c,0,0.98,156.03007,13.61592,4305.89,3027.7,5.99,5.14,-5.4,-0.319,17.86,19.14,02a57436o0132c
25,57436.30125,16.849,0.083,661,55,c,0,1.27,156.03007,13.61592,4601.54,3612.45,4.88,4.52,-17.3,-0.379,18.13,19.27,02a57436o0155c
26,57436.315343,17.011,0.087,570,50,c,0,1.06,156.03007,13.61592,3431.89,4189.2,4.68,4.25,-25.2,-0.386,18.25,19.39,02a57436o0178c
27,57436.329435,17.039,0.07400000000000001,555,41,c,0,1.27,156.03007,13.61592,3185.76,3995.74,4.41,3.91,-19.3,-0.395,18.4,19.49,02a57436o0201c
28,57444.548259,17.176,0.08199999999999999,490,40,o,0,1.27,156.03007,13.61592,7728.85,6528.62,3.69,3.15,85.2,-0.479,18.48,19.46,02a57444o0258o
29,57445.485268,17.159000000000002,0.053,497,26,o,0,1.85,156.03007,13.61592,6313.28,7944.3,3.47,3.06,-87.1,-0.474,18.87,20.03,02a57445o0554o
30,57445.507602,17.117,0.054000000000000006,517,28,o,0,1.5,156.03007,13.61592,6030.62,7363.4,3.45,3.08,-85.3,-0.467,18.83,19.99,02a57445o0595o
31,57445.529904,17.045,0.055,552,30,o,0,1.26,156.03007,13.61592,7177.42,6792.17,3.53,3.01,88.6,-0.456,18.79,19.92,02a57445o0636o
32,57445.552163,17.053,0.056,548,31,o,0,1.29,156.03007,13.61592,7442.22,6680.99,3.54,3.01,88.8,-0.462,18.74,19.83,02a57445o0677o
33,57452.482281,18.099,0.077,209,16,c,0,1.58,156.03007,13.61592,6456.87,8060.04,3.7,3.44,87.0,-0.425,19.66,21.63,02a57452o0446c
34,57452.504321,17.936,0.069,243,17,c,0,1.28,156.03007,13.61592,6172.95,7478.32,3.74,3.48,87.5,-0.413,19.61,21.57,02a57452o0489c
35,57452.52673099999,18.137,0.075,202,15,c,0,1.62,156.03007,13.61592,7320.83,6908.92,3.74,3.39,84.7,-0.422,19.57,21.48,02a57452o0532c
36,57460.453861,16.194000000000006,0.017,1209,21,c,0,40.0,156.03007,13.61592,6588.03,7846.38,3.74,3.39,88.0,-0.4320000000000001,19.58,21.48,02a57460o0491c
37,57460.476001,18.275,0.083,178,15,c,0,1.89,156.03007,13.61592,6305.49,7264.46,3.67,3.38,-90.0,-0.426,19.56,21.43,02a57460o0534c
38,57460.498314,18.369,0.107,163,17,c,0,1.19,156.03007,13.61592,7453.68,6694.83,3.75,3.33,86.0,-0.434,19.5,21.34,02a57460o0577c
39,57460.520486,18.502,0.126,144,18,c,0,1.35,156.03007,13.61592,7436.7,6678.22,3.75,3.37,85.7,-0.436,19.44,21.25,02a57460o0620c
40,57464.433174,18.741,0.245,116,28,o,0,1.64,156.03007,13.61592,6367.12,7543.99,3.67,3.2,-86.7,-0.481,18.8,20.18,02a57464o0459o
41,57464.455431,18.259,0.163,180,29,o,0,1.63,156.03007,13.61592,6065.14,6961.95,3.62,3.19,-87.0,-0.477,18.79,20.16,02a57464o0502o
42,57464.47777000001,18.755,0.269,114,31,o,0,1.28,156.03007,13.61592,7229.77,6391.94,3.8,3.31,88.8,-0.466,18.72,20.1,02a57464o0545o
43,57464.500225,18.123,0.139,205,28,o,0,2.04,156.03007,13.61592,7439.07,6668.54,3.75,3.06,88.9,-0.476,18.76,20.13,02a57464o0588o
45,57472.455066,18.82,0.447,108,48,o,0,1.26,156.03007,13.61592,6115.21,7338.34,3.65,3.09,-89.8,-0.623,18.32,19.16,02a57472o0466o
46,57472.476221,18.561,0.321,137,44,o,0,1.75,156.03007,13.61592,7265.76,6768.34,3.67,2.92,89.7,-0.481,18.29,19.1,02a57472o0505o
47,57472.497074,17.803,0.201,275,55,o,0,1.34,156.03007,13.61592,7419.38,6675.3,3.7,2.93,88.6,-0.495,18.23,19.01,02a57472o0543o
48,57476.406811,19.685,0.454,48,22,o,0,2.94,156.03007,13.61592,6668.87,7590.28,3.79,3.22,-88.3,-0.467,19.01,20.55,02a57476o0390o
49,57476.42913500001,18.441,0.165,153,25,o,0,1.28,156.03007,13.61592,6386.75,7008.27,3.72,3.26,-87.7,-0.467,18.96,20.48,02a57476o0433o
50,57476.451416,19.473,0.409,59,24,o,0,2.02,156.03007,13.61592,7536.2,6438.57,3.81,3.26,87.8,-0.465,18.9,20.38,02a57476o0476o
51,57476.473943,18.827,0.265,107,28,o,0,1.46,156.03007,13.61592,7423.63,6673.13,3.91,3.55,86.8,-0.459,18.77,20.25,02a57476o0519o
52,57480.411222,19.558,0.302,55,16,c,0,1.52,156.03007,13.61592,6291.21,7873.77,3.79,3.46,88.2,-0.422,19.6,21.56,02a57480o0408c
53,57480.43424,18.644,0.125,127,16,c,0,1.33,156.03007,13.61592,6008.29,7294.8,3.76,3.5,-88.1,-0.422,19.59,21.55,02a57480o0453c
54,57480.457342,18.629,0.128,128,16,c,0,1.64,156.03007,13.61592,7159.9,6723.97,3.72,3.33,87.3,-0.435,19.56,21.46,02a57480o0498c
55,57480.480599,18.49,0.123,146,18,c,0,1.14,156.03007,13.61592,7424.52,6671.58,3.75,3.34,85.2,-0.436,19.5,21.36,02a57480o0543c
57,57490.365104,19.612,0.329,52,17,c,0,1.34,156.03007,13.61592,6038.7,7135.79,3.84,3.57,88.2,-0.401,19.39,21.18,02a57490o0373c
58,57490.385278,19.126,0.217,81,18,c,0,1.28,156.03007,13.61592,7203.31,6565.8,3.91,3.55,84.7,-0.404,19.42,21.26,02a57490o0407c
59,57490.403565,18.62,0.112,129,14,c,0,1.72,156.03007,13.61592,7430.36,6666.13,3.91,3.56,84.3,-0.4,19.51,21.46,02a57490o0438c
60,57491.341898,19.146,0.36,80,29,c,0,0.89,156.03007,13.61592,6743.37,7736.52,5.32,4.19,-2.3,-0.379,18.86,20.68,02a57491o0250c
62,57491.381603,20.387,0.981,25,25,c,0,1.32,156.03007,13.61592,7604.19,6588.12,4.4,4.07,86.2,-0.384,18.94,20.66,02a57491o0318c
63,57491.40010399999,19.282,0.312,70,22,c,0,1.31,156.03007,13.61592,7432.74,6666.14,4.33,4.03,84.0,-0.387,19.04,20.79,02a57491o0350c
66,57493.35948300001,19.247,0.415,73,30,o,0,1.37,156.03007,13.61592,6207.56,7059.59,3.73,3.26,-89.9,-0.474,18.62,19.72,02a57493o0290o
67,57493.380058,18.991,0.335,92,31,o,0,1.77,156.03007,13.61592,7375.28,6488.77,3.74,3.09,88.0,-0.461,18.6,19.64,02a57493o0325o
68,57493.404135,19.063,0.416,86,36,o,0,1.31,156.03007,13.61592,7429.89,6664.67,3.85,3.3,87.9,-0.45,18.53,19.58,02a57493o0373o
72,57499.429501,18.948,0.727,96,70,o,0,1.39,156.03007,13.61592,6878.69,7463.83,3.84,3.23,-89.6,-0.472,17.96,18.55,02a57499o0415o
76,57500.442427,19.099,0.8540000000000001,83,71,o,0,1.81,156.03007,13.61592,6882.72,7461.25,3.76,3.05,88.5,-0.483,17.86,18.35,02a57500o0435o
77,57505.349988,20.145,0.731,32,23,o,0,1.91,156.03007,13.61592,6831.56,7541.5,3.77,3.47,87.2,-0.479,19.1,20.73,02a57505o0251o
87,57507.344138,20.222,0.568,30,17,c,0,1.48,156.03007,13.61592,6830.92,7540.94,4.08,3.74,87.5,-0.417,19.45,21.47,02a57507o0247c
90,57507.38851,20.302,0.667,28,18,c,0,1.36,156.03007,13.61592,6889.27,7561.63,3.93,3.57,88.7,-0.423,19.41,21.35,02a57507o0334c
91,57507.40495,19.424,0.297,62,18,c,0,1.3,156.03007,13.61592,6776.5,7579.72,4.04,3.77,85.4,-0.407,19.33,21.3,02a57507o0366c
92,57509.35299400001,19.208,0.222,75,17,c,0,1.47,156.03007,13.61592,6830.45,7540.24,3.91,3.5,88.9,-0.438,19.39,21.26,02a57509o0281c
94,57509.38505,19.579,0.361,54,19,c,0,1.09,156.03007,13.61592,6792.62,7483.49,3.82,3.45,89.3,-0.4370000000000001,19.37,21.2,02a57509o0344c
96,57509.415797,19.613,0.424,52,22,c,0,1.14,156.03007,13.61592,6773.76,7579.51,3.89,3.56,89.0,-0.428,19.22,21.02,02a57509o0405c
97,57510.337914,20.127,0.524,32,17,c,0,1.47,156.03007,13.61592,6832.1,7539.32,4.05,3.66,89.9,-0.4320000000000001,19.42,21.37,02a57510o0242c
101,57510.414041,18.821,0.211,108,23,c,0,1.0,156.03007,13.61592,6777.48,7578.69,4.31,4.01,89.9,-0.391,19.11,21.06,02a57510o0389c
