Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
4,57399.565672,20.827,0.812,17,14,c,0,1.07,174.15072,-3.0773,10111.26,6663.05,3.91,3.42,80.1,-0.425,19.59,21.57,02a57399o0593c
9,57399.632436,19.972,0.42,37,16,c,0,0.92,174.15072,-3.0773,9332.3,5007.06,3.73,3.39,79.2,-0.426,19.58,21.51,02a57399o0691c
10,57408.579193,19.064,0.389,86,34,o,0,0.9,174.15072,-3.0773,1033.4,6221.4,4.02,3.53,-59.4,-0.452,18.72,19.85,02a57408o0615o
11,57408.592862,19.281,0.412,70,29,o,0,1.07,174.15072,-3.0773,9421.15,3903.48,3.62,3.3,83.5,-0.461,18.76,19.9,02a57408o0636o
12,57408.59466900001,19.884,0.7979999999999999,40,32,o,0,1.01,174.15072,-3.0773,579.04,5044.86,4.23,3.65,-47.9,-0.43,18.74,19.92,02a57408o0639o
13,57408.616439,18.598,0.213,132,28,o,0,1.09,174.15072,-3.0773,873.0,3300.59,4.55,3.65,-39.6,-0.433,18.89,20.21,02a57408o0671o
14,57408.622739,20.017,0.667,36,24,o,0,0.95,174.15072,-3.0773,10296.32,5069.66,3.77,3.21,87.4,-0.447,19.0,20.4,02a57408o0681o
16,57421.66249,19.876,0.523,41,21,c,0,1.06,174.15072,-3.0773,924.67,3341.02,4.6,3.81,-36.0,-0.397,19.21,20.87,02a57421o0773c
17,57421.66981,19.242,0.446,73,33,c,0,1.2,174.15072,-3.0773,846.82,3302.61,4.94,4.15,-35.8,-0.366,18.62,19.95,02a57421o0785c
18,57422.66258500001,19.717,0.453,47,21,c,0,1.15,174.15072,-3.0773,710.94,3398.3,5.14,4.05,-34.4,-0.373,19.17,20.95,02a57422o0773c
19,57422.66927000001,19.473,0.545,59,32,c,0,1.11,174.15072,-3.0773,848.54,3302.21,4.95,3.88,-34.3,-0.406,18.74,20.03,02a57422o0784c
20,57428.620422,20.159,0.919,31,29,c,0,0.72,174.15072,-3.0773,48.53,4569.51,4.75,3.67,-43.3,-0.368,19.63,21.63,02a57428o0689c
21,57428.635122,20.652,0.7170000000000001,20,14,c,0,1.21,174.15072,-3.0773,9767.95,4601.26,3.84,3.48,70.3,-0.461,19.63,21.59,02a57428o0713c
22,57428.653498,19.972,0.5,37,19,c,0,0.97,174.15072,-3.0773,9505.09,4021.93,3.85,3.59,57.5,-0.443,19.55,21.49,02a57428o0743c
23,57428.658416,20.101,0.5429999999999999,33,18,c,0,1.09,174.15072,-3.0773,1006.88,3413.61,4.74,3.65,-35.2,-0.423,19.44,21.3,02a57428o0751c
24,57428.66819500001,19.191,0.436,76,33,c,0,1.16,174.15072,-3.0773,967.7,3255.75,4.84,3.65,-34.2,-0.42,18.73,19.93,02a57428o0767c
28,57436.383946,18.84,0.34600000000000003,106,37,c,0,1.3,174.15072,-3.0773,111.5,7369.62,4.31,3.83,-52.8,-0.366,18.5,19.6,02a57436o0281c
29,57444.538689,19.255,0.623,72,45,o,0,0.93,174.15072,-3.0773,206.83,4286.56,4.58,3.62,-43.8,-0.414,18.35,19.22,02a57444o0251o
30,57444.581618,19.238,0.662,73,48,o,0,1.29,174.15072,-3.0773,1086.3,3131.24,4.65,3.56,-29.8,-0.463,18.29,19.09,02a57444o0282o
36,57452.529903,20.19,0.465,30,14,c,0,1.06,174.15072,-3.0773,9523.18,4680.66,3.94,3.42,74.3,-0.496,19.65,21.61,02a57452o0538c
42,57460.523631,20.104,0.506,33,17,c,0,1.03,174.15072,-3.0773,9349.21,3886.96,3.99,3.59,62.2,-0.452,19.51,21.38,02a57460o0626c
55,57476.452520000006,20.288,0.931,28,26,o,0,1.15,174.15072,-3.0773,9723.88,4208.29,4.29,3.63,72.2,-0.483,18.91,20.36,02a57476o0478o
58,57476.506826,19.705,0.741,48,35,o,0,0.98,174.15072,-3.0773,794.41,3276.67,5.01,4.01,-28.9,-0.41,18.63,20.09,02a57476o0583o
59,57476.519151,18.249,0.359,182,65,o,0,1.11,174.15072,-3.0773,10519.71,3301.64,4.55,3.88,54.2,-0.479,18.73,20.1,02a57476o0607o
64,57480.515966,20.126,0.562,32,18,c,0,0.91,174.15072,-3.0773,797.25,3271.39,4.43,3.63,-32.4,-0.416,19.41,21.22,02a57480o0611c
66,57490.390953,20.375,0.5770000000000001,26,15,c,0,1.21,174.15072,-3.0773,9382.59,4334.89,4.01,3.53,71.8,-0.4270000000000001,19.53,21.42,02a57490o0417c
69,57490.433491,20.736,0.952,18,18,c,0,0.79,174.15072,-3.0773,799.8,3266.79,4.39,3.81,-33.0,-0.394,19.54,21.57,02a57490o0488c
78,57493.419991,19.817,0.86,43,37,o,0,0.97,174.15072,-3.0773,10453.62,3110.8,4.16,3.47,68.3,-0.496,18.73,19.94,02a57493o0405o
90,57499.46030399999,18.281,0.457,177,81,o,0,1.27,174.15072,-3.0773,192.89,4186.5,4.43,3.41,-42.8,-0.429,17.77,18.02,02a57499o0475o
95,57500.466843,18.516,0.6829999999999999,142,97,o,0,0.97,174.15072,-3.0773,9858.1,4141.6,4.3,3.21,79.5,-0.4970000000000001,17.7,17.99,02a57500o0482o
99,57505.403875,20.216,0.919,30,27,o,0,1.34,174.15072,-3.0773,9885.25,4178.76,4.2,3.58,72.1,-0.484,18.84,20.21,02a57505o0355o
105,57505.45077,19.171,0.447,78,35,o,0,1.03,174.15072,-3.0773,9943.75,4201.68,4.09,3.38,74.3,-0.487,18.66,19.84,02a57505o0447o
108,57506.379114,20.395,0.957,25,24,o,0,1.19,174.15072,-3.0773,163.91,4148.48,4.87,3.78,-44.5,-0.398,19.03,20.65,02a57506o0305o
115,57506.450412,19.771,0.825,45,37,o,0,1.1,174.15072,-3.0773,9943.43,4199.53,4.47,3.87,69.3,-0.475,18.6,19.89,02a57506o0442o
120,57507.396773,20.34,0.6559999999999999,26,17,c,0,0.96,174.15072,-3.0773,206.11,4110.64,4.56,3.76,-39.6,-0.38,19.51,21.48,02a57507o0350c
125,57507.44418200001,20.112,0.662,33,22,c,0,1.2,174.15072,-3.0773,9943.81,4201.11,4.31,3.81,64.1,-0.446,19.16,20.89,02a57507o0443c
128,57508.230501,18.382,0.7509999999999999,161,121,c,0,1.21,174.15072,-3.0773,8333.7,4321.95,4.21,3.84,69.0,-0.475,17.7,18.16,02a57508o0034c
133,57509.228437,17.736,0.85,292,248,c,0,0.81,174.15072,-3.0773,9013.34,4321.82,4.15,3.57,78.8,-0.503,17.41,17.48,02a57509o0035c
135,57509.229405,18.071,0.763,214,164,c,0,1.07,174.15072,-3.0773,9013.1,4321.68,4.09,3.46,80.0,-0.4970000000000001,17.58,17.78,02a57509o0037c
136,57509.229889,18.115,0.7290000000000001,206,150,c,0,1.06,174.15072,-3.0773,9013.03,4321.55,4.09,3.43,79.4,-0.477,17.65,17.92,02a57509o0038c
137,57509.230373,18.442,0.807,152,123,c,0,1.24,174.15072,-3.0773,9012.92,4321.48,4.03,3.36,81.7,-0.465,17.74,18.06,02a57509o0039c
142,57509.232793,19.042,0.8690000000000001,88,76,c,0,0.84,174.15072,-3.0773,6203.38,4313.56,3.88,3.55,86.8,-0.47,18.05,18.71,02a57509o0044c
146,57509.422332,20.093,0.5770000000000001,33,19,c,0,0.74,174.15072,-3.0773,9922.28,4141.63,4.22,3.64,67.5,-0.459,19.4,21.25,02a57509o0418c
159,57510.23151000001,18.375,0.733,162,119,c,0,0.99,174.15072,-3.0773,4101.53,4310.25,3.89,3.72,-77.2,-0.509,17.77,18.24,02a57510o0034c
162,57510.232962,18.868,0.8490000000000001,103,87,c,0,0.98,174.15072,-3.0773,4101.03,4310.07,3.86,3.67,-77.2,-0.521,17.99,18.65,02a57510o0037c
171,57511.231284,18.333,0.777,169,131,c,0,1.13,174.15072,-3.0773,4433.08,4311.77,4.18,3.99,-81.0,-0.486,17.62,18.03,02a57511o0042c
184,57512.227774,15.387,0.452,2543,1150,c,0,1.28,174.15072,-3.0773,3986.82,4310.02,34.66,6.42,-1.8,-0.136,17.1,16.9,02a57512o0029c
186,57512.229227,17.519000000000002,0.74,357,264,c,0,0.91,174.15072,-3.0773,3986.43,4309.79,3.97,3.75,-79.8,-0.526,17.35,17.37,02a57512o0032c
187,57512.22971,17.885,0.921,255,235,c,0,1.21,174.15072,-3.0773,1193.92,4304.99,4.09,3.81,-48.7,-0.459,17.41,17.47,02a57512o0033c
191,57512.231646,18.069000000000006,0.64,215,138,c,0,1.35,174.15072,-3.0773,1193.58,4304.73,4.08,3.8,-45.7,-0.471,17.7,18.05,02a57512o0037c
192,57513.229714,17.877,0.987,257,253,c,0,0.79,174.15072,-3.0773,385.12,4307.8,4.1,3.82,-58.7,-0.503,17.38,17.4,02a57513o0028c
198,57514.303475,19.573,0.336,54,18,c,0,0.9,174.15072,-3.0773,9540.1,5184.42,4.4,3.71,75.4,-0.467,19.52,21.54,02a57514o0188c
200,57514.32902100001,20.309,0.574,27,16,c,0,1.05,174.15072,-3.0773,9616.42,5159.05,4.44,3.8,75.1,-0.451,19.51,21.57,02a57514o0240c
202,57538.288385,19.436,0.331,61,20,c,0,1.2,174.15072,-3.0773,9118.92,3658.61,4.57,3.98,65.7,-0.465,19.4,21.37,02a57538o0120c
205,57538.32144299999,20.174,0.5870000000000001,31,18,c,0,1.31,174.15072,-3.0773,9176.73,3578.65,4.38,3.89,67.0,-0.457,19.42,21.35,02a57538o0184c
207,57539.28641,20.173,0.645,31,20,c,0,1.02,174.15072,-3.0773,8897.68,4486.37,4.52,3.86,72.5,-0.468,19.4,21.36,02a57539o0108c
213,57544.268366,19.971,0.774,37,29,c,0,0.83,174.15072,-3.0773,1605.33,4513.86,4.25,3.72,-50.9,-0.47,19.02,20.85,02a57544o0080c
214,57544.280347,19.645,0.506,50,26,c,0,1.05,174.15072,-3.0773,1587.62,4475.16,4.36,3.75,-45.5,-0.466,19.08,20.92,02a57544o0104c
