Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,57400.66657,20.216,0.511,30,15,c,0,1.01,202.33572,12.22682,4135.66,6584.27,3.79,3.55,-76.9,-0.401,19.51,21.37,02a57400o0697c
4,57401.640854,20.358,0.557,26,14,c,0,1.04,202.33572,12.22682,3553.79,6126.56,3.77,3.5,-71.8,-0.406,19.7,21.7,02a57401o0685c
5,57401.658409,20.586,0.6459999999999999,21,14,c,0,1.14,202.33572,12.22682,3272.11,5547.93,3.73,3.52,-68.8,-0.404,19.69,21.64,02a57401o0708c
6,57401.667128,20.207,0.574,30,17,c,0,0.91,202.33572,12.22682,4131.3,6717.96,3.66,3.48,-84.1,-0.403,19.47,21.22,02a57401o0719c
8,57436.418874,19.754,0.89,46,40,c,0,1.25,202.33572,12.22682,4345.55,5717.25,3.99,3.84,-30.4,-0.391,18.33,19.44,02a57436o0340c
9,57436.432504,19.687,0.8220000000000001,48,40,c,0,1.01,202.33572,12.22682,4644.43,6300.1,4.2,4.1,-18.9,-0.359,18.38,19.58,02a57436o0363c
11,57436.459668,19.744,0.75,46,34,c,0,0.93,202.33572,12.22682,3224.46,6688.13,3.89,3.71,-69.3,-0.391,18.63,19.81,02a57436o0409c
13,57445.603344,19.62,0.5429999999999999,52,28,o,0,1.27,202.33572,12.22682,6274.28,5252.36,3.46,3.23,-82.2,-0.472,18.62,19.6,02a57445o0770o
17,57452.616354,20.776,0.7040000000000001,18,12,c,0,1.26,202.33572,12.22682,6135.02,4787.39,3.6,3.59,5.8,-0.41,19.63,21.57,02a57452o0704c
18,57452.6388,20.16,0.43,31,14,c,0,1.09,202.33572,12.22682,7288.26,4216.73,3.69,3.56,59.2,-0.41,19.59,21.5,02a57452o0747c
19,57452.66138400001,19.269,0.5760000000000001,71,41,c,0,1.14,202.33572,12.22682,7403.99,3987.13,3.79,3.68,59.5,-0.412,18.33,19.18,02a57452o0790c
