Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57380.655311,19.363,0.983,65,64,o,0,1.37,204.40131,-29.35576,3470.13,9271.12,4.45,4.07,-16.9,-0.463,18.13,19.21,02a57380o0671o
2,57406.62130700001,19.93,0.62,39,24,o,0,1.1,204.40131,-29.35576,4043.03,8694.39,3.7,3.35,-82.7,-0.474,19.12,20.69,02a57406o0534o
7,57407.620822,20.524,0.98,22,22,o,0,1.24,204.40131,-29.35576,4040.74,8694.12,3.94,3.68,-89.6,-0.445,19.02,20.64,02a57407o0669o
9,57407.640879,19.589,0.45,53,24,o,0,1.29,204.40131,-29.35576,3460.7,8119.39,3.87,3.48,-81.9,-0.459,19.05,20.62,02a57407o0701o
12,57410.611012,18.561,0.564,137,77,o,0,1.14,204.40131,-29.35576,4041.55,8698.37,3.68,3.34,-87.5,-0.471,18.32,19.14,02a57410o0651o
16,57410.648615,19.077,0.618,85,52,o,0,1.22,204.40131,-29.35576,3157.8,9887.63,3.65,3.46,82.5,-0.447,18.4,19.24,02a57410o0710o
17,57411.61105,18.28,0.417,177,74,o,0,1.57,204.40131,-29.35576,4031.92,8701.6,3.78,3.46,-85.1,-0.485,18.28,19.12,02a57411o0651o
22,57412.610021,19.061,0.6779999999999999,86,58,o,0,1.18,204.40131,-29.35576,4035.8,8701.68,3.79,3.45,-83.8,-0.476,18.4,19.34,02a57412o0600o
23,57412.619627,18.792,0.431,110,48,o,0,1.1,204.40131,-29.35576,4300.56,9286.26,3.95,3.75,-84.7,-0.453,18.37,19.37,02a57412o0615o
24,57412.63384800001,19.198,0.6729999999999999,76,51,o,0,1.3,204.40131,-29.35576,3451.74,8126.68,3.76,3.35,-80.7,-0.476,18.46,19.39,02a57412o0638o
28,57416.591698,18.296,0.262,174,46,o,0,1.41,204.40131,-29.35576,4037.31,9052.96,3.7,3.52,85.5,-0.46,18.51,19.52,02a57416o0624o
32,57417.576069,19.676,0.942,49,46,o,0,1.44,204.40131,-29.35576,4162.7,8912.9,3.8,3.51,85.5,-0.456,18.48,19.54,02a57417o0581o
38,57423.581786,19.457,0.299,60,18,c,0,1.26,204.40131,-29.35576,4509.66,9208.01,3.77,3.63,57.2,-0.417,19.47,21.32,02a57423o0505c
40,57423.597242,19.629,0.35,51,18,c,0,1.19,204.40131,-29.35576,3332.98,9794.07,3.84,3.69,40.2,-0.404,19.49,21.35,02a57423o0530c
41,57423.612067,19.535,0.322,56,18,c,0,1.05,204.40131,-29.35576,3087.13,9670.45,3.84,3.67,41.1,-0.411,19.47,21.33,02a57423o0554c
42,57429.551168,19.354,0.259,66,17,c,0,1.07,204.40131,-29.35576,4105.82,8596.46,3.91,3.69,-86.0,-0.428,19.58,21.62,02a57429o0552c
43,57429.566532,20.184,0.557,31,17,c,0,1.4,204.40131,-29.35576,4360.1,9168.06,3.92,3.69,85.1,-0.429,19.61,21.66,02a57429o0577c
44,57429.57698200001,17.015,0.258,568,146,c,0,0.76,204.40131,-29.35576,6475.07,36.44,4.83,3.56,6.3,-0.482,19.63,21.68,02a57429o0594c
45,57429.581878,19.918,0.434,39,17,c,0,1.38,204.40131,-29.35576,3181.54,9755.03,3.94,3.8,-85.4,-0.416,19.64,21.67,02a57429o0602c
46,57429.597239,20.289,0.5770000000000001,28,16,c,0,1.32,204.40131,-29.35576,3068.48,9668.99,3.92,3.74,-77.5,-0.42,19.65,21.69,02a57429o0627c
48,57438.60107300001,20.06,0.976,34,34,o,0,1.35,204.40131,-29.35576,6429.54,1438.13,3.81,3.4,1.6,-0.521,18.62,19.63,02a57438o0659o
49,57438.619572,19.525,0.625,56,35,o,0,1.28,204.40131,-29.35576,7566.38,840.9,3.93,3.38,10.5,-0.531,18.69,19.74,02a57438o0690o
51,57438.637938,19.013,0.34700000000000003,90,31,o,0,1.4,204.40131,-29.35576,7518.06,801.54,3.89,3.46,5.1,-0.536,18.84,20.1,02a57438o0720o
52,57439.57707000001,19.393,0.785,64,50,o,0,1.21,204.40131,-29.35576,3870.32,8906.11,3.74,3.44,-74.2,-0.472,18.38,19.27,02a57439o0638o
62,57447.620476,19.031,0.473,89,42,o,0,1.29,204.40131,-29.35576,7516.95,798.62,4.59,3.48,8.3,-0.529,18.57,19.63,02a57447o0794o
63,57453.541273,20.188,0.551,30,17,c,0,1.64,204.40131,-29.35576,3970.54,8649.95,3.93,3.71,-63.2,-0.442,19.49,21.4,02a57453o0639c
65,57453.582963,20.022,0.474,36,17,c,0,1.8,204.40131,-29.35576,7524.92,853.06,4.52,3.72,8.7,-0.481,19.5,21.38,02a57453o0709c
67,57453.60384600001,20.553,0.978,22,21,c,0,1.05,204.40131,-29.35576,7510.09,796.99,4.54,3.74,7.8,-0.478,19.48,21.35,02a57453o0744c
86,57469.399483,18.425,0.618,155,96,o,0,1.34,204.40131,-29.35576,4035.47,9391.85,3.98,3.67,-53.8,-0.537,17.87,18.54,02a57469o0392o
