Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57366.500976,20.32,0.968,27,26,o,0,1.33,108.05958,7.239610000000001,3406.75,6174.69,4.16,3.86,-62.7,-0.416,19.23,21.12,02a57366o0467o
2,57366.517216,19.145,0.292,80,23,o,0,1.09,108.05958,7.239610000000001,3987.78,6755.75,4.02,3.83,-33.7,-0.417,19.24,21.14,02a57366o0491o
3,57388.43179,20.103,0.655,33,22,o,0,1.46,108.05958,7.239610000000001,3367.78,6174.54,3.87,3.36,-68.5,-0.464,19.17,20.81,02a57388o0392o
4,57388.444741,19.661,0.481,50,24,o,0,1.14,108.05958,7.239610000000001,3082.3,5594.36,3.81,3.39,-62.3,-0.476,19.19,20.8,02a57388o0409o
7,57390.421516,20.491,0.765,23,18,c,0,1.25,108.05958,7.239610000000001,3365.04,6174.25,3.91,3.55,-68.4,-0.405,19.62,21.63,02a57390o0360c
8,57390.437238,19.25,0.237,72,17,c,0,1.19,108.05958,7.239610000000001,3080.03,5595.45,3.94,3.59,-63.8,-0.401,19.64,21.67,02a57390o0384c
11,57391.44099600001,19.742,0.333,46,15,c,0,1.22,108.05958,7.239610000000001,3078.55,5596.19,3.97,3.6,-61.6,-0.409,19.66,21.7,02a57391o0379c
12,57391.453077,19.811,0.394,43,17,c,0,1.13,108.05958,7.239610000000001,3936.95,6766.66,3.88,3.55,-71.6,-0.417,19.65,21.71,02a57391o0396c
15,57392.42120599999,19.903,0.434,40,17,c,0,1.22,108.05958,7.239610000000001,3025.71,5457.48,4.11,3.67,-56.9,-0.416,19.56,21.57,02a57392o0269c
16,57392.433033,20.173,0.578,31,18,c,0,1.01,108.05958,7.239610000000001,3865.86,6617.71,3.89,3.55,-72.2,-0.425,19.6,21.6,02a57392o0288c
18,57400.444322,19.466,0.254,59,15,c,0,1.44,108.05958,7.239610000000001,7282.2,4431.23,3.65,3.48,77.8,-0.411,19.65,21.62,02a57400o0391c
19,57400.46191799999,18.809,0.141,109,15,c,0,1.14,108.05958,7.239610000000001,7602.95,5023.03,3.79,3.57,81.1,-0.402,19.61,21.62,02a57400o0414c
