Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,57384.56184800001,19.27,0.944,71,67,o,0,1.03,165.52546,36.90306,2736.02,7400.82,3.75,3.55,-81.1,-0.424,18.04,18.9,02a57384o0543o
16,57403.555632,20.769,0.816,18,15,c,0,1.07,165.52546,36.90306,2153.62,6819.62,3.93,3.64,-61.5,-0.419,19.7,21.77,02a57403o0550c
21,57415.577351,20.004,0.7759999999999999,36,28,o,0,0.88,165.52546,36.90306,7438.9,3947.78,3.71,3.48,80.8,-0.419,18.75,19.96,02a57415o0606o
22,57415.59696900001,19.606,0.54,52,28,o,0,1.04,165.52546,36.90306,8618.42,3390.63,3.66,3.46,74.8,-0.442,18.75,19.96,02a57415o0635o
23,57415.623672,19.623,0.637,51,33,o,0,1.04,165.52546,36.90306,8872.76,3322.34,3.85,3.69,67.1,-0.438,18.69,19.93,02a57415o0675o
24,57420.54879,19.54,0.251,56,14,c,0,1.25,165.52546,36.90306,8170.77,4323.74,3.73,3.47,79.2,-0.399,19.54,21.4,02a57420o0497c
25,57420.575447,19.155,0.2,79,16,c,0,1.07,165.52546,36.90306,7868.45,3740.74,3.66,3.49,76.5,-0.404,19.51,21.33,02a57420o0536c
26,57420.582323,19.546,0.28,55,16,c,0,1.16,165.52546,36.90306,9052.96,3183.55,3.75,3.58,67.7,-0.422,19.5,21.32,02a57420o0547c
27,57420.608907,19.089,0.17600000000000002,84,15,c,0,1.58,165.52546,36.90306,8878.9,3319.39,3.76,3.6,71.3,-0.417,19.47,21.28,02a57420o0587c
28,57427.52488200001,18.665,0.108,124,13,c,0,1.04,165.52546,36.90306,7864.8,4220.53,3.83,3.66,67.6,-0.403,19.7,21.83,02a57427o0531c
29,57427.546995,18.931,0.147,97,14,c,0,1.14,165.52546,36.90306,7609.85,3645.26,3.85,3.75,48.9,-0.398,19.69,21.79,02a57427o0565c
30,57427.571052,19.198,0.205,76,16,c,0,0.92,165.52546,36.90306,8835.59,3103.25,3.93,3.66,31.7,-0.417,19.71,21.77,02a57427o0603c
32,57432.50419199999,18.882,0.138,102,14,c,0,1.26,165.52546,36.90306,7976.28,4245.5,4.05,3.85,56.4,-0.403,19.59,21.66,02a57432o0503c
33,57432.531601,19.231,0.228,74,17,c,0,0.8,165.52546,36.90306,7733.97,3675.29,4.08,3.91,37.1,-0.403,19.56,21.6,02a57432o0545c
34,57432.55938,19.051,0.18,87,16,c,0,1.08,165.52546,36.90306,8967.49,3136.36,4.1,3.76,48.4,-0.4270000000000001,19.61,21.64,02a57432o0587c
35,57432.579728,19.055,0.18,87,16,c,0,1.15,165.52546,36.90306,8804.99,3166.07,3.97,3.73,42.1,-0.4270000000000001,19.6,21.56,02a57432o0616c
36,57433.50598,19.145,0.197,80,16,c,0,1.02,165.52546,36.90306,7723.38,3973.91,4.16,3.97,67.3,-0.388,19.54,21.61,02a57433o0507c
37,57433.509658,19.055,0.171,87,15,c,0,1.24,165.52546,36.90306,7439.06,3389.13,4.23,4.09,52.7,-0.399,19.54,21.63,02a57433o0513c
38,57433.538742,18.957,0.16,95,15,c,0,1.19,165.52546,36.90306,8674.47,2842.93,4.31,4.01,30.2,-0.406,19.57,21.68,02a57433o0556c
39,57433.556523,19.266,0.213,71,15,c,0,1.03,165.52546,36.90306,8767.37,3150.93,4.22,3.96,42.0,-0.412,19.57,21.66,02a57433o0582c
41,57442.503491,19.689,0.8370000000000001,48,40,o,0,1.05,165.52546,36.90306,7494.62,3818.15,3.56,3.34,70.5,-0.472,18.27,18.98,02a57442o0489o
43,57442.538843,19.106,0.535,83,44,o,0,1.13,165.52546,36.90306,8836.96,3306.23,3.76,3.31,69.3,-0.493,18.24,18.94,02a57442o0539o
44,57443.47134500001,19.653,0.685,50,34,o,0,0.89,165.52546,36.90306,7843.95,4653.17,3.72,3.28,77.1,-0.489,18.56,19.55,02a57443o0493o
48,57450.461988,19.79,0.316,44,14,c,0,0.99,165.52546,36.90306,8111.62,4384.97,3.78,3.47,76.4,-0.421,19.73,21.75,02a57450o0501c
49,57450.487152,19.693,0.272,48,13,c,0,1.1,165.52546,36.90306,7813.12,3797.39,3.69,3.52,66.5,-0.424,19.73,21.73,02a57450o0541c
50,57450.508441,20.103,0.416,33,14,c,0,1.46,165.52546,36.90306,8989.5,3244.58,3.92,3.65,52.2,-0.435,19.64,21.61,02a57450o0577c
51,57450.51584099999,20.005,0.433,36,16,c,0,1.11,165.52546,36.90306,8832.54,3298.84,3.96,3.65,57.4,-0.43,19.57,21.48,02a57450o0590c
52,57451.460398,20.939,0.867,15,13,c,0,1.21,165.52546,36.90306,7876.57,4497.06,3.82,3.52,65.1,-0.425,19.72,21.76,02a57451o0500c
53,57451.48426699999,20.755,0.7170000000000001,18,13,c,0,0.97,165.52546,36.90306,7577.48,3911.51,3.75,3.59,63.8,-0.4320000000000001,19.72,21.75,02a57451o0538c
54,57451.490033,20.652,0.611,20,12,c,0,1.6,165.52546,36.90306,8759.61,3353.55,3.9,3.62,58.2,-0.449,19.72,21.76,02a57451o0548c
58,57455.49032,19.981,0.6559999999999999,37,24,c,0,1.33,165.52546,36.90306,8775.0,3203.74,4.0,3.63,52.8,-0.4370000000000001,19.06,20.99,02a57455o0524c
59,57455.507961,20.155,0.527,32,17,c,0,1.07,165.52546,36.90306,8828.94,3302.56,3.98,3.69,45.0,-0.438,19.53,21.53,02a57455o0551c
61,57463.43899,20.306,0.648,27,18,o,0,1.72,165.52546,36.90306,7902.49,4069.7,3.65,3.35,75.3,-0.483,19.13,20.74,02a57463o0339o
63,57463.486252,19.533,0.44,56,25,o,0,0.8,165.52546,36.90306,8826.43,3299.2,3.86,3.48,63.9,-0.482,19.21,20.92,02a57463o0421o
69,57471.425499,19.569000000000006,0.799,54,43,o,0,1.2,165.52546,36.90306,7359.06,3711.91,3.64,3.46,61.0,-0.506,18.27,19.05,02a57471o0224o
73,57475.424666,20.073,0.762,34,26,o,0,1.1,165.52546,36.90306,7725.34,3872.23,3.69,3.55,63.2,-0.481,18.87,20.27,02a57475o0355o
77,57479.423901,20.555,0.767,22,17,c,0,0.76,165.52546,36.90306,7411.3,4075.43,3.8,3.67,59.2,-0.434,19.61,21.56,02a57479o0361c
78,57479.443603,20.791,0.8220000000000001,18,14,c,0,1.06,165.52546,36.90306,8589.58,3519.19,4.0,3.7,49.3,-0.443,19.6,21.54,02a57479o0399c
79,57479.464397,20.609,0.76,21,16,c,0,1.04,165.52546,36.90306,8805.72,3294.29,4.12,3.79,36.2,-0.431,19.57,21.53,02a57479o0439c
80,57483.38504,20.566,0.667,22,14,c,0,1.07,165.52546,36.90306,8055.29,4722.6,3.97,3.63,75.8,-0.433,19.56,21.53,02a57483o0284c
89,57489.389328,20.858,0.86,16,14,c,0,1.17,165.52546,36.90306,7786.36,3677.3,3.96,3.79,51.3,-0.42,19.66,21.73,02a57489o0344c
90,57489.404177,20.389,0.597,25,15,c,0,1.08,165.52546,36.90306,8966.83,3122.1,4.07,3.76,50.0,-0.447,19.68,21.76,02a57489o0373c
91,57489.425516,20.494,0.625,23,14,c,0,1.21,165.52546,36.90306,8805.34,3296.66,4.07,3.78,57.7,-0.4370000000000001,19.63,21.68,02a57489o0414c
92,57498.321184,19.512,0.715,57,41,o,0,1.49,165.52546,36.90306,8161.87,4147.0,3.87,3.39,65.4,-0.513,18.21,18.93,02a57498o0227o
93,57498.340621,19.508,0.7859999999999999,57,45,o,0,1.3,165.52546,36.90306,8148.6,4113.47,4.08,3.47,76.4,-0.473,18.2,18.97,02a57498o0266o
94,57498.353991,18.887,0.484,101,49,o,0,1.05,165.52546,36.90306,8202.39,4197.73,3.88,3.31,80.0,-0.495,18.22,18.96,02a57498o0292o
97,57500.43558300001,18.841,0.488,106,52,o,0,1.14,165.52546,36.90306,8163.69,4118.26,3.9,3.42,76.8,-0.454,18.1,18.79,02a57500o0422o
109,57528.29958200001,18.983,0.452,93,42,o,0,1.11,165.52546,36.90306,7149.12,5387.24,3.8,3.04,89.1,-0.524,18.38,19.29,02a57528o0171o
110,57528.30015900001,19.472,0.917,59,54,o,0,1.27,165.52546,36.90306,7149.19,5387.07,3.85,2.96,-89.1,-0.552,18.17,19.22,02a57528o0172o
113,57532.33584199999,19.839,0.856,42,36,o,0,1.31,165.52546,36.90306,8516.12,5935.43,4.35,3.19,85.5,-0.522,18.53,19.72,02a57532o0171o
117,57536.342383,19.084,0.5329999999999999,84,45,o,0,0.99,165.52546,36.90306,7673.21,2483.66,4.54,3.98,16.0,-0.464,18.58,20.21,02a57536o0229o
124,57568.25358300001,19.35,0.884,66,58,o,0,0.86,165.52546,36.90306,8146.62,3324.27,3.93,3.35,84.4,-0.521,18.18,19.06,02a57568o0041o
125,57568.256602,18.981,0.397,93,37,o,0,1.24,165.52546,36.90306,8135.19,3283.04,3.84,3.43,79.4,-0.4970000000000001,18.48,19.6,02a57568o0047o
126,57568.262111,20.152,0.9,32,28,o,0,1.13,165.52546,36.90306,8196.63,3361.53,3.9,3.49,76.3,-0.484,18.76,20.13,02a57568o0058o
