Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57757.55902000001,18.687,0.138,122,17,c,0,1.31,170.12366,34.754090000000005,6669.73,357.95,3.8,3.79,46.4,-0.469,19.79,21.79,02a57757o0660c
1,57757.57095,18.866,0.134,103,14,c,0,1.19,170.12366,34.754090000000005,6685.01,399.97,3.77,3.71,-45.1,-0.4270000000000001,19.81,21.81,02a57757o0680c
2,57757.598335,18.872,0.166,103,17,c,0,0.96,170.12366,34.754090000000005,6622.92,324.05,3.75,3.65,-58.7,-0.429,19.85,21.87,02a57757o0723c
3,57757.61551,18.806,0.123,109,13,c,0,1.28,170.12366,34.754090000000005,6602.58,444.61,3.74,3.67,-61.3,-0.424,19.86,21.89,02a57757o0747c
4,57757.631554,18.684,0.149,122,18,c,0,0.8,170.12366,34.754090000000005,3857.27,10063.61,3.49,3.03,-2.9,-0.445,19.86,21.89,02a57757o0770c
5,57765.485764,17.570999999999998,0.146,340,50,o,0,1.3,170.12366,34.754090000000005,9333.34,2179.93,3.68,3.21,82.4,-0.482,18.25,18.77,02a57765o0554o
6,57765.498816,17.864,0.183,260,47,o,0,0.91,170.12366,34.754090000000005,9367.74,2221.21,3.65,3.15,87.0,-0.464,18.3,18.83,02a57765o0576o
7,57765.522274,18.064,0.194,216,42,o,0,1.34,170.12366,34.754090000000005,9303.14,2146.1,3.68,3.18,86.3,-0.481,18.33,18.91,02a57765o0614o
9,57765.52818,17.565,0.141,342,48,o,0,1.02,170.12366,34.754090000000005,9285.24,2264.95,3.74,3.3,84.3,-0.468,18.31,18.89,02a57765o0625o
10,57765.544513,17.648,0.14800000000000002,317,47,o,0,1.04,170.12366,34.754090000000005,9317.65,2206.41,3.6,3.08,88.2,-0.478,18.37,18.92,02a57765o0651o
11,57769.58536799999,17.659000000000006,0.127,314,40,o,0,1.09,170.12366,34.754090000000005,4039.0,9556.01,3.46,2.99,-2.2,-0.457,18.67,19.61,02a57769o0622o
12,57769.597384,17.651,0.133,316,42,o,0,1.61,170.12366,34.754090000000005,4019.94,9515.48,3.99,3.49,-4.3,-0.413,18.56,19.6,02a57769o0642o
13,57769.598396,17.555999999999994,0.14400000000000002,345,50,o,0,0.83,170.12366,34.754090000000005,4084.71,9594.62,3.74,3.23,-2.9,-0.423,18.62,19.61,02a57769o0644o
14,57777.523488,17.885,0.057,255,14,c,0,1.07,170.12366,34.754090000000005,9341.56,1809.6,3.85,3.62,76.9,-0.429,19.86,21.98,02a57777o0613c
15,57777.545474,17.708,0.049,300,15,c,0,1.14,170.12366,34.754090000000005,9374.95,1847.31,3.9,3.68,77.8,-0.42,19.84,21.98,02a57777o0653c
16,57777.556549,17.717,0.054000000000000006,297,16,c,0,0.93,170.12366,34.754090000000005,1188.71,8683.47,3.9,3.72,34.6,-0.41,19.85,21.99,02a57777o0674c
17,57777.567074,21.293000000000006,0.07400000000000001,11,1,c,0,11125.35,170.12366,34.754090000000005,31.79,1761.67,4.37,4.29,60.4,-0.35700000000000004,19.81,22.05,02a57777o0692c
18,57777.577257,17.828,0.054000000000000006,268,14,c,0,1.06,170.12366,34.754090000000005,1205.4,8565.81,3.91,3.71,35.6,-0.426,19.85,22.0,02a57777o0709c
19,57777.60183200001,17.756,0.055,287,16,c,0,1.12,170.12366,34.754090000000005,1167.48,8623.55,3.95,3.73,30.2,-0.414,19.82,21.94,02a57777o0749c
20,57777.606151,17.75,0.097,288,28,c,0,0.87,170.12366,34.754090000000005,10513.73,8709.42,4.22,3.63,85.6,-0.4,19.82,21.96,02a57777o0756c
21,57778.50923400001,17.87,0.064,258,16,c,0,1.11,170.12366,34.754090000000005,9673.95,9144.78,4.19,3.58,88.5,-0.421,19.79,21.83,02a57778o0455c
22,57778.517466,17.724,0.054000000000000006,295,16,c,0,1.2,170.12366,34.754090000000005,9707.46,9183.68,4.22,3.66,87.2,-0.42,19.78,21.83,02a57778o0470c
23,57778.525827,17.862000000000005,0.06,260,16,c,0,1.2,170.12366,34.754090000000005,9641.14,9113.5,4.11,3.52,89.9,-0.423,19.82,21.87,02a57778o0486c
24,57778.53434299999,17.688,0.052000000000000005,305,16,c,0,1.14,170.12366,34.754090000000005,9625.75,9232.81,4.12,3.63,87.6,-0.425,19.81,21.88,02a57778o0502c
25,57778.553489,17.744,0.054000000000000006,290,16,c,0,1.1,170.12366,34.754090000000005,9661.08,9173.43,4.11,3.57,85.8,-0.423,19.84,21.92,02a57778o0536c
26,57781.524936,17.944000000000006,0.061,241,15,c,0,1.11,170.12366,34.754090000000005,9009.08,1543.98,3.89,3.64,87.6,-0.411,19.89,22.01,02a57781o0549c
27,57781.547373,18.07,0.066,215,14,c,0,1.13,170.12366,34.754090000000005,9025.73,1583.97,3.86,3.58,-89.3,-0.413,19.91,22.02,02a57781o0588c
28,57781.55751599999,17.910999999999994,0.054000000000000006,249,13,c,0,1.55,170.12366,34.754090000000005,1541.48,8945.9,3.6,3.25,12.1,-0.43,19.9,21.98,02a57781o0607c
29,57781.579436,18.045,0.068,220,15,c,0,1.41,170.12366,34.754090000000005,1557.59,8829.59,3.72,3.38,18.5,-0.43,19.88,21.98,02a57781o0646c
30,57781.584131,17.910999999999994,0.071,249,18,c,0,1.1,170.12366,34.754090000000005,1509.45,8889.59,3.65,3.29,11.4,-0.428,19.88,21.98,02a57781o0654c
31,57782.482768,18.074,0.073,214,16,c,0,1.28,170.12366,34.754090000000005,10180.17,10156.54,3.73,3.29,-74.6,-0.461,19.78,21.82,02a57782o0565c
32,57782.49367,18.098,0.121,209,25,c,0,1.03,170.12366,34.754090000000005,65.29,10124.48,3.93,3.42,22.4,-0.471,19.79,21.84,02a57782o0585c
33,57782.496156,18.156,0.079,198,16,c,0,1.15,170.12366,34.754090000000005,10196.44,10198.79,3.63,3.09,-74.7,-0.518,19.8,21.84,02a57782o0590c
34,57782.519521,18.095,0.108,210,23,c,0,1.14,170.12366,34.754090000000005,79.08,10171.96,3.87,3.3,16.0,-0.507,19.83,21.91,02a57782o0633c
35,57782.520871,18.045,0.07400000000000001,220,16,c,0,1.14,170.12366,34.754090000000005,10130.52,10129.57,3.71,3.18,-70.3,-0.477,19.81,21.89,02a57782o0635c
36,57782.529995,18.097,0.079,209,17,c,0,1.01,170.12366,34.754090000000005,10119.13,10247.48,4.18,3.97,76.2,-0.387,19.75,21.91,02a57782o0652c
37,57782.54403200001,18.05,0.07,219,15,c,0,1.25,170.12366,34.754090000000005,10147.34,10188.89,3.51,3.04,-65.6,-0.518,19.85,21.9,02a57782o0677c
39,57786.49331699999,18.426,0.113,155,17,c,0,0.83,170.12366,34.754090000000005,9896.89,8869.73,3.92,3.38,-88.7,-0.401,19.79,21.82,02a57786o0372c
40,57786.506558,18.282,0.095,177,17,c,0,0.96,170.12366,34.754090000000005,9915.17,8911.95,3.92,3.43,89.7,-0.409,19.81,21.87,02a57786o0398c
41,57786.518738,18.387,0.091,160,14,c,0,0.94,170.12366,34.754090000000005,628.88,1615.12,3.94,3.81,-84.8,-0.404,19.79,21.82,02a57786o0422c
42,57786.531106,18.254,0.093,181,17,c,0,0.93,170.12366,34.754090000000005,658.14,1498.41,3.95,3.82,-80.8,-0.399,19.57,21.59,02a57786o0445c
43,57786.537769,18.443,0.115,152,18,c,0,1.34,170.12366,34.754090000000005,9882.57,8898.61,3.87,3.37,-86.8,-0.396,19.62,21.62,02a57786o0458c
44,57789.46434,18.4,0.123,158,20,o,0,1.58,170.12366,34.754090000000005,6986.58,2428.62,3.53,3.34,-85.0,-0.441,19.17,20.5,02a57789o0464o
