Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57787.6575,18.389,0.236,160,38,c,0,1.06,218.60903,-38.46986,2510.6,1782.67,4.19,3.55,-11.1,-0.423,19.05,20.83,02a57787o0861c
2,57787.672064,18.12,0.244,205,50,c,0,1.13,218.60903,-38.46986,2496.34,1743.19,3.9,3.81,-27.3,-0.408,18.52,19.42,02a57787o0890c
3,57799.633367,17.837,0.16899999999999998,266,45,o,0,1.07,218.60903,-38.46986,4103.66,2514.63,3.77,3.35,-8.3,-0.433,18.43,19.3,02a57799o0800o
4,57799.648914,18.133,0.2,203,40,o,0,1.15,218.60903,-38.46986,4074.07,2475.6,3.59,3.55,-71.3,-0.434,18.48,19.33,02a57799o0830o
5,57799.665165,18.117,0.264,206,54,o,0,0.79,218.60903,-38.46986,4137.04,2551.46,3.64,3.56,-85.5,-0.428,18.23,18.86,02a57799o0861o
6,57807.645918,19.547,0.293,55,16,c,0,1.77,218.60903,-38.46986,2610.83,4909.55,3.91,3.83,-87.6,-0.388,19.41,21.29,02a57807o0806c
7,57807.660959,19.207,0.365,75,28,c,0,1.13,218.60903,-38.46986,2582.12,4868.68,3.98,3.91,-88.3,-0.391,18.9,20.34,02a57807o0835c
8,57819.6134,18.744,0.218,116,25,o,0,1.07,218.60903,-38.46986,4550.82,4299.13,3.54,3.48,89.7,-0.429,19.05,20.64,02a57819o0640o
9,57819.628362,19.284,0.307,70,22,o,0,1.39,218.60903,-38.46986,4538.61,4258.8,3.47,3.4,-89.5,-0.439,19.04,20.58,02a57819o0669o
10,57819.643927,19.721,0.5479999999999999,47,26,o,0,0.9,218.60903,-38.46986,4602.24,4334.7,3.48,3.4,86.1,-0.433,19.05,20.59,02a57819o0699o
11,57819.65905800001,18.51,0.382,143,55,o,0,1.17,218.60903,-38.46986,4618.08,4219.83,3.48,3.4,-86.9,-0.44,18.05,18.67,02a57819o0728o
17,57831.58538500001,19.582,0.615,53,33,o,0,1.19,218.60903,-38.46986,3181.6,3953.42,3.83,3.72,-85.9,-0.419,18.03,19.02,02a57831o0719o
18,57831.59940499999,19.065,0.395,86,34,o,0,1.11,218.60903,-38.46986,3168.55,3913.41,3.91,3.79,-81.8,-0.411,17.99,18.99,02a57831o0747o
19,57831.628068,18.65,0.267,126,34,o,0,1.16,218.60903,-38.46986,3248.0,3871.76,3.84,3.71,-82.8,-0.415,17.94,18.87,02a57831o0804o
21,57835.583311,19.023,0.255,89,23,c,0,1.16,218.60903,-38.46986,3637.89,4229.51,3.73,3.57,71.4,-0.391,18.69,20.22,02a57835o0616c
23,57835.61496,19.516,0.389,57,22,c,0,1.4,218.60903,-38.46986,3688.73,4266.45,3.77,3.61,81.3,-0.39,18.58,20.06,02a57835o0676c
26,57839.56389500001,19.254,0.265,72,19,c,0,1.12,218.60903,-38.46986,3762.69,3763.8,3.83,3.73,63.0,-0.387,18.84,20.64,02a57839o0654c
27,57839.57940900001,20.491,0.772,23,18,c,0,1.46,218.60903,-38.46986,3748.64,3723.3,3.86,3.72,70.9,-0.389,18.82,20.59,02a57839o0683c
28,57839.595402,19.273,0.276,71,20,c,0,1.27,218.60903,-38.46986,3811.82,3800.02,3.87,3.7,75.3,-0.386,18.79,20.54,02a57839o0713c
29,57839.61086,19.943,0.523,38,20,c,0,1.36,218.60903,-38.46986,3828.15,3683.22,3.93,3.77,80.7,-0.385,18.76,20.54,02a57839o0742c
30,57839.626786,19.715,0.5,47,24,c,0,0.92,218.60903,-38.46986,3785.92,3737.34,3.84,3.69,57.0,-0.387,18.68,20.45,02a57839o0772c
33,57847.574966,20.163,0.7609999999999999,31,24,c,0,1.06,218.60903,-38.46986,4538.68,3897.06,4.1,3.99,74.7,-0.368,18.61,20.34,02a57847o0668c
34,57851.532024,19.265,0.528,72,38,o,0,1.48,218.60903,-38.46986,2727.88,5112.7,3.57,3.49,32.4,-0.442,17.74,18.34,02a57851o0535o
38,57859.546538,19.0,0.524,91,48,o,0,1.13,218.60903,-38.46986,2429.5,2327.1,3.7,3.59,-34.9,-0.452,17.75,18.44,02a57859o0636o
41,57863.52696,19.879,0.5920000000000001,41,24,c,0,1.05,218.60903,-38.46986,2864.65,4993.46,3.76,3.62,73.1,-0.392,18.44,19.79,02a57863o0558c
42,57863.539517,19.666,0.4920000000000001,49,24,c,0,1.08,218.60903,-38.46986,2851.46,4952.39,3.75,3.6,74.4,-0.396,18.38,19.68,02a57863o0582c
44,57863.566265,19.256,0.416,72,30,c,0,0.97,218.60903,-38.46986,2932.54,4911.07,3.88,3.71,83.2,-0.381,18.2,19.45,02a57863o0633c
45,57871.486766,21.001,0.929,14,13,c,0,1.1,218.60903,-38.46986,5821.75,3936.36,2.96,2.82,42.4,-0.447,19.2,20.36,02a57871o0347c
48,57871.53410599999,20.092,0.349,33,12,c,0,1.26,218.60903,-38.46986,5875.57,3855.35,2.87,2.77,37.9,-0.446,19.11,20.26,02a57871o0437c
51,57879.483249,19.989,0.6629999999999999,37,24,o,0,1.6,218.60903,-38.46986,2310.94,3393.96,2.71,2.51,16.2,-0.4320000000000001,18.49,19.04,02a57879o0498o
52,57879.499496,20.102,0.665,33,22,o,0,2.05,218.60903,-38.46986,2375.56,3470.39,2.51,2.35,14.7,-0.445,18.51,19.0,02a57879o0529o
61,57895.444573,20.663,0.711,20,14,c,0,1.25,218.60903,-38.46986,3145.98,4866.43,3.59,3.45,13.0,-0.444,19.26,21.2,02a57895o0399c
62,57895.460822,19.431,0.25,61,15,c,0,1.65,218.60903,-38.46986,3208.61,4943.02,3.67,3.42,14.1,-0.446,19.06,21.09,02a57895o0430c
68,57903.440177,20.947,0.838,15,13,c,0,1.35,218.60903,-38.46986,4763.27,2670.72,2.65,2.59,60.5,-0.48,19.53,21.06,02a57903o0400c
78,57923.357776,16.951,0.484,602,291,o,0,1.04,218.60903,-38.46986,5511.3,3239.25,2.27,2.14,69.5,-0.465,16.0,16.92,02a57923o0223o
80,57923.37522,14.28,0.4320000000000001,7048,3045,o,0,1.32,218.60903,-38.46986,5590.99,3198.87,2.32,2.2,88.8,-0.445,13.51,14.58,02a57923o0258o
86,57930.348067,20.062,0.643,34,22,o,0,1.0,218.60903,-38.46986,7634.35,8233.05,3.9,3.06,-46.6,-0.438,18.98,20.42,01a57930o0191o
88,57930.365265,19.658,0.684,50,34,o,0,1.1,218.60903,-38.46986,7552.12,8337.8,5.73,5.36,-39.0,-0.463,18.39,20.25,01a57930o0226o
96,57938.346575,19.152,0.6729999999999999,79,53,o,0,1.22,218.60903,-38.46986,5833.34,5596.57,3.61,3.06,-46.0,-0.457,18.1,18.87,01a57938o0116o
99,57940.362245,19.109,0.501,82,41,o,0,1.58,218.60903,-38.46986,3451.69,1897.88,2.61,2.33,64.8,-0.444,18.04,18.46,02a57940o0207o
104,57948.311973,20.371,0.579,26,15,o,0,1.72,218.60903,-38.46986,2531.85,1704.47,2.27,1.96,42.2,-0.511,19.33,20.28,02a57948o0141o
105,57948.319927,20.43,0.647,24,16,o,0,0.79,218.60903,-38.46986,2595.93,1782.88,2.21,1.95,42.2,-0.512,19.33,20.25,02a57948o0157o
114,57954.317582,20.294,0.635,28,18,o,0,1.35,218.60903,-38.46986,6651.97,6885.01,3.63,2.8,-84.9,-0.44,19.0,20.55,01a57954o0219o
115,57960.282941,20.59,0.505,21,11,o,0,1.88,218.60903,-38.46986,4418.33,2824.89,2.14,1.97,65.2,-0.444,19.44,20.6,02a57960o0074o
