Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
6,57737.484574,19.068,0.746,86,64,o,0,1.11,135.4124,20.74933,9645.86,276.08,3.66,3.29,81.6,-0.484,18.23,18.8,02a57737o0545o
9,57737.49503400001,18.045,0.311,220,68,o,0,1.19,135.4124,20.74933,9625.64,396.29,3.57,3.16,82.2,-0.484,18.28,18.82,02a57737o0565o
11,57737.50248,18.866,0.557,103,57,o,0,1.43,135.4124,20.74933,3068.33,10134.6,3.21,2.87,-3.4,-0.475,18.33,18.89,02a57737o0577o
17,57745.55204,20.366,0.623,26,16,c,0,1.15,135.4124,20.74933,9403.42,1599.34,3.97,3.64,-87.3,-0.416,19.61,21.47,02a57745o0669c
18,57745.56519,20.719,0.867,19,16,c,0,1.4,135.4124,20.74933,9424.41,1485.51,4.57,4.0,1.5,-0.388,19.49,21.46,02a57745o0689c
21,57753.517404,18.846,0.537,105,56,c,0,0.91,135.4124,20.74933,3551.56,8226.2,4.3,3.94,86.5,-0.383,18.2,20.2,02a57753o0489c
23,57753.554857,19.786,0.696,44,31,c,0,1.24,135.4124,20.74933,6983.96,2241.44,3.71,3.6,86.7,-0.415,18.88,20.74,02a57753o0554c
27,57757.540275,20.672,0.6940000000000001,20,14,c,0,1.5,135.4124,20.74933,9434.13,2267.46,3.84,3.46,88.9,-0.425,19.72,21.64,02a57757o0629c
29,57761.476174,20.283,0.8759999999999999,28,24,o,0,1.58,135.4124,20.74933,2599.3,6912.65,3.41,3.33,31.1,-0.485,19.0,20.2,02a57761o0487o
40,57777.485613,20.919,0.851,16,13,c,0,1.84,135.4124,20.74933,6560.29,795.25,3.79,3.72,-7.2,-0.421,19.68,21.66,02a57777o0546c
44,57781.457288,20.926,0.755,16,12,c,0,2.13,135.4124,20.74933,6942.35,1089.06,3.76,3.63,-82.7,-0.414,19.76,21.73,02a57781o0430c
45,57781.471072,20.023,0.396,36,14,c,0,1.5,135.4124,20.74933,6922.43,1049.19,3.77,3.66,89.3,-0.41,19.75,21.71,02a57781o0455c
46,57781.494804,20.121,0.402,32,13,c,0,1.73,135.4124,20.74933,6978.71,1130.14,3.79,3.61,-81.3,-0.409,19.74,21.7,02a57781o0498c
47,57781.50790800001,20.489,0.62,23,14,c,0,1.46,135.4124,20.74933,7000.73,1013.8,3.79,3.69,-78.6,-0.411,19.74,21.69,02a57781o0519c
48,57781.519181,21.087,1.0,13,13,c,0,1.76,135.4124,20.74933,6965.19,1074.15,3.79,3.67,-79.3,-0.412,19.72,21.67,02a57781o0540c
49,57789.39374400001,18.071,0.13,215,28,o,0,1.31,135.4124,20.74933,1464.23,10187.49,4.23,3.08,10.3,-0.452,18.93,20.31,02a57789o0343o
50,57789.39421900001,18.271,0.172,179,31,o,0,1.09,135.4124,20.74933,8113.15,429.25,4.28,3.64,4.9,-0.422,18.91,20.29,02a57789o0344o
51,57789.412358,18.403,0.196,158,31,o,0,1.14,135.4124,20.74933,8128.16,472.78,4.74,3.7,7.0,-0.395,18.86,20.3,02a57789o0376o
52,57789.423525,18.251,0.2,182,36,o,0,1.08,135.4124,20.74933,1476.4,10232.92,5.42,4.97,34.0,-0.361,18.64,20.31,02a57789o0396o
53,57789.432124,17.909000000000006,0.121,249,30,o,0,1.17,135.4124,20.74933,9068.91,295.17,3.46,3.17,84.6,-0.479,19.11,20.35,02a57789o0409o
54,57789.43450900001,18.08,0.116,213,25,o,0,1.45,135.4124,20.74933,2420.82,10057.2,3.29,2.8,3.6,-0.4970000000000001,19.09,20.33,02a57789o0414o
55,57789.44227000001,18.348,0.153,166,26,o,0,1.59,135.4124,20.74933,2439.07,9937.32,3.32,2.83,8.2,-0.5,19.09,20.34,02a57789o0427o
56,57789.4437,18.303,0.162,173,28,o,0,1.16,135.4124,20.74933,9088.15,178.56,3.45,3.12,86.7,-0.478,19.11,20.37,02a57789o0430o
