Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57783.651277,18.165,0.079,197,16,c,0,1.53,205.84692,-19.94368,6625.74,9827.47,4.05,3.93,80.5,-0.401,19.63,21.69,02a57783o0833c
1,57783.667294000006,18.735,0.189,116,22,c,0,1.14,205.84692,-19.94368,6607.1,9790.43,4.18,4.04,75.3,-0.396,19.2,20.89,02a57783o0864c
2,57783.677504,14.828,0.974,4253,4144,c,0,0.06,205.84692,-19.94368,4671.68,36.58,4.34,4.04,-10.2,-0.425,17.91,18.44,02a57783o0884c
4,57787.63168200001,17.244,0.036000000000000004,460,17,c,0,1.27,205.84692,-19.94368,5789.77,8597.29,3.56,3.54,43.4,-0.452,19.71,21.71,02a57787o0810c
5,57787.639663,17.245,0.037000000000000005,459,17,c,0,1.38,205.84692,-19.94368,5771.41,8560.19,3.57,3.55,51.6,-0.451,19.7,21.7,02a57787o0825c
6,57787.654039,17.254,0.038,455,18,c,0,1.33,205.84692,-19.94368,5826.91,8642.61,3.63,3.59,66.7,-0.441,19.67,21.66,02a57787o0854c
7,57787.668612,17.297,0.053,438,23,c,0,1.18,205.84692,-19.94368,5844.48,8525.79,3.52,3.5,-16.3,-0.456,19.19,20.65,02a57787o0883c
9,57799.604049,16.895,0.096,634,61,o,0,1.06,205.84692,-19.94368,7428.11,9325.2,3.57,3.53,-75.5,-0.467,18.31,19.05,02a57799o0744o
10,57799.61975599999,16.905,0.096,628,60,o,0,1.13,205.84692,-19.94368,7410.77,9287.35,3.66,3.28,-4.3,-0.454,18.31,19.04,02a57799o0774o
11,57799.634897,16.904,0.086,628,54,o,0,1.46,205.84692,-19.94368,7485.26,9365.73,3.42,3.21,-18.0,-0.44,18.34,19.03,02a57799o0803o
12,57799.650974,17.069000000000006,0.114,540,62,o,0,1.3,205.84692,-19.94368,7505.15,9250.75,3.46,3.34,-42.0,-0.454,18.3,18.99,02a57799o0834o
13,57799.666256,17.164,0.163,495,81,o,0,1.57,205.84692,-19.94368,7453.65,9307.72,4.28,3.75,4.3,-0.448,18.0,18.62,02a57799o0863o
14,57803.62558099999,16.924,0.045,617,28,c,0,1.24,205.84692,-19.94368,6617.66,218.03,3.81,3.75,-3.0,-0.446,19.21,20.7,02a57803o0793c
15,57803.637264,16.875,0.04,646,26,c,0,1.16,205.84692,-19.94368,6601.52,178.11,3.76,3.66,-8.4,-0.458,19.22,20.69,02a57803o0816c
16,57803.648488,16.953,0.063,601,38,c,0,1.23,205.84692,-19.94368,6659.88,257.19,3.79,3.72,-13.0,-0.445,18.85,20.26,02a57803o0836c
17,57803.65053099999,16.971,0.068,591,40,c,0,1.05,205.84692,-19.94368,8733.55,10065.7,3.71,3.5,-76.9,-0.451,18.87,20.37,02a57803o0840c
