Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
3,57799.59633200001,18.328,0.27,169,46,o,0,2.29,167.50821000000005,63.64337,4938.2,3923.55,3.95,3.91,-54.5,-0.647,18.66,20.25,01a57799o0677o
6,57801.559537,18.241,0.236,184,43,o,0,1.11,167.50821000000005,63.64337,2610.12,4414.25,4.12,3.92,-77.5,-0.595,18.68,20.28,01a57801o0588o
7,57801.563083,18.17,0.206,196,40,o,0,1.23,167.50821000000005,63.64337,2587.51,4530.11,4.22,3.99,-80.1,-0.5820000000000001,18.65,20.3,01a57801o0595o
10,57802.560001,18.133,0.231,203,47,o,0,1.33,167.50821000000005,63.64337,2611.76,4414.67,4.6,4.37,-87.8,-0.562,18.43,20.14,01a57802o0589o
11,57802.563565,17.765,0.17,284,48,o,0,1.52,167.50821000000005,63.64337,2588.94,4530.95,5.16,4.94,-77.7,-0.526,18.32,20.17,01a57802o0596o
13,57803.541493,19.331,0.61,67,41,o,0,1.38,167.50821000000005,63.64337,3619.29,2027.41,4.78,4.65,73.9,-0.542,18.71,20.69,01a57803o0448o
16,57805.511741,19.549,0.695,55,38,o,0,1.85,167.50821000000005,63.64337,5309.25,2535.91,4.31,4.16,79.1,-0.5820000000000001,18.79,20.69,01a57805o0526o
17,57805.523353,17.832,0.154,267,41,o,0,1.24,167.50821000000005,63.64337,5328.88,2575.67,4.47,4.3,85.5,-0.578,18.77,20.72,01a57805o0545o
19,57805.551626,18.086,0.191,212,40,o,0,1.77,167.50821000000005,63.64337,5254.87,2637.11,4.25,4.13,77.6,-0.585,18.71,20.52,01a57805o0594o
21,57807.516949,19.763,0.696,45,31,o,0,1.79,167.50821000000005,63.64337,3349.48,2990.25,4.57,4.38,-86.4,-0.5429999999999999,18.98,21.11,01a57807o0476o
27,57817.503604,18.48,0.204,147,30,o,0,1.79,167.50821000000005,63.64337,3859.26,2407.56,4.87,3.99,-76.4,-0.429,19.02,21.2,01a57817o0502o
29,57817.52845,18.633,0.237,128,30,o,0,1.9,167.50821000000005,63.64337,3795.06,2448.76,4.58,3.8,-75.3,-0.466,19.04,21.16,01a57817o0546o
35,57827.46711799999,18.93,0.397,97,39,o,0,1.52,167.50821000000005,63.64337,4676.06,3450.07,3.93,3.48,-77.0,-0.433,18.47,19.87,01a57827o0470o
37,57827.497534,19.021,0.397,89,36,o,0,1.48,167.50821000000005,63.64337,4603.82,3490.45,3.77,3.29,-72.6,-0.449,18.5,19.82,01a57827o0528o
38,57829.44428,19.748,0.812,46,37,o,0,1.21,167.50821000000005,63.64337,4084.8,3894.13,4.15,3.68,-83.3,-0.433,18.63,20.27,01a57829o0406o
44,57831.47377899999,19.604,0.588,52,31,o,0,1.86,167.50821000000005,63.64337,2551.18,3974.94,3.84,3.34,-89.2,-0.482,18.92,20.62,01a57831o0466o
46,57835.42502,19.722,0.564,47,26,o,0,1.81,167.50821000000005,63.64337,3406.82,3930.07,3.82,3.33,-87.6,-0.461,19.13,21.07,01a57835o0282o
51,57839.438765,18.843,0.287,105,30,o,0,1.56,167.50821000000005,63.64337,3277.22,1803.4,3.64,3.29,75.9,-0.461,18.94,20.79,01a57839o0296o
53,57840.407075,19.927,0.647,39,25,o,0,1.71,167.50821000000005,63.64337,4668.5,4300.0,3.57,3.36,79.0,-0.475,18.97,20.94,01a57840o0335o
59,57844.412564,19.613,0.514,52,27,o,0,2.12,167.50821000000005,63.64337,5549.33,2466.76,3.94,3.87,79.9,-0.451,18.93,21.03,01a57844o0335o
62,57847.385537,17.977999999999994,0.14800000000000002,234,34,o,0,1.39,167.50821000000005,63.64337,5753.75,1484.1,3.89,3.66,41.6,-0.459,18.7,20.33,01a57847o0292o
65,57848.394622,18.699,0.29,120,35,o,0,1.45,167.50821000000005,63.64337,3128.85,2440.2,3.58,3.27,75.0,-0.475,18.62,20.08,01a57848o0314o
66,57848.407148,18.955,0.379,95,36,o,0,1.92,167.50821000000005,63.64337,3082.38,2364.57,3.55,3.22,77.4,-0.477,18.59,20.0,01a57848o0337o
67,57848.41963500001,19.344,0.516,66,34,o,0,1.69,167.50821000000005,63.64337,3064.39,2481.08,3.51,3.25,80.0,-0.473,18.58,19.98,01a57848o0359o
68,57851.371071,18.103,0.209,208,44,o,0,1.32,167.50821000000005,63.64337,2370.36,3758.33,3.36,3.0,80.1,-0.488,18.39,19.53,01a57851o0286o
69,57851.384443,18.546,0.267,139,37,o,0,1.85,167.50821000000005,63.64337,2393.95,3802.59,3.49,3.12,73.9,-0.48,18.36,19.54,01a57851o0313o
71,57851.411338,19.58,0.768,54,41,o,0,1.65,167.50821000000005,63.64337,2319.39,3841.61,3.53,3.23,80.4,-0.475,18.33,19.52,01a57851o0365o
81,57859.38094800001,19.182,0.391,77,30,o,0,2.06,167.50821000000005,63.64337,4709.77,3834.55,3.48,3.31,-89.5,-0.471,18.08,19.49,01a57859o0292o
82,57859.395875,18.775,0.307,112,34,o,0,1.77,167.50821000000005,63.64337,4697.61,3952.01,3.33,3.22,-82.1,-0.489,18.06,19.39,01a57859o0318o
84,57860.365444,19.032,0.316,88,28,o,0,2.7,167.50821000000005,63.64337,3045.23,2513.79,3.97,3.49,87.8,-0.455,18.32,20.2,01a57860o0269o
87,57862.418595,19.273,0.28300000000000003,71,20,c,0,1.23,167.50821000000005,63.64337,7263.87,5594.56,4.03,3.77,81.3,-0.382,18.92,20.81,02a57862o0402c
88,57862.419559,19.409,0.29,63,18,c,0,1.7,167.50821000000005,63.64337,7246.7,5555.56,4.41,4.09,65.1,-0.341,18.84,20.81,02a57862o0404c
89,57862.43616900001,19.645,0.366,50,18,c,0,1.77,167.50821000000005,63.64337,7300.01,5634.84,3.83,3.54,79.9,-0.398,18.93,20.72,02a57862o0438c
98,57864.52314299999,18.179,0.183,194,36,o,0,1.54,167.50821000000005,63.64337,3682.14,3530.75,3.87,3.47,-80.9,-0.445,18.03,19.6,01a57864o0593o
102,57868.467645,19.991,0.977,37,36,o,0,3.26,167.50821000000005,63.64337,4318.62,2046.62,3.69,3.59,-60.0,-0.446,17.74,19.28,01a57868o0510o
103,57868.482611,18.869,0.36,103,37,o,0,2.9,167.50821000000005,63.64337,4339.6,2085.51,4.07,3.73,-83.1,-0.447,17.97,19.49,01a57868o0540o
105,57868.510345,17.55,0.166,347,58,o,0,1.23,167.50821000000005,63.64337,4274.81,2121.22,3.88,3.5,-80.8,-0.46,17.83,19.2,01a57868o0595o
107,57870.409528,19.804,0.249,44,11,c,0,3.38,167.50821000000005,63.64337,5612.18,7100.12,2.48,2.29,52.0,-0.488,19.48,20.66,02a57870o0283c
109,57870.433191,19.367,0.189,65,12,c,0,2.35,167.50821000000005,63.64337,5690.31,7058.4,2.58,2.39,51.7,-0.48,19.41,20.61,02a57870o0328c
110,57870.455788,19.493,0.189,58,11,c,0,4.59,167.50821000000005,63.64337,5644.83,7113.96,2.59,2.41,48.0,-0.484,19.31,20.43,02a57870o0371c
115,57887.28724600001,19.976,0.487,37,18,o,0,1.98,167.50821000000005,63.64337,1844.69,2284.08,3.86,3.04,-34.9,-0.491,19.26,20.66,01a57887o0131o
117,57887.31737300001,18.595,0.155,132,20,o,0,2.33,167.50821000000005,63.64337,1776.27,2440.68,3.78,3.07,-37.1,-0.488,19.04,20.15,01a57887o0185o
118,57891.289985,20.085,0.417,34,14,o,0,2.86,167.50821000000005,63.64337,3238.57,3511.22,3.15,3.0,60.0,-0.445,19.22,20.49,01a57891o0003o
121,57896.257822,18.755,0.123,114,14,o,0,3.06,167.50821000000005,63.64337,1449.22,3976.74,2.99,2.77,-80.0,-0.473,19.31,20.79,01a57896o0067o
122,57896.274893,20.077,0.339,34,12,o,0,3.4,167.50821000000005,63.64337,1465.27,4085.6,3.12,2.93,-79.2,-0.467,19.36,20.83,01a57896o0101o
125,57899.278636,20.143,0.377,32,12,o,0,4.21,167.50821000000005,63.64337,2577.86,2908.71,3.27,3.11,-64.6,-0.453,19.22,20.75,01a57899o0109o
126,57899.30753300001,20.021,0.388,36,14,o,0,2.1,167.50821000000005,63.64337,2527.65,3057.62,3.21,2.97,-64.8,-0.458,19.3,20.85,01a57899o0162o
127,57900.262528,19.456,0.31,60,19,o,0,1.67,167.50821000000005,63.64337,1910.75,1534.74,3.27,2.96,67.3,-0.456,19.12,20.41,01a57900o0040o
133,57914.301031,18.533,0.35200000000000004,140,49,o,0,2.98,167.50821000000005,63.64337,6353.64,8988.29,2.29,2.11,19.5,-0.528,18.62,19.09,02a57914o0123o
139,57922.31165800001,19.688,0.6890000000000001,48,33,o,0,2.67,167.50821000000005,63.64337,6546.75,5435.73,2.15,2.08,-21.1,-0.466,18.45,19.48,02a57922o0150o
141,57922.330541,18.77,0.208,113,24,o,0,1.68,167.50821000000005,63.64337,6618.96,5397.2,2.13,2.0,-33.5,-0.477,18.86,19.82,02a57922o0188o
142,57925.29895800001,18.89,0.118,101,12,o,0,3.59,167.50821000000005,63.64337,2928.87,5369.69,3.06,2.81,41.4,-0.456,19.47,21.01,01a57925o0120o
143,57925.307839,20.017,0.348,36,12,o,0,3.95,167.50821000000005,63.64337,2967.5,5436.3,3.1,2.87,35.2,-0.447,19.44,20.99,01a57925o0138o
144,57925.317182000006,19.569000000000006,0.233,54,13,o,0,3.82,167.50821000000005,63.64337,2940.89,5384.27,3.08,2.84,32.3,-0.446,19.43,20.97,01a57925o0157o
145,57925.328505,18.94,0.13699999999999998,96,13,o,0,3.3,167.50821000000005,63.64337,2951.95,5530.7,3.05,2.94,32.1,-0.449,19.45,20.99,01a57925o0180o
146,57927.297941,19.768,0.233,45,10,o,0,5.68,167.50821000000005,63.64337,5024.48,5528.09,2.1,1.96,-21.7,-0.463,19.62,20.7,02a57927o0087o
147,57927.307352,18.927,0.115,98,11,o,0,5.39,167.50821000000005,63.64337,5003.73,5488.08,2.05,1.92,-28.7,-0.475,19.62,20.68,02a57927o0106o
148,57927.31688200001,20.64,0.511,20,10,o,0,25.55,167.50821000000005,63.64337,5063.04,5563.83,2.13,1.98,-20.0,-0.462,19.59,20.65,02a57927o0125o
149,57927.32575,19.947,0.308,38,12,o,0,6.89,167.50821000000005,63.64337,5079.23,5447.38,2.14,2.04,-30.7,-0.467,19.53,20.64,02a57927o0143o
150,57929.296071,19.116,0.185,82,15,o,0,2.53,167.50821000000005,63.64337,4817.26,3873.86,3.59,3.2,45.8,-0.433,19.26,20.78,01a57929o0113o
151,57929.30396900001,19.162,0.207,79,16,o,0,2.48,167.50821000000005,63.64337,4857.71,3934.83,3.75,3.26,49.1,-0.426,19.2,20.8,01a57929o0129o
154,57933.295523,18.521,0.104,142,15,o,0,3.69,167.50821000000005,63.64337,2857.95,3099.7,2.98,2.88,25.7,-0.454,19.34,20.71,01a57933o0113o
155,57933.30633300001,18.77,0.119,113,13,o,0,3.33,167.50821000000005,63.64337,2906.46,3167.97,3.05,2.85,33.5,-0.457,19.28,20.67,01a57933o0135o
157,57933.328545,20.489,0.569,23,13,o,0,3.21,167.50821000000005,63.64337,2901.0,3254.37,2.99,2.88,9.4,-0.458,19.25,20.61,01a57933o0180o
160,57937.307453,18.895,0.242,100,24,o,0,1.86,167.50821000000005,63.64337,3060.92,4224.49,3.52,3.33,13.9,-0.438,18.67,19.74,01a57937o0130o
162,57941.284714,19.284,0.421,70,30,o,0,1.52,167.50821000000005,63.64337,2125.96,2141.69,3.4,3.25,20.1,-0.4370000000000001,18.52,19.34,01a57941o0080o
163,57941.293689,18.245,0.153,183,28,o,0,3.02,167.50821000000005,63.64337,2172.02,2203.14,3.1,3.05,23.9,-0.459,18.54,19.3,01a57941o0098o
164,57941.305547,18.323,0.197,170,34,o,0,1.46,167.50821000000005,63.64337,2147.44,2149.9,3.6,3.4,8.9,-0.433,18.33,19.23,01a57941o0122o
