Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57756.64154,19.839,0.375,42,16,c,0,0.94,171.40941999999995,7.33356,3267.76,3346.02,3.89,3.65,75.9,-0.394,19.7,21.6,02a57756o0817c
1,57756.660467,20.674,0.733,20,14,c,0,1.18,171.40941999999995,7.33356,3324.72,3422.57,3.84,3.64,73.6,-0.397,19.66,21.5,02a57756o0850c
2,57756.675461,18.7,0.459,120,55,c,0,1.02,171.40941999999995,7.33356,3343.43,3306.57,3.81,3.62,80.1,-0.4,18.33,18.88,02a57756o0877c
14,57776.628029,20.82,0.84,17,14,c,0,1.32,171.40941999999995,7.33356,1836.17,4113.01,3.95,3.8,74.4,-0.384,19.65,21.58,02a57776o0789c
25,57784.623624,19.643,0.376,50,19,c,0,1.09,171.40941999999995,7.33356,3439.96,3897.07,3.83,3.75,89.0,-0.373,19.41,21.42,02a57784o0593c
37,57800.565284,18.895,0.276,100,28,o,0,1.0,171.40941999999995,7.33356,10376.03,6087.86,3.78,2.9,90.0,-0.46,18.95,20.09,02a57800o0505o
40,57800.598476,19.112,0.335,82,28,o,0,1.21,171.40941999999995,7.33356,10418.1,6126.59,3.85,3.1,88.6,-0.448,18.87,20.01,02a57800o0566o
43,57800.628653,19.254,0.446,72,32,o,0,1.07,171.40941999999995,7.33356,10402.84,6064.58,3.89,3.47,81.3,-0.444,18.8,19.92,02a57800o0622o
44,57804.54386000001,15.152,0.966,3157,3050,c,0,1.16,171.40941999999995,7.33356,466.69,6193.96,4.14,3.81,67.7,-0.412,16.26,18.03,02a57804o0641c
45,57804.55645599999,18.821,0.268,108,29,c,0,1.64,171.40941999999995,7.33356,10256.11,6222.97,4.01,3.47,-87.2,-0.423,18.81,20.51,02a57804o0663c
48,57804.573265,19.091,0.26,84,22,c,0,0.9,171.40941999999995,7.33356,10238.1,6185.0,4.08,3.58,-88.1,-0.422,19.33,21.08,02a57804o0693c
49,57804.576731,19.126,0.326,81,26,c,0,0.96,171.40941999999995,7.33356,507.92,6232.4,4.02,3.7,54.0,-0.398,19.05,20.68,02a57804o0699c
50,57804.589921000006,19.218,0.262,75,20,c,0,0.93,171.40941999999995,7.33356,529.39,6114.14,4.06,3.75,56.8,-0.388,19.33,21.04,02a57804o0724c
52,57804.603559,18.754,0.17600000000000002,114,20,c,0,0.94,171.40941999999995,7.33356,10318.85,6146.11,3.99,3.47,89.8,-0.429,19.36,21.05,02a57804o0751c
53,57804.607621,19.171,0.226,78,18,c,0,1.11,171.40941999999995,7.33356,493.81,6171.34,3.97,3.7,57.1,-0.394,19.3,20.97,02a57804o0758c
54,57804.621295,18.651,0.158,126,20,c,0,1.21,171.40941999999995,7.33356,10282.23,6202.58,4.02,3.51,87.2,-0.407,19.31,20.97,02a57804o0781c
55,57806.55037999999,19.272,0.545,71,39,o,0,1.04,171.40941999999995,7.33356,8136.87,5351.59,3.88,3.46,-83.6,-0.578,18.8,20.62,01a57806o0654o
56,57806.564767,19.244,0.481,73,35,o,0,1.42,171.40941999999995,7.33356,8158.17,5390.58,3.86,3.42,-82.5,-0.586,18.82,20.62,01a57806o0682o
58,57808.529884,18.871,0.158,103,16,c,0,0.82,171.40941999999995,7.33356,566.76,4933.72,3.91,3.62,68.3,-0.388,19.64,21.52,02a57808o0593c
59,57808.542787,18.521,0.106,142,15,c,0,1.21,171.40941999999995,7.33356,10354.42,4962.29,3.97,3.36,86.9,-0.441,19.63,21.51,02a57808o0617c
60,57808.54708200001,18.617,0.131,130,17,c,0,1.0,171.40941999999995,7.33356,549.64,4893.82,3.93,3.66,69.6,-0.387,19.6,21.43,02a57808o0625c
61,57808.547521,19.454,0.59,60,35,o,0,1.11,171.40941999999995,7.33356,7093.41,4806.88,4.06,3.73,-84.0,-0.579,18.83,20.74,01a57808o0550o
62,57808.557239,18.364,0.096,164,16,c,0,1.05,171.40941999999995,7.33356,10336.36,4923.12,3.94,3.36,86.1,-0.421,19.61,21.47,02a57808o0644c
63,57808.561937,19.741,0.721,46,33,o,0,1.06,171.40941999999995,7.33356,7115.37,4846.02,4.03,3.7,-80.0,-0.575,18.8,20.67,01a57808o0578o
64,57808.564042,18.727,0.14400000000000002,117,17,c,0,1.1,171.40941999999995,7.33356,610.86,4969.52,3.89,3.66,73.3,-0.393,19.53,21.36,02a57808o0657c
65,57808.572961,18.608,0.156,131,20,c,0,1.05,171.40941999999995,7.33356,630.93,4850.72,3.88,3.62,74.5,-0.395,19.31,21.1,02a57808o0673c
66,57808.57498300001,18.624,0.128,129,16,c,0,1.15,171.40941999999995,7.33356,10397.28,5000.13,3.94,3.3,86.0,-0.4270000000000001,19.56,21.38,02a57808o0677c
67,57808.575239,18.892,0.365,101,37,o,0,1.12,171.40941999999995,7.33356,7056.79,4770.58,3.89,3.58,-77.6,-0.596,18.81,20.62,01a57808o0604o
68,57808.589699,19.034,0.393,88,35,o,0,1.16,171.40941999999995,7.33356,7039.25,4885.7,4.01,3.71,-76.1,-0.573,18.76,20.6,01a57808o0632o
69,57808.59037100001,18.783,0.206,111,23,c,0,1.08,171.40941999999995,7.33356,595.82,4906.87,3.88,3.69,73.8,-0.389,18.94,20.73,02a57808o0707c
70,57808.591368,18.62,0.233,129,30,c,0,1.01,171.40941999999995,7.33356,10421.15,4881.65,3.97,3.4,85.6,-0.425,19.18,21.0,02a57808o0709c
71,57808.607002,18.778,0.155,112,17,c,0,1.05,171.40941999999995,7.33356,10383.89,4938.58,3.92,3.33,86.6,-0.409,19.5,21.31,02a57808o0740c
72,57816.449849,18.546,0.104,139,14,c,0,1.13,171.40941999999995,7.33356,3587.69,3420.38,3.82,3.71,78.4,-0.38,19.68,21.72,02a57816o0390c
73,57816.47011900001,18.651,0.122,126,15,c,0,0.94,171.40941999999995,7.33356,3569.19,3384.11,3.76,3.63,69.9,-0.387,19.7,21.72,02a57816o0429c
74,57816.47613,18.714,0.119,119,14,c,0,1.12,171.40941999999995,7.33356,3625.14,3460.5,3.81,3.66,77.0,-0.384,19.69,21.72,02a57816o0440c
