Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
8,57751.59748200001,20.848000000000006,0.863,17,14,c,0,1.02,149.96077,-20.99376,2778.55,6924.64,3.78,3.72,33.1,-0.399,19.77,21.85,02a57751o0341c
29,57771.587936,20.119,1.0,33,33,o,0,1.1,149.96077,-20.99376,8975.84,6207.36,4.52,3.91,3.3,-0.381,18.63,19.92,02a57771o0754o
30,57771.60349,19.447,0.493,60,30,o,0,1.32,149.96077,-20.99376,8941.57,6265.02,3.87,3.86,44.4,-0.412,18.67,19.84,02a57771o0784o
36,57783.496077,17.506,0.418,361,151,c,0,0.56,149.96077,-20.99376,34.09,7706.17,3.96,3.86,55.4,-0.388,19.72,21.79,02a57783o0534c
38,57783.524721,19.836,0.389,42,16,c,0,0.93,149.96077,-20.99376,9788.23,7709.7,4.22,3.61,83.9,-0.422,19.74,21.84,02a57783o0589c
40,57783.540268,20.451,0.635,24,15,c,0,1.32,149.96077,-20.99376,9864.11,7790.29,4.22,3.67,85.9,-0.419,19.72,21.83,02a57783o0619c
46,57787.492625,20.804,0.809,17,14,c,0,1.23,149.96077,-20.99376,8951.54,6512.79,4.13,3.74,83.0,-0.398,19.75,21.97,02a57787o0534c
47,57787.50676,20.706,0.655,19,12,c,0,1.49,149.96077,-20.99376,9007.83,6591.62,3.88,3.48,86.8,-0.426,19.82,21.97,02a57787o0563c
48,57787.521066,19.992,0.42,37,15,c,0,1.01,149.96077,-20.99376,9045.1,6475.75,3.89,3.46,88.3,-0.4270000000000001,19.82,21.96,02a57787o0592c
50,57799.454387,19.123,0.369,81,30,o,0,1.25,149.96077,-20.99376,864.07,7220.89,3.79,3.53,51.0,-0.46,18.83,20.02,02a57799o0455o
51,57799.468912,18.47,0.219,149,33,o,0,1.05,149.96077,-20.99376,848.07,7180.55,3.56,3.34,55.6,-0.4920000000000001,18.86,20.0,02a57799o0483o
52,57799.483859,18.836,0.319,106,34,o,0,0.86,149.96077,-20.99376,904.54,7258.84,3.64,3.37,47.3,-0.484,18.85,19.99,02a57799o0512o
53,57799.499953,18.548,0.257,138,36,o,0,0.99,149.96077,-20.99376,925.27,7141.97,3.97,3.55,19.0,-0.457,18.75,19.95,02a57799o0543o
54,57799.515514,18.394,0.225,159,36,o,0,0.82,149.96077,-20.99376,889.57,7198.34,3.64,3.4,43.4,-0.475,18.79,19.9,02a57799o0573o
55,57800.511734,18.896,0.526,100,53,o,0,1.23,149.96077,-20.99376,8165.86,826.47,3.77,3.39,41.3,-0.618,18.4,19.82,01a57800o0538o
56,57800.526745,18.714,0.464,119,55,o,0,1.03,149.96077,-20.99376,8186.75,865.95,3.95,3.5,45.8,-0.609,18.36,19.81,01a57800o0566o
57,57803.481686,17.705,0.06,301,18,c,0,1.11,149.96077,-20.99376,2093.21,7954.22,3.9,3.69,38.5,-0.411,19.55,21.47,02a57803o0510c
58,57803.493431,17.748,0.064,289,18,c,0,1.06,149.96077,-20.99376,2078.58,7913.57,3.9,3.71,45.9,-0.409,19.43,21.25,02a57803o0533c
59,57803.517291,17.678,0.07,308,22,c,0,1.09,149.96077,-20.99376,2155.21,7873.24,3.68,3.51,34.8,-0.431,19.32,20.95,02a57803o0580c
60,57803.52903099999,17.687,0.076,306,23,c,0,1.04,149.96077,-20.99376,2119.99,7929.17,3.67,3.49,34.6,-0.438,19.27,20.86,02a57803o0603c
61,57804.47680800001,17.822,0.157,270,42,o,0,1.2,149.96077,-20.99376,8594.66,10390.42,4.04,3.65,-72.5,-0.586,18.86,20.85,01a57804o0390o
62,57804.49109400001,17.768,0.12,284,34,o,0,1.75,149.96077,-20.99376,8613.5,10430.31,4.01,3.63,-70.0,-0.5710000000000001,18.76,20.7,01a57804o0418o
64,57804.505355,18.076,0.195,214,42,o,0,1.08,149.96077,-20.99376,8556.49,10352.26,3.88,3.52,-72.0,-0.6,18.87,20.78,01a57804o0446o
65,57804.506973,19.701,0.841,48,40,o,0,0.84,149.96077,-20.99376,1096.55,711.5,4.98,4.59,-84.6,-0.501,18.86,20.76,01a57804o0449o
