Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57762.55460700001,20.027,0.762,35,27,o,0,1.23,187.28132,36.45712,4981.87,7914.91,3.27,3.06,-23.1,-0.417,18.96,20.1,02a57762o0710o
5,57765.537013,18.672,0.6579999999999999,123,81,o,0,1.21,187.28132,36.45712,8054.84,8680.11,3.47,3.19,-72.8,-0.475,18.35,18.95,02a57765o0640o
9,57765.609779,18.833,0.58,106,62,o,0,1.39,187.28132,36.45712,8037.28,8710.38,3.37,3.1,-68.6,-0.433,18.5,19.18,02a57765o0754o
22,57778.55974500001,20.316,0.489,27,13,c,0,1.12,187.28132,36.45712,6838.53,5849.44,3.8,3.51,87.4,-0.402,19.84,21.92,02a57778o0548c
24,57778.585199,21.03,0.848,14,12,c,0,1.27,187.28132,36.45712,6867.89,5911.37,3.78,3.5,89.5,-0.407,19.85,21.93,02a57778o0594c
25,57782.5251,20.927,0.96,16,15,c,0,0.92,187.28132,36.45712,7339.52,6870.17,3.74,3.48,-88.1,-0.422,19.83,21.92,02a57782o0643c
27,57782.550352,20.678,0.662,20,13,c,0,1.15,187.28132,36.45712,7310.84,6833.78,3.62,3.4,-81.4,-0.44,19.87,21.96,02a57782o0689c
29,57782.578702,20.068,0.391,34,13,c,0,1.17,187.28132,36.45712,7330.23,6895.6,3.71,3.51,-87.4,-0.422,19.87,21.99,02a57782o0741c
31,57786.543354,19.63,0.28300000000000003,51,14,c,0,1.31,187.28132,36.45712,7112.8,5658.24,3.72,3.47,86.5,-0.406,19.67,21.7,02a57786o0468c
32,57786.548513,19.971,0.34700000000000003,37,13,c,0,1.13,187.28132,36.45712,7049.75,5586.19,3.73,3.47,-89.4,-0.402,19.76,21.81,02a57786o0478c
92,57806.509952,19.612,0.275,52,14,c,0,0.9,187.28132,36.45712,8284.66,6864.66,3.86,3.45,-90.0,-0.429,19.8,21.86,02a57806o0545c
94,57806.526776,20.361,0.5,26,13,c,0,0.97,187.28132,36.45712,2275.5,3543.66,3.82,3.75,-79.2,-0.388,19.79,21.85,02a57806o0577c
106,57817.474813,20.621,0.655,20,13,c,0,1.21,187.28132,36.45712,6537.7,8428.67,3.71,3.56,83.8,-0.439,19.79,21.93,02a57817o0395c
148,57838.460629,19.851,0.35600000000000004,42,15,c,0,1.28,187.28132,36.45712,2413.05,4828.66,4.53,4.34,-30.8,-0.35100000000000003,18.95,21.22,02a57838o0394c
188,57854.39174500001,18.792,0.836,110,92,o,0,1.41,187.28132,36.45712,3686.27,4176.11,3.56,3.49,89.3,-0.418,17.29,17.64,02a57854o0351o
190,57854.409303,18.928,0.81,98,79,o,0,1.41,187.28132,36.45712,3760.36,4129.17,3.5,3.42,-80.8,-0.453,17.18,17.41,02a57854o0385o
203,57858.45363400001,20.057,0.989,34,34,o,0,0.7,187.28132,36.45712,3991.03,1806.13,3.54,3.43,-65.0,-0.45,18.24,19.15,02a57858o0459o
223,57868.515479,16.621,0.046,816,38,o,0,5.73,187.28132,36.45712,7153.15,6036.87,3.72,3.45,-11.7,-0.483,17.99,19.45,01a57868o0605o
235,57882.3644,18.584,0.151,134,20,o,0,1.56,187.28132,36.45712,3524.24,1271.98,2.57,1.97,19.3,-0.508,18.97,19.35,02a57882o0271o
236,57882.381245,19.374,0.37,65,24,o,0,0.98,187.28132,36.45712,3508.23,1231.16,2.68,2.16,19.1,-0.484,18.87,19.33,02a57882o0303o
237,57882.390179,16.654,0.034,791,27,o,0,16.82,187.28132,36.45712,3555.89,1307.6,2.87,2.32,20.6,-0.471,18.77,19.33,02a57882o0320o
