Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
18,57765.330173,18.476,0.5670000000000001,148,84,o,0,1.07,36.84692,25.27563,10067.26,9175.26,3.67,3.04,-85.8,-0.485,18.38,18.98,02a57765o0270o
30,57769.30505900001,19.507,0.5589999999999999,57,32,o,0,0.99,36.84692,25.27563,3529.03,10483.94,4.0,3.27,8.2,-0.402,19.25,20.91,02a57769o0186o
52,57781.310982,20.245,0.8270000000000001,29,24,c,0,1.16,36.84692,25.27563,10500.57,9814.51,3.96,3.44,-86.5,-0.425,19.55,21.38,02a57781o0159c
62,57793.241229,19.249,0.596,72,43,o,0,0.95,36.84692,25.27563,4048.93,1029.68,4.76,3.64,-2.4,-0.443,18.42,19.44,02a57793o0058o
65,57797.234051,18.844,0.413,105,43,o,0,1.02,36.84692,25.27563,6572.41,9633.35,3.77,3.51,-61.7,-0.617,18.83,20.47,01a57797o0055o
66,57797.249837,18.991,0.504,92,46,o,0,0.95,36.84692,25.27563,6591.26,9672.67,3.8,3.54,-55.6,-0.607,18.81,20.44,01a57797o0085o
67,57797.257174,19.471,0.7559999999999999,59,45,o,0,0.99,36.84692,25.27563,6536.0,9596.84,3.86,3.62,-54.3,-0.607,18.69,20.25,01a57797o0099o
69,57797.276572,19.237,0.469,73,34,o,0,1.1,36.84692,25.27563,6451.54,1290.24,3.79,3.56,-1.2,-0.44,18.62,19.61,02a57797o0026o
71,57801.224212,18.304,0.16899999999999998,173,29,o,0,1.07,36.84692,25.27563,6153.94,1939.36,3.94,3.83,-84.5,-0.412,18.79,20.01,02a57801o0024o
72,57801.248498,18.785,0.21600000000000005,111,24,o,0,0.89,36.84692,25.27563,6136.22,1896.64,3.8,3.66,-84.3,-0.447,19.1,20.55,02a57801o0069o
73,57801.26096,19.525,0.431,56,24,o,0,0.96,36.84692,25.27563,6182.74,1976.27,3.86,3.73,-79.0,-0.438,19.07,20.53,02a57801o0091o
74,57801.27334199999,18.445,0.153,152,23,o,0,1.01,36.84692,25.27563,6214.68,1858.21,3.73,3.56,-80.8,-0.453,19.08,20.5,02a57801o0114o
75,57801.28719600001,19.409,0.378,63,24,o,0,0.99,36.84692,25.27563,6157.6,1916.77,3.67,3.5,-81.9,-0.458,19.05,20.44,02a57801o0140o
76,57805.240776,18.313,0.105,172,18,c,0,1.05,36.84692,25.27563,4105.51,2399.26,4.03,3.84,86.1,-0.366,19.35,21.1,02a57805o0040c
77,57805.251266,18.118,0.08800000000000001,206,18,c,0,1.08,36.84692,25.27563,4071.59,2358.37,3.93,3.81,82.8,-0.3670000000000001,19.38,21.11,02a57805o0061c
78,57805.263314,18.000999999999994,0.081,229,18,c,0,0.97,36.84692,25.27563,4141.3,2434.81,3.92,3.77,88.7,-0.373,19.35,21.07,02a57805o0085c
79,57805.274823,18.276,0.104,178,18,c,0,1.09,36.84692,25.27563,4159.23,2317.16,3.87,3.74,-88.5,-0.383,19.33,21.03,02a57805o0108c
80,57805.28599400001,18.114,0.105,206,22,c,0,0.85,36.84692,25.27563,4125.15,2372.39,3.89,3.77,-86.7,-0.377,19.28,20.97,02a57805o0130c
84,57809.25947200001,11.609000000000002,0.615,82489,50692,c,0,1.46,36.84692,25.27563,1520.07,9773.85,3.89,3.53,88.5,-0.444,13.4,15.15,02a57809o0075c
87,57973.609378,19.361,0.735,65,48,o,0,0.94,36.84692,25.27563,4186.88,9486.6,2.62,2.38,-69.6,-0.536,17.97,18.37,01a57973o0702o
97,57979.63389400001,20.623,1.0,20,20,o,0,1.22,36.84692,25.27563,4400.65,1565.68,2.0,1.94,84.6,-0.443,18.66,18.88,02a57979o0703o
100,57981.62384,20.774,0.879,18,16,o,0,0.74,36.84692,25.27563,5886.02,1235.57,2.92,2.83,-52.6,-0.45,19.29,20.69,01a57981o0712o
106,57985.597573,20.739,0.545,18,10,o,0,1.62,36.84692,25.27563,2183.64,9679.94,2.89,2.49,-79.3,-0.487,19.53,21.37,01a57985o0616o
110,57985.62813300001,20.88,0.805,16,13,o,0,1.41,36.84692,25.27563,7843.52,795.18,3.14,3.04,-58.3,-0.4370000000000001,19.29,20.95,01a57985o0661o
126,57993.619529,21.111,0.986,13,13,o,0,1.05,36.84692,25.27563,7463.24,6446.26,3.16,2.74,-86.1,-0.444,19.33,20.91,01a57993o0376o
132,57997.586605,19.887,0.294,40,12,o,0,1.37,36.84692,25.27563,7580.59,3858.14,3.2,2.99,-82.5,-0.43,19.33,20.99,01a57997o0687o
145,58005.537317,19.886,0.778,40,31,o,0,1.13,36.84692,25.27563,2859.05,6106.16,2.92,2.65,-89.6,-0.485,18.59,19.36,01a58005o0308o
153,58009.53442999999,20.248,0.449,29,13,o,0,1.07,36.84692,25.27563,4106.41,5968.73,2.97,2.78,-84.0,-0.454,19.32,20.81,01a58009o0524o
