Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57768.578727,18.22,0.449,187,84,o,0,1.22,156.07509,-3.72109,6877.75,2274.96,3.73,3.52,-86.1,-0.493,17.8,18.1,02a57768o0725o
11,57776.607866,20.851,0.958,17,16,c,0,0.81,156.07509,-3.72109,5605.75,2133.74,3.86,3.81,-76.0,-0.385,19.68,21.65,02a57776o0750c
22,57784.603939,20.736,0.88,18,16,c,0,1.0,156.07509,-3.72109,7178.97,1721.26,3.9,3.87,-33.5,-0.395,19.71,21.82,02a57784o0553c
29,57800.516906,19.282,0.379,70,27,o,0,0.92,156.07509,-3.72109,4298.68,3990.86,3.57,3.45,85.6,-0.419,18.98,20.15,02a57800o0417o
30,57800.533336,19.551,0.485,55,27,o,0,0.82,156.07509,-3.72109,4280.79,3950.94,3.53,3.43,-89.1,-0.423,18.97,20.11,02a57800o0447o
31,57800.54979400001,18.934,0.249,97,24,o,0,1.31,156.07509,-3.72109,4340.1,4027.22,3.55,3.44,89.4,-0.4270000000000001,18.93,20.05,02a57800o0477o
32,57800.56578300001,19.549,0.485,55,27,o,0,1.24,156.07509,-3.72109,4363.5,3910.57,3.56,3.51,-79.4,-0.418,18.88,19.99,02a57800o0506o
33,57800.583064,19.972,0.778,37,29,o,0,1.03,156.07509,-3.72109,4326.54,3965.54,3.57,3.54,-31.0,-0.42,18.82,19.92,02a57800o0537o
34,57804.50384299999,18.192,0.177,192,34,o,0,0.92,156.07509,-3.72109,5695.99,5867.21,3.88,3.68,-76.0,-0.578,18.92,20.81,01a57804o0443o
35,57804.518303,18.102,0.146,208,30,o,0,1.92,156.07509,-3.72109,5716.53,5905.26,3.81,3.61,-72.5,-0.589,18.93,20.79,01a57804o0471o
36,57804.52509600001,15.952,0.505,1511,762,c,0,1.03,156.07509,-3.72109,4163.49,4086.35,3.95,3.78,75.4,-0.366,16.5,18.15,02a57804o0607c
37,57804.532057,18.068,0.161,215,35,o,0,0.92,156.07509,-3.72109,5659.17,5828.25,4.07,3.87,-74.9,-0.573,18.83,20.73,01a57804o0498o
39,57804.54572,18.807,0.29,109,32,o,0,1.22,156.07509,-3.72109,5639.39,5943.37,4.1,3.88,-74.3,-0.5579999999999999,18.78,20.64,01a57804o0525o
40,57804.572763,18.667,0.193,124,24,c,0,0.92,156.07509,-3.72109,4208.09,4103.38,3.96,3.85,80.5,-0.37,19.12,20.8,02a57804o0692c
41,57806.497384,17.671,0.104,310,32,o,0,1.4,156.07509,-3.72109,4460.18,7468.99,4.05,3.89,-62.4,-0.564,18.81,20.65,01a57806o0551o
42,57806.51198600001,18.022,0.14800000000000002,225,33,o,0,0.98,156.07509,-3.72109,4481.6,7506.78,4.05,3.87,-65.5,-0.5920000000000001,18.8,20.65,01a57806o0579o
43,57806.525693,17.924,0.141,246,35,o,0,1.07,156.07509,-3.72109,4423.0,7429.54,4.07,3.89,-63.0,-0.556,18.83,20.69,01a57806o0606o
44,57806.53951,17.852999999999994,0.124,262,32,o,0,1.29,156.07509,-3.72109,4403.46,7545.24,4.19,4.02,-64.1,-0.556,18.73,20.57,01a57806o0633o
45,57808.494516,17.802,0.121,275,33,o,0,1.05,156.07509,-3.72109,3413.12,6921.91,4.11,3.91,-73.4,-0.552,18.89,20.76,01a57808o0447o
46,57808.495521,17.684,0.075,306,23,c,0,0.81,156.07509,-3.72109,4277.95,2869.02,3.76,3.68,84.4,-0.381,19.28,21.14,02a57808o0529c
47,57808.508897,17.595,0.1,333,33,o,0,1.09,156.07509,-3.72109,3434.54,6959.27,4.2,4.01,-74.1,-0.5539999999999999,18.88,20.8,01a57808o0475o
48,57808.512135,17.527,0.048,354,17,c,0,0.87,156.07509,-3.72109,4261.6,2828.98,3.74,3.69,-89.7,-0.383,19.65,21.56,02a57808o0560c
49,57808.52278099999,17.625999999999994,0.111,323,36,o,0,1.24,156.07509,-3.72109,3375.71,6881.79,4.69,4.54,-66.3,-0.5379999999999999,18.75,20.82,01a57808o0502o
50,57808.52888400001,17.642,0.048,318,15,c,0,1.33,156.07509,-3.72109,4321.24,2907.57,3.73,3.67,-80.0,-0.385,19.62,21.49,02a57808o0591c
51,57808.536542,17.656,0.1,314,32,o,0,1.35,156.07509,-3.72109,3355.59,6997.43,4.32,4.12,-73.7,-0.541,18.82,20.75,01a57808o0529o
52,57808.563052,17.689,0.066,305,20,c,0,0.87,156.07509,-3.72109,4307.48,2844.08,3.81,3.78,-74.1,-0.384,19.45,21.28,02a57808o0655c
53,57810.526422,17.078,0.444,536,238,o,0,1.36,156.07509,-3.72109,3590.8,8702.61,3.8,3.67,-35.2,-0.603,16.79,18.54,01a57810o0600o
