Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
3,57776.561813,20.347,0.6,26,16,c,0,1.37,125.99438,-6.89841,1091.71,5535.38,3.97,3.79,69.0,-0.407,19.6,21.64,02a57776o0663c
4,57780.48531,20.46,0.667,24,16,c,0,1.1,125.99438,-6.89841,900.9,7090.05,3.86,3.59,41.7,-0.451,19.72,21.73,02a57780o0522c
6,57780.518502,20.911,0.957,16,15,c,0,1.25,125.99438,-6.89841,946.28,7126.78,3.78,3.48,45.8,-0.458,19.74,21.72,02a57780o0582c
9,57784.47094,20.278,0.476,28,13,c,0,1.33,125.99438,-6.89841,2633.61,5276.44,3.92,3.76,65.7,-0.383,19.75,21.9,02a57784o0313c
18,57800.40970800001,18.857,0.511,104,53,o,0,1.18,125.99438,-6.89841,7476.47,2607.48,3.49,3.26,31.4,-0.653,18.66,20.2,01a57800o0345o
23,57800.463741,19.993,0.727,36,27,o,0,1.22,125.99438,-6.89841,9577.87,7456.69,3.76,3.13,89.5,-0.469,18.97,20.19,02a57800o0319o
26,57800.515825,19.82,0.706,43,30,o,0,1.34,125.99438,-6.89841,9622.27,7473.43,3.81,3.34,87.6,-0.456,18.8,19.96,02a57800o0415o
27,57804.382962,18.051,0.5,219,109,o,0,1.22,125.99438,-6.89841,10122.91,2321.58,4.1,3.48,83.6,-0.632,17.7,19.46,01a57804o0207o
28,57804.397901,18.872,0.728,103,75,o,0,1.29,125.99438,-6.89841,10143.57,2360.51,4.02,3.4,84.0,-0.648,18.42,20.29,01a57804o0236o
31,57804.42752000001,17.624000000000006,0.331,324,107,o,0,2.03,125.99438,-6.89841,10068.62,2398.69,3.91,3.32,84.4,-0.648,17.38,19.26,01a57804o0294o
32,57804.432738,19.002,0.78,91,71,o,0,1.6,125.99438,-6.89841,296.04,2405.2,5.02,4.54,89.0,-0.485,17.88,19.75,01a57804o0304o
33,57804.444185,19.403,0.391,63,25,c,0,1.46,125.99438,-6.89841,9477.86,7632.28,3.87,3.47,-86.4,-0.4370000000000001,18.68,20.63,02a57804o0458c
34,57804.446904,19.876,1.0,41,41,o,0,1.87,125.99438,-6.89841,273.68,2523.88,5.14,4.64,-89.3,-0.484,18.66,20.61,01a57804o0332o
36,57804.474329,19.894,0.772,40,31,c,0,1.06,125.99438,-6.89841,9519.03,7668.97,3.86,3.5,-84.6,-0.44,19.35,21.42,02a57804o0514c
51,57810.365676,16.442,0.413,962,397,o,0,1.63,125.99438,-6.89841,8060.27,5079.93,3.37,3.2,57.8,-0.603,16.47,18.28,01a57810o0288o
53,57810.41028,16.248,0.348,1150,401,o,0,1.96,125.99438,-6.89841,8006.79,5156.62,3.45,3.25,66.3,-0.605,16.15,17.98,01a57810o0374o
54,57816.329787,18.549,0.135,138,19,c,0,0.95,125.99438,-6.89841,2809.8,4839.92,3.86,3.7,63.3,-0.381,19.37,21.2,02a57816o0172c
55,57816.362236,18.55,0.123,138,17,c,0,1.3,125.99438,-6.89841,2847.89,4876.53,3.73,3.6,67.0,-0.388,19.44,21.26,02a57816o0226c
56,57816.36446799999,18.56,0.261,137,36,o,0,1.74,125.99438,-6.89841,994.26,4879.22,4.97,4.31,89.2,-0.438,19.02,20.99,01a57816o0284o
57,57816.37607200001,18.512,0.121,143,17,c,0,1.01,125.99438,-6.89841,2871.11,4762.39,3.77,3.63,70.0,-0.386,19.46,21.31,02a57816o0252c
59,57816.394741,19.087,0.355,84,30,o,0,1.53,125.99438,-6.89841,954.69,4838.59,4.44,3.7,87.5,-0.506,19.14,21.09,01a57816o0344o
60,57816.39683099999,18.653,0.131,126,16,c,0,1.18,125.99438,-6.89841,2833.93,4821.15,4.0,3.8,12.5,-0.378,19.46,21.46,02a57816o0292c
64,57818.38384700001,17.951,0.258,240,62,o,0,1.55,125.99438,-6.89841,929.42,4122.21,4.67,3.97,24.9,-0.487,18.64,20.47,01a57818o0327o
65,57818.398805,17.297,0.145,438,63,o,0,1.35,125.99438,-6.89841,913.98,4238.41,4.79,4.0,21.5,-0.479,18.61,20.45,01a57818o0357o
