Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57833.629473,16.715,0.032,748,24,c,0,1.08,258.60116,20.31401,6369.64,1326.91,3.91,3.78,-89.5,-0.401,18.75,20.31,02a57833o0708c
6,57833.646785,16.652,0.036,793,28,c,0,1.5,258.60116,20.31401,6391.48,1365.38,3.73,3.63,-84.7,-0.409,18.55,19.78,02a57833o0734c
7,57841.60755,16.995,0.038,578,22,c,0,1.56,258.60116,20.31401,2808.15,8571.7,3.61,3.4,3.9,-0.432,19.05,20.96,02a57841o0682c
8,57841.625838,17.086,0.036,531,19,c,0,1.65,258.60116,20.31401,7653.71,1837.36,3.95,3.76,87.7,-0.389,19.02,20.98,02a57841o0709c
9,57841.64330900001,17.195999999999998,0.053,480,26,c,0,1.6,258.60116,20.31401,7724.64,1918.96,3.84,3.74,-85.6,-0.3929999999999999,18.53,19.85,02a57841o0736c
10,57853.511342,16.699,0.387,759,294,o,0,1.89,258.60116,20.31401,7795.59,152.17,3.62,3.46,87.9,-0.436,16.3,16.19,02a57853o0579o
13,57853.530475,16.224,0.4589999999999999,1176,540,o,0,0.87,258.60116,20.31401,3501.49,9899.74,3.27,2.84,-6.7,-0.58,16.08,16.07,02a57853o0616o
14,57853.539765,16.56,0.259,863,223,o,0,0.84,258.60116,20.31401,7754.8,116.59,3.65,3.46,86.4,-0.466,16.48,17.04,02a57853o0632o
15,57853.541222,17.209,0.161,475,77,o,0,1.32,258.60116,20.31401,3425.27,9821.22,3.2,2.8,-9.6,-0.502,17.19,17.56,02a57853o0635o
16,57853.550798,17.352,0.2289999999999999,416,95,o,0,1.04,258.60116,20.31401,7737.1,236.88,3.61,3.43,-85.7,-0.445,17.01,17.21,02a57853o0652o
17,57853.553981,17.782,0.24,280,67,o,0,1.3,258.60116,20.31401,3405.49,9940.71,3.23,2.75,-8.8,-0.498,17.27,17.63,02a57853o0657o
18,57853.56529299999,15.581,0.457,2126,971,o,0,0.79,258.60116,20.31401,7770.57,184.78,3.67,3.37,-81.0,-0.435,15.09,14.71,02a57853o0676o
19,57853.56821799999,16.098,0.747,1320,986,o,0,0.96,258.60116,20.31401,3438.65,9889.13,3.52,3.16,7.9,-0.4629999999999999,15.14,14.73,02a57853o0681o
20,57877.52600499999,18.547,0.088,138,12,o,0,2.03,258.60116,20.31401,1766.16,9347.69,2.57,2.32,7.9,-0.419,19.69,20.97,02a57877o0374o
21,57877.540616,17.729,0.0559999999999999,294,16,o,0,2.3,258.60116,20.31401,8712.23,1064.86,3.39,2.11,23.8,-0.467,19.54,20.94,02a57877o0398o
22,57877.566199,18.118,0.0819999999999999,205,17,o,0,1.92,258.60116,20.31401,8766.5,1145.32,2.97,2.01,27.5,-0.522,19.6,20.86,02a57877o0440o
23,57877.58359,18.326,0.095,170,16,o,0,2.29,258.60116,20.31401,8781.0,1026.57,2.98,2.04,29.5,-0.545,19.57,20.83,02a57877o0465o
24,57877.603902,18.372,0.124,163,20,o,0,1.86,258.60116,20.31401,8751.92,1088.7,2.69,2.08,26.5,-0.52,19.52,20.87,02a57877o0492o
25,57879.601112,18.617,0.1009999999999999,130,13,o,0,1.76,258.60116,20.31401,2759.26,9174.49,3.08,2.93,-84.7,-0.446,19.38,20.91,01a57879o0285o
26,57879.61868099999,18.513,0.127,143,18,o,0,1.71,258.60116,20.31401,2776.05,9213.22,3.04,2.85,-86.8,-0.4479999999999999,19.13,20.3,01a57879o0315o
27,57880.593304,18.375,0.1169999999999999,162,19,o,0,1.25,258.60116,20.31401,5520.05,1170.45,3.4,3.24,-70.7,-0.43,19.31,20.83,01a57880o0697o
28,57880.61031900001,18.443,0.118,152,18,o,0,1.31,258.60116,20.31401,5540.51,1208.98,4.1,3.79,-60.7,-0.449,19.1,20.73,01a57880o0728o
29,57880.62812,18.666,0.49,124,61,o,0,1.61,258.60116,20.31401,5485.0,1132.19,3.47,3.26,-53.7,-0.456,17.62,17.86,01a57880o0759o
30,57882.487589,18.362,0.176,164,29,o,0,1.76,258.60116,20.31401,5826.99,8903.37,3.27,3.18,79.9,-0.413,18.62,19.52,01a57882o0390o
