Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
4,57784.647178,20.335,0.738,27,20,c,0,1.1,166.69659,14.20726,7100.44,7553.27,3.99,3.86,87.7,-0.391,19.43,21.48,02a57784o0634c
5,57788.56454,20.631,0.818,20,17,o,0,1.63,166.69659,14.20726,4455.56,10259.37,3.48,3.24,3.5,-0.426,19.5,21.2,02a57788o0678o
7,57788.590037,20.536,0.851,22,19,o,0,1.26,166.69659,14.20726,4495.24,10296.63,3.66,3.31,5.9,-0.409,19.46,21.18,02a57788o0726o
9,57788.615902,20.249,0.72,29,21,o,0,0.98,166.69659,14.20726,4476.48,10235.33,3.45,3.24,3.0,-0.435,19.46,21.12,02a57788o0774o
22,57804.536787,20.606,1.0,21,21,c,0,1.2,166.69659,14.20726,4185.29,9910.44,3.79,3.5,2.4,-0.3979999999999999,19.33,21.17,02a57804o0628c
25,57804.557541,18.92,0.402,98,39,o,0,0.81,166.69659,14.20726,5618.46,119.48,4.5,4.38,61.8,-0.513,18.77,20.61,01a57804o0548o
26,57804.5686,18.714,0.2189999999999999,119,26,c,0,2.38,166.69659,14.20726,4224.45,9948.86,3.92,3.72,15.0,-0.407,19.11,20.82,02a57804o0685c
31,57805.469857,20.521,0.684,22,15,c,0,1.01,166.69659,14.20726,350.41,484.77,4.19,4.05,85.4,-0.389,19.66,21.63,02a57805o0463c
34,57806.536976,19.772,0.7659999999999999,45,34,o,0,1.04,166.69659,14.20726,4392.25,1698.07,4.65,4.45,-74.9,-0.522,18.76,20.64,01a57806o0628o
36,57806.565267,19.962,0.905,38,34,o,0,1.23,166.69659,14.20726,4358.38,1659.7,4.46,4.26,-75.0,-0.5429999999999999,18.8,20.61,01a57806o0683o
48,57816.451282,19.071,0.177,86,15,c,0,1.08,166.69659,14.20726,7261.04,7138.98,3.7,3.51,-83.6,-0.423,19.7,21.77,02a57816o0393c
49,57816.453234,18.957,0.157,95,15,c,0,0.9,166.69659,14.20726,7242.72,7100.43,3.67,3.46,-83.9,-0.429,19.72,21.77,02a57816o0397c
50,57816.471083,19.438,0.2269999999999999,61,14,c,0,1.11,166.69659,14.20726,7300.75,7181.04,3.61,3.49,-81.1,-0.432,19.71,21.76,02a57816o0431c
51,57816.493461,19.132,0.19,81,15,c,0,0.91,166.69659,14.20726,7318.09,7065.51,3.68,3.47,-84.0,-0.429,19.7,21.75,02a57816o0473c
52,57816.503502,19.061,0.1689999999999999,86,15,c,0,1.13,166.69659,14.20726,7276.97,7119.91,3.68,3.55,-81.6,-0.424,19.69,21.76,02a57816o0492c
53,57816.507979,19.447,0.35,60,21,o,0,1.28,166.69659,14.20726,6243.78,2520.71,3.45,3.26,-49.3,-0.469,19.2,21.17,01a57816o0570o
