Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57826.563525,17.848,0.153,263,40,o,0,1.16,248.33288,23.73125,7711.31,8041.44,3.15,3.05,-30.3,-0.502,18.42,19.61,01a57826o0567o
6,57826.580568,17.5,0.1009999999999999,363,37,o,0,0.95,248.33288,23.73125,2851.56,2443.45,3.66,3.53,-84.2,-0.425,18.07,18.79,02a57826o0668o
7,57826.581852,17.486,0.098,368,36,o,0,1.31,248.33288,23.73125,8271.48,7457.08,3.18,3.1,-49.3,-0.492,18.44,19.68,01a57826o0601o
8,57826.599123,17.518,0.102,357,36,o,0,0.85,248.33288,23.73125,2282.94,3019.77,3.67,3.48,88.0,-0.4379999999999999,18.1,18.86,02a57826o0702o
9,57826.600382,17.962,0.158,237,38,o,0,1.21,248.33288,23.73125,7412.24,7159.84,3.25,3.15,-39.9,-0.494,18.46,19.73,01a57826o0636o
10,57826.617315,17.826,0.127,269,34,o,0,1.11,248.33288,23.73125,3135.37,3323.4,3.66,3.54,89.5,-0.426,18.1,18.88,02a57826o0737o
11,57826.619448000005,17.561,0.1169999999999999,343,40,o,0,0.97,248.33288,23.73125,8580.55,8324.42,3.28,3.21,68.8,-0.5,18.46,19.74,01a57826o0670o
12,57826.635607,17.673,0.105,310,33,o,0,1.28,248.33288,23.73125,1976.59,2141.91,3.66,3.52,-85.3,-0.439,18.14,18.9,02a57826o0771o
13,57827.580965,17.535999999999998,0.09,351,32,o,0,1.08,248.33288,23.73125,2853.34,2443.98,3.66,3.49,-89.9,-0.426,18.2,19.0,02a57827o0653o
14,57827.59899500001,17.393,0.086,401,34,o,0,0.78,248.33288,23.73125,2284.16,3020.43,3.67,3.45,84.6,-0.437,18.22,19.06,02a57827o0687o
15,57827.617374,17.487000000000002,0.075,368,28,o,0,1.4,248.33288,23.73125,3136.44,3323.98,3.57,3.44,86.7,-0.437,18.24,19.11,02a57827o0722o
16,57827.63574600001,17.493,0.095,366,35,o,0,1.03,248.33288,23.73125,1977.67,2142.38,3.71,3.58,-84.9,-0.434,18.24,19.13,02a57827o0756o
17,57829.602824,15.065,0.01,3419,35,o,0,228.27,248.33288,23.73125,2374.55,4127.69,3.73,3.5,68.2,-0.573,18.34,19.31,02a57829o0683o
18,57829.62423,17.273,0.061,448,27,o,0,1.07,248.33288,23.73125,2390.19,4168.72,3.65,3.42,74.7,-0.456,18.36,19.33,02a57829o0710o
19,57829.642049,17.347,0.062,418,26,o,0,1.22,248.33288,23.73125,2339.1,4089.99,3.53,3.35,77.5,-0.473,18.36,19.28,02a57829o0736o
20,57833.598883000006,16.759,0.031,719,22,c,0,0.9,248.33288,23.73125,2832.52,4387.64,3.93,3.72,69.3,-0.379,18.8,20.4,02a57833o0662c
21,57833.622198000005,16.778,0.0279999999999999,706,20,c,0,1.28,248.33288,23.73125,2853.02,4423.44,3.9,3.73,68.0,-0.377,18.8,20.4,02a57833o0699c
22,57833.640464,16.762999999999998,0.031,716,22,c,0,1.18,248.33288,23.73125,2799.87,4348.92,3.88,3.68,69.7,-0.386,18.77,20.29,02a57833o0725c
23,57833.658276,17.077,0.517,536,277,c,0,1.11,248.33288,23.73125,7698.78,5986.54,3.81,3.68,-60.7,-0.498,17.12,17.1,02a57833o0751c
24,57837.595144000006,16.715999999999998,0.022,748,16,c,0,1.27,248.33288,23.73125,3568.85,3310.48,3.81,3.65,73.3,-0.39,19.16,21.19,02a57837o0584c
25,57841.58584,16.865,0.026,652,17,c,0,1.41,248.33288,23.73125,3605.05,1971.48,3.93,3.76,83.7,-0.3879999999999999,19.07,21.0,02a57841o0650c
26,57841.598372,16.828,0.034,674,23,c,0,1.19,248.33288,23.73125,6878.23,8439.12,3.63,3.53,-36.3,-0.4629999999999999,19.02,20.97,02a57841o0669c
27,57841.616945,16.816,0.03,682,21,c,0,1.36,248.33288,23.73125,6928.34,8517.56,3.76,3.72,-28.5,-0.442,19.0,20.98,02a57841o0696c
28,57841.634957,16.817,0.035,681,24,c,0,1.06,248.33288,23.73125,6943.14,8402.01,4.57,3.76,2.4,-0.408,18.83,20.82,02a57841o0723c
31,57853.509417,16.637999999999998,0.7020000000000001,803,564,o,0,0.99,248.33288,23.73125,4264.91,3271.43,3.61,3.43,-87.2,-0.446,15.48,14.89,02a57853o0575o
33,57853.536274,17.745,0.294,290,85,o,0,1.08,248.33288,23.73125,4229.3,3255.11,3.57,3.46,-89.6,-0.44,17.18,17.39,02a57853o0627o
34,57859.628074,17.963,0.161,237,38,o,0,1.06,248.33288,23.73125,3327.53,3412.17,3.87,3.36,-80.9,-0.4579999999999999,17.88,19.1,01a57859o0759o
35,57860.625811,17.898,0.156,252,39,o,0,0.91,248.33288,23.73125,1556.8,2019.31,4.04,3.18,-89.4,-0.512,18.03,19.27,01a57860o0751o
36,57877.500487,18.391,0.078,160,12,o,0,0.91,248.33288,23.73125,7904.84,7711.33,2.44,2.27,-4.2,-0.45,19.51,20.78,02a57877o0333o
37,57877.53114,18.581,0.07,134,9,o,0,1.56,248.33288,23.73125,7882.87,7673.24,2.3,2.21,-25.7,-0.456,19.61,20.92,02a57877o0383o
38,57877.542036,18.448,0.084,152,13,o,0,0.88,248.33288,23.73125,7936.0,7756.11,2.23,2.15,-24.6,-0.469,19.61,20.92,02a57877o0400o
39,57877.553822,18.462,0.085,150,13,o,0,1.1,248.33288,23.73125,7950.99,7636.89,2.22,2.16,-28.8,-0.4679999999999999,19.58,20.86,02a57877o0421o
40,57877.5775,18.592,0.106,133,14,o,0,1.08,248.33288,23.73125,7918.62,7702.57,2.27,2.16,-67.0,-0.469,19.48,20.93,02a57877o0457o
41,57879.57529,18.597,0.098,132,13,o,0,1.04,248.33288,23.73125,3429.56,2563.09,3.15,3.1,-87.4,-0.4579999999999999,19.41,20.93,01a57879o0239o
42,57879.588787,18.693,0.119,121,14,o,0,1.07,248.33288,23.73125,3448.78,2601.6,3.23,3.18,-73.8,-0.4529999999999999,19.36,20.86,01a57879o0263o
43,57879.606265,18.583,0.103,134,14,o,0,1.17,248.33288,23.73125,3393.36,2522.59,3.36,3.26,-66.0,-0.444,19.31,20.83,01a57879o0294o
44,57879.62351900001,18.727,0.275,117,32,o,0,0.94,248.33288,23.73125,3376.17,2638.77,3.4,3.29,-48.2,-0.449,18.47,19.17,01a57879o0324o
