Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57922.53748099999,19.991,0.497,37,18,o,0,1.01,307.45654,-42.71683,7203.33,4371.89,3.2,3.18,31.6,-0.441,18.94,20.12,01a57922o0601o
1,57922.55283099999,19.794,0.396,44,17,o,0,1.14,307.45654,-42.71683,7177.34,4272.59,3.16,3.04,-85.5,-0.441,19.0,20.12,01a57922o0631o
2,57922.560407,19.541,0.331,55,18,o,0,1.21,307.45654,-42.71683,3502.58,5987.23,3.06,3.0,-62.6,-0.442,18.98,20.1,01a57922o0646o
5,57930.516949,19.942,0.452,38,17,o,0,1.13,307.45654,-42.71683,6495.14,3868.79,3.97,3.72,-63.6,-0.4,18.85,20.43,01a57930o0534o
6,57930.52749,19.497,0.435,58,25,o,0,0.98,307.45654,-42.71683,4268.82,6506.42,5.27,5.0,-26.3,-0.392,18.66,20.63,01a57930o0555o
7,57930.540404,19.734,0.495,46,23,o,0,1.05,307.45654,-42.71683,4223.28,6482.47,5.52,4.95,-16.0,-0.354,18.61,20.57,01a57930o0580o
8,57930.551727,19.532,0.4589999999999999,56,26,o,0,0.92,307.45654,-42.71683,4202.16,6643.33,5.35,4.85,-22.5,-0.385,18.63,20.62,01a57930o0603o
9,57934.511107000006,19.998,0.4639999999999999,36,17,o,0,1.07,307.45654,-42.71683,2130.49,3856.94,3.3,3.11,-12.3,-0.4429999999999999,18.87,20.4,01a57934o0558o
10,57934.520402,20.166,0.581,31,18,o,0,0.92,307.45654,-42.71683,2154.04,3931.34,3.76,2.98,-3.2,-0.425,18.97,20.51,01a57934o0576o
11,57934.528267,20.096,0.4529999999999999,33,15,o,0,1.04,307.45654,-42.71683,2103.31,3886.73,3.05,2.92,-77.5,-0.4529999999999999,19.16,20.55,01a57934o0592o
12,57934.538118,20.368,0.654,26,17,o,0,0.9,307.45654,-42.71683,2083.86,4044.3,3.02,2.93,-44.1,-0.4579999999999999,19.17,20.6,01a57934o0611o
13,57938.509672,20.128,0.6809999999999999,32,22,o,0,0.85,307.45654,-42.71683,2510.76,3783.94,3.57,3.14,-27.5,-0.432,18.7,19.94,01a57938o0443o
14,57938.522037,19.821,0.402,43,17,o,0,1.36,307.45654,-42.71683,2479.84,3796.82,3.77,3.08,-20.0,-0.434,18.89,20.24,01a57938o0467o
15,57938.523023,19.351,0.346,66,23,o,0,0.98,307.45654,-42.71683,2537.81,3875.32,4.81,3.38,-7.5,-0.386,18.73,20.28,01a57938o0469o
16,57938.531868,19.38,0.264,64,17,o,0,1.28,307.45654,-42.71683,2471.79,3951.52,4.19,3.22,-14.4,-0.406,19.02,20.64,01a57938o0486o
