Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
11,57803.603221000005,20.178,0.852,31,26,c,0,2.19,190.71096,-30.41206,8037.5,9027.79,3.74,3.5,-86.9,-0.451,19.08,20.5,02a57803o0749c
15,57804.620877,17.285999999999998,0.768,442,340,o,0,1.23,190.71096,-30.41206,10363.19,9217.88,4.31,3.53,-87.2,-0.6709999999999999,16.36,17.87,01a57804o0671o
19,57804.669289,0.0,0.0,0,0,o,0,-2.0,190.71096,-30.41206,820.6,9241.52,5.16,4.81,-31.8,-0.659,14.78,16.13,01a57804o0765o
23,57807.614008,20.083,0.565,34,19,c,0,2.05,190.71096,-30.41206,9475.2,1092.62,3.92,3.78,61.5,-0.456,19.6,21.55,02a57807o0745c
39,57819.569962,19.832,0.5770000000000001,42,24,o,0,2.58,190.71096,-30.41206,1939.68,431.6,3.82,3.56,-26.5,-0.4639999999999999,19.29,20.95,02a57819o0557o
49,57823.522110000005,19.105,0.6859999999999999,83,57,o,0,1.29,190.71096,-30.41206,9471.36,1172.45,3.54,3.13,80.3,-0.505,18.22,18.8,02a57823o0581o
50,57823.522587,17.253,0.17,456,77,o,0,3.08,190.71096,-30.41206,59.39,1178.75,3.98,3.74,-35.8,-0.433,18.15,18.72,02a57823o0582o
51,57823.531112,17.253,0.151,456,69,o,0,2.9,190.71096,-30.41206,74.72,1061.82,3.85,3.61,-52.7,-0.447,18.16,18.72,02a57823o0599o
57,57828.583912,18.602,0.58,132,76,o,0,1.18,190.71096,-30.41206,5380.34,1978.81,4.48,3.77,-61.9,-0.4379999999999999,17.8,18.88,01a57828o0729o
58,57830.539027,18.22,0.216,187,40,o,0,2.02,190.71096,-30.41206,9677.0,10027.19,3.82,3.42,64.4,-0.461,18.48,19.91,01a57830o0632o
59,57830.552601,18.91,0.423,99,42,o,0,3.07,190.71096,-30.41206,4149.39,339.08,4.35,3.41,-73.4,-0.436,18.39,19.74,01a57830o0659o
62,57830.56667000001,19.747,0.939,46,43,o,0,1.98,190.71096,-30.41206,4166.57,378.41,4.21,3.36,-70.9,-0.466,18.37,19.68,01a57830o0687o
63,57830.567162,19.185,0.504,77,39,o,0,2.07,190.71096,-30.41206,9624.08,9988.75,3.63,3.28,62.9,-0.475,18.44,19.78,01a57830o0688o
64,57830.57362,18.987,0.679,92,63,o,0,4.12,190.71096,-30.41206,205.5,10216.83,5.16,4.29,36.9,-0.322,18.46,19.78,01a57830o0701o
66,57830.581194000006,18.91,0.465,99,46,o,0,2.23,190.71096,-30.41206,9608.43,10108.07,3.73,3.48,60.2,-0.477,18.31,19.67,01a57830o0716o
67,57830.587766,17.807000000000002,0.225,274,62,o,0,3.53,190.71096,-30.41206,154.57,10140.13,5.22,4.24,35.0,-0.422,18.4,19.69,01a57830o0729o
69,57831.518432,18.55,0.2189999999999999,138,30,o,0,2.13,190.71096,-30.41206,5868.99,9817.69,3.64,3.56,15.4,-0.445,18.27,19.39,02a57831o0586o
71,57831.532982,18.382,0.179,161,29,o,0,2.15,190.71096,-30.41206,5854.35,9777.9,4.06,3.98,74.5,-0.413,18.13,19.34,02a57831o0615o
73,57831.547048,19.202,0.39,76,30,o,0,2.09,190.71096,-30.41206,5905.24,9856.31,3.89,3.83,56.2,-0.427,18.15,19.29,02a57831o0643o
74,57831.554066,18.517,0.253,142,36,o,0,1.72,190.71096,-30.41206,10075.73,92.08,4.01,3.76,52.2,-0.51,18.23,19.37,02a57831o0657o
75,57831.56110700001,19.392,0.444,64,28,o,0,2.01,190.71096,-30.41206,5940.94,9736.21,3.95,3.91,68.2,-0.418,18.08,19.2,02a57831o0671o
77,57832.551959,19.944000000000003,0.851,38,33,o,0,3.7,190.71096,-30.41206,3038.15,2005.43,4.58,3.74,-75.3,-0.4529999999999999,18.59,20.21,01a57832o0667o
78,57832.56640599999,18.736,0.347,116,40,o,0,2.59,190.71096,-30.41206,3072.82,2044.41,4.38,3.59,-73.8,-0.49,18.58,20.14,01a57832o0696o
80,57833.525496,17.506,0.093,361,34,o,0,2.0,190.71096,-30.41206,7868.28,9130.94,3.24,3.14,12.8,-0.502,18.83,20.45,01a57833o0615o
81,57833.540012,17.66,0.095,313,30,o,0,3.09,190.71096,-30.41206,7887.35,9170.7,3.34,3.24,9.5,-0.491,18.76,20.39,01a57833o0644o
82,57833.55519199999,17.582,0.096,337,32,o,0,2.7,190.71096,-30.41206,7833.38,9094.14,3.37,3.26,0.2,-0.492,18.75,20.4,01a57833o0674o
83,57833.56959,17.365,0.0819999999999999,411,34,o,0,2.29,190.71096,-30.41206,7818.51,9211.87,3.4,3.28,0.2,-0.488,18.68,20.28,01a57833o0703o
84,57834.523338,17.035,0.0559999999999999,557,31,o,0,2.76,190.71096,-30.41206,8240.9,9913.37,3.48,3.35,37.6,-0.492,18.95,20.76,01a57834o0462o
85,57834.534861,16.633,0.048,807,39,o,0,4.92,190.71096,-30.41206,2651.02,272.57,4.92,3.76,-74.7,-0.465,18.81,20.64,01a57834o0485o
86,57834.538371,16.999000000000002,0.0579999999999999,576,33,o,0,3.36,190.71096,-30.41206,8256.86,9953.27,3.64,3.5,7.2,-0.483,18.83,20.67,01a57834o0492o
87,57834.549412,16.597,0.047,834,39,o,0,5.42,190.71096,-30.41206,2670.62,312.12,4.83,3.7,-74.3,-0.473,18.76,20.53,01a57834o0514o
88,57834.552938,16.907,0.052,627,33,o,0,2.56,190.71096,-30.41206,8186.67,9876.25,3.62,3.45,0.3,-0.488,18.79,20.57,01a57834o0521o
89,57834.567503,17.199,0.075,479,36,o,0,4.51,190.71096,-30.41206,8171.71,9994.86,4.02,3.82,6.7,-0.466,18.65,20.5,01a57834o0550o
90,57835.505561,16.589000000000002,0.03,840,25,c,0,2.11,190.71096,-30.41206,1001.23,306.13,4.07,3.92,-79.6,-0.402,18.76,20.55,02a57835o0468c
91,57835.51295,16.683,0.069,770,53,c,0,2.85,190.71096,-30.41206,6356.88,10091.8,3.67,3.57,-1.3,-0.422,18.39,20.17,02a57835o0482c
92,57835.520153,16.415,0.042,986,41,c,0,3.56,190.71096,-30.41206,10498.8,312.47,3.86,3.61,79.7,-0.475,18.72,20.5,02a57835o0496c
93,57835.521202,16.612000000000002,0.031,822,26,c,0,1.81,190.71096,-30.41206,985.83,264.37,4.09,3.9,-85.8,-0.405,18.85,20.64,02a57835o0498c
94,57835.528229,16.547,0.036,873,31,c,0,2.3,190.71096,-30.41206,6325.14,10051.79,3.54,3.37,-12.7,-0.409,18.66,20.41,02a57835o0511c
95,57835.535448,16.514,0.03,900,27,c,0,3.39,190.71096,-30.41206,10465.95,276.3,3.84,3.57,81.7,-0.477,18.91,20.68,02a57835o0525c
96,57835.53709500001,16.418,0.034,984,34,c,0,1.51,190.71096,-30.41206,1039.54,342.93,4.55,4.16,6.1,-0.361,18.54,20.39,02a57835o0528c
97,57835.544541,16.451,0.032,954,30,c,0,1.84,190.71096,-30.41206,6395.28,10127.59,4.17,4.0,61.7,-0.407,18.67,20.5,02a57835o0542c
98,57835.553041,16.505,0.036,908,32,c,0,1.07,190.71096,-30.41206,1056.81,223.44,4.4,4.28,81.0,-0.377,18.47,20.26,02a57835o0558c
99,57835.56039199999,16.509,0.042,905,38,c,0,3.49,190.71096,-30.41206,6413.6,10008.3,3.91,3.63,9.1,-0.413,18.39,20.02,02a57835o0572c
100,57835.56867000001,16.56,0.0289999999999999,863,25,c,0,2.22,190.71096,-30.41206,1024.48,278.3,4.11,3.99,-85.7,-0.3929999999999999,18.67,20.28,02a57835o0588c
