Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57826.595541,17.884,0.185,255,47,o,0,1.03,256.94723,9.82243,3523.17,10154.84,3.92,3.74,11.3,-0.426,18.33,19.63,01a57826o0627o
2,57826.61285499999,17.719,0.12,297,36,o,0,1.31,256.94723,9.82243,7062.51,366.82,3.63,3.56,48.0,-0.487,18.04,18.79,02a57826o0728o
3,57826.614695,17.824,0.166,269,45,o,0,0.97,256.94723,9.82243,4116.22,9559.94,3.42,3.39,-20.2,-0.477,18.44,19.68,01a57826o0661o
4,57826.61479299999,18.1,0.267,209,56,o,0,0.87,256.94723,9.82243,10081.22,10070.7,3.86,3.27,88.8,-0.478,18.09,18.84,02a57826o0732o
5,57826.63084299999,17.637999999999998,0.115,320,37,o,0,1.06,256.94723,9.82243,6461.62,956.22,3.6,3.54,68.3,-0.474,18.07,18.84,02a57826o0762o
6,57826.633917,17.714000000000002,0.135,298,40,o,0,1.27,256.94723,9.82243,3231.21,9276.95,3.55,3.47,-10.8,-0.46,18.44,19.69,01a57826o0696o
7,57826.64963200001,17.599,0.1119999999999999,331,37,o,0,1.12,256.94723,9.82243,7340.51,1249.53,3.49,3.3,84.2,-0.49,18.05,18.72,02a57826o0797o
8,57826.65423099999,17.496,0.1669999999999999,364,61,o,0,1.49,256.94723,9.82243,4406.07,10428.42,3.43,3.24,10.9,-0.491,18.0,18.8,01a57826o0730o
9,57826.656521,17.36,0.355,413,147,o,0,1.1,256.94723,9.82243,1287.39,765.99,5.06,3.53,-84.5,-0.447,17.75,18.31,01a57826o0734o
10,57827.612876,17.796,0.126,277,35,o,0,1.05,256.94723,9.82243,7064.31,367.6,3.48,3.34,-80.8,-0.493,18.17,19.0,02a57827o0713o
11,57827.614836,17.596,0.133,332,44,o,0,1.29,256.94723,9.82243,10082.34,10071.74,3.73,3.11,-85.9,-0.511,18.21,19.04,02a57827o0717o
12,57827.630985,17.896,0.13,252,33,o,0,1.11,256.94723,9.82243,6462.84,956.26,3.49,3.4,82.9,-0.483,18.2,19.04,02a57827o0747o
13,57827.649779,17.479,0.098,370,36,o,0,1.22,256.94723,9.82243,7341.82,1249.75,3.57,3.37,81.3,-0.476,18.09,18.82,02a57827o0782o
14,57844.630959,18.531,0.131,140,18,c,0,1.17,256.94723,9.82243,1583.29,122.56,4.48,4.06,2.0,-0.359,19.5,21.58,02a57844o0755c
15,57844.636153,18.293,0.13,175,23,c,0,1.34,256.94723,9.82243,4596.05,9818.79,4.07,3.33,3.3,-0.401,19.39,21.29,02a57844o0764c
17,57852.535932000006,19.518,0.64,57,36,o,0,0.75,256.94723,9.82243,6725.31,622.88,3.6,3.42,-80.2,-0.4589999999999999,18.12,18.81,02a57852o0610o
18,57852.537446,19.679,0.708,49,35,o,0,1.09,256.94723,9.82243,9766.47,10327.98,3.53,2.98,-73.2,-0.513,18.12,18.84,02a57852o0613o
19,57852.557866,18.684,0.2689999999999999,122,33,o,0,1.21,256.94723,9.82243,6736.37,663.98,3.53,3.36,-79.1,-0.469,18.15,18.87,02a57852o0653o
20,57852.55835,18.284,0.183,176,32,o,0,1.34,256.94723,9.82243,9778.85,10368.8,3.49,3.01,-69.8,-0.512,18.14,18.9,02a57852o0654o
