Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57783.654412,19.833,0.371,42,16,c,0,1.13,194.45551,-24.71968,7697.96,585.25,4.15,3.94,14.4,-0.429,19.68,21.77,02a57783o0839c
13,57787.648098000005,20.47,0.652,24,15,c,0,1.23,194.45551,-24.71968,2954.43,8987.02,3.77,3.56,23.2,-0.428,19.71,21.75,02a57787o0842c
20,57803.588953,16.852999999999998,0.65,659,428,c,0,0.18,194.45551,-24.71968,33.83,684.16,4.05,3.91,-80.7,-0.386,19.2,20.71,02a57803o0721c
21,57803.598167,20.357,0.949,26,25,c,0,1.09,194.45551,-24.71968,5829.68,10448.84,3.71,3.52,8.4,-0.39,19.12,20.56,02a57803o0739c
22,57803.602723,19.565,0.421,54,23,c,0,1.13,194.45551,-24.71968,9641.19,728.28,3.79,3.59,74.9,-0.4629999999999999,19.17,20.64,02a57803o0748c
30,57803.638265,20.026,0.787,35,28,c,0,1.08,194.45551,-24.71968,9703.02,647.86,3.86,3.74,50.7,-0.461,19.16,20.64,02a57803o0818c
31,57803.64595,20.116,0.768,33,25,c,0,1.01,194.45551,-24.71968,5857.26,10427.08,3.81,3.57,5.8,-0.3879999999999999,19.07,20.52,02a57803o0831c
39,57807.633937,20.55,0.705,22,15,c,0,1.09,194.45551,-24.71968,6997.12,2405.27,3.82,3.78,-80.1,-0.4,19.54,21.45,02a57807o0783c
53,57818.646434,19.86,0.919,41,38,o,0,0.92,194.45551,-24.71968,3926.02,9634.89,5.14,4.62,1.4,-0.3939999999999999,18.72,20.8,01a57818o0850o
57,57820.576066,18.21,0.412,189,78,o,0,1.35,194.45551,-24.71968,5691.1,246.22,4.41,3.61,-57.9,-0.433,17.09,18.98,01a57820o0733o
66,57823.526661,19.201,0.626,76,48,o,0,0.78,194.45551,-24.71968,6970.72,2603.4,3.45,3.24,88.3,-0.475,18.27,18.87,02a57823o0590o
72,57828.57739400001,18.201,0.365,190,70,o,0,0.89,194.45551,-24.71968,7656.28,658.46,4.53,3.62,-55.5,-0.446,17.88,18.97,01a57828o0716o
75,57828.60514199999,18.219,0.413,187,77,o,0,0.9,194.45551,-24.71968,7587.02,701.5,4.56,3.6,-56.4,-0.451,17.77,18.78,01a57828o0771o
77,57830.567649,18.129,0.221,203,45,o,0,0.74,194.45551,-24.71968,2686.24,8673.18,3.92,3.75,26.9,-0.441,18.53,19.89,01a57830o0689o
78,57830.58168,18.827,0.384,107,41,o,0,1.07,194.45551,-24.71968,2703.83,8712.07,4.0,3.79,24.9,-0.442,18.49,19.83,01a57830o0717o
