Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
11,57794.545038,19.279,0.7340000000000001,70,52,o,0,1.18,216.03021,35.05319,4086.45,9365.26,3.34,3.02,-2.5,-0.47,18.41,19.08,02a57794o0649o
13,57794.563507000006,18.596,0.556,132,74,o,0,1.22,216.03021,35.05319,9143.59,2125.81,3.41,3.08,33.0,-0.691,18.4,19.45,01a57794o0684o
16,57794.581379,19.095,0.5760000000000001,84,48,o,0,1.02,216.03021,35.05319,4031.5,9351.71,3.27,2.94,-7.7,-0.474,18.53,19.28,02a57794o0717o
21,57797.615338,19.048,0.614,87,54,o,0,1.32,216.03021,35.05319,3394.42,10137.57,4.13,3.96,-9.9,-0.615,18.45,19.89,01a57797o0715o
23,57797.650493,19.003,0.687,91,62,o,0,1.05,216.03021,35.05319,7048.05,437.85,3.67,3.32,14.0,-0.6509999999999999,18.57,19.89,01a57797o0767o
25,57798.54791,19.741,0.742,46,34,o,0,1.53,216.03021,35.05319,1490.82,9018.69,3.27,2.95,7.6,-0.495,18.77,19.73,02a57798o0679o
27,57798.574213,19.879,0.79,41,32,o,0,1.32,216.03021,35.05319,1442.74,8982.6,3.25,2.91,11.6,-0.489,18.83,19.82,02a57798o0727o
32,57802.595203,19.82,0.49,43,21,o,0,1.42,216.03021,35.05319,1255.41,8106.58,3.29,3.08,21.6,-0.449,19.16,20.48,02a57802o0681o
34,57802.621857000006,19.933,0.6890000000000001,39,27,o,0,1.13,216.03021,35.05319,1176.82,8141.43,3.26,3.06,21.2,-0.449,19.19,20.5,02a57802o0729o
35,57802.63469500001,20.352,0.906,26,24,o,0,1.48,216.03021,35.05319,1221.52,8085.95,3.37,3.17,16.0,-0.4379999999999999,19.17,20.51,02a57802o0753o
41,57807.66282899999,16.949,0.977,603,589,o,0,0.21,216.03021,35.05319,5733.06,39.66,4.52,4.42,75.3,-0.581,18.32,19.73,01a57807o0733o
47,57811.661328,19.585,0.7340000000000001,53,39,o,0,2.4,216.03021,35.05319,5627.48,116.91,4.14,3.97,32.0,-0.562,18.68,20.32,01a57811o0252o
55,57817.649836,19.042,0.34,88,30,o,0,1.17,216.03021,35.05319,2277.88,9176.04,4.71,4.56,25.5,-0.371,19.02,21.03,01a57817o0764o
61,57818.59394500001,20.514,0.6779999999999999,23,15,o,0,2.09,216.03021,35.05319,6345.27,1334.88,3.58,3.55,40.4,-0.47,19.61,21.61,02a57818o0494o
62,57819.624841,19.035,0.317,88,28,o,0,1.46,216.03021,35.05319,771.51,9096.08,4.56,4.08,50.8,-0.467,19.22,21.23,01a57819o0752o
64,57819.640137,19.725,0.6,47,28,o,0,1.4,216.03021,35.05319,740.01,9057.58,4.91,4.27,48.6,-0.436,19.19,21.23,01a57819o0782o
69,57827.644491,19.757,0.974,45,44,o,0,1.1,216.03021,35.05319,7038.56,434.22,3.87,3.32,-50.5,-0.471,18.38,19.57,01a57827o0804o
70,57827.649639,19.243,0.625,73,46,o,0,1.65,216.03021,35.05319,3148.22,10232.65,3.77,3.57,18.5,-0.44,18.28,19.33,01a57827o0813o
74,57829.558673,19.55,0.444,55,24,o,0,1.25,216.03021,35.05319,4246.42,8740.86,3.43,3.19,1.9,-0.412,18.44,19.55,02a57829o0618o
81,57831.590649,19.568,0.525,54,28,o,0,0.91,216.03021,35.05319,4990.64,1164.03,3.67,3.23,-68.2,-0.4589999999999999,19.0,20.72,01a57831o0689o
82,57831.60268,20.416,0.978,25,24,o,0,1.45,216.03021,35.05319,5024.72,1200.61,3.59,3.2,-66.3,-0.4629999999999999,19.01,20.72,01a57831o0712o
83,57831.612491,20.043,0.7190000000000001,35,25,o,0,1.14,216.03021,35.05319,4959.86,1123.44,3.64,3.22,-68.6,-0.4639999999999999,19.0,20.7,01a57831o0731o
84,57831.631767,19.954,0.677,38,26,o,0,1.26,216.03021,35.05319,4949.09,1244.02,3.81,3.28,-68.1,-0.455,18.93,20.63,01a57831o0767o
85,57833.526742,18.857,0.23,104,24,c,0,1.14,216.03021,35.05319,3754.49,8450.56,3.9,3.86,76.0,-0.4379999999999999,18.83,20.61,02a57833o0539c
86,57833.548907,19.625,0.434,51,22,c,0,1.12,216.03021,35.05319,3737.62,8414.88,3.75,3.4,-11.5,-0.402,18.86,20.56,02a57833o0578c
87,57833.561834,20.189,0.703,30,21,c,0,1.46,216.03021,35.05319,3798.87,8490.53,3.58,3.25,-8.4,-0.412,18.88,20.53,02a57833o0600c
88,57833.58218099999,19.293,0.332,70,23,c,0,1.38,216.03021,35.05319,3813.62,8373.3,3.6,3.36,-5.2,-0.442,18.85,20.48,02a57833o0635c
89,57833.585828,19.572,0.467,54,25,c,0,1.19,216.03021,35.05319,3766.27,8433.5,4.03,3.48,0.1,-0.4379999999999999,18.78,20.48,02a57833o0642c
90,57835.586204,18.709,0.2239999999999999,119,27,o,0,1.08,216.03021,35.05319,5815.67,1032.33,3.97,3.56,-60.9,-0.4529999999999999,19.04,20.98,01a57835o0567o
91,57835.593499,19.227,0.373,74,28,o,0,1.19,216.03021,35.05319,5832.85,1072.22,3.92,3.41,-62.7,-0.461,19.06,20.97,01a57835o0581o
92,57835.60604500001,19.627,0.512,51,26,o,0,1.43,216.03021,35.05319,5770.32,992.72,3.95,3.48,-62.0,-0.455,19.03,20.92,01a57835o0604o
93,57835.62248,19.504,0.505,57,29,o,0,0.87,216.03021,35.05319,5757.71,1111.49,3.84,3.36,-62.4,-0.456,19.02,20.83,01a57835o0634o
94,57837.525585,19.336,0.296,67,20,c,0,1.03,216.03021,35.05319,3033.18,9550.26,3.54,3.14,-2.7,-0.437,19.15,21.16,02a57837o0468c
95,57837.537435000006,19.029,0.221,89,20,c,0,1.28,216.03021,35.05319,3016.06,9510.63,3.7,3.39,6.2,-0.409,19.14,21.18,02a57837o0488c
96,57837.560973,19.336,0.346,67,23,c,0,1.73,216.03021,35.05319,3063.61,9586.86,5.2,4.55,8.1,-0.406,18.86,21.17,02a57837o0527c
97,57837.563565,18.949,0.2269999999999999,96,22,c,0,1.14,216.03021,35.05319,3098.09,9471.08,3.8,3.46,8.1,-0.4029999999999999,19.1,21.16,02a57837o0532c
98,57837.587510000005,19.072,0.228,85,19,c,0,1.23,216.03021,35.05319,3047.18,9531.84,3.51,3.14,-5.5,-0.447,19.13,21.15,02a57837o0572c
99,57838.505171,18.868,0.243,103,25,c,0,1.4,216.03021,35.05319,3620.07,8317.74,3.88,3.76,32.4,-0.419,19.12,21.26,02a57838o0478c
100,57838.52260900001,19.017,0.171,90,15,c,0,1.5,216.03021,35.05319,6835.18,2098.02,3.97,3.91,-55.3,-0.38,19.07,21.22,02a57838o0511c
101,57838.531799,19.278,0.214,71,15,c,0,1.16,216.03021,35.05319,6897.32,2173.99,3.96,3.89,-28.2,-0.381,19.07,21.2,02a57838o0528c
102,57838.540266,18.95,0.145,96,14,c,0,1.63,216.03021,35.05319,6913.95,2052.16,3.88,3.82,-79.9,-0.387,19.1,21.2,02a57838o0544c
103,57838.561628,18.811,0.193,109,21,c,0,1.06,216.03021,35.05319,6883.46,2117.58,4.11,4.07,-3.4,-0.37,19.02,21.18,02a57838o0582c
104,57839.575665,19.099,0.314,83,26,o,0,1.24,216.03021,35.05319,1696.98,8613.2,4.02,3.82,84.1,-0.445,19.21,21.24,01a57839o0533o
105,57839.597735,19.114,0.346,82,28,o,0,1.21,216.03021,35.05319,1715.23,8652.44,4.29,4.0,69.1,-0.433,19.19,21.19,01a57839o0574o
106,57839.611861000005,20.067,0.8,34,27,o,0,1.25,216.03021,35.05319,1649.44,8570.94,4.23,4.0,76.6,-0.432,19.19,21.2,01a57839o0600o
