Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,57853.58480599999,18.934,0.45,97,44,o,0,1.48,283.36593,28.9517,5715.8,2831.61,3.6,3.44,-81.1,-0.435,17.58,18.08,02a57853o0713o
4,57853.60866699999,18.705,0.472,120,56,o,0,1.23,283.36593,28.9517,5743.74,2893.83,3.52,3.36,-75.5,-0.454,17.56,18.11,02a57853o0761o
5,57877.586974,19.337,0.153,67,10,o,0,2.22,283.36593,28.9517,4124.54,2370.92,2.21,2.04,21.3,-0.443,19.55,20.89,02a57877o0469o
6,57877.606603,19.246,0.199,73,14,o,0,3.07,283.36593,28.9517,6359.77,8041.52,3.14,2.33,-4.8,-0.48,19.36,20.75,02a57877o0496o
7,57877.62370800001,19.382,0.337,64,22,o,0,6.39,283.36593,28.9517,6427.95,8125.74,4.16,2.28,-1.5,-0.429,18.8,19.79,02a57877o0523o
8,57885.571338,19.172,0.251,78,20,o,0,0.96,283.36593,28.9517,2620.47,3242.68,2.1,2.0,17.6,-0.462,19.05,19.64,02a57885o0547o
9,57885.584822,19.423,0.344,62,21,o,0,2.14,283.36593,28.9517,7866.0,7170.47,2.58,2.31,4.7,-0.468,18.92,19.64,02a57885o0568o
10,57885.60306,20.405,0.906,25,23,o,0,3.17,283.36593,28.9517,7914.59,7254.49,2.26,2.22,80.8,-0.493,18.94,19.63,02a57885o0595o
14,57889.56614600001,20.095,0.52,33,17,o,0,5.05,283.36593,28.9517,1348.61,211.9,2.7,2.08,16.5,-0.569,19.34,20.26,02a57889o0546o
16,57889.58298300001,19.142,0.229,80,18,o,0,2.93,283.36593,28.9517,1416.87,287.26,3.22,2.17,8.6,-0.546,19.26,20.23,02a57889o0570o
17,57889.589702,19.394,0.312,63,20,o,0,5.76,283.36593,28.9517,7667.26,9976.01,3.52,2.22,2.0,-0.476,19.04,20.15,02a57889o0580o
18,57889.601282,19.566,0.383,54,21,o,0,3.17,283.36593,28.9517,1435.86,174.46,2.92,2.18,11.9,-0.552,19.24,20.15,02a57889o0598o
19,57889.607445,19.606,0.284,52,15,o,0,3.2,283.36593,28.9517,7702.75,9866.98,2.53,2.17,3.9,-0.508,19.17,20.05,02a57889o0608o
20,57889.619706,18.937,0.211,97,20,o,0,6.29,283.36593,28.9517,1401.16,231.83,2.61,2.01,13.3,-0.579,18.98,19.47,02a57889o0626o
22,57893.540072,20.257,0.373,29,11,c,0,6.46,283.36593,28.9517,5498.28,691.41,4.16,2.67,34.8,-0.464,19.66,21.38,02a57893o0539c
24,57893.574957,20.04,0.366,35,13,c,0,2.91,283.36593,28.9517,4965.65,9734.87,4.37,2.66,-3.7,-0.436,19.35,21.3,02a57893o0597c
