Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57883.62217,17.392,0.491,401,197,o,0,1.01,309.73833,-26.83171,9541.41,4012.9,2.74,2.12,45.3,-0.5329999999999999,16.73,16.75,02a57883o0739o
3,57911.50859299999,19.542,0.451,55,25,o,0,1.18,309.73833,-26.83171,9383.03,3873.32,2.59,2.14,62.6,-0.487,18.76,19.2,02a57911o0508o
4,57911.515371,19.783,0.52,44,23,o,0,1.08,309.73833,-26.83171,9366.34,3989.3,2.67,2.21,65.0,-0.471,18.73,19.26,02a57911o0521o
6,57922.551851,20.257,0.574,29,16,o,0,0.95,309.73833,-26.83171,9339.52,6053.46,3.08,2.95,65.7,-0.445,19.22,20.44,01a57922o0629o
7,57922.55527999999,20.097,0.449,33,15,o,0,1.22,309.73833,-26.83171,9321.5,6002.45,3.09,2.97,82.8,-0.449,19.18,20.41,01a57922o0636o
11,57923.540791,18.289,0.782,176,137,o,0,1.62,309.73833,-26.83171,1182.11,6407.13,2.28,2.1,5.8,-0.474,16.73,17.4,02a57923o0592o
16,57930.547774,20.166,0.583,31,18,o,0,1.06,309.73833,-26.83171,1940.49,4783.14,4.67,4.29,-27.8,-0.394,18.94,20.91,01a57930o0595o
17,57930.560751,20.054,0.509,34,18,o,0,1.06,309.73833,-26.83171,1934.28,4952.46,4.22,3.95,-47.5,-0.413,19.02,20.82,01a57930o0620o
20,57934.525324,20.555,0.5760000000000001,22,12,o,0,1.22,309.73833,-26.83171,9563.35,2031.45,2.97,2.86,-74.0,-0.461,19.36,20.86,01a57934o0586o
27,57938.515329,19.95,0.43,38,16,o,0,1.17,309.73833,-26.83171,10376.08,8217.48,3.68,2.85,-60.6,-0.404,19.19,20.39,01a57938o0454o
32,57940.481847,20.111,0.574,33,19,o,0,0.92,309.73833,-26.83171,1669.35,5324.56,1.99,1.85,33.2,-0.496,19.01,19.48,02a57940o0442o
34,57948.505452,20.714,0.718,19,14,o,0,1.29,309.73833,-26.83171,7881.78,4956.53,2.18,2.12,-76.5,-0.475,19.13,19.81,02a57948o0529o
47,57958.478876,20.66,0.789,20,16,o,0,1.25,309.73833,-26.83171,1077.42,3824.21,4.15,3.1,85.3,-0.411,19.02,20.82,01a57958o0221o
51,57960.470053,20.881,0.525,16,8,o,0,1.78,309.73833,-26.83171,9809.51,6011.62,2.02,1.95,-78.9,-0.48,19.62,20.76,02a57960o0451o
52,57960.480324,20.755,0.624,18,11,o,0,1.29,309.73833,-26.83171,84.9,6013.13,2.07,1.81,18.0,-0.43,19.56,20.66,02a57960o0472o
56,57960.49689800001,20.462,0.45,24,11,o,0,1.12,309.73833,-26.83171,9865.25,5936.14,2.2,2.13,-73.4,-0.471,19.52,20.69,02a57960o0506o
57,57966.432799,20.661,0.857,20,17,o,0,1.11,309.73833,-26.83171,2791.47,5336.32,3.28,3.06,85.0,-0.421,19.01,20.33,01a57966o0378o
63,57968.427463,19.429,0.228,62,14,o,0,1.6,309.73833,-26.83171,8759.55,4708.78,2.07,2.02,-63.0,-0.448,19.14,19.75,02a57968o0374o
74,57977.45310700001,20.79,0.991,18,17,o,0,1.09,309.73833,-26.83171,719.15,5045.88,2.67,2.56,52.2,-0.41,18.96,19.89,02a57977o0439o
79,57979.43829299999,20.099,0.63,33,21,o,0,1.11,309.73833,-26.83171,10375.75,2800.51,3.6,2.76,-83.4,-0.435,18.94,20.18,01a57979o0389o
81,57979.447094,20.517,0.978,23,22,o,0,1.06,309.73833,-26.83171,10324.67,2757.79,3.61,2.72,-85.2,-0.4320000000000001,18.92,20.12,01a57979o0406o
82,57979.455402,19.758,0.6709999999999999,45,30,o,0,0.76,309.73833,-26.83171,550.31,2868.12,3.08,2.4,84.5,-0.498,18.75,19.9,01a57979o0422o
87,57981.43313200001,21.145,0.764,13,10,c,0,0.96,309.73833,-26.83171,8522.71,5639.07,2.74,2.6,-60.5,-0.385,19.67,21.45,02a57981o0393c
88,57981.441444,21.373,0.8059999999999999,10,8,c,0,1.15,309.73833,-26.83171,8541.49,5522.62,2.75,2.59,-59.0,-0.385,19.66,21.41,02a57981o0410c
92,57983.449743,20.944000000000006,0.933,15,14,o,0,1.26,309.73833,-26.83171,2479.17,5381.64,3.27,2.74,89.4,-0.448,19.11,20.55,01a57983o0345o
93,57985.415074,20.775,0.545,18,10,c,0,1.23,309.73833,-26.83171,8900.84,8155.63,2.54,2.53,-32.8,-0.43,19.66,21.4,02a57985o0375c
96,57985.440966,19.552,0.75,55,41,c,0,1.02,309.73833,-26.83171,8960.06,8077.53,3.64,3.4,61.4,-0.399,18.06,20.0,02a57985o0426c
103,57989.42554400001,21.151,0.955,13,12,c,0,0.62,309.73833,-26.83171,8488.39,6895.61,2.57,2.5,-73.3,-0.439,19.59,21.22,02a57989o0389c
118,57997.36790800001,19.907,0.51,40,20,o,0,1.44,309.73833,-26.83171,2572.26,2206.56,2.69,2.54,43.2,-0.44,18.71,19.47,02a57997o0230o
