Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
3,57891.60752899999,19.149,0.239,80,19,o,0,1.44,286.71596,-36.95876,4449.86,6044.59,2.5,2.42,-26.4,-0.42,18.77,19.51,02a57891o0421o
4,57891.622739,18.769,0.411,113,46,o,0,7.36,286.71596,-36.95876,4436.42,6004.37,2.44,2.37,-58.6,-0.436,17.84,17.92,02a57891o0450o
5,57895.618165,19.299,0.633,69,44,c,0,1.25,286.71596,-36.95876,5180.55,7791.87,2.87,2.81,0.5,-0.484,17.83,18.87,02a57895o0729c
11,57903.611748,20.372,0.573,26,15,c,0,1.49,286.71596,-36.95876,6809.67,5572.62,2.65,2.63,-75.9,-0.453,19.2,20.39,02a57903o0735c
12,57907.568989,19.7,0.394,48,19,o,0,0.97,286.71596,-36.95876,4509.74,6365.54,2.47,2.37,52.0,-0.473,18.95,20.07,02a57907o0543o
14,57907.602187,20.132,0.433,32,14,o,0,1.29,286.71596,-36.95876,4546.78,6403.34,2.21,2.18,82.9,-0.488,19.13,20.12,02a57907o0608o
15,57907.61908400001,18.533,0.913,140,128,o,0,1.19,286.71596,-36.95876,4580.45,6285.31,2.68,2.57,-63.0,-0.488,16.76,16.97,02a57907o0641o
18,57911.4524,19.422,0.476,62,29,o,0,1.65,286.71596,-36.95876,2991.87,4160.86,2.18,2.12,18.8,-0.478,18.16,18.57,02a57911o0401o
19,57911.46547999999,19.395,0.423,63,27,o,0,1.41,286.71596,-36.95876,2974.14,4277.14,2.25,2.21,13.8,-0.468,18.25,18.76,02a57911o0426o
21,57922.49491,19.981,0.41,37,15,o,0,1.27,286.71596,-36.95876,4791.81,4545.32,3.07,2.89,50.7,-0.442,19.07,20.4,01a57922o0517o
22,57922.50523600001,19.298,0.212,69,15,o,0,1.2,286.71596,-36.95876,4815.33,4624.32,3.11,2.92,61.6,-0.439,19.06,20.35,01a57922o0538o
