Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
10,57930.488705,20.018,0.469,36,17,o,0,1.66,285.94238,-42.7701,2762.56,6815.06,3.57,3.2,-40.9,-0.443,18.96,20.42,01a57930o0477o
12,57930.511808,19.792,0.541,44,24,o,0,0.9,285.94238,-42.7701,2702.85,6948.14,3.94,3.56,-37.8,-0.436,18.86,20.38,01a57930o0524o
17,57934.48015800001,19.978,0.393,37,15,o,0,1.72,285.94238,-42.7701,654.37,4256.69,3.14,2.99,-46.1,-0.481,19.06,20.5,01a57934o0495o
20,57934.496332,19.716,0.403,47,19,o,0,1.7,285.94238,-42.7701,577.39,4363.47,3.01,2.8,-55.1,-0.499,19.07,20.42,01a57934o0528o
21,57938.453362,19.289,0.486,70,34,o,0,0.99,285.94238,-42.7701,985.25,4041.94,4.29,3.64,-22.9,-0.424,18.3,19.52,01a57938o0332o
36,57954.430766,20.404,0.8759999999999999,25,22,o,0,0.97,285.94238,-42.7701,1865.15,5328.9,4.02,3.14,87.4,-0.414,18.84,20.42,01a57954o0452o
39,57954.456536,19.677,0.396,49,19,o,0,1.51,285.94238,-42.7701,1813.79,5510.59,4.12,3.26,88.2,-0.396,18.8,20.29,01a57954o0505o
45,57960.431622,19.719,0.426,47,20,o,0,2.28,285.94238,-42.7701,9310.02,4014.25,2.59,2.21,78.7,-0.473,19.01,20.53,02a57960o0373o
46,57960.439996,19.832,0.514,42,22,o,0,1.5,285.94238,-42.7701,9368.99,4089.48,2.63,2.25,78.4,-0.481,19.01,20.44,02a57960o0390o
68,57979.387833,19.505,0.304,57,17,o,0,1.23,285.94238,-42.7701,1380.32,4852.05,3.17,2.78,87.2,-0.459,18.98,20.39,01a57979o0292o
71,57979.414377,18.215,0.29100000000000004,188,55,o,0,1.04,285.94238,-42.7701,1322.84,5036.59,3.34,2.84,89.5,-0.453,18.56,19.8,01a57979o0343o
72,57981.369563,20.595,0.58,21,12,c,0,1.2,285.94238,-42.7701,8024.17,3656.48,2.75,2.55,-68.3,-0.395,19.58,21.24,02a57981o0263c
75,57981.39451000001,20.161,0.321,31,10,c,0,1.74,285.94238,-42.7701,8087.6,3576.26,2.88,2.66,-67.5,-0.387,19.48,21.2,02a57981o0314c
80,57985.368075,19.108,0.902,83,74,c,0,1.27,285.94238,-42.7701,8435.01,6202.04,2.56,2.42,88.0,-0.446,17.59,19.14,02a57985o0279c
93,57989.386376,19.799,0.285,44,12,c,0,1.64,285.94238,-42.7701,8058.57,4834.29,2.66,2.48,-72.9,-0.434,19.46,21.09,02a57989o0310c
100,57993.354524,19.946,0.503,38,19,o,0,5.24,285.94238,-42.7701,3794.23,7605.1,2.03,1.84,27.8,-0.516,19.02,19.81,02a57993o0252o
103,57997.32558300001,19.0,0.575,91,52,o,0,0.79,285.94238,-42.7701,5621.27,184.91,2.84,2.39,44.6,-0.449,18.35,18.82,02a57997o0188o
112,58011.317543,19.316,0.29,68,20,o,0,1.71,285.94238,-42.7701,7422.06,618.18,2.85,2.77,-10.5,-0.466,18.78,20.01,01a58011o0202o
121,58017.294836,19.676,0.355,49,17,c,0,1.04,285.94238,-42.7701,3615.4,9758.52,3.02,2.57,13.6,-0.459,19.19,20.8,02a58017o0036c
126,58021.274049,20.673,0.948,20,18,c,0,1.97,285.94238,-42.7701,5899.51,60.64,2.85,2.52,60.1,-0.462,19.31,20.69,02a58021o0131c
