Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
8,57844.60742000001,20.221,0.7,30,21,c,0,0.97,215.44229,-1.38762,8260.74,7353.7,3.76,3.51,-83.4,-0.441,19.47,21.35,02a57844o0711c
14,57846.614603,20.228,0.929,29,27,o,0,1.26,215.44229,-1.38762,2345.88,4050.12,4.19,3.6,-85.7,-0.446,18.89,20.82,01a57846o0529o
46,57866.599779,19.126,0.495,81,40,o,0,1.04,215.44229,-1.38762,2324.19,2358.0,4.44,3.72,-87.3,-0.453,17.88,19.4,01a57866o0777o
56,57876.481429,19.961,0.426,38,16,o,0,0.94,215.44229,-1.38762,8437.48,9008.57,2.06,1.85,18.0,-0.541,19.45,20.44,02a57876o0377o
57,57876.495989,19.758,0.329,45,15,o,0,1.32,215.44229,-1.38762,8497.91,9086.28,2.06,1.84,16.1,-0.5489999999999999,19.43,20.38,02a57876o0404o
58,57876.516052,19.673,0.32299999999999995,49,16,o,0,1.22,215.44229,-1.38762,8518.92,8970.77,2.05,1.8,16.7,-0.5579999999999999,19.43,20.35,02a57876o0441o
59,57878.470782,19.148,0.317,80,25,o,0,0.76,215.44229,-1.38762,3694.18,4835.02,3.98,3.46,-42.0,-0.505,18.78,19.95,01a57878o0261o
60,57878.48656900001,19.104,0.273,83,23,o,0,1.17,215.44229,-1.38762,3634.28,4756.92,3.27,3.04,-35.9,-0.446,18.82,19.87,01a57878o0292o
61,57878.50248500001,19.141,0.304,80,24,o,0,0.86,215.44229,-1.38762,3618.07,4872.4,3.42,3.1,-34.5,-0.435,18.84,19.88,01a57878o0323o
62,57886.458189,18.593,0.21,133,28,o,0,1.22,215.44229,-1.38762,2382.37,2087.56,4.42,3.2,-18.2,-0.439,18.53,19.51,01a57886o0488o
63,57886.47253099999,18.235,0.136,184,25,o,0,1.49,215.44229,-1.38762,2408.75,2184.03,3.93,2.97,-27.5,-0.477,18.63,19.42,01a57886o0517o
64,57886.499496,18.653,0.259,126,32,o,0,0.95,215.44229,-1.38762,2349.31,2323.78,4.0,2.95,-29.6,-0.479,18.54,19.28,01a57886o0572o
65,57888.523078,18.138,0.08900000000000001,202,18,o,0,1.27,215.44229,-1.38762,7391.08,5977.28,2.35,2.3,68.9,-0.475,19.0,19.7,02a57888o0037o
66,57892.450849,18.263,0.07,180,13,o,0,1.15,215.44229,-1.38762,6132.78,7843.63,2.08,2.02,4.5,-0.506,19.6,20.74,02a57892o0405o
67,57892.465216,18.348,0.076,166,13,o,0,0.98,215.44229,-1.38762,6116.46,7805.44,2.08,2.06,66.4,-0.501,19.56,20.68,02a57892o0432o
68,57892.479938,18.191,0.07,192,13,o,0,1.45,215.44229,-1.38762,6176.59,7881.79,2.08,2.03,-3.7,-0.506,19.48,20.53,02a57892o0460o
69,57892.494341,18.312,0.08199999999999999,172,14,o,0,1.17,215.44229,-1.38762,6197.1,7764.21,2.08,2.03,5.3,-0.503,19.44,20.42,02a57892o0487o
70,57892.509298,18.191,0.073,192,14,o,0,1.37,215.44229,-1.38762,6158.88,7821.46,2.07,2.0,-7.1,-0.509,19.37,20.3,02a57892o0515o
75,57897.402338,18.601,0.136,132,18,o,0,0.8,215.44229,-1.38762,10455.4,1568.57,3.39,2.94,-67.0,-0.426,19.28,20.84,01a57897o0312o
76,57897.419338,19.352,0.292,66,19,o,0,0.95,215.44229,-1.38762,10484.15,1676.67,3.23,2.72,-73.3,-0.446,19.33,20.82,01a57897o0346o
77,57897.419829,18.675,0.138,123,17,o,0,0.93,215.44229,-1.38762,710.39,1735.21,3.96,3.14,-1.1,-0.459,19.16,20.84,01a57897o0347o
78,57897.435279,18.455,0.11,151,16,o,0,0.9,215.44229,-1.38762,10434.25,1662.4,3.45,2.88,-68.9,-0.452,19.27,20.71,01a57897o0378o
79,57897.435776,19.767,0.331,45,15,o,0,10.02,215.44229,-1.38762,741.6,1838.01,3.13,2.92,-80.5,-0.47,19.3,20.76,01a57897o0379o
80,57897.451783,18.644,0.114,127,14,o,0,1.21,215.44229,-1.38762,10420.62,1845.5,3.3,2.78,-73.3,-0.442,19.3,20.76,01a57897o0411o
81,57897.452272,18.329,0.083,169,14,o,0,1.19,215.44229,-1.38762,689.83,1824.61,3.27,3.13,-10.3,-0.453,19.29,20.81,01a57897o0412o
82,57897.46887899999,18.556,0.113,137,16,o,0,1.1,215.44229,-1.38762,682.32,2002.84,3.25,3.0,-68.5,-0.468,19.24,20.73,01a57897o0445o
83,57898.430598,18.647,0.101,126,13,o,0,1.16,215.44229,-1.38762,4389.15,4192.58,3.41,2.84,-53.0,-0.451,19.31,20.88,01a57898o0233o
84,57898.446693,18.574,0.115,135,16,o,0,0.74,215.44229,-1.38762,4341.22,4177.58,3.47,2.98,-49.3,-0.435,19.31,20.89,01a57898o0265o
85,57898.463299,18.618,0.115,130,15,o,0,0.93,215.44229,-1.38762,4327.65,4355.86,3.47,2.9,-49.2,-0.446,19.28,20.82,01a57898o0298o
86,57900.427691,18.304,0.059,173,10,c,0,1.26,215.44229,-1.38762,7183.01,6311.35,2.53,2.32,51.7,-0.476,19.71,21.38,02a57900o0342c
87,57900.445366,18.32,0.063,171,11,c,0,0.92,215.44229,-1.38762,7164.51,6272.52,2.54,2.36,51.6,-0.475,19.68,21.36,02a57900o0375c
88,57900.46303200001,18.433,0.07200000000000001,154,11,c,0,1.19,215.44229,-1.38762,7222.1,6349.9,2.53,2.38,51.2,-0.477,19.66,21.3,02a57900o0408c
89,57900.498323,18.477,0.07,148,10,c,0,1.55,215.44229,-1.38762,7208.63,6289.31,2.52,2.38,47.8,-0.475,19.6,21.13,02a57900o0474c
