Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57905.565122,16.963,0.025,595,15,o,0,4.18,343.90463,19.17333,9102.57,1590.4,2.43,2.16,57.7,-0.471,19.6,20.72,02a57905o0381o
1,57905.576451,17.087,0.024,531,13,o,0,5.85,343.90463,19.17333,9121.07,1630.62,2.39,2.16,60.9,-0.475,19.6,20.79,02a57905o0403o
2,57905.587888,17.002,0.022,574,12,o,0,9.21,343.90463,19.17333,9067.03,1555.58,2.33,2.1,60.1,-0.488,19.61,20.67,02a57905o0425o
3,57905.59914400001,16.996,0.023,577,14,o,0,4.6,343.90463,19.17333,9045.58,1673.97,2.41,2.2,63.7,-0.47,19.57,20.76,02a57905o0447o
4,57905.61029400001,17.125999999999998,0.026,512,13,o,0,3.58,343.90463,19.17333,9082.26,1616.07,2.37,2.17,62.7,-0.472,19.47,20.5,02a57905o0469o
5,57928.606891,17.529,0.039,354,14,o,0,5.71,343.90463,19.17333,1709.19,8004.52,2.97,2.78,-87.8,-0.454,19.42,20.93,01a57928o0692o
6,57928.618551,17.769000000000005,0.123,284,35,o,0,1.68,343.90463,19.17333,1695.58,7920.6,2.95,2.77,81.8,-0.461,18.72,19.51,01a57928o0709o
7,57930.614994,17.932000000000006,0.077,244,19,o,0,2.74,343.90463,19.17333,3048.21,8090.65,3.39,2.67,-11.2,-0.417,19.09,20.25,02a57930o0724o
9,57932.593283,18.058,0.055,217,12,o,0,3.51,343.90463,19.17333,2848.39,9066.41,3.19,2.76,69.8,-0.439,19.61,21.49,01a57932o0660o
10,57932.604758,18.103,0.058,208,12,o,0,4.11,343.90463,19.17333,2835.58,8985.05,3.17,2.87,66.4,-0.435,19.58,21.44,01a57932o0677o
11,57932.614966,17.95,0.058,240,14,o,0,3.6,343.90463,19.17333,2893.77,9018.97,3.17,2.77,69.8,-0.4370000000000001,19.31,20.65,01a57932o0694o
12,57932.626454,17.907,0.91,250,227,o,0,0.73,343.90463,19.17333,2914.7,8856.96,3.29,2.85,66.7,-0.468,17.52,17.9,01a57932o0711o
13,57936.581862,18.364,0.073,164,12,o,0,4.17,343.90463,19.17333,872.6,8777.4,3.03,2.72,82.9,-0.454,19.56,21.32,01a57936o0653o
14,57936.593097,18.101,0.059,209,12,o,0,2.29,343.90463,19.17333,859.48,8693.01,3.12,2.86,89.0,-0.447,19.49,21.29,01a57936o0670o
15,57936.597952,17.96,0.049,238,12,o,0,6.6,343.90463,19.17333,10458.37,8713.32,3.18,2.98,57.7,-0.409,19.55,21.27,01a57936o0677o
16,57936.604331,18.261,0.068,180,12,o,0,3.66,343.90463,19.17333,920.23,8727.53,3.1,2.75,89.1,-0.45,19.48,21.27,01a57936o0687o
17,57936.609373,17.82,0.045,270,12,o,0,6.06,343.90463,19.17333,10443.94,8630.92,3.16,2.97,59.8,-0.407,19.52,21.11,01a57936o0694o
18,57936.616091,18.284,0.087,176,15,o,0,3.09,343.90463,19.17333,9195.0,1714.05,2.98,2.98,-44.4,-0.455,19.29,20.5,01a57936o0704o
20,57940.571866,18.593,0.1,133,13,o,0,5.84,343.90463,19.17333,3503.24,8257.37,3.13,2.85,77.5,-0.431,19.32,20.69,01a57940o0641o
21,57940.58168,18.256,0.069,181,13,o,0,2.38,343.90463,19.17333,3489.71,8181.03,3.16,2.85,69.2,-0.43,19.39,20.97,01a57940o0658o
22,57940.591729,18.166,0.063,197,12,o,0,3.78,343.90463,19.17333,3550.26,8219.6,3.25,2.84,67.2,-0.428,19.55,21.37,01a57940o0675o
23,57940.602087,18.578,0.07400000000000001,135,10,o,0,3.85,343.90463,19.17333,3572.73,8063.03,3.24,2.85,64.2,-0.425,19.58,21.45,01a57940o0692o
24,57942.581746,18.538,0.152,140,21,o,0,4.95,343.90463,19.17333,2455.29,8489.04,2.37,1.99,7.5,-0.487,19.14,19.74,02a57942o0621o
25,57942.596696,19.136,0.287,80,23,o,0,5.75,343.90463,19.17333,2436.32,8450.57,2.26,2.02,8.3,-0.488,19.16,19.77,02a57942o0650o
26,57942.605751,18.966,0.229,94,22,o,0,4.85,343.90463,19.17333,2492.23,8528.66,2.24,2.03,10.5,-0.494,19.19,19.79,02a57942o0667o
27,57942.615484,18.482,0.161,147,24,o,0,4.65,343.90463,19.17333,2507.61,8405.93,2.22,2.0,3.2,-0.495,19.09,19.66,02a57942o0684o
28,57944.558424,18.393,0.14,159,22,o,0,1.7,343.90463,19.17333,1861.57,824.72,2.93,2.69,78.0,-0.493,18.84,19.64,01a57944o0499o
29,57944.56840599999,18.352,0.282,166,47,o,0,1.56,343.90463,19.17333,1849.68,747.61,3.14,2.9,83.0,-0.476,17.92,18.7,01a57944o0515o
30,57944.580511,19.003,0.259,91,24,o,0,1.49,343.90463,19.17333,1910.98,778.98,2.97,2.72,68.9,-0.49,18.72,19.57,01a57944o0532o
31,57944.59256799999,18.808,0.21,109,23,o,0,1.62,343.90463,19.17333,8182.3,9654.93,3.0,2.86,87.6,-0.476,18.77,19.69,01a57944o0549o
32,57946.575749,18.321,0.131,170,22,o,0,1.96,343.90463,19.17333,1001.4,9501.61,3.43,2.05,3.0,-0.494,18.91,19.74,02a57946o0617o
33,57946.579805,18.688,0.188,122,23,o,0,3.95,343.90463,19.17333,982.5,9463.72,2.57,2.05,14.0,-0.484,19.07,19.75,02a57946o0625o
34,57946.593668,18.997,0.267,92,24,o,0,1.95,343.90463,19.17333,1035.42,9540.53,2.65,2.18,16.9,-0.508,19.04,19.74,02a57946o0651o
35,57946.603415,18.413,0.152,157,24,o,0,2.31,343.90463,19.17333,1054.18,9422.68,3.11,2.28,2.9,-0.495,18.94,19.74,02a57946o0668o
36,57948.552914,19.25,0.622,72,45,o,0,1.35,343.90463,19.17333,1908.58,7476.94,3.22,2.63,-84.3,-0.465,18.47,19.2,01a57948o0589o
38,57948.572333,18.395,0.327,159,52,o,0,1.33,343.90463,19.17333,1954.44,7440.36,3.12,2.65,-89.3,-0.481,18.14,19.01,01a57948o0623o
40,57952.538182,19.505,0.285,57,16,o,0,3.09,343.90463,19.17333,2165.1,7914.22,2.82,2.51,-84.4,-0.476,19.18,20.63,01a57952o0560o
41,57952.553320000006,19.142,0.24,80,19,o,0,2.09,343.90463,19.17333,7976.25,2459.27,3.2,3.01,-73.0,-0.4270000000000001,19.06,20.55,01a57952o0590o
42,57952.56383099999,18.934,0.154,97,15,o,0,3.47,343.90463,19.17333,2211.67,7851.81,3.06,2.63,-83.9,-0.455,19.24,20.89,01a57952o0609o
44,57956.53513500001,20.388,0.557,25,14,o,0,2.07,343.90463,19.17333,1839.8,8339.9,4.03,3.52,-86.7,-0.382,19.24,21.35,01a57956o0560o
