Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
19,57752.274412,17.475,0.5579999999999999,371,207,c,0,1.32,18.14242,0.29146,314.93,10467.45,4.03,3.48,19.8,-0.527,17.03,18.71,02a57752o0128c
27,57756.269776,20.638,0.909,20,18,c,0,1.2,18.14242,0.29146,2614.14,9041.64,3.67,3.36,13.2,-0.401,19.45,21.14,02a57756o0151c
43,57768.282662,15.021,0.529,3562,1884,o,0,1.3,18.14242,0.29146,2546.86,10018.03,3.38,2.77,2.5,-0.501,15.42,16.46,02a57768o0188o
65,57804.243555,18.541,0.446,139,62,c,0,1.01,18.14242,0.29146,4394.96,2307.38,4.57,4.02,-3.1,-0.387,18.02,19.63,02a57804o0071c
66,57941.519179,17.031,0.073,559,41,o,0,0.95,18.14242,0.29146,3118.19,9461.73,2.98,2.73,21.4,-0.466,18.31,19.06,02a57941o0025o
67,57941.524917,17.163,0.067,495,33,o,0,1.62,18.14242,0.29146,3056.79,9383.02,2.7,2.45,29.0,-0.503,18.5,19.11,02a57941o0036o
68,57941.533629,16.977999999999998,0.078,587,46,o,0,1.17,18.14242,0.29146,3039.1,9502.1,3.92,3.71,2.5,-0.449,18.24,19.21,02a57941o0046o
69,57942.621121,17.115,0.114,518,59,o,0,1.1,18.14242,0.29146,2880.22,9148.58,3.17,2.91,-49.8,-0.462,18.39,18.96,01a57942o0741o
70,57943.562635,17.33,0.277,425,118,o,0,1.15,18.14242,0.29146,7973.23,3173.66,3.15,3.1,-59.1,-0.443,16.94,17.1,01a57943o0633o
71,57943.57012,16.738,0.377,732,276,o,0,1.07,18.14242,0.29146,7953.64,3117.08,3.24,3.16,56.0,-0.5379999999999999,16.39,16.85,01a57943o0648o
72,57943.577592,17.264,0.075,451,34,o,0,1.1,18.14242,0.29146,8011.25,3175.72,3.23,3.15,-80.3,-0.436,18.4,19.1,01a57943o0663o
73,57943.585112,17.219,0.079,470,37,o,0,0.78,18.14242,0.29146,8033.59,3042.97,3.52,3.39,-61.4,-0.409,18.29,19.04,01a57943o0678o
74,57944.58036,17.209,0.04,475,19,o,0,1.62,18.14242,0.29146,7489.29,384.63,2.47,2.08,54.3,-0.485,18.9,19.43,02a57944o0657o
75,57944.588225,17.203,0.046,478,22,o,0,1.19,18.14242,0.29146,7508.58,425.71,2.43,2.03,54.2,-0.485,18.99,19.47,02a57944o0673o
76,57944.596449,17.235,0.053,464,24,o,0,1.07,18.14242,0.29146,7450.4,349.41,2.29,2.01,58.8,-0.536,19.02,19.5,02a57944o0689o
77,57944.605358,17.287,0.039,442,17,o,0,1.69,18.14242,0.29146,7429.64,469.54,2.27,2.02,59.2,-0.528,19.09,19.54,02a57944o0706o
78,57945.60988300001,17.242,0.057,460,26,o,0,1.64,18.14242,0.29146,4203.87,7954.51,2.19,1.96,22.3,-0.564,19.03,19.62,02a57945o0710o
79,57945.618615,17.476,0.078,371,29,o,0,1.24,18.14242,0.29146,4221.22,7996.3,2.14,1.88,17.6,-0.557,18.9,19.38,02a57945o0727o
80,57945.627428,17.961,0.602,237,143,o,0,0.72,18.14242,0.29146,4162.2,7920.46,2.14,1.93,19.7,-0.565,17.9,18.05,02a57945o0744o
81,57947.614062,17.549,0.07,347,24,o,0,1.08,18.14242,0.29146,7065.76,1466.11,3.32,3.07,-83.5,-0.445,18.85,19.85,01a57947o0506o
82,57947.62259299999,17.451,0.077,380,29,o,0,1.33,18.14242,0.29146,7047.77,1398.22,3.43,3.16,-86.3,-0.428,18.4,19.06,01a57947o0523o
83,57951.634672,17.43,0.242,387,94,o,0,1.09,18.14242,0.29146,418.26,9723.83,3.39,2.87,-89.5,-0.434,17.33,17.42,01a57951o0764o
85,57959.61808200001,18.046,0.079,220,17,o,0,1.24,18.14242,0.29146,3842.39,9595.68,4.08,3.77,-89.5,-0.404,19.08,21.07,01a57959o0747o
86,57959.628686,18.448,0.37,152,56,o,0,1.02,18.14242,0.29146,3822.74,9516.51,6.25,4.41,-2.4,-0.311,17.62,18.85,01a57959o0765o
87,57963.57434299999,18.421,0.097,155,15,o,0,1.2,18.14242,0.29146,4006.75,9420.76,3.14,2.82,-81.4,-0.454,19.33,21.02,01a57963o0448o
88,57963.58281,18.234,0.081,185,15,o,0,1.25,18.14242,0.29146,3987.28,9351.43,3.23,3.13,-66.7,-0.421,19.26,21.0,01a57963o0465o
89,57963.591283,18.159,0.066,198,13,o,0,1.64,18.14242,0.29146,4047.52,9399.92,3.12,2.62,-84.7,-0.465,19.38,21.03,01a57963o0482o
90,57963.599787,18.397,0.111,159,18,o,0,0.74,18.14242,0.29146,4067.15,9251.4,3.08,2.59,-79.7,-0.472,19.4,21.05,01a57963o0499o
91,57967.587965,18.418,0.086,156,13,o,0,1.23,18.14242,0.29146,265.15,9538.76,3.42,2.69,-88.2,-0.4370000000000001,19.47,21.41,01a57967o0339o
92,57967.598785,18.516,0.092,142,13,o,0,1.34,18.14242,0.29146,245.12,9459.14,3.25,2.54,-87.6,-0.454,19.52,21.4,01a57967o0357o
93,57967.599818,18.249,0.076,182,14,o,0,1.44,18.14242,0.29146,10012.49,9457.38,3.82,3.49,-84.8,-0.378,19.37,21.38,01a57967o0359o
94,57967.608956,18.429,0.08800000000000001,154,14,o,0,1.14,18.14242,0.29146,301.95,9497.63,3.39,2.77,-85.8,-0.428,19.48,21.37,01a57967o0374o
95,57967.610453,18.574,0.105,135,14,o,0,1.02,18.14242,0.29146,9991.4,9376.76,3.74,2.73,-86.8,-0.412,19.51,21.36,01a57967o0377o
96,57967.619054,18.452,0.096,151,15,o,0,1.11,18.14242,0.29146,326.11,9343.35,3.34,2.64,-87.3,-0.448,19.4,21.18,01a57967o0392o
97,57967.620026,18.753,0.132,114,15,o,0,1.29,18.14242,0.29146,10054.45,9420.67,3.98,3.83,-87.9,-0.344,19.22,21.11,01a57967o0394o
98,57967.629539,18.658,0.232,125,29,o,0,1.07,18.14242,0.29146,10071.71,9265.7,3.85,2.75,-87.3,-0.397,18.58,19.32,01a57967o0412o
99,57969.608009,18.532,0.078,140,11,o,0,1.42,18.14242,0.29146,7308.73,2313.67,2.17,2.14,74.2,-0.449,19.69,21.06,02a57969o0699o
100,57969.617959,18.536,0.079,140,11,o,0,1.34,18.14242,0.29146,7289.89,2276.92,2.19,2.12,10.4,-0.481,19.63,20.99,02a57969o0717o
101,57969.62731,18.633,0.113,128,14,o,0,1.61,18.14242,0.29146,7347.23,2356.73,2.1,2.05,-11.2,-0.473,19.24,19.97,02a57969o0734o
102,57972.507059,18.839,0.369,106,39,o,0,0.95,18.14242,0.29146,7926.01,1988.8,3.56,3.02,-82.5,-0.4270000000000001,18.31,19.0,01a57972o0383o
103,57972.515625,18.518,0.23,142,33,o,0,1.02,18.14242,0.29146,7906.62,1925.94,3.47,2.92,-84.1,-0.433,18.34,19.08,01a57972o0400o
104,57972.52420299999,18.631,0.224,128,29,o,0,1.38,18.14242,0.29146,7965.37,1978.94,3.33,2.79,-85.2,-0.445,18.4,19.04,01a57972o0417o
105,57972.53262100001,18.425,0.212,155,33,o,0,0.96,18.14242,0.29146,7984.92,1836.32,3.49,2.99,-81.3,-0.426,18.48,19.28,01a57972o0434o
106,57973.505468,18.345,0.261,167,44,o,0,0.88,18.14242,0.29146,5609.22,8048.58,2.04,1.91,-19.1,-0.478,18.78,19.04,02a57973o0536o
107,57973.513787,18.457,0.621,150,93,o,0,1.01,18.14242,0.29146,5627.7,8069.72,2.06,1.92,-16.8,-0.501,18.16,18.59,02a57973o0553o
108,57973.522152,18.999,0.422,91,38,o,0,1.58,18.14242,0.29146,5569.48,8012.71,2.02,1.9,-19.7,-0.5329999999999999,18.72,19.05,02a57973o0570o
109,57973.531959,18.902,0.4320000000000001,100,43,o,0,1.28,18.14242,0.29146,5548.07,8131.81,2.04,1.89,-26.7,-0.478,18.54,18.92,02a57973o0590o
110,57974.539027,19.259,0.349,72,25,o,0,2.21,18.14242,0.29146,3581.02,8829.91,1.97,1.83,10.3,-0.54,18.94,19.31,02a57974o0580o
111,57974.547739,19.081,0.404,85,34,o,0,0.74,18.14242,0.29146,3598.7,8871.22,1.95,1.82,13.7,-0.56,18.9,19.33,02a57974o0597o
112,57974.556405,18.982,0.255,93,24,o,0,2.53,18.14242,0.29146,3537.98,8794.16,1.95,1.81,12.3,-0.54,19.01,19.35,02a57974o0614o
113,57974.565115,18.449,0.14400000000000002,152,22,o,0,2.37,18.14242,0.29146,3517.09,8912.46,1.97,1.84,15.2,-0.517,19.01,19.37,02a57974o0631o
114,57976.561522,18.652,0.333,126,42,o,0,1.04,18.14242,0.29146,7151.65,2380.34,3.01,2.75,81.8,-0.453,18.11,19.16,01a57976o0610o
115,57976.57160800001,19.257,0.5579999999999999,72,40,o,0,1.04,18.14242,0.29146,7133.88,2307.59,2.96,2.71,84.0,-0.451,18.14,19.15,01a57976o0627o
116,57976.581615,19.291,0.594,70,41,o,0,0.76,18.14242,0.29146,7192.75,2347.77,2.97,2.75,83.3,-0.455,18.13,19.16,01a57976o0644o
117,57976.590464,18.765,0.337,113,38,o,0,1.12,18.14242,0.29146,7210.48,2197.51,3.03,2.82,-85.0,-0.443,18.14,19.17,01a57976o0661o
118,57978.595514,18.8,0.208,110,23,o,0,1.12,18.14242,0.29146,5701.28,1138.78,2.14,2.01,-76.5,-0.474,18.83,19.63,02a57978o0672o
119,57978.604318,19.454,0.439,60,26,o,0,0.6,18.14242,0.29146,5683.3,1103.64,2.12,1.99,-86.8,-0.45,18.81,19.63,02a57978o0689o
120,57978.613765,19.139,0.292,80,23,o,0,1.19,18.14242,0.29146,5740.91,1181.61,2.13,2.06,-69.1,-0.472,18.73,19.62,02a57978o0706o
121,57978.62335,18.817,0.197,108,21,o,0,1.51,18.14242,0.29146,5759.26,1063.75,2.14,2.03,-82.0,-0.457,18.74,19.57,02a57978o0723o
122,57980.585515,18.859,0.135,104,14,o,0,1.2,18.14242,0.29146,2783.59,7399.6,2.88,2.53,-87.6,-0.473,19.33,20.81,01a57980o0661o
123,57980.594398,19.287,0.21600000000000005,70,15,o,0,0.89,18.14242,0.29146,2806.86,7471.97,3.0,2.63,-86.2,-0.465,19.28,20.77,01a57980o0678o
124,57980.60326799999,19.266,0.184,71,13,o,0,1.49,18.14242,0.29146,2752.28,7430.2,2.93,2.55,-82.7,-0.474,19.3,20.75,01a57980o0695o
125,57980.612726,18.888,0.141,101,14,o,0,1.26,18.14242,0.29146,2741.17,7583.55,2.95,2.65,-79.2,-0.461,19.27,20.72,01a57980o0712o
126,57982.578913,18.921,0.099,98,10,c,0,1.35,18.14242,0.29146,681.88,10002.86,2.61,2.18,10.1,-0.443,19.75,21.43,02a57982o0661c
127,57982.587451,18.847,0.096,105,10,c,0,1.66,18.14242,0.29146,5215.65,359.02,2.6,2.37,68.3,-0.431,19.74,21.43,02a57982o0677c
128,57982.588429,18.738,0.08800000000000001,116,10,c,0,1.05,18.14242,0.29146,663.23,9963.3,2.6,2.18,9.9,-0.443,19.76,21.43,02a57982o0679c
129,57982.589397,18.751,0.087,115,10,c,0,2.01,18.14242,0.29146,10449.83,10032.25,2.66,2.46,38.2,-0.419,19.77,21.44,02a57982o0681c
130,57982.596828,18.933,0.125,97,12,c,0,1.28,18.14242,0.29146,5197.16,320.19,2.64,2.42,66.5,-0.421,19.72,21.43,02a57982o0695c
131,57982.597327,18.828,0.097,107,10,c,0,1.17,18.14242,0.29146,722.62,10042.16,2.65,2.26,11.9,-0.439,19.74,21.44,02a57982o0696c
132,57982.598832,18.83,0.1,107,11,c,0,1.26,18.14242,0.29146,10429.84,9992.71,2.8,2.54,44.7,-0.431,19.75,21.44,02a57982o0699c
133,57982.60573,18.959,0.119,95,11,c,0,1.41,18.14242,0.29146,5256.87,399.36,2.62,2.4,65.4,-0.424,19.76,21.43,02a57982o0712c
134,57982.606711,18.861,0.08800000000000001,104,9,c,0,1.63,18.14242,0.29146,743.23,9923.69,2.6,2.22,7.6,-0.442,19.73,21.43,02a57982o0714c
135,57982.607727,18.636,0.101,128,13,c,0,1.58,18.14242,0.29146,10489.09,10072.67,2.67,2.51,38.7,-0.402,19.7,21.43,02a57982o0716c
136,57982.61506799999,19.242,0.121,73,9,c,0,1.9,18.14242,0.29146,5276.19,281.09,2.67,2.42,67.1,-0.426,19.76,21.41,02a57982o0730c
137,57982.617008,18.546,0.104,138,14,c,0,1.34,18.14242,0.29146,10508.82,9956.58,2.62,2.52,45.5,-0.4270000000000001,19.74,21.41,02a57982o0734c
138,57986.57973300001,19.266,0.326,71,23,c,0,1.42,18.14242,0.29146,8155.34,2586.97,2.81,2.77,87.8,-0.394,18.59,20.44,02a57986o0641c
139,57988.567256,19.75,0.388,46,18,o,0,1.3,18.14242,0.29146,2726.53,7428.67,4.06,2.9,-1.7,-0.448,19.0,20.73,01a57988o0672o
140,57988.576129,19.794,0.333,44,15,o,0,1.72,18.14242,0.29146,2749.7,7501.3,2.96,2.87,-11.1,-0.436,19.16,20.75,01a57988o0689o
141,57988.58506900001,19.412,0.255,62,16,o,0,1.19,18.14242,0.29146,2694.5,7460.04,2.92,2.78,-88.9,-0.446,19.19,20.76,01a57988o0706o
