Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
4,57866.565635,16.896,0.099,633,63,o,0,6.12,214.61546,12.88449,6746.28,3626.31,3.45,3.3,-50.0,-0.479,17.25,18.82,01a57866o0708o
15,57869.58263,16.683,0.048,770,37,o,0,16.93,214.61546,12.88449,8151.57,5629.41,3.45,3.32,-21.3,-0.485,18.22,19.79,01a57869o0635o
40,57893.41128099999,17.569000000000006,0.049,341,17,o,0,11.5,214.61546,12.88449,7531.82,4182.88,5.57,4.86,71.3,-0.301,18.87,20.95,01a57893o0343o
41,57893.465087,15.538,0.046,2213,102,o,0,13.17,214.61546,12.88449,7518.11,4470.27,5.85,4.92,71.4,-0.324,18.76,20.74,01a57893o0451o
58,57901.43940800001,19.627,0.389,51,20,o,0,2.35,214.61546,12.88449,7832.64,5993.86,4.6,3.39,-54.1,-0.448,19.21,20.88,01a57901o0204o
69,57908.361146,17.974,0.5,235,117,o,0,0.81,214.61546,12.88449,3759.54,5961.49,2.83,2.59,-47.8,-0.405,17.12,17.23,02a57908o0240o
70,57908.377246,19.402,0.722,63,46,o,0,1.29,214.61546,12.88449,3740.99,5923.64,2.56,2.28,-49.1,-0.433,17.98,18.23,02a57908o0270o
73,57908.43718200001,17.593,0.394,333,131,o,0,1.24,214.61546,12.88449,3784.05,5939.34,2.7,2.46,-46.6,-0.413,17.03,17.52,02a57908o0385o
77,57909.39081699999,20.035,0.902,35,32,o,0,1.08,214.61546,12.88449,5916.07,3166.05,3.32,3.05,64.7,-0.438,18.55,19.17,01a57909o0307o
80,57913.3765,18.557,0.396,137,54,o,0,1.01,214.61546,12.88449,5557.67,3198.99,3.14,2.82,58.2,-0.456,17.9,18.23,01a57913o0270o
81,57913.390332,18.151,0.21,199,42,o,0,0.82,214.61546,12.88449,5586.9,3291.85,3.24,3.0,57.1,-0.445,18.22,18.67,01a57913o0296o
82,57913.403701,18.294,0.165,175,29,o,0,1.13,214.61546,12.88449,5540.95,3264.8,3.28,2.95,55.2,-0.4370000000000001,18.51,19.15,01a57913o0321o
83,57913.420487,18.041,0.134,220,29,o,0,1.34,214.61546,12.88449,5536.31,3442.65,3.27,2.97,57.1,-0.438,18.44,19.04,01a57913o0352o
84,57914.404393,18.008,0.14400000000000002,227,33,o,0,1.51,214.61546,12.88449,6178.24,6210.4,3.16,2.82,57.4,-0.44,18.71,19.39,01a57914o0316o
85,57914.421091,18.272,0.16699999999999998,178,30,o,0,1.85,214.61546,12.88449,6213.53,6309.44,3.2,2.83,54.0,-0.438,18.62,19.3,01a57914o0348o
86,57914.43861799999,17.774,0.139,282,39,o,0,1.21,214.61546,12.88449,6177.43,6292.75,3.18,2.86,59.2,-0.449,18.57,19.18,01a57914o0381o
87,57914.454501,18.13,0.193,203,39,o,0,1.68,214.61546,12.88449,6175.74,6460.5,3.01,2.82,63.3,-0.468,18.53,19.08,01a57914o0412o
88,57917.34409199999,17.125,0.034,513,17,o,0,1.99,214.61546,12.88449,6115.75,5870.8,3.26,2.9,55.8,-0.428,19.28,20.58,01a57917o0101o
89,57917.361126,17.185,0.037000000000000005,485,18,o,0,1.75,214.61546,12.88449,6144.58,5976.13,3.12,2.89,60.4,-0.436,19.22,20.42,01a57917o0135o
90,57917.377355,17.125999999999998,0.036000000000000004,512,19,o,0,1.62,214.61546,12.88449,6097.77,5963.12,3.2,2.95,62.5,-0.435,19.17,20.31,01a57917o0167o
91,57917.399515,17.082,0.032,534,17,o,0,2.51,214.61546,12.88449,6096.36,6162.59,3.05,2.84,71.7,-0.446,19.16,20.18,01a57917o0211o
92,57918.330599,16.892,0.024,636,15,o,0,2.05,214.61546,12.88449,5409.74,3302.45,3.12,2.84,63.1,-0.445,19.56,21.27,01a57918o0185o
93,57918.35729,16.859,0.025,655,16,o,0,2.2,214.61546,12.88449,5444.89,3447.71,2.96,2.79,70.6,-0.457,19.43,20.84,01a57918o0239o
94,57918.370256,17.016,0.031,567,18,o,0,1.63,214.61546,12.88449,5396.11,3421.44,3.02,2.8,-88.3,-0.45,19.32,20.58,01a57918o0265o
95,57918.387189,16.886,0.03,639,19,o,0,1.44,214.61546,12.88449,5391.55,3602.52,2.9,2.76,85.5,-0.462,19.18,20.28,01a57918o0299o
96,57920.365187,16.692999999999998,0.02,764,16,o,0,2.07,214.61546,12.88449,8358.33,4912.52,3.16,3.01,52.6,-0.43,19.49,21.22,01a57920o0253o
97,57920.368761,16.715,0.021,748,16,o,0,2.2,214.61546,12.88449,8378.4,4964.12,3.17,2.97,63.0,-0.441,19.5,21.21,01a57920o0259o
98,57920.369734,16.742,0.021,730,15,o,0,1.47,214.61546,12.88449,8321.82,4891.72,3.18,2.96,66.5,-0.436,19.49,21.2,01a57920o0261o
99,57920.382499,16.66,0.02,787,16,o,0,1.92,214.61546,12.88449,8313.83,5057.4,3.15,2.94,68.9,-0.442,19.52,21.16,01a57920o0287o
100,57924.353646,16.829,0.017,673,11,o,0,2.96,214.61546,12.88449,5231.31,6108.7,3.61,3.09,22.5,-0.386,19.46,21.27,01a57924o0227o
101,57924.368548,16.563,0.018000000000000002,861,15,o,0,2.64,214.61546,12.88449,5261.21,6204.77,3.29,2.81,53.3,-0.43,19.54,21.3,01a57924o0256o
102,57924.373099,16.512999999999998,0.016,901,15,o,0,3.17,214.61546,12.88449,5204.31,6144.13,3.3,2.83,54.2,-0.429,19.53,21.26,01a57924o0263o
103,57924.373591,16.552,0.016,869,14,o,0,2.91,214.61546,12.88449,5186.73,6262.27,3.26,2.82,53.6,-0.418,19.54,21.27,01a57924o0264o
104,57926.349642,16.553,0.016,868,14,o,0,5.41,214.61546,12.88449,3136.55,5481.31,2.06,1.97,-45.0,-0.472,19.8,21.12,02a57926o0162o
105,57926.366433,16.514,0.016,900,14,o,0,4.46,214.61546,12.88449,3174.31,5518.69,2.27,2.22,-47.5,-0.471,19.71,21.06,02a57926o0193o
106,57926.36738500001,16.535999999999998,0.017,882,15,o,0,3.6,214.61546,12.88449,3118.45,5442.04,2.61,2.6,-65.3,-0.434,19.56,21.06,02a57926o0195o
107,57926.373102,16.496,0.018000000000000002,915,16,o,0,3.15,214.61546,12.88449,3195.39,5402.8,2.37,2.29,-77.5,-0.459,19.59,21.02,02a57926o0204o
108,57928.345832000006,16.532,0.019,886,17,o,0,1.75,214.61546,12.88449,6851.26,5174.12,3.19,3.01,68.6,-0.431,19.45,21.07,01a57928o0212o
109,57928.348389,16.555,0.019,867,16,o,0,2.15,214.61546,12.88449,6871.32,5222.73,3.14,2.92,67.9,-0.445,19.46,21.07,01a57928o0217o
110,57928.365102,16.597,0.019,834,16,o,0,2.37,214.61546,12.88449,6827.12,5210.32,3.32,3.12,67.6,-0.429,19.42,21.08,01a57928o0251o
111,57928.370499,16.51,0.016,904,15,o,0,4.02,214.61546,12.88449,6810.6,5345.34,3.13,2.94,66.7,-0.447,19.46,21.05,01a57928o0261o
112,57932.334993,16.857,0.023,656,15,o,0,2.57,214.61546,12.88449,5710.75,4125.01,3.41,2.96,49.0,-0.419,19.42,21.04,01a57932o0185o
113,57932.349049,16.789,0.022,699,15,o,0,2.24,214.61546,12.88449,5739.21,4217.62,3.37,2.91,55.8,-0.429,19.47,21.09,01a57932o0213o
114,57932.35346599999,16.87,0.023,648,15,o,0,1.9,214.61546,12.88449,5682.22,4156.49,3.33,2.9,58.9,-0.428,19.48,21.13,01a57932o0220o
115,57932.353954,16.92,0.024,619,15,o,0,2.04,214.61546,12.88449,5664.67,4274.55,3.33,2.9,52.4,-0.43,19.47,21.14,01a57932o0221o
116,57936.33043,17.268,0.05,450,23,o,0,1.06,214.61546,12.88449,7682.04,4454.23,3.51,3.11,11.6,-0.405,18.87,20.03,01a57936o0180o
117,57936.338535,17.137,0.04,507,20,o,0,1.81,214.61546,12.88449,7707.16,4523.7,3.12,2.88,55.5,-0.436,18.95,20.0,01a57936o0196o
118,57936.346137,17.332,0.049,424,21,o,0,2.09,214.61546,12.88449,7655.3,4475.45,3.04,2.81,57.4,-0.448,18.97,19.97,01a57936o0211o
119,57936.354839,17.255,0.05,455,23,o,0,1.51,214.61546,12.88449,7643.83,4622.99,3.07,2.81,57.4,-0.448,18.96,19.92,01a57936o0228o
120,57940.320402,17.332,0.051,424,22,o,0,1.14,214.61546,12.88449,5056.17,4949.32,3.02,2.78,54.5,-0.449,18.96,19.93,01a57940o0161o
121,57940.328541,17.345,0.049,419,20,o,0,1.59,214.61546,12.88449,5082.26,5019.02,3.06,2.74,56.9,-0.448,18.92,19.9,01a57940o0177o
122,57940.33619800001,17.395,0.052000000000000005,400,21,o,0,1.31,214.61546,12.88449,5032.68,4971.36,3.05,2.8,59.9,-0.45,18.89,19.87,01a57940o0192o
123,57940.34441000001,17.302,0.049,436,21,o,0,1.54,214.61546,12.88449,5021.89,5117.2,3.07,2.82,63.1,-0.442,18.95,19.84,01a57940o0208o
124,57942.307361,17.37,0.054000000000000006,409,22,o,0,1.35,214.61546,12.88449,4158.02,5981.01,2.21,2.14,44.0,-0.514,18.94,19.58,02a57942o0131o
125,57942.315906,17.324,0.046,427,20,o,0,2.17,214.61546,12.88449,4138.76,5943.36,2.27,2.2,52.4,-0.491,18.94,19.58,02a57942o0148o
126,57942.32444400001,17.292,0.05,440,22,o,0,1.63,214.61546,12.88449,4195.12,6019.37,2.17,2.14,21.0,-0.495,18.91,19.53,02a57942o0165o
127,57942.332814,17.288,0.056,442,25,o,0,1.13,214.61546,12.88449,4215.42,5902.59,2.14,2.11,-4.0,-0.512,18.91,19.49,02a57942o0181o
128,57943.31339500001,17.226,0.076,467,36,o,0,1.16,214.61546,12.88449,5441.73,2755.73,3.23,2.83,56.8,-0.455,18.31,18.88,01a57943o0133o
129,57943.32083200001,17.352,0.09,416,38,o,0,1.02,214.61546,12.88449,5466.97,2822.77,3.14,2.76,55.4,-0.467,18.34,18.88,01a57943o0148o
130,57943.328234,17.245,0.067,459,31,o,0,1.31,214.61546,12.88449,5416.2,2773.53,3.17,2.85,61.0,-0.462,18.39,19.17,01a57943o0163o
131,57943.33570599999,17.224,0.059,468,28,o,0,1.35,214.61546,12.88449,5405.12,2917.53,3.13,2.82,59.3,-0.458,18.63,19.31,01a57943o0178o
132,57944.30761900001,17.175,0.05,490,25,o,0,1.43,214.61546,12.88449,5644.81,2628.39,3.88,3.19,51.9,-0.413,18.69,19.82,01a57944o0019o
133,57944.316248,17.322,0.09,428,38,o,0,1.38,214.61546,12.88449,5672.17,2700.25,3.72,3.1,58.0,-0.423,18.15,19.1,01a57944o0036o
134,57944.325018,17.384,0.229,404,92,o,0,0.96,214.61546,12.88449,5622.68,2656.56,3.6,3.13,61.5,-0.4320000000000001,17.39,17.88,01a57944o0053o
135,57944.333876,17.430999999999994,0.051,387,20,o,0,1.98,214.61546,12.88449,5611.9,2806.11,3.45,2.99,58.6,-0.4370000000000001,18.84,19.79,01a57944o0070o
136,57946.272893,17.288,0.038,441,17,o,0,2.65,214.61546,12.88449,2723.25,6973.06,2.3,2.19,38.5,-0.478,19.31,20.64,02a57946o0061o
137,57946.273378,17.255,0.034,455,16,o,0,2.68,214.61546,12.88449,2704.66,6934.26,2.39,2.25,43.1,-0.486,19.49,20.87,02a57946o0062o
138,57946.289457000006,17.11,0.024,520,13,o,0,6.32,214.61546,12.88449,2758.0,7009.59,2.2,2.1,23.2,-0.493,19.56,20.93,02a57946o0094o
139,57946.298017,17.206,0.031,476,15,o,0,2.82,214.61546,12.88449,2775.7,6893.58,2.15,2.07,27.0,-0.505,19.68,20.91,02a57946o0111o
140,57948.25431,17.511,0.056,360,20,o,0,1.97,214.61546,12.88449,6631.57,5548.4,3.7,3.36,23.0,-0.392,18.98,20.47,01a57948o0006o
141,57948.26987999999,17.352999999999998,0.043,416,18,o,0,1.97,214.61546,12.88449,6662.12,5647.45,3.22,3.06,3.2,-0.426,19.13,20.67,01a57948o0038o
142,57948.272532,17.410999999999998,0.049,394,19,o,0,1.97,214.61546,12.88449,6608.0,5581.63,3.21,3.17,77.7,-0.4320000000000001,19.08,20.58,01a57948o0043o
143,57948.27301900001,17.382,0.048,405,19,o,0,1.84,214.61546,12.88449,6590.31,5699.63,3.21,3.18,-3.5,-0.42,19.06,20.57,01a57948o0044o
144,57950.251215,17.559,0.057,344,19,o,0,3.18,214.61546,12.88449,4011.52,6568.21,2.13,1.88,39.8,-0.574,18.97,19.52,02a57950o0023o
145,57950.268103,17.622,0.043,324,14,o,0,4.15,214.61546,12.88449,4049.8,6601.47,2.08,1.91,39.8,-0.53,19.51,20.66,02a57950o0056o
146,57950.268588,17.525,0.045,355,16,o,0,3.52,214.61546,12.88449,3993.57,6524.14,2.08,1.93,40.0,-0.528,19.59,20.71,02a57950o0057o
147,57950.279426,17.502,0.042,362,15,o,0,6.09,214.61546,12.88449,4068.34,6484.16,2.05,1.97,30.6,-0.524,19.62,20.84,02a57950o0076o
148,57952.252,17.729,0.07400000000000001,294,22,o,0,1.36,214.61546,12.88449,6366.71,5159.35,2.93,2.75,8.1,-0.434,19.03,20.29,01a57952o0006o
149,57952.25248600001,17.949,0.095,240,23,o,0,1.76,214.61546,12.88449,6386.24,5199.8,2.94,2.8,4.5,-0.434,18.96,20.31,01a57952o0007o
150,57952.267543,17.799,0.052000000000000005,276,14,o,0,2.19,214.61546,12.88449,6321.42,5298.34,2.97,2.84,11.1,-0.423,19.46,21.14,01a57952o0038o
151,57952.268027,17.762,0.048,285,14,o,0,2.37,214.61546,12.88449,6339.77,5183.91,2.99,2.82,6.0,-0.434,19.44,21.14,01a57952o0039o
152,57956.25234400001,18.369,0.13699999999999998,163,22,o,0,1.42,214.61546,12.88449,6695.81,4757.51,3.89,3.43,-88.4,-0.411,18.9,20.29,01a57956o0008o
153,57956.252828,18.397,0.14,159,22,o,0,1.5,214.61546,12.88449,6715.41,4797.75,3.82,3.35,-88.5,-0.411,18.87,20.33,01a57956o0009o
154,57956.253313,18.293,0.108,175,19,o,0,1.8,214.61546,12.88449,6658.35,4722.86,3.89,3.44,-87.7,-0.402,18.91,20.37,01a57956o0010o
155,57956.267384000006,18.602,0.139,132,18,o,0,2.05,214.61546,12.88449,6649.62,4894.05,3.49,3.01,-87.1,-0.43,19.16,20.68,01a57956o0039o
156,57960.253447,18.347,0.094,166,16,o,0,1.82,214.61546,12.88449,5812.74,4562.9,3.57,3.08,-88.7,-0.414,19.19,20.87,01a57960o0025o
157,57960.25393200001,19.009,0.184,90,17,o,0,1.91,214.61546,12.88449,5832.07,4603.17,4.07,3.5,-86.4,-0.393,19.08,20.91,01a57960o0026o
158,57960.254415,18.043,0.069,220,15,o,0,2.16,214.61546,12.88449,5775.21,4528.33,3.76,3.27,-85.7,-0.409,19.18,20.95,01a57960o0027o
159,57960.26654500001,18.153,0.067,199,13,o,0,1.78,214.61546,12.88449,5766.32,4690.15,3.66,2.97,-88.4,-0.41,19.29,21.22,01a57960o0052o
161,57964.254378,18.381,0.133,161,21,o,0,1.24,214.61546,12.88449,7995.61,4654.4,2.99,2.91,85.9,-0.438,19.06,20.13,01a57964o0027o
162,57964.254863,18.404,0.111,158,18,o,0,1.82,214.61546,12.88449,8015.14,4694.41,2.93,2.84,88.3,-0.455,19.07,20.13,01a57964o0028o
163,57964.25583,18.483,0.13,147,19,o,0,1.72,214.61546,12.88449,7959.26,4621.5,2.93,2.85,-78.2,-0.449,19.07,20.14,01a57964o0030o
164,57964.26649800001,18.302,0.101,173,18,o,0,1.86,214.61546,12.88449,7949.77,4778.7,2.93,2.71,-81.7,-0.463,19.09,20.16,01a57964o0052o
165,57966.255113,18.87,0.141,103,14,o,0,3.35,214.61546,12.88449,1484.67,4676.52,2.13,2.1,69.8,-0.45,19.21,19.94,02a57966o0027o
166,57966.25656900001,19.28,0.224,70,16,o,0,2.81,214.61546,12.88449,1465.84,4636.81,2.13,2.1,42.6,-0.463,19.19,19.97,02a57966o0030o
