Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
0,57924.403357,17.377,0.03,406,12,o,0,6.11,243.44229,22.91648,10476.81,5802.88,3.41,3.06,1.4,-0.424,19.56,21.47,01a57924o0322o
1,57924.414175,17.307000000000002,0.029,434,12,o,0,2.62,243.44229,22.91648,940.54,5961.58,3.08,2.92,10.5,-0.439,19.56,21.47,01a57924o0342o
2,57924.42000499999,17.015,0.032,568,18,o,0,5.76,243.44229,22.91648,10505.53,5905.12,3.03,2.96,4.5,-0.469,19.62,21.44,01a57924o0353o
3,57924.42049400001,17.515,0.031,358,11,o,0,3.48,243.44229,22.91648,961.92,6023.8,2.85,2.7,57.6,-0.472,19.55,21.43,01a57924o0354o
4,57924.426026,17.432000000000002,0.032,387,12,o,0,2.11,243.44229,22.91648,910.26,5970.59,3.06,2.85,24.7,-0.434,19.56,21.44,01a57924o0365o
5,57924.426536,17.4,0.031,398,12,o,0,2.09,243.44229,22.91648,10454.76,5857.48,2.96,2.93,60.0,-0.462,19.63,21.4,01a57924o0366o
6,57924.427026,17.289,0.029,441,13,o,0,2.57,243.44229,22.91648,10438.24,5976.41,2.92,2.89,4.6,-0.473,19.61,21.4,01a57924o0367o
7,57924.439475,17.274,0.031,447,14,o,0,2.43,243.44229,22.91648,901.7,6137.35,3.67,2.93,1.1,-0.411,19.43,21.38,01a57924o0390o
8,57928.406687,17.007,0.025,572,14,o,0,2.61,243.44229,22.91648,2570.46,5047.03,2.95,2.73,59.9,-0.488,19.44,21.35,01a57928o0332o
9,57928.41679,17.048,0.025,551,14,o,0,2.0,243.44229,22.91648,2595.08,5125.79,2.84,2.77,81.2,-0.478,19.59,21.27,01a57928o0350o
10,57928.422364,17.121,0.026,515,13,o,0,2.22,243.44229,22.91648,2544.37,5071.78,3.04,2.9,83.9,-0.458,19.54,21.28,01a57928o0361o
11,57928.422854,16.995,0.023,578,14,o,0,2.82,243.44229,22.91648,2527.7,5189.82,2.93,2.78,67.8,-0.464,19.57,21.28,01a57928o0362o
12,57932.394575,17.051,0.023,549,12,o,0,3.6,243.44229,22.91648,1428.6,3975.06,3.03,2.72,55.6,-0.46,19.65,21.56,01a57932o0299o
13,57932.400895000006,17.05,0.023,550,12,o,0,2.72,243.44229,22.91648,1450.26,4037.33,3.11,2.79,47.8,-0.456,19.59,21.53,01a57932o0311o
14,57932.406314,17.032,0.023,559,13,o,0,2.88,243.44229,22.91648,1381.65,3982.55,3.03,2.73,63.1,-0.464,19.61,21.49,01a57932o0322o
15,57932.42002100001,17.059,0.022,545,12,o,0,2.02,243.44229,22.91648,1374.21,4150.91,3.0,2.72,56.8,-0.469,19.62,21.52,01a57932o0347o
16,57936.38969600001,17.008,0.028,571,16,o,0,1.97,243.44229,22.91648,3406.92,4332.32,3.23,2.97,59.4,-0.438,19.23,20.54,01a57936o0296o
17,57936.395275,17.087,0.03,531,16,o,0,2.03,243.44229,22.91648,3428.83,4391.59,3.21,2.94,57.9,-0.445,19.18,20.48,01a57936o0307o
18,57936.40121,17.058,0.03,545,16,o,0,1.56,243.44229,22.91648,3378.65,4338.57,3.19,2.79,59.2,-0.447,19.25,20.48,01a57936o0319o
19,57936.414754,17.078,0.032,535,17,o,0,1.43,243.44229,22.91648,3372.67,4505.63,3.25,2.98,60.9,-0.446,19.14,20.45,01a57936o0344o
20,57940.376338,17.459,0.053,377,20,o,0,1.58,243.44229,22.91648,10314.32,4665.01,2.98,2.91,35.2,-0.475,18.94,19.94,01a57940o0270o
21,57940.382274,17.456,0.055,378,21,o,0,1.2,243.44229,22.91648,10338.02,4727.94,2.98,2.9,85.2,-0.47,18.9,19.92,01a57940o0282o
22,57940.388203,17.304000000000002,0.058,435,25,o,0,1.13,243.44229,22.91648,779.18,4824.64,2.97,2.84,53.5,-0.477,18.86,19.78,01a57940o0294o
23,57940.39665800001,17.312,0.048,432,21,o,0,1.58,243.44229,22.91648,10276.43,4706.54,3.05,2.98,66.7,-0.465,18.88,19.88,01a57940o0310o
24,57940.397162,17.415,0.051,393,20,o,0,1.9,243.44229,22.91648,730.43,4819.48,2.88,2.68,59.7,-0.491,18.93,19.91,01a57940o0311o
25,57940.397653,17.299,0.049,437,21,o,0,1.59,243.44229,22.91648,803.88,4899.54,2.89,2.82,44.3,-0.475,18.9,19.91,01a57940o0312o
26,57940.403634,17.424,0.055,390,21,o,0,1.91,243.44229,22.91648,719.43,4962.42,2.9,2.68,61.3,-0.493,18.88,19.88,01a57940o0324o
27,57940.404124,17.492,0.055,366,20,o,0,1.68,243.44229,22.91648,10266.16,4853.85,3.02,2.92,61.7,-0.473,18.88,19.84,01a57940o0325o
28,57942.374688,17.7,0.07,302,21,o,0,2.31,243.44229,22.91648,8299.46,6082.47,2.42,2.13,-5.1,-0.476,18.84,19.43,02a57942o0260o
29,57942.388551,17.745,0.07400000000000001,290,21,o,0,2.13,243.44229,22.91648,8282.21,6043.04,2.19,2.16,-21.2,-0.489,18.85,19.39,02a57942o0286o
30,57942.40403,17.509,0.062,360,22,o,0,1.72,243.44229,22.91648,8338.72,6122.35,2.24,2.2,-26.0,-0.498,18.79,19.34,02a57942o0312o
31,57942.412984,17.456,0.058,378,22,o,0,2.85,243.44229,22.91648,8358.16,6004.78,2.17,2.13,-9.6,-0.486,18.86,19.31,02a57942o0328o
32,57944.370171,17.641,0.079,319,25,o,0,1.36,243.44229,22.91648,1364.55,2485.27,3.34,3.24,49.6,-0.451,18.61,19.6,01a57944o0141o
33,57944.381129,17.769000000000005,0.08800000000000001,283,25,o,0,1.15,243.44229,22.91648,1390.86,2568.35,3.27,3.21,85.8,-0.463,18.77,19.79,01a57944o0163o
34,57944.381623,17.8,0.081,275,22,o,0,1.43,243.44229,22.91648,1336.18,2491.7,3.31,3.18,62.4,-0.458,18.75,19.76,01a57944o0164o
35,57944.39517,17.812,0.085,272,23,o,0,1.24,243.44229,22.91648,1311.13,2658.73,3.21,3.15,-73.3,-0.472,18.81,19.85,01a57944o0190o
36,57946.385798,17.831,0.045,268,12,o,0,4.64,243.44229,22.91648,6852.99,7054.61,2.12,2.03,-13.6,-0.503,19.4,20.18,02a57946o0281o
37,57946.386284,17.875,0.057,257,14,o,0,2.73,243.44229,22.91648,6835.22,7015.71,2.11,2.01,-14.3,-0.498,19.4,20.18,02a57946o0282o
38,57946.40126900001,17.683,0.055,307,17,o,0,2.22,243.44229,22.91648,6890.42,7094.48,2.17,2.1,-17.0,-0.491,19.36,20.13,02a57946o0309o
