Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
5,57881.36528099999,18.939,0.968,96,93,o,0,1.2,176.847,23.36495,8927.6,5235.43,3.26,2.85,47.7,-0.47,17.13,17.27,02a57881o0277o
15,57889.34929500001,20.781,0.721,18,13,o,0,0.68,176.847,23.36495,2475.87,8778.64,2.47,2.32,-35.2,-0.459,19.46,20.65,02a57889o0177o
16,57889.37011900001,20.784,0.815,18,14,o,0,0.87,176.847,23.36495,2495.81,8660.28,2.58,2.48,-40.9,-0.459,19.37,20.58,02a57889o0215o
27,57896.28065,19.827,0.546,43,23,o,0,1.07,176.847,23.36495,6807.0,4459.78,3.35,3.03,-23.4,-0.426,18.79,20.43,01a57896o0111o
34,57900.250261,20.689,0.8440000000000001,19,16,o,0,1.23,176.847,23.36495,7252.69,1712.32,3.75,3.46,58.1,-0.414,19.05,20.45,01a57900o0016o
41,57903.244788,20.152,0.74,32,23,o,0,0.98,176.847,23.36495,9748.25,2085.89,3.41,3.19,-87.9,-0.439,18.78,19.74,01a57903o0013o
47,57907.270555,20.455,0.906,24,22,o,0,0.85,176.847,23.36495,8268.64,3074.64,3.58,3.15,42.3,-0.391,18.84,19.81,01a57907o0070o
62,57917.298427,19.482,0.173,58,10,o,0,1.32,176.847,23.36495,107.52,5900.19,2.25,2.22,21.9,-0.428,19.63,20.94,02a57917o0005o
63,57917.29992899999,20.824,0.662,17,11,o,0,1.15,176.847,23.36495,9784.0,5912.21,2.45,2.39,56.6,-0.484,19.63,21.0,02a57917o0008o
67,57920.287778,18.401,0.6990000000000001,158,111,o,0,1.12,176.847,23.36495,10009.61,4185.29,3.08,2.86,49.2,-0.479,18.13,19.67,01a57920o0101o
69,57924.261145,16.597,0.03,834,25,o,0,1.07,176.847,23.36495,6903.59,5276.95,3.39,2.91,52.4,-0.412,18.74,20.0,01a57924o0043o
70,57924.261634,16.576,0.026,850,22,o,0,1.48,176.847,23.36495,6922.16,5317.3,3.32,2.84,47.7,-0.416,18.87,20.14,01a57924o0044o
71,57924.278597,16.576,0.018000000000000002,850,15,o,0,1.42,176.847,23.36495,6888.24,5303.01,3.43,3.04,58.6,-0.407,19.4,20.93,01a57924o0078o
72,57924.285975,16.592,0.017,838,14,o,0,1.91,176.847,23.36495,6863.0,5446.96,3.31,2.92,50.1,-0.426,19.39,20.91,01a57924o0093o
73,57926.28872899999,16.067,0.012,1358,17,o,0,2.97,176.847,23.36495,1376.66,6399.13,2.06,1.94,18.0,-0.509,19.63,20.72,02a57926o0044o
74,57926.297141,16.081,0.012,1341,16,o,0,4.26,176.847,23.36495,1393.66,6281.94,2.17,2.05,19.9,-0.48,19.62,20.73,02a57926o0061o
75,57928.27415499999,15.84,0.01,1674,17,o,0,1.61,176.847,23.36495,8550.02,4405.29,3.49,3.17,53.8,-0.414,19.3,20.79,01a57928o0069o
76,57928.282717,15.842,0.011,1672,19,o,0,1.45,176.847,23.36495,8582.13,4473.5,3.48,3.19,53.8,-0.422,19.29,20.77,01a57928o0086o
77,57928.29116,15.85,0.011,1660,19,o,0,1.49,176.847,23.36495,8541.45,4426.85,3.35,3.12,52.3,-0.428,19.29,20.72,01a57928o0103o
78,57928.299618,15.827,0.011,1696,18,o,0,1.5,176.847,23.36495,8539.05,4571.48,3.21,3.04,57.3,-0.438,19.33,20.69,01a57928o0120o
79,57932.27690700001,15.603,0.01,2084,21,o,0,1.38,176.847,23.36495,7417.82,3410.65,3.4,2.99,46.2,-0.415,19.24,20.53,01a57932o0071o
80,57932.28292100001,15.621,0.01,2050,21,o,0,1.51,176.847,23.36495,7442.83,3470.81,3.43,3.05,47.2,-0.415,19.17,20.49,01a57932o0083o
81,57932.29174400001,15.622,0.01,2047,21,o,0,1.32,176.847,23.36495,7401.95,3423.13,3.36,3.05,48.8,-0.424,19.18,20.45,01a57932o0100o
82,57932.30048,15.649,0.01,1997,20,o,0,1.96,176.847,23.36495,7398.56,3567.11,3.26,2.96,44.8,-0.42,19.19,20.44,01a57932o0117o
83,57936.283714,15.633,0.011,2027,22,o,0,2.06,176.847,23.36495,9428.95,3756.7,3.34,3.24,-40.2,-0.433,18.88,20.06,01a57936o0087o
84,57936.292742,15.61,0.011,2070,23,o,0,1.5,176.847,23.36495,9463.23,3822.52,3.13,2.99,-68.9,-0.45,18.96,20.01,01a57936o0105o
85,57936.30129600001,15.617,0.011,2057,23,o,0,1.7,176.847,23.36495,9423.22,3771.8,3.0,2.88,-65.1,-0.468,18.95,19.95,01a57936o0122o
86,57936.309741,15.646,0.013,2004,25,o,0,1.72,176.847,23.36495,9402.77,3913.29,2.99,2.89,-69.0,-0.463,18.9,19.88,01a57936o0139o
87,57940.29024800001,15.728,0.013,1857,23,o,0,1.66,176.847,23.36495,6809.06,4326.32,3.1,2.86,57.4,-0.45,18.82,19.7,01a57940o0101o
88,57940.298779,15.743,0.013,1832,24,o,0,1.51,176.847,23.36495,6841.45,4389.63,2.95,2.75,54.9,-0.47,18.83,19.65,01a57940o0118o
89,57940.30742100001,15.762,0.014,1800,24,o,0,1.56,176.847,23.36495,6802.56,4336.07,2.9,2.76,44.3,-0.468,18.8,19.54,01a57940o0135o
90,57940.315914,15.72,0.013,1870,24,o,0,1.8,176.847,23.36495,6801.88,4473.55,2.81,2.68,36.5,-0.491,18.79,19.51,01a57940o0152o
91,57942.28715,15.827,0.019,1695,32,o,0,1.14,176.847,23.36495,2364.68,6846.65,2.8,2.51,34.4,-0.487,18.46,19.22,02a57942o0091o
92,57942.29577200001,15.865,0.023,1637,37,o,0,1.77,176.847,23.36495,2343.2,6809.57,3.22,3.04,40.4,-0.44,18.23,19.16,02a57942o0108o
93,57942.30430700001,15.921,0.027000000000000003,1555,42,o,0,1.22,176.847,23.36495,2393.7,6887.15,3.18,2.98,49.1,-0.451,18.27,19.08,02a57942o0125o
94,57942.312849,15.843,0.021,1670,35,o,0,1.83,176.847,23.36495,2426.38,6771.81,2.76,2.54,32.3,-0.463,18.26,19.0,02a57942o0142o
95,57946.29860900001,16.141,0.016,1270,21,o,0,2.52,176.847,23.36495,904.92,7857.44,2.57,2.15,26.6,-0.474,19.14,20.09,02a57946o0112o
96,57946.307013,16.152,0.02,1256,25,o,0,2.19,176.847,23.36495,885.0,7821.75,2.41,2.04,25.1,-0.499,18.92,19.6,02a57946o0129o
97,57946.3154,16.088,0.023,1332,30,o,0,1.96,176.847,23.36495,936.69,7899.94,2.53,2.17,24.3,-0.499,18.37,18.96,02a57946o0146o
98,57948.299515,16.334,0.024,1063,26,o,0,1.55,176.847,23.36495,8471.4,5172.38,3.17,2.76,-88.7,-0.455,18.68,19.78,01a57948o0098o
99,57948.307898,16.314,0.024,1082,26,o,0,1.33,176.847,23.36495,8504.95,5229.67,3.25,2.84,-88.2,-0.439,18.62,19.72,01a57948o0115o
102,58063.636648,20.34,0.911,27,24,o,0,0.95,176.847,23.36495,5117.06,6897.27,2.26,2.16,9.5,-0.467,18.74,19.31,02a58063o0851o
103,58063.645322,19.759,0.607,45,28,o,0,1.12,176.847,23.36495,5060.87,6822.42,2.02,1.92,-16.1,-0.575,18.64,19.02,02a58063o0868o
108,58065.641663,19.707,0.482,48,23,o,0,1.23,176.847,23.36495,6007.02,1262.13,3.08,2.98,-35.8,-0.444,18.69,19.62,01a58065o0902o
113,58105.655122,20.907,0.847,16,13,o,0,1.22,176.847,23.36495,4853.0,3485.33,3.17,3.11,-69.1,-0.423,19.32,21.03,01a58105o0852o
114,58109.640404,20.729,0.495,19,9,o,0,1.91,176.847,23.36495,7169.52,1219.7,3.31,2.86,-87.9,-0.464,19.51,21.45,01a58109o0227o
118,58113.60799500001,20.28,0.459,28,13,o,0,0.99,176.847,23.36495,5529.88,2254.71,3.24,3.0,-80.7,-0.424,19.35,21.13,01a58113o0729o
123,58117.569788,20.373,0.688,26,18,o,0,1.15,176.847,23.36495,4708.77,762.67,3.11,3.04,86.2,-0.429,19.0,20.23,01a58117o0702o
127,58117.589014,20.712,0.7959999999999999,19,15,o,0,1.0,176.847,23.36495,5133.28,10392.7,3.14,2.88,-74.6,-0.462,19.18,20.53,01a58117o0741o
141,58127.600805,21.408,0.929,10,9,o,0,1.21,176.847,23.36495,4967.82,8448.7,2.34,2.17,36.4,-0.482,19.6,21.03,02a58127o0817o
