Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57911.61925,19.927,0.851,39,33,o,0,1.56,6.89167,-12.5341,2413.02,5406.88,2.06,1.94,-8.5,-0.56,18.35,18.64,02a57911o0711o
2,57935.608076,18.166,0.079,196,16,o,0,1.22,6.89167,-12.5341,5785.26,3762.02,5.05,3.77,-1.6,-0.35200000000000004,19.08,21.14,01a57935o0719o
3,57935.61665599999,18.202,0.114,190,22,o,0,0.9,6.89167,-12.5341,5762.19,3695.66,4.23,3.88,-4.3,-0.394,18.82,20.33,01a57935o0736o
5,57939.627398,17.837,0.445,266,118,o,0,0.89,6.89167,-12.5341,7064.56,4290.21,4.57,3.18,-1.2,-0.433,16.95,17.46,01a57939o0743o
6,57940.609193,18.536,0.073,140,10,o,0,1.72,6.89167,-12.5341,4383.62,6843.53,2.4,2.06,4.5,-0.48,19.62,20.84,02a57940o0682o
7,57940.61848300001,18.515,0.101,143,14,o,0,1.58,6.89167,-12.5341,4401.13,6883.22,2.03,1.91,4.5,-0.506,19.16,19.76,02a57940o0701o
8,57940.627766,17.893,0.36,253,91,o,0,1.71,6.89167,-12.5341,4342.79,6806.34,2.12,2.0,-11.3,-0.5710000000000001,17.36,17.43,02a57940o0720o
9,57941.611639,18.473,0.087,148,13,o,0,1.47,6.89167,-12.5341,2581.33,5374.18,2.29,2.11,48.5,-0.465,19.25,20.11,02a57941o0183o
10,57941.622754,18.372,0.16899999999999998,163,28,o,0,1.23,6.89167,-12.5341,2589.53,5417.16,2.23,2.09,38.1,-0.453,18.41,18.74,02a57941o0203o
11,57942.584075,19.051,0.24,87,21,o,0,1.15,6.89167,-12.5341,7820.34,3592.92,2.87,2.8,-78.3,-0.481,18.8,19.58,01a57942o0666o
12,57942.59246,18.586,0.165,134,22,o,0,1.0,6.89167,-12.5341,7795.63,3528.36,2.93,2.83,-71.0,-0.474,18.83,19.67,01a57942o0683o
13,57942.60083,18.372,0.132,163,22,o,0,1.06,6.89167,-12.5341,7848.2,3577.61,3.01,2.79,-67.9,-0.469,18.88,19.75,01a57942o0700o
14,57942.609247,18.78,0.177,112,20,o,0,1.33,6.89167,-12.5341,7863.74,3432.7,3.05,2.85,-65.7,-0.464,18.87,19.76,01a57942o0717o
15,57943.51898200001,18.503,0.365,144,53,o,0,1.57,6.89167,-12.5341,8533.14,7271.77,3.41,3.15,-56.3,-0.444,18.29,18.96,01a57943o0545o
