Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
10,57886.54319600001,19.049,0.395,87,34,o,0,1.13,236.87037,11.97792,43.96,5274.72,3.99,2.97,-40.0,-0.395,18.62,19.4,01a57886o0661o
83,57917.432893,20.701,0.763,19,14,o,0,1.11,236.87037,11.97792,9393.56,7731.38,2.97,2.88,85.1,-0.462,19.16,20.25,01a57917o0277o
86,57918.415299,19.919,0.405,39,16,o,0,1.1,236.87037,11.97792,8650.63,5104.42,2.94,2.77,-72.0,-0.471,19.26,20.4,01a57918o0355o
87,57918.43224,20.002,0.442,36,16,o,0,0.91,236.87037,11.97792,8681.55,5209.58,2.9,2.78,-88.7,-0.467,19.22,20.32,01a57918o0389o
88,57918.448841,20.135,0.487,32,16,o,0,1.15,236.87037,11.97792,8639.66,5197.12,2.95,2.78,-87.4,-0.463,19.16,20.29,01a57918o0422o
89,57918.464916,19.6,0.325,52,17,o,0,1.31,236.87037,11.97792,8634.08,5372.8,2.96,2.83,-84.2,-0.468,19.08,20.13,01a57918o0454o
90,57920.40966000001,18.664,0.087,124,11,o,0,1.23,236.87037,11.97792,1833.41,6664.32,2.88,2.69,73.3,-0.46,19.66,21.41,01a57920o0338o
91,57920.410148,18.821,0.106,108,11,o,0,1.02,236.87037,11.97792,1852.46,6704.68,2.78,2.65,-81.8,-0.47,19.6,21.39,01a57920o0339o
92,57920.4245,18.88,0.118,102,12,o,0,1.07,236.87037,11.97792,1803.5,6684.24,3.06,2.95,-1.7,-0.4370000000000001,19.5,21.19,01a57920o0368o
93,57920.432836,18.717,0.099,118,12,o,0,1.05,236.87037,11.97792,1787.96,6833.01,2.77,2.64,-69.8,-0.476,19.49,21.03,01a57920o0382o
94,57924.393964,17.948,0.046,240,11,o,0,1.3,236.87037,11.97792,8446.71,7743.26,3.43,3.02,23.9,-0.446,19.57,21.43,01a57924o0303o
95,57924.40928200001,18.08,0.059,213,13,o,0,0.93,236.87037,11.97792,8476.36,7843.34,3.59,3.09,14.5,-0.413,19.5,21.43,01a57924o0334o
96,57924.417046,17.926,0.041,245,10,o,0,1.64,236.87037,11.97792,8421.07,7795.3,3.11,2.81,56.0,-0.446,19.64,21.36,01a57924o0347o
97,57924.417541,18.02,0.052000000000000005,225,12,o,0,1.08,236.87037,11.97792,8403.76,7913.9,3.11,2.84,57.9,-0.447,19.6,21.36,01a57924o0348o
98,57928.38631,17.81,0.049,273,13,o,0,1.17,236.87037,11.97792,10085.6,6798.13,3.17,3.1,-3.0,-0.4370000000000001,19.56,21.28,01a57928o0293o
99,57928.390427,17.685,0.045,306,14,o,0,1.16,236.87037,11.97792,306.94,6913.02,3.34,2.89,-11.5,-0.406,19.48,21.31,01a57928o0299o
100,57928.390925,17.793,0.047,277,13,o,0,1.21,236.87037,11.97792,10106.39,6854.95,3.13,2.93,-77.3,-0.444,19.57,21.29,01a57928o0300o
101,57928.40472000001,17.816,0.054000000000000006,271,15,o,0,0.62,236.87037,11.97792,10057.44,6834.04,3.19,3.08,-73.8,-0.443,19.58,21.29,01a57928o0328o
102,57928.405699,17.782,0.041,280,12,o,0,1.24,236.87037,11.97792,335.38,7013.33,2.95,2.79,-63.2,-0.4370000000000001,19.56,21.3,01a57928o0330o
103,57928.413339,17.802,0.042,275,12,o,0,1.22,236.87037,11.97792,280.5,6965.22,2.79,2.54,-56.0,-0.459,19.57,21.27,01a57928o0343o
104,57928.413837,17.727999999999994,0.047,294,14,o,0,0.94,236.87037,11.97792,10044.28,6985.5,3.1,2.89,-73.9,-0.455,19.55,21.2,01a57928o0344o
105,57928.425346,17.755,0.042,287,12,o,0,1.34,236.87037,11.97792,270.44,7128.02,2.89,2.63,-55.6,-0.453,19.52,21.16,01a57928o0367o
106,57932.374472,17.726,0.04,295,12,o,0,1.21,236.87037,11.97792,8924.25,5746.78,3.21,2.86,46.6,-0.4320000000000001,19.63,21.52,01a57932o0260o
107,57932.38974500001,17.805999999999994,0.042,274,11,o,0,0.97,236.87037,11.97792,8953.32,5846.13,3.22,2.92,41.5,-0.43,19.62,21.47,01a57932o0291o
108,57932.397459,17.646,0.037000000000000005,318,12,o,0,1.41,236.87037,11.97792,8898.25,5798.28,3.25,2.9,51.3,-0.429,19.6,21.45,01a57932o0304o
109,57932.397952,17.711,0.037000000000000005,299,11,o,0,1.59,236.87037,11.97792,8880.48,5916.71,3.22,2.88,51.5,-0.429,19.61,21.44,01a57932o0305o
110,57936.38496,17.69,0.057,305,17,o,0,1.26,236.87037,11.97792,1175.39,6277.74,3.19,3.01,-87.6,-0.442,19.11,20.39,01a57936o0288o
111,57936.385453,17.844,0.073,264,19,o,0,0.86,236.87037,11.97792,1156.28,6241.17,3.14,3.06,74.0,-0.442,19.1,20.39,01a57936o0289o
112,57936.391344,17.706,0.058,300,18,o,0,1.22,236.87037,11.97792,1120.24,6224.96,3.1,2.85,64.5,-0.445,19.07,20.33,01a57936o0299o
113,57936.404139,17.91,0.069,249,17,o,0,1.32,236.87037,11.97792,1111.8,6390.0,3.04,2.85,82.6,-0.451,19.09,20.28,01a57936o0325o
114,57940.368516,18.034,0.105,222,23,o,0,1.49,236.87037,11.97792,8274.34,6611.63,3.15,2.94,36.4,-0.439,18.81,19.79,01a57940o0255o
115,57940.371414,18.153,0.114,199,23,o,0,1.24,236.87037,11.97792,8295.38,6661.39,3.16,2.85,64.4,-0.447,18.85,19.79,01a57940o0260o
116,57940.385727,18.252,0.14,182,25,o,0,1.32,236.87037,11.97792,8248.89,6640.69,3.18,2.9,66.1,-0.443,18.82,19.69,01a57940o0289o
117,57940.394686,18.357,0.14800000000000002,165,24,o,0,1.85,236.87037,11.97792,8235.59,6789.89,3.24,2.95,61.5,-0.44,18.76,19.65,01a57940o0306o
118,57942.372733,18.722,0.174,118,20,o,0,1.37,236.87037,11.97792,946.96,4238.12,2.25,2.02,37.9,-0.489,18.78,19.34,02a57942o0257o
119,57942.376612,18.136,0.111,202,22,o,0,0.9,236.87037,11.97792,930.04,4199.69,2.23,2.01,36.7,-0.494,18.78,19.32,02a57942o0263o
120,57942.37759500001,18.244,0.127,183,23,o,0,1.36,236.87037,11.97792,987.56,4276.67,2.27,2.06,37.8,-0.488,18.78,19.32,02a57942o0265o
121,57942.391502,18.523,0.138,142,20,o,0,1.27,236.87037,11.97792,1007.71,4158.32,2.28,2.06,37.4,-0.505,18.69,19.29,02a57942o0292o
124,57943.397755,18.402,0.812,158,128,o,0,0.95,236.87037,11.97792,8653.76,4514.29,3.06,2.91,80.4,-0.445,16.88,17.05,01a57943o0303o
125,57943.405159,19.34,0.742,67,50,o,0,1.38,236.87037,11.97792,8641.24,4657.99,3.13,2.99,-89.3,-0.451,17.8,18.13,01a57943o0318o
126,57944.349903,18.974,0.8390000000000001,93,78,o,0,1.31,236.87037,11.97792,8863.56,4262.63,3.32,3.12,54.6,-0.425,17.54,18.13,01a57944o0101o
127,57944.366234,18.624,0.21600000000000005,129,28,o,0,0.66,236.87037,11.97792,8893.12,4365.83,3.37,3.21,67.4,-0.425,18.54,19.54,01a57944o0134o
128,57944.372719000006,18.532,0.165,140,23,o,0,1.22,236.87037,11.97792,8838.45,4313.88,3.45,3.31,66.4,-0.431,18.67,19.63,01a57944o0146o
129,57944.37321799999,18.683,0.203,122,25,o,0,0.96,236.87037,11.97792,8820.39,4432.5,3.36,3.27,-78.8,-0.428,18.64,19.63,01a57944o0147o
130,57946.37112999999,18.663,0.13,124,16,o,0,1.18,236.87037,11.97792,9236.9,5190.86,2.08,2.07,-77.7,-0.493,19.37,20.16,02a57946o0253o
131,57946.371617,18.812,0.125,108,14,o,0,1.41,236.87037,11.97792,9255.95,5229.76,2.13,2.12,-82.6,-0.489,19.34,20.16,02a57946o0254o
132,57946.377228,18.767,0.141,113,16,o,0,1.23,236.87037,11.97792,9298.44,5270.41,2.18,2.16,39.1,-0.477,19.35,20.13,02a57946o0264o
133,57946.389705,18.808,0.127,109,14,o,0,1.28,236.87037,11.97792,9318.74,5152.35,2.09,2.07,-9.2,-0.4970000000000001,19.33,20.08,02a57946o0289o
138,57948.383101,18.457,0.392,150,59,o,0,0.77,236.87037,11.97792,69.38,7700.81,3.4,2.9,-89.9,-0.382,17.7,19.03,01a57948o0265o
139,57950.346104,18.965,0.107,94,10,o,0,1.44,236.87037,11.97792,792.03,4821.15,2.27,1.99,33.4,-0.473,19.7,21.08,02a57950o0205o
140,57950.355731,19.071,0.132,86,11,o,0,1.94,236.87037,11.97792,774.28,4781.3,2.4,2.13,40.3,-0.47,19.41,20.8,02a57950o0222o
141,57950.36528,18.818,0.101,108,11,o,0,1.03,236.87037,11.97792,833.28,4858.39,2.78,2.54,46.1,-0.45,19.55,21.13,02a57950o0239o
143,57952.337071,18.836,0.111,106,12,o,0,1.86,236.87037,11.97792,9634.32,6961.02,3.14,2.84,89.7,-0.4370000000000001,19.45,21.23,01a57952o0177o
144,57952.3453,18.733,0.108,117,13,o,0,1.37,236.87037,11.97792,9660.23,7032.0,3.06,2.72,85.0,-0.449,19.33,21.02,01a57952o0193o
146,57952.366154,18.586,0.203,134,27,o,0,1.43,236.87037,11.97792,9600.3,7151.75,3.1,2.71,88.4,-0.448,18.33,19.88,01a57952o0234o
147,57956.331246,19.193,0.249,76,19,o,0,1.04,236.87037,11.97792,9961.39,6532.08,4.6,3.76,-88.6,-0.384,19.03,20.9,01a57956o0167o
148,57956.33910599999,19.367,0.299,65,19,o,0,1.16,236.87037,11.97792,9987.22,6601.4,4.93,4.1,-83.8,-0.385,18.93,20.85,01a57956o0182o
149,57956.340681,18.896,0.175,100,18,o,0,1.08,236.87037,11.97792,187.87,6668.37,4.16,3.69,-89.5,-0.388,19.0,20.93,01a57956o0185o
150,57956.34753099999,18.751,0.162,115,19,o,0,1.24,236.87037,11.97792,9935.15,6556.81,4.72,3.88,-84.3,-0.379,18.96,20.79,01a57956o0198o
151,57956.34914,18.65,0.17800000000000002,126,22,o,0,1.06,236.87037,11.97792,212.87,6738.98,5.43,4.93,87.8,-0.312,18.82,20.81,01a57956o0201o
152,57956.356317,18.866,0.188,103,19,o,0,1.2,236.87037,11.97792,9924.72,6706.39,4.39,3.47,-85.0,-0.395,18.98,20.73,01a57956o0215o
153,57956.357773,18.794,0.168,110,18,o,0,0.89,236.87037,11.97792,161.33,6693.85,4.45,3.88,89.8,-0.361,18.97,20.79,01a57956o0218o
154,57956.366715,19.182,0.228,77,18,o,0,1.17,236.87037,11.97792,150.28,6843.18,4.36,3.71,-85.5,-0.358,18.98,20.74,01a57956o0235o
155,57960.321446,18.76,0.115,114,13,o,0,1.05,236.87037,11.97792,9058.1,6296.82,3.65,3.26,-74.8,-0.41,19.42,21.42,01a57960o0163o
156,57960.330025,18.934,0.128,97,12,o,0,1.24,236.87037,11.97792,9084.21,6369.22,3.67,2.59,-85.5,-0.436,19.5,21.39,01a57960o0180o
157,57960.33833,18.744,0.112,115,13,o,0,1.09,236.87037,11.97792,9033.25,6323.52,3.58,2.61,-84.7,-0.439,19.52,21.4,01a57960o0196o
158,57960.346587,18.702,0.1,120,12,o,0,1.33,236.87037,11.97792,9021.73,6470.81,3.59,2.61,-85.4,-0.4370000000000001,19.52,21.4,01a57960o0212o
