Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
11,57893.496651,18.381,0.146,161,24,o,0,1.8,230.83117,8.61637,5428.42,3030.98,5.7,4.9,68.8,-0.325,18.74,20.7,01a57893o0514o
12,57893.51319299999,18.393,0.15,160,24,o,0,1.63,230.83117,8.61637,5381.82,3015.99,5.88,5.06,71.5,-0.308,18.63,20.55,01a57893o0547o
13,57893.52936,18.242,0.139,183,26,o,0,1.89,230.83117,8.61637,5376.7,3189.75,5.87,5.1,68.7,-0.27,18.55,20.42,01a57893o0579o
22,57900.460938,21.501,0.962,9,9,c,0,1.64,230.83117,8.61637,5013.85,6396.72,2.44,2.27,21.2,-0.4920000000000001,19.75,21.52,02a57900o0404c
24,57900.496222,20.713,0.469,19,9,c,0,1.74,230.83117,8.61637,5071.77,6436.45,2.42,2.29,14.3,-0.491,19.76,21.47,02a57900o0470c
92,57937.361233,19.601,0.513,52,27,o,0,1.54,230.83117,8.61637,4910.98,8507.13,2.36,2.27,1.7,-0.519,18.99,19.62,02a57937o0014o
94,57939.362551,18.167,0.118,196,23,o,0,1.8,230.83117,8.61637,4653.61,4077.72,3.09,2.91,-76.9,-0.459,18.65,19.4,01a57939o0247o
95,57939.37144,18.479,0.161,147,24,o,0,1.64,230.83117,8.61637,4678.18,4150.09,3.06,2.92,89.5,-0.453,18.62,19.37,01a57939o0265o
96,57939.37994299999,18.382,0.161,161,26,o,0,1.29,230.83117,8.61637,4625.58,4104.99,3.12,2.95,-82.2,-0.443,18.58,19.36,01a57939o0282o
97,57939.389283,18.193,0.13,192,25,o,0,1.33,230.83117,8.61637,4610.32,4255.77,2.98,2.85,-87.3,-0.455,18.58,19.33,01a57939o0300o
98,57943.372877,17.588,0.231,335,77,o,0,1.12,230.83117,8.61637,3281.23,1445.85,3.12,2.81,71.0,-0.483,17.39,17.64,01a57943o0253o
99,57943.380314,17.008,0.307,571,175,o,0,1.1,230.83117,8.61637,3307.07,1511.69,3.09,2.8,67.2,-0.505,16.64,16.6,01a57943o0268o
100,57943.38778200001,17.749000000000006,0.366,289,106,o,0,1.06,230.83117,8.61637,3254.47,1461.2,3.08,2.87,67.5,-0.475,17.11,17.19,01a57943o0283o
101,57943.395279,17.436,0.4370000000000001,385,168,o,0,0.95,230.83117,8.61637,3241.63,1605.67,3.06,2.9,65.5,-0.491,16.79,16.86,01a57943o0298o
102,57945.341244,17.423,0.042,390,16,o,0,3.4,230.83117,8.61637,5228.76,8912.73,2.14,1.99,-1.0,-0.51,19.33,19.94,02a57945o0194o
103,57945.35043300001,17.507,0.057,361,20,o,0,1.62,230.83117,8.61637,5213.89,8872.81,2.14,2.0,-4.0,-0.528,19.26,19.89,02a57945o0211o
