Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
1,57935.581742,19.867,0.349,41,14,o,0,1.13,350.2703,3.5,1173.39,5847.09,5.52,3.26,-1.4,-0.386,19.17,21.38,01a57935o0667o
2,57935.59037100001,19.177,0.14800000000000002,78,11,o,0,0.86,350.2703,3.5,1156.0,5778.42,3.21,2.98,-24.8,-0.438,19.54,21.4,01a57935o0684o
3,57935.5989,19.278,0.16,71,11,o,0,1.02,350.2703,3.5,1216.1,5825.61,3.27,3.04,-41.9,-0.436,19.52,21.4,01a57935o0701o
4,57935.607493,19.126,0.161,81,13,o,0,0.79,350.2703,3.5,1236.19,5677.04,3.51,3.39,-54.1,-0.431,19.44,21.33,01a57935o0718o
5,57939.59544600001,18.061,0.058,216,13,o,0,1.18,350.2703,3.5,2490.61,6392.81,2.89,2.85,-88.0,-0.465,19.55,21.27,01a57939o0687o
6,57939.605903,17.886,0.055,254,14,o,0,1.21,350.2703,3.5,7799.04,3971.03,4.84,3.15,-3.7,-0.405,19.26,21.21,01a57939o0705o
7,57939.615723,18.13,0.091,203,18,o,0,1.29,350.2703,3.5,7743.48,3933.03,5.18,3.12,-1.4,-0.409,18.88,20.47,01a57939o0722o
8,57939.6257,18.063,0.32299999999999995,216,70,o,0,1.39,350.2703,3.5,7730.24,4088.75,6.24,3.15,-0.9,-0.3670000000000001,17.35,18.15,01a57939o0740o
9,57941.540252,17.727999999999994,0.053,294,16,o,0,1.24,350.2703,3.5,7260.97,3237.13,2.15,2.04,52.7,-0.439,19.1,19.77,02a57941o0057o
10,57941.546669,17.785999999999994,0.056,279,16,o,0,1.53,350.2703,3.5,7285.7,3277.98,2.48,2.38,55.1,-0.444,18.99,19.8,02a57941o0068o
11,57941.553071,17.742,0.057,290,17,o,0,1.2,350.2703,3.5,7229.28,3202.7,2.32,2.23,58.3,-0.457,19.08,19.84,02a57941o0080o
