Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
21,57923.585814,19.298,0.58,69,40,o,0,1.04,317.85229,0.35499,6845.9,863.16,3.23,2.92,52.5,-0.434,18.27,19.41,01a57923o0685o
31,57935.512131,20.666,0.488,20,10,o,0,1.38,317.85229,0.35499,1425.45,9285.36,2.95,2.72,70.3,-0.472,19.6,21.47,01a57935o0535o
33,57935.531551,20.631,0.525,20,11,o,0,1.02,317.85229,0.35499,1465.79,9251.94,3.03,2.83,-83.0,-0.46,19.56,21.46,01a57935o0569o
34,57935.54092100001,20.829,0.713,17,12,o,0,0.96,317.85229,0.35499,1487.37,9098.27,3.19,2.95,81.8,-0.453,19.52,21.49,01a57935o0586o
35,57939.515245,20.19,0.471,30,14,o,0,1.22,317.85229,0.35499,7080.73,180.03,3.17,2.89,-88.8,-0.469,19.21,20.47,01a57939o0547o
36,57939.517402,19.424,0.345,62,21,o,0,1.05,317.85229,0.35499,7560.8,422.27,5.1,3.23,-3.9,-0.429,18.86,20.41,01a57939o0551o
37,57939.525416,19.969,0.4970000000000001,37,19,o,0,1.03,317.85229,0.35499,3236.33,10196.08,4.4,3.06,-8.4,-0.412,19.05,20.53,01a57939o0565o
40,57939.537216,20.129,0.593,32,19,o,0,1.04,317.85229,0.35499,7529.94,461.08,5.17,3.08,-2.8,-0.4320000000000001,18.99,20.61,01a57939o0586o
41,57939.545525,20.028,0.525,35,19,o,0,0.99,317.85229,0.35499,3169.29,10317.8,6.27,3.13,-2.3,-0.376,18.95,20.83,01a57939o0600o
42,57939.54751799999,20.884,0.769,16,12,o,0,1.2,317.85229,0.35499,7515.01,619.97,3.03,2.98,88.0,-0.475,19.36,20.84,01a57939o0604o
43,57942.433129,19.608,0.58,52,30,o,0,1.37,317.85229,0.35499,3475.92,9289.88,4.01,3.69,74.1,-0.412,18.3,19.27,01a57942o0370o
44,57942.442903,19.498,0.7120000000000001,58,41,o,0,1.08,317.85229,0.35499,3456.62,9221.95,3.33,3.1,69.5,-0.443,18.51,19.3,01a57942o0387o
45,57942.45266900001,19.49,0.479,58,28,o,0,1.21,317.85229,0.35499,3516.02,9274.09,3.29,3.05,73.2,-0.433,18.54,19.33,01a57942o0404o
46,57942.461429,19.792,0.8240000000000001,44,36,o,0,0.97,317.85229,0.35499,3529.46,9128.7,3.37,3.0,67.1,-0.417,18.54,19.36,01a57942o0421o
47,57947.51209,20.029,0.664,35,24,o,0,1.14,317.85229,0.35499,2733.19,9006.12,3.17,2.76,-85.9,-0.466,18.86,19.7,01a57947o0310o
48,57947.52048300001,19.107,0.28600000000000003,83,24,o,0,1.12,317.85229,0.35499,2756.43,9079.44,2.89,2.55,-81.9,-0.507,18.89,19.71,01a57947o0327o
49,57947.528874,19.321,0.35,68,24,o,0,1.17,317.85229,0.35499,2700.72,9035.73,3.08,2.65,-83.0,-0.476,18.83,19.7,01a57947o0344o
50,57947.539159,19.386,0.358,64,23,o,0,1.16,317.85229,0.35499,2686.52,9195.74,2.99,2.71,-81.4,-0.484,18.86,19.75,01a57947o0365o
51,57949.52096900001,18.884,0.14400000000000002,102,15,o,0,1.38,317.85229,0.35499,7604.35,1048.09,2.23,2.05,65.3,-0.485,19.33,20.05,02a57949o0561o
52,57949.529835,19.054,0.189,87,16,o,0,0.86,317.85229,0.35499,7585.6,1011.28,2.3,2.05,63.0,-0.489,19.32,20.07,02a57949o0578o
53,57949.538675,18.771,0.132,113,15,o,0,1.74,317.85229,0.35499,7645.5,1088.39,2.29,2.13,59.7,-0.481,19.32,20.08,02a57949o0595o
54,57949.547376,18.934,0.156,97,15,o,0,1.48,317.85229,0.35499,7667.23,971.46,2.35,2.16,48.8,-0.485,19.3,20.07,02a57949o0612o
55,57951.50766900001,19.066,0.172,86,15,o,0,1.08,317.85229,0.35499,9290.99,618.65,3.22,2.82,-82.9,-0.446,19.36,20.89,01a57951o0524o
56,57951.513753,19.153,0.184,79,15,o,0,1.5,317.85229,0.35499,4960.48,10357.58,2.91,2.51,-81.9,-0.4920000000000001,19.26,20.6,01a57951o0536o
57,57951.516792,18.979,0.228,93,21,o,0,1.16,317.85229,0.35499,9314.08,695.33,3.23,2.82,-83.6,-0.448,19.08,20.42,01a57951o0542o
58,57951.522853,19.241,0.209,73,15,o,0,1.36,317.85229,0.35499,4984.25,10433.99,2.95,2.52,-81.3,-0.484,19.24,20.63,01a57951o0554o
59,57951.525349,19.098,0.21600000000000005,83,18,o,0,1.47,317.85229,0.35499,9259.17,652.98,3.29,2.75,-84.3,-0.456,18.94,20.12,01a57951o0559o
60,57951.531462,19.106,0.171,83,14,o,0,1.51,317.85229,0.35499,4929.44,10391.61,2.91,2.48,-83.4,-0.489,19.25,20.59,01a57951o0571o
61,57951.534418,19.62,0.306,52,16,o,0,1.04,317.85229,0.35499,9242.16,808.74,3.07,2.64,-81.1,-0.474,19.34,20.7,01a57951o0577o
62,57955.505662,20.083,0.672,34,23,o,0,1.0,317.85229,0.35499,4430.09,9063.06,5.95,3.91,-0.9,-0.401,18.8,21.06,01a57955o0536o
64,57955.52431,19.407,0.254,63,16,o,0,0.95,317.85229,0.35499,4401.98,9100.37,3.89,3.65,-70.5,-0.395,19.12,21.08,01a57955o0573o
65,57955.53337000001,19.643,0.313,50,16,o,0,1.08,317.85229,0.35499,4387.66,9254.0,4.08,3.54,-78.7,-0.411,19.1,21.05,01a57955o0591o
66,57959.491765,19.536,0.313,56,17,o,0,1.1,317.85229,0.35499,5859.37,769.57,4.2,3.98,8.5,-0.375,18.93,20.97,01a57959o0507o
67,57959.497853,18.959,0.269,95,26,o,0,1.16,317.85229,0.35499,1527.16,10507.25,5.36,4.63,0.3,-0.327,18.81,20.97,01a57959o0519o
68,57959.500853,19.363,0.289,65,19,o,0,0.87,317.85229,0.35499,5884.12,845.16,4.28,3.89,-1.1,-0.399,18.93,20.93,01a57959o0525o
69,57959.510517,19.76,0.34600000000000003,45,16,o,0,0.91,317.85229,0.35499,5829.55,805.95,3.67,3.17,88.1,-0.424,19.12,20.91,01a57959o0544o
70,57959.519606,19.788,0.345,44,15,o,0,0.96,317.85229,0.35499,5815.09,961.49,3.43,2.93,89.4,-0.436,19.11,20.87,01a57959o0562o
71,57961.515506,19.644,0.162,50,8,o,0,1.43,317.85229,0.35499,8546.38,2612.29,2.27,2.16,-71.3,-0.443,19.73,21.28,02a57961o0496o
72,57961.52565,19.804,0.19,44,8,o,0,1.62,317.85229,0.35499,8529.13,2572.46,2.33,2.22,-67.9,-0.434,19.71,21.29,02a57961o0514o
73,57961.536378,19.637,0.185,51,9,o,0,1.06,317.85229,0.35499,8590.25,2650.4,2.35,2.21,-64.9,-0.436,19.67,21.19,02a57961o0533o
74,57961.546473,19.581,0.177,53,9,o,0,1.48,317.85229,0.35499,8612.97,2532.79,2.28,2.18,-63.2,-0.444,19.61,21.04,02a57961o0551o
76,57963.45768099999,20.409,0.43,25,11,o,0,1.4,317.85229,0.35499,4594.82,9279.43,3.09,2.64,87.7,-0.46,19.43,21.21,01a57963o0229o
