Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
2,57901.518104,21.533,0.986,9,9,c,0,1.17,281.42881,28.58496,1143.86,2852.58,2.59,2.37,32.7,-0.494,19.84,21.71,02a57901o0445c
3,57901.552304,20.975,0.6,15,9,c,0,1.18,281.42881,28.58496,9317.33,7558.51,2.64,2.57,15.8,-0.445,19.75,21.66,02a57901o0502c
7,57903.62109099999,19.832,0.807,42,34,o,0,1.36,281.42881,28.58496,1202.42,2000.26,3.29,2.92,-56.5,-0.51,18.37,19.23,01a57903o0715o
23,57908.618116,15.602,0.527,2086,1100,o,0,1.11,281.42881,28.58496,7792.47,4209.86,3.31,3.06,49.9,-0.438,14.56,14.55,01a57908o0726o
31,57912.60530800001,18.822,0.353,107,38,o,0,0.92,281.42881,28.58496,1195.9,1485.86,3.28,3.02,54.7,-0.472,18.53,19.35,01a57912o0684o
53,57917.533935,20.237,0.927,29,27,o,0,0.96,281.42881,28.58496,8624.59,6416.1,2.26,2.15,-6.0,-0.482,18.58,19.18,02a57917o0424o
57,57920.50272,20.621,0.619,20,13,o,0,1.71,281.42881,28.58496,1448.18,3470.67,2.86,2.73,-88.3,-0.496,19.32,20.82,01a57920o0513o
80,57932.467973,21.143,0.775,13,10,o,0,1.77,281.42881,28.58496,8431.51,2560.88,3.26,3.0,42.3,-0.422,19.56,21.59,01a57932o0437o
81,57932.468956,19.917,0.261,39,10,o,0,1.38,281.42881,28.58496,8362.92,2489.23,3.24,2.97,55.6,-0.423,19.56,21.6,01a57932o0439o
82,57932.485909,20.228,0.393,29,12,o,0,0.91,281.42881,28.58496,8352.04,2672.45,3.13,2.96,50.5,-0.431,19.59,21.54,01a57932o0470o
83,57936.45119400001,20.28,0.43,28,12,o,0,1.62,281.42881,28.58496,10373.3,2759.91,3.57,3.52,35.5,-0.423,19.21,20.9,01a57936o0414o
84,57936.461429,19.373,0.223,65,14,o,0,1.05,281.42881,28.58496,10393.71,2838.92,3.35,3.18,22.6,-0.4270000000000001,19.31,20.98,01a57936o0434o
85,57936.462461,20.475,0.609,23,14,o,0,1.15,281.42881,28.58496,10341.98,2767.24,3.33,3.26,67.0,-0.434,19.29,20.99,01a57936o0436o
86,57936.470601,18.744,0.126,115,14,o,0,1.71,281.42881,28.58496,760.39,2960.87,3.1,2.83,58.2,-0.493,19.33,21.18,01a57936o0451o
87,57936.479112,19.43,0.203,61,12,o,0,1.05,281.42881,28.58496,10333.22,2950.38,3.18,3.14,25.1,-0.451,19.38,21.25,01a57936o0467o
88,57936.480201,19.371,0.239,65,16,o,0,0.95,281.42881,28.58496,712.51,2960.93,3.09,2.9,64.2,-0.488,19.39,21.29,01a57936o0469o
