Index,MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
32,57952.54027000001,20.048,0.503,35,18,o,0,0.85,337.4286600000001,11.80487,4953.1,3224.1,2.87,2.85,64.5,-0.448,19.14,20.57,01a57952o0564o
33,57952.540754,20.741,0.8170000000000001,18,15,o,0,1.3,337.4286600000001,11.80487,4933.8,3183.4,3.04,2.9,-85.2,-0.435,19.21,20.67,01a57952o0565o
34,57952.554334,20.031,0.611,35,22,o,0,0.93,337.4286600000001,11.80487,5204.79,7080.8,3.12,2.9,-81.2,-0.436,18.8,20.2,01a57952o0592o
35,57952.56621900001,19.907,0.438,40,17,o,0,1.1,337.4286600000001,11.80487,5192.23,7245.54,2.83,2.71,-72.7,-0.459,18.97,20.37,01a57952o0613o
36,57956.532231,19.679,0.316,49,15,o,0,1.35,337.4286600000001,11.80487,5576.97,6630.21,4.83,4.18,-2.3,-0.38,18.94,21.25,01a57956o0555o
37,57956.538176,19.541,0.274,55,15,o,0,0.88,337.4286600000001,11.80487,4599.98,3601.01,4.09,3.53,87.7,-0.384,19.22,21.31,01a57956o0566o
38,57956.551871,19.497,0.375,58,22,o,0,1.11,337.4286600000001,11.80487,5527.52,6785.66,6.32,5.57,-4.5,-0.359,18.71,21.3,01a57956o0591o
39,57956.55235499999,19.262,0.24,72,17,o,0,0.89,337.4286600000001,11.80487,5545.58,6671.57,4.47,4.3,-88.8,-0.391,19.03,21.33,01a57956o0592o
40,57958.539824,19.383,0.15,64,10,o,0,1.33,337.4286600000001,11.80487,3540.13,4061.33,2.03,1.96,50.8,-0.453,19.79,21.2,02a57958o0215o
41,57958.540305,19.487,0.14300000000000002,58,8,o,0,1.25,337.4286600000001,11.80487,3559.07,4100.12,2.06,2.02,47.9,-0.45,19.75,21.21,02a57958o0216o
42,57958.547224,19.616,0.153,52,8,o,0,1.86,337.4286600000001,11.80487,3596.45,4135.58,2.03,2.01,87.3,-0.449,19.7,21.15,02a57958o0228o
43,57958.559786,19.501,0.15,58,9,o,0,1.54,337.4286600000001,11.80487,3617.84,4024.51,2.0,1.95,52.2,-0.454,19.78,21.18,02a57958o0252o
